Year,Series,Gaixotasun ez-transmitigarria,Sexua,Lurralde historikoa,Eskualdea,Udalerria,Units,GeoCode,Value
2010,Heriotza-tasa 100.000 biztanleko,,,,,Alonsotegi,100.000 biztanleko,Alonsotegi,600.2
2021,Heriotza-tasa 100.000 biztanleko,,,,,Alonsotegi,100.000 biztanleko,Alonsotegi,914.3
2023,Heriotza-tasa 100.000 biztanleko,,,,,Alonsotegi,100.000 biztanleko,Alonsotegi,602.4
2015,Heriotza-tasa 100.000 biztanleko,,,,,Alonsotegi,100.000 biztanleko,Alonsotegi,838.7
2020,Heriotza-tasa 100.000 biztanleko,,,,,Alonsotegi,100.000 biztanleko,Alonsotegi,450.8
2024,Heriotza-tasa 100.000 biztanleko,,,,,Altzaga,100.000 biztanleko,Altzaga,1219.5
2012,Heriotza-tasa 100.000 biztanleko,,,,,Altzaga,100.000 biztanleko,Altzaga,611.6
2019,Heriotza-tasa 100.000 biztanleko,,,,,Altzaga,100.000 biztanleko,Altzaga,539.1
2021,Heriotza-tasa 100.000 biztanleko,,,,,Altzaga,100.000 biztanleko,Altzaga,1173.0
2018,Heriotza-tasa 100.000 biztanleko,,,,,Altzaga,100.000 biztanleko,Altzaga,537.6
2017,Heriotza-tasa 100.000 biztanleko,,,,,Altzo,100.000 biztanleko,Altzo,280.9
2016,Heriotza-tasa 100.000 biztanleko,,,,,Altzo,100.000 biztanleko,Altzo,280.9
2012,Heriotza-tasa 100.000 biztanleko,,,,,Altzo,100.000 biztanleko,Altzo,845.1
2021,Heriotza-tasa 100.000 biztanleko,,,,,Altzo,100.000 biztanleko,Altzo,1293.7
2024,Heriotza-tasa 100.000 biztanleko,,,,,Altzo,100.000 biztanleko,Altzo,252.5
2013,Heriotza-tasa 100.000 biztanleko,,,,,Altzo,100.000 biztanleko,Altzo,1144.5
2022,Heriotza-tasa 100.000 biztanleko,,,,,Altzo,100.000 biztanleko,Altzo,255.8
2019,Heriotza-tasa 100.000 biztanleko,,,,,Altzo,100.000 biztanleko,Altzo,264.2
2015,Heriotza-tasa 100.000 biztanleko,,,,,Altzo,100.000 biztanleko,Altzo,847.5
2011,Heriotza-tasa 100.000 biztanleko,,,,,Altzo,100.000 biztanleko,Altzo,565.8
2010,Heriotza-tasa 100.000 biztanleko,,,,,Altzo,100.000 biztanleko,Altzo,574.7
2023,Heriotza-tasa 100.000 biztanleko,,,,,Altzo,100.000 biztanleko,Altzo,251.3
2020,Heriotza-tasa 100.000 biztanleko,,,,,Altzo,100.000 biztanleko,Altzo,763.4
2023,Heriotza-tasa 100.000 biztanleko,,,,,Amezketa,100.000 biztanleko,Amezketa,1295.9
2019,Heriotza-tasa 100.000 biztanleko,,,,,Amezketa,100.000 biztanleko,Amezketa,875.8
2010,Heriotza-tasa 100.000 biztanleko,,,,,Amezketa,100.000 biztanleko,Amezketa,828.6
2015,Heriotza-tasa 100.000 biztanleko,,,,,Amezketa,100.000 biztanleko,Amezketa,434.1
2021,Heriotza-tasa 100.000 biztanleko,,,,,Amezketa,100.000 biztanleko,Amezketa,753.9
2018,Heriotza-tasa 100.000 biztanleko,,,,,Amezketa,100.000 biztanleko,Amezketa,874.3
2017,Heriotza-tasa 100.000 biztanleko,,,,,Amezketa,100.000 biztanleko,Amezketa,542.3
2020,Heriotza-tasa 100.000 biztanleko,,,,,Amezketa,100.000 biztanleko,Amezketa,866.3
2012,Heriotza-tasa 100.000 biztanleko,,,,,Amezketa,100.000 biztanleko,Amezketa,1046.6
2013,Heriotza-tasa 100.000 biztanleko,,,,,Amezketa,100.000 biztanleko,Amezketa,210.1
2024,Heriotza-tasa 100.000 biztanleko,,,,,Amezketa,100.000 biztanleko,Amezketa,760.9
2022,Heriotza-tasa 100.000 biztanleko,,,,,Amezketa,100.000 biztanleko,Amezketa,651.5
2011,Heriotza-tasa 100.000 biztanleko,,,,,Amezketa,100.000 biztanleko,Amezketa,734.1
2016,Heriotza-tasa 100.000 biztanleko,,,,,Amezketa,100.000 biztanleko,Amezketa,542.9
2014,Heriotza-tasa 100.000 biztanleko,,,,,Amezketa,100.000 biztanleko,Amezketa,748.3
2016,Heriotza-tasa 100.000 biztanleko,,,,,Amorebieta-Etxano,100.000 biztanleko,Amorebieta-Etxano,639.8
2017,Heriotza-tasa 100.000 biztanleko,,,,,Amorebieta-Etxano,100.000 biztanleko,Amorebieta-Etxano,584.6
2010,Heriotza-tasa 100.000 biztanleko,,,,,Amorebieta-Etxano,100.000 biztanleko,Amorebieta-Etxano,606.6
