Year,Profession,Employment status,Sex,Province,Units,Value
2010,Dentist,Retired,Male,,"Per 10,000 inhabitants",0.0
2015,Dentist,Not retired,Male,,"Per 10,000 inhabitants",6.2
2013,Dentist,Not retired,Male,,"Per 10,000 inhabitants",6.0
2016,Dentist,Not retired,Male,,"Per 10,000 inhabitants",6.1
2016,Dentist,,Male,,"Per 10,000 inhabitants",6.4
2012,Dentist,Retired,Male,Araba/Álava,"Per 10,000 inhabitants",0.0
2010,Dentist,,Male,Araba/Álava,"Per 10,000 inhabitants",5.9
2020,Dentist,Not retired,Male,Araba/Álava,"Per 10,000 inhabitants",4.9
2022,Dentist,Retired,Male,Araba/Álava,"Per 10,000 inhabitants",0.0
2019,Dentist,Retired,Male,Araba/Álava,"Per 10,000 inhabitants",0.0
2017,Dentist,Retired,Male,Araba/Álava,"Per 10,000 inhabitants",0.0
2025,Dentist,Retired,Male,Araba/Álava,"Per 10,000 inhabitants",0.0
2015,Dentist,Retired,Male,Araba/Álava,"Per 10,000 inhabitants",0.0
2021,Dentist,Retired,Male,Araba/Álava,"Per 10,000 inhabitants",0.0
2013,Dentist,Retired,Male,Araba/Álava,"Per 10,000 inhabitants",0.0
2018,Dentist,Retired,Male,Araba/Álava,"Per 10,000 inhabitants",0.0
2014,Dentist,Retired,Male,Araba/Álava,"Per 10,000 inhabitants",0.0
2022,Dentist,,Male,Araba/Álava,"Per 10,000 inhabitants",4.7
2014,Dentist,,Male,Araba/Álava,"Per 10,000 inhabitants",4.5
2015,Dentist,,Male,Araba/Álava,"Per 10,000 inhabitants",4.7
2011,Dentist,,Male,Araba/Álava,"Per 10,000 inhabitants",6.0
2013,Dentist,,Male,Araba/Álava,"Per 10,000 inhabitants",4.4
2023,Dentist,Retired,Male,Araba/Álava,"Per 10,000 inhabitants",0.0
2025,Dentist,,Male,Araba/Álava,"Per 10,000 inhabitants",4.6
2019,Dentist,,Male,Araba/Álava,"Per 10,000 inhabitants",4.9
2023,Dentist,,Male,Araba/Álava,"Per 10,000 inhabitants",4.6
2018,Dentist,,Male,Araba/Álava,"Per 10,000 inhabitants",4.7
2017,Dentist,,Male,Araba/Álava,"Per 10,000 inhabitants",4.6
2010,Dentist,Retired,Male,Araba/Álava,"Per 10,000 inhabitants",0.0
2018,Dentist,Not retired,Male,Araba/Álava,"Per 10,000 inhabitants",4.7
2020,Dentist,Retired,Male,Araba/Álava,"Per 10,000 inhabitants",0.0
2016,Dentist,Not retired,Male,Araba/Álava,"Per 10,000 inhabitants",4.7
2014,Dentist,Not retired,Male,Araba/Álava,"Per 10,000 inhabitants",4.5
2023,Dentist,Not retired,Male,Araba/Álava,"Per 10,000 inhabitants",4.6
2024,Dentist,Not retired,Male,Araba/Álava,"Per 10,000 inhabitants",4.7
2025,Dentist,Not retired,Male,Araba/Álava,"Per 10,000 inhabitants",4.6
2017,Dentist,Not retired,Male,Araba/Álava,"Per 10,000 inhabitants",4.6
2021,Dentist,Not retired,Male,Araba/Álava,"Per 10,000 inhabitants",5.0
2013,Dentist,Not retired,Male,Araba/Álava,"Per 10,000 inhabitants",4.4
2015,Dentist,Not retired,Male,Araba/Álava,"Per 10,000 inhabitants",4.7
2012,Dentist,Not retired,Male,Araba/Álava,"Per 10,000 inhabitants",4.3
2010,Dentist,Not retired,Male,Araba/Álava,"Per 10,000 inhabitants",5.9
2024,Dentist,,Male,Araba/Álava,"Per 10,000 inhabitants",4.7
2021,Dentist,,Male,Araba/Álava,"Per 10,000 inhabitants",5.0
2012,Dentist,,Male,Araba/Álava,"Per 10,000 inhabitants",4.3
2020,Dentist,,Male,Araba/Álava,"Per 10,000 inhabitants",4.9
2016,Dentist,,Male,Araba/Álava,"Per 10,000 inhabitants",4.7
2024,Dentist,Retired,Male,Araba/Álava,"Per 10,000 inhabitants",0.0
2019,Dentist,Not retired,Male,Araba/Álava,"Per 10,000 inhabitants",4.9
2022,Dentist,Not retired,Male,Araba/Álava,"Per 10,000 inhabitants",4.7
2016,Dentist,Retired,Male,Araba/Álava,"Per 10,000 inhabitants",0.0
2014,Dentist,Not retired,Male,Bizkaia,"Per 10,000 inhabitants",6.7
2015,Dentist,Not retired,Male,Bizkaia,"Per 10,000 inhabitants",6.8
2012,Dentist,Not retired,Male,Bizkaia,"Per 10,000 inhabitants",6.4
2013,Dentist,Not retired,Male,Bizkaia,"Per 10,000 inhabitants",6.6
2010,Dentist,Not retired,Male,Bizkaia,"Per 10,000 inhabitants",8.3
2022,Dentist,Not retired,Male,Bizkaia,"Per 10,000 inhabitants",6.5
2021,Dentist,Not retired,Male,Bizkaia,"Per 10,000 inhabitants",6.6
2023,Dentist,Not retired,Male,Bizkaia,"Per 10,000 inhabitants",6.4
2016,Dentist,Not retired,Male,Bizkaia,"Per 10,000 inhabitants",6.8
2019,Dentist,Not retired,Male,Bizkaia,"Per 10,000 inhabitants",6.7
2017,Dentist,Not retired,Male,Bizkaia,"Per 10,000 inhabitants",6.9
2020,Dentist,Not retired,Male,Bizkaia,"Per 10,000 inhabitants",6.5
2025,Dentist,Not retired,Male,Bizkaia,"Per 10,000 inhabitants",5.9
2024,Dentist,Not retired,Male,Bizkaia,"Per 10,000 inhabitants",6.1
2016,Dentist,,Male,Bizkaia,"Per 10,000 inhabitants",6.8
2019,Dentist,,Male,Bizkaia,"Per 10,000 inhabitants",6.7
2018,Dentist,Not retired,Male,Bizkaia,"Per 10,000 inhabitants",6.8
2022,Dentist,Retired,Male,Bizkaia,"Per 10,000 inhabitants",0.0
2014,Dentist,Retired,Male,Bizkaia,"Per 10,000 inhabitants",0.0
2024,Dentist,Retired,Male,Bizkaia,"Per 10,000 inhabitants",0.0
2019,Dentist,Retired,Male,Bizkaia,"Per 10,000 inhabitants",0.0
2023,Dentist,Retired,Male,Bizkaia,"Per 10,000 inhabitants",0.0
2025,Dentist,Retired,Male,Bizkaia,"Per 10,000 inhabitants",0.0
2020,Dentist,Retired,Male,Bizkaia,"Per 10,000 inhabitants",0.0
2015,Dentist,Retired,Male,Bizkaia,"Per 10,000 inhabitants",0.0
2016,Dentist,Retired,Male,Bizkaia,"Per 10,000 inhabitants",0.0
2018,Dentist,Retired,Male,Bizkaia,"Per 10,000 inhabitants",0.0
2021,Dentist,Retired,Male,Bizkaia,"Per 10,000 inhabitants",0.0
2012,Dentist,Retired,Male,Bizkaia,"Per 10,000 inhabitants",0.0
2010,Dentist,Retired,Male,Bizkaia,"Per 10,000 inhabitants",0.0
2013,Dentist,Retired,Male,Bizkaia,"Per 10,000 inhabitants",0.0
2014,Dentist,,Male,Bizkaia,"Per 10,000 inhabitants",6.7
2022,Dentist,,Male,Bizkaia,"Per 10,000 inhabitants",6.5
2012,Dentist,,Male,Bizkaia,"Per 10,000 inhabitants",6.4
2021,Dentist,,Male,Bizkaia,"Per 10,000 inhabitants",6.6
2013,Dentist,,Male,Bizkaia,"Per 10,000 inhabitants",6.6
2025,Dentist,,Male,Bizkaia,"Per 10,000 inhabitants",5.9
2017,Dentist,,Male,Bizkaia,"Per 10,000 inhabitants",6.9
2024,Dentist,,Male,Bizkaia,"Per 10,000 inhabitants",6.1
2018,Dentist,,Male,Bizkaia,"Per 10,000 inhabitants",6.8
2015,Dentist,,Male,Bizkaia,"Per 10,000 inhabitants",6.8
2011,Dentist,,Male,Bizkaia,"Per 10,000 inhabitants",8.4
2017,Dentist,Retired,Male,Bizkaia,"Per 10,000 inhabitants",0.0
2020,Dentist,,Male,Bizkaia,"Per 10,000 inhabitants",6.5
2023,Dentist,,Male,Bizkaia,"Per 10,000 inhabitants",6.4
2010,Dentist,,Male,Bizkaia,"Per 10,000 inhabitants",8.3
2018,Dentist,Not retired,Male,Gipuzkoa,"Per 10,000 inhabitants",5.8
2019,Dentist,Not retired,Male,Gipuzkoa,"Per 10,000 inhabitants",6.0
2016,Dentist,Not retired,Male,Gipuzkoa,"Per 10,000 inhabitants",5.8
2014,Dentist,Not retired,Male,Gipuzkoa,"Per 10,000 inhabitants",5.6
2017,Dentist,Not retired,Male,Gipuzkoa,"Per 10,000 inhabitants",5.7
2010,Dentist,Not retired,Male,Gipuzkoa,"Per 10,000 inhabitants",7.9
2015,Dentist,Not retired,Male,Gipuzkoa,"Per 10,000 inhabitants",5.8
2024,Dentist,Not retired,Male,Gipuzkoa,"Per 10,000 inhabitants",5.6
2023,Dentist,Not retired,Male,Gipuzkoa,"Per 10,000 inhabitants",5.7
2025,Dentist,Not retired,Male,Gipuzkoa,"Per 10,000 inhabitants",5.2
2021,Dentist,Not retired,Male,Gipuzkoa,"Per 10,000 inhabitants",5.9
2022,Dentist,Not retired,Male,Gipuzkoa,"Per 10,000 inhabitants",5.9
2024,Dentist,,Male,Gipuzkoa,"Per 10,000 inhabitants",7.2
2016,Dentist,,Male,Gipuzkoa,"Per 10,000 inhabitants",6.6
2013,Dentist,,Male,Gipuzkoa,"Per 10,000 inhabitants",6.5
2023,Dentist,,Male,Gipuzkoa,"Per 10,000 inhabitants",7.3
2020,Dentist,,Male,Gipuzkoa,"Per 10,000 inhabitants",6.4
2012,Dentist,Not retired,Male,Gipuzkoa,"Per 10,000 inhabitants",5.6
2025,Dentist,Retired,Male,Gipuzkoa,"Per 10,000 inhabitants",2.0
2020,Dentist,Not retired,Male,Gipuzkoa,"Per 10,000 inhabitants",5.2
2013,Dentist,Retired,Male,Gipuzkoa,"Per 10,000 inhabitants",0.8
2017,Dentist,Retired,Male,Gipuzkoa,"Per 10,000 inhabitants",0.8
2013,Dentist,Not retired,Male,Gipuzkoa,"Per 10,000 inhabitants",5.8
2021,Dentist,Retired,Male,Gipuzkoa,"Per 10,000 inhabitants",1.3
2010,Dentist,Retired,Male,Gipuzkoa,"Per 10,000 inhabitants",0.0
2024,Dentist,Retired,Male,Gipuzkoa,"Per 10,000 inhabitants",1.6
2022,Dentist,Retired,Male,Gipuzkoa,"Per 10,000 inhabitants",1.4
2019,Dentist,Retired,Male,Gipuzkoa,"Per 10,000 inhabitants",1.1
2020,Dentist,Retired,Male,Gipuzkoa,"Per 10,000 inhabitants",1.1
2018,Dentist,Retired,Male,Gipuzkoa,"Per 10,000 inhabitants",0.7
2023,Dentist,Retired,Male,Gipuzkoa,"Per 10,000 inhabitants",1.5
2015,Dentist,Retired,Male,Gipuzkoa,"Per 10,000 inhabitants",0.8
2012,Dentist,Retired,Male,Gipuzkoa,"Per 10,000 inhabitants",0.9
2014,Dentist,Retired,Male,Gipuzkoa,"Per 10,000 inhabitants",0.5
2016,Dentist,Retired,Male,Gipuzkoa,"Per 10,000 inhabitants",0.8
2014,Dentist,,Male,Gipuzkoa,"Per 10,000 inhabitants",6.1
2022,Dentist,,Male,Gipuzkoa,"Per 10,000 inhabitants",7.3
2017,Dentist,,Male,Gipuzkoa,"Per 10,000 inhabitants",6.5
2019,Dentist,,Male,Gipuzkoa,"Per 10,000 inhabitants",7.0
2021,Dentist,,Male,Gipuzkoa,"Per 10,000 inhabitants",7.2
2012,Dentist,,Male,Gipuzkoa,"Per 10,000 inhabitants",6.5
2011,Dentist,,Male,Gipuzkoa,"Per 10,000 inhabitants",8.0
2018,Dentist,,Male,Gipuzkoa,"Per 10,000 inhabitants",6.5
2015,Dentist,,Male,Gipuzkoa,"Per 10,000 inhabitants",6.6
2025,Dentist,,Male,Gipuzkoa,"Per 10,000 inhabitants",7.2
2010,Dentist,,Male,Gipuzkoa,"Per 10,000 inhabitants",7.9
2011,Pharmacist,Not retired,,,"Per 10,000 inhabitants",12.8
2022,Pharmacist,Not retired,,,"Per 10,000 inhabitants",15.4
2019,Pharmacist,Not retired,,,"Per 10,000 inhabitants",14.5
2012,Pharmacist,Not retired,,,"Per 10,000 inhabitants",13.1
2015,Pharmacist,Not retired,,,"Per 10,000 inhabitants",13.8
2024,Pharmacist,Retired,,,"Per 10,000 inhabitants",1.6
2017,Pharmacist,Not retired,,,"Per 10,000 inhabitants",14.3
2013,Pharmacist,Not retired,,,"Per 10,000 inhabitants",13.3
2019,Pharmacist,,,,"Per 10,000 inhabitants",15.9
2023,Pharmacist,,,,"Per 10,000 inhabitants",16.6
2019,Pharmacist,Retired,,,"Per 10,000 inhabitants",1.2
2011,Pharmacist,,,,"Per 10,000 inhabitants",13.8
2025,Pharmacist,Retired,,,"Per 10,000 inhabitants",1.6
2015,Pharmacist,Retired,,,"Per 10,000 inhabitants",0.9
2020,Pharmacist,,,,"Per 10,000 inhabitants",16.3
2020,Pharmacist,Not retired,,,"Per 10,000 inhabitants",14.8
2012,Pharmacist,Retired,,,"Per 10,000 inhabitants",0.8
2016,Pharmacist,Retired,,,"Per 10,000 inhabitants",1.0
2011,Pharmacist,Retired,,,"Per 10,000 inhabitants",0.8
2013,Pharmacist,Retired,,,"Per 10,000 inhabitants",0.8
2024,Pharmacist,Not retired,,,"Per 10,000 inhabitants",15.1
2023,Pharmacist,Retired,,,"Per 10,000 inhabitants",1.5
2025,Pharmacist,Not retired,,,"Per 10,000 inhabitants",15.1
2021,Pharmacist,Retired,,,"Per 10,000 inhabitants",1.3
2022,Pharmacist,Retired,,,"Per 10,000 inhabitants",1.3
2016,Pharmacist,Not retired,,,"Per 10,000 inhabitants",14.2
2023,Pharmacist,Not retired,,,"Per 10,000 inhabitants",15.1
2020,Pharmacist,Retired,,,"Per 10,000 inhabitants",1.2
2010,Pharmacist,,,,"Per 10,000 inhabitants",13.6
2025,Pharmacist,,,,"Per 10,000 inhabitants",16.8
2022,Pharmacist,,,,"Per 10,000 inhabitants",16.7
2021,Pharmacist,Not retired,,,"Per 10,000 inhabitants",14.9
2017,Pharmacist,Retired,,,"Per 10,000 inhabitants",1.1
2010,Pharmacist,Not retired,,,"Per 10,000 inhabitants",12.6
2014,Pharmacist,,,,"Per 10,000 inhabitants",14.7
2014,Pharmacist,Not retired,,,"Per 10,000 inhabitants",13.6
2014,Pharmacist,Retired,,,"Per 10,000 inhabitants",0.9
2010,Pharmacist,Retired,,,"Per 10,000 inhabitants",0.7
2021,Pharmacist,,,,"Per 10,000 inhabitants",16.4
2013,Pharmacist,,,,"Per 10,000 inhabitants",14.4
2015,Pharmacist,,,,"Per 10,000 inhabitants",15.0
2018,Pharmacist,Not retired,,,"Per 10,000 inhabitants",14.5
2012,Pharmacist,,,,"Per 10,000 inhabitants",14.1
2024,Pharmacist,,,,"Per 10,000 inhabitants",16.7
2018,Pharmacist,,,,"Per 10,000 inhabitants",15.9
2016,Pharmacist,,,,"Per 10,000 inhabitants",15.4
2017,Pharmacist,,,,"Per 10,000 inhabitants",15.6
2018,Pharmacist,Retired,,,"Per 10,000 inhabitants",1.1
2021,Pharmacist,Retired,,Araba/Álava,"Per 10,000 inhabitants",0.8
2023,Pharmacist,Retired,,Araba/Álava,"Per 10,000 inhabitants",0.8
2019,Pharmacist,Retired,,Araba/Álava,"Per 10,000 inhabitants",0.8
2019,Pharmacist,,,Araba/Álava,"Per 10,000 inhabitants",16.1
2022,Pharmacist,,,Araba/Álava,"Per 10,000 inhabitants",17.2
2013,Pharmacist,Not retired,,Araba/Álava,"Per 10,000 inhabitants",14.2
2014,Pharmacist,Not retired,,Araba/Álava,"Per 10,000 inhabitants",14.5
2018,Pharmacist,Not retired,,Araba/Álava,"Per 10,000 inhabitants",15.1
2012,Pharmacist,Retired,,Araba/Álava,"Per 10,000 inhabitants",0.5
2017,Pharmacist,Not retired,,Araba/Álava,"Per 10,000 inhabitants",14.9
2021,Pharmacist,Not retired,,Araba/Álava,"Per 10,000 inhabitants",15.7
2019,Pharmacist,Not retired,,Araba/Álava,"Per 10,000 inhabitants",15.3
2022,Pharmacist,Not retired,,Araba/Álava,"Per 10,000 inhabitants",16.5
2015,Pharmacist,Not retired,,Araba/Álava,"Per 10,000 inhabitants",14.6
2018,Pharmacist,Retired,,Araba/Álava,"Per 10,000 inhabitants",0.8
2024,Pharmacist,Retired,,Araba/Álava,"Per 10,000 inhabitants",0.9
2025,Pharmacist,,,Araba/Álava,"Per 10,000 inhabitants",17.5
2025,Pharmacist,Retired,,Araba/Álava,"Per 10,000 inhabitants",1.0
2013,Pharmacist,Retired,,Araba/Álava,"Per 10,000 inhabitants",0.5
2015,Pharmacist,Retired,,Araba/Álava,"Per 10,000 inhabitants",0.6
2014,Pharmacist,Retired,,Araba/Álava,"Per 10,000 inhabitants",0.5
2011,Pharmacist,Retired,,Araba/Álava,"Per 10,000 inhabitants",0.5
2010,Pharmacist,Retired,,Araba/Álava,"Per 10,000 inhabitants",0.4
2016,Pharmacist,,,Araba/Álava,"Per 10,000 inhabitants",15.6
2016,Pharmacist,Retired,,Araba/Álava,"Per 10,000 inhabitants",0.7
2017,Pharmacist,Retired,,Araba/Álava,"Per 10,000 inhabitants",0.8
2011,Pharmacist,,,Araba/Álava,"Per 10,000 inhabitants",13.9
2014,Pharmacist,,,Araba/Álava,"Per 10,000 inhabitants",14.9
2024,Pharmacist,,,Araba/Álava,"Per 10,000 inhabitants",17.2
2020,Pharmacist,Retired,,Araba/Álava,"Per 10,000 inhabitants",0.8
2018,Pharmacist,,,Araba/Álava,"Per 10,000 inhabitants",15.9
2015,Pharmacist,,,Araba/Álava,"Per 10,000 inhabitants",15.1
2022,Pharmacist,Retired,,Araba/Álava,"Per 10,000 inhabitants",0.7
2010,Pharmacist,,,Araba/Álava,"Per 10,000 inhabitants",13.7
2012,Pharmacist,,,Araba/Álava,"Per 10,000 inhabitants",14.5
2023,Pharmacist,,,Araba/Álava,"Per 10,000 inhabitants",17.0
2017,Pharmacist,,,Araba/Álava,"Per 10,000 inhabitants",15.7
2013,Pharmacist,,,Araba/Álava,"Per 10,000 inhabitants",14.7
2020,Pharmacist,,,Araba/Álava,"Per 10,000 inhabitants",16.5
2021,Pharmacist,,,Araba/Álava,"Per 10,000 inhabitants",16.5
2020,Pharmacist,Not retired,,Araba/Álava,"Per 10,000 inhabitants",15.8
2010,Pharmacist,Not retired,,Araba/Álava,"Per 10,000 inhabitants",13.1
2023,Pharmacist,Not retired,,Araba/Álava,"Per 10,000 inhabitants",16.1
2025,Pharmacist,Not retired,,Araba/Álava,"Per 10,000 inhabitants",16.4
2011,Pharmacist,Not retired,,Araba/Álava,"Per 10,000 inhabitants",13.4
2012,Pharmacist,Not retired,,Araba/Álava,"Per 10,000 inhabitants",14.0
2016,Pharmacist,Not retired,,Araba/Álava,"Per 10,000 inhabitants",14.9
2024,Pharmacist,Not retired,,Araba/Álava,"Per 10,000 inhabitants",16.3
2017,Pharmacist,,,Bizkaia,"Per 10,000 inhabitants",15.8
2018,Pharmacist,,,Bizkaia,"Per 10,000 inhabitants",16.0
2010,Pharmacist,Not retired,,Bizkaia,"Per 10,000 inhabitants",12.8
2014,Pharmacist,Not retired,,Bizkaia,"Per 10,000 inhabitants",13.5
2022,Pharmacist,Not retired,,Bizkaia,"Per 10,000 inhabitants",15.5
2018,Pharmacist,Not retired,,Bizkaia,"Per 10,000 inhabitants",14.6
2024,Pharmacist,Not retired,,Bizkaia,"Per 10,000 inhabitants",15.2
2020,Pharmacist,Not retired,,Bizkaia,"Per 10,000 inhabitants",14.8
2017,Pharmacist,Not retired,,Bizkaia,"Per 10,000 inhabitants",14.4
2019,Pharmacist,Not retired,,Bizkaia,"Per 10,000 inhabitants",14.6
2025,Pharmacist,Not retired,,Bizkaia,"Per 10,000 inhabitants",15.2
2016,Pharmacist,Not retired,,Bizkaia,"Per 10,000 inhabitants",14.3
2021,Pharmacist,Not retired,,Bizkaia,"Per 10,000 inhabitants",15.0
2013,Pharmacist,Not retired,,Bizkaia,"Per 10,000 inhabitants",13.3
2015,Pharmacist,Not retired,,Bizkaia,"Per 10,000 inhabitants",13.9
2023,Pharmacist,Not retired,,Bizkaia,"Per 10,000 inhabitants",15.3
2011,Pharmacist,Not retired,,Bizkaia,"Per 10,000 inhabitants",12.9
2012,Pharmacist,Not retired,,Bizkaia,"Per 10,000 inhabitants",13.0
2024,Pharmacist,Retired,,Bizkaia,"Per 10,000 inhabitants",1.2
2021,Pharmacist,Retired,,Bizkaia,"Per 10,000 inhabitants",1.1
2020,Pharmacist,Retired,,Bizkaia,"Per 10,000 inhabitants",1.0
2025,Pharmacist,Retired,,Bizkaia,"Per 10,000 inhabitants",1.2
2017,Pharmacist,Retired,,Bizkaia,"Per 10,000 inhabitants",0.9
2023,Pharmacist,Retired,,Bizkaia,"Per 10,000 inhabitants",1.2
2019,Pharmacist,Retired,,Bizkaia,"Per 10,000 inhabitants",0.9
2011,Pharmacist,Retired,,Bizkaia,"Per 10,000 inhabitants",0.9
2013,Pharmacist,Retired,,Bizkaia,"Per 10,000 inhabitants",0.9
2025,Pharmacist,,,Bizkaia,"Per 10,000 inhabitants",16.5
2012,Pharmacist,Retired,,Bizkaia,"Per 10,000 inhabitants",0.9
2015,Pharmacist,Retired,,Bizkaia,"Per 10,000 inhabitants",0.8
2022,Pharmacist,,,Bizkaia,"Per 10,000 inhabitants",16.5
2010,Pharmacist,,,Bizkaia,"Per 10,000 inhabitants",14.0
2024,Pharmacist,,,Bizkaia,"Per 10,000 inhabitants",16.4
2014,Pharmacist,Retired,,Bizkaia,"Per 10,000 inhabitants",0.9
2010,Pharmacist,Retired,,Bizkaia,"Per 10,000 inhabitants",0.8
2018,Pharmacist,Retired,,Bizkaia,"Per 10,000 inhabitants",1.0
2016,Pharmacist,Retired,,Bizkaia,"Per 10,000 inhabitants",0.9
2022,Pharmacist,Retired,,Bizkaia,"Per 10,000 inhabitants",1.0
2023,Pharmacist,,,Bizkaia,"Per 10,000 inhabitants",16.4
2020,Pharmacist,,,Bizkaia,"Per 10,000 inhabitants",16.2
2015,Pharmacist,,,Bizkaia,"Per 10,000 inhabitants",15.2
2014,Pharmacist,,,Bizkaia,"Per 10,000 inhabitants",14.8
2019,Pharmacist,,,Bizkaia,"Per 10,000 inhabitants",15.9
2011,Pharmacist,,,Bizkaia,"Per 10,000 inhabitants",14.1
2021,Pharmacist,,,Bizkaia,"Per 10,000 inhabitants",16.5
2012,Pharmacist,,,Bizkaia,"Per 10,000 inhabitants",14.3
2013,Pharmacist,,,Bizkaia,"Per 10,000 inhabitants",14.6
2016,Pharmacist,,,Bizkaia,"Per 10,000 inhabitants",15.6
2011,Pharmacist,,,Gipuzkoa,"Per 10,000 inhabitants",13.2
2013,Pharmacist,,,Gipuzkoa,"Per 10,000 inhabitants",14.0
2022,Pharmacist,,,Gipuzkoa,"Per 10,000 inhabitants",16.8
2018,Pharmacist,Not retired,,Gipuzkoa,"Per 10,000 inhabitants",14.1
2016,Pharmacist,Not retired,,Gipuzkoa,"Per 10,000 inhabitants",13.6
2012,Pharmacist,Not retired,,Gipuzkoa,"Per 10,000 inhabitants",12.8
2014,Pharmacist,Not retired,,Gipuzkoa,"Per 10,000 inhabitants",13.4
2010,Pharmacist,Not retired,,Gipuzkoa,"Per 10,000 inhabitants",12.0
2011,Pharmacist,Not retired,,Gipuzkoa,"Per 10,000 inhabitants",12.3
2015,Pharmacist,Not retired,,Gipuzkoa,"Per 10,000 inhabitants",13.3
2013,Pharmacist,Not retired,,Gipuzkoa,"Per 10,000 inhabitants",13.0
2024,Pharmacist,,,Gipuzkoa,"Per 10,000 inhabitants",16.8
2018,Pharmacist,,,Gipuzkoa,"Per 10,000 inhabitants",15.7
2020,Pharmacist,,,Gipuzkoa,"Per 10,000 inhabitants",16.3
2024,Pharmacist,Not retired,,Gipuzkoa,"Per 10,000 inhabitants",14.3
2022,Pharmacist,Not retired,,Gipuzkoa,"Per 10,000 inhabitants",14.6
2017,Pharmacist,Not retired,,Gipuzkoa,"Per 10,000 inhabitants",13.9
2021,Pharmacist,Not retired,,Gipuzkoa,"Per 10,000 inhabitants",14.5
2019,Pharmacist,Not retired,,Gipuzkoa,"Per 10,000 inhabitants",14.1
2023,Pharmacist,Not retired,,Gipuzkoa,"Per 10,000 inhabitants",14.5
2025,Pharmacist,Not retired,,Gipuzkoa,"Per 10,000 inhabitants",14.4
2020,Pharmacist,Not retired,,Gipuzkoa,"Per 10,000 inhabitants",14.5
2021,Pharmacist,Retired,,Gipuzkoa,"Per 10,000 inhabitants",1.9
2023,Pharmacist,Retired,,Gipuzkoa,"Per 10,000 inhabitants",2.2
2017,Pharmacist,Retired,,Gipuzkoa,"Per 10,000 inhabitants",1.3
2025,Pharmacist,Retired,,Gipuzkoa,"Per 10,000 inhabitants",2.6
2019,Pharmacist,Retired,,Gipuzkoa,"Per 10,000 inhabitants",1.7
2020,Pharmacist,Retired,,Gipuzkoa,"Per 10,000 inhabitants",1.9
2013,Pharmacist,Retired,,Gipuzkoa,"Per 10,000 inhabitants",0.9
2011,Pharmacist,Retired,,Gipuzkoa,"Per 10,000 inhabitants",0.9
2015,Pharmacist,Retired,,Gipuzkoa,"Per 10,000 inhabitants",1.1
2012,Pharmacist,Retired,,Gipuzkoa,"Per 10,000 inhabitants",0.9
2010,Pharmacist,Retired,,Gipuzkoa,"Per 10,000 inhabitants",0.9
2014,Pharmacist,Retired,,Gipuzkoa,"Per 10,000 inhabitants",1.0
2018,Pharmacist,Retired,,Gipuzkoa,"Per 10,000 inhabitants",1.5
2016,Pharmacist,Retired,,Gipuzkoa,"Per 10,000 inhabitants",1.2
2022,Pharmacist,Retired,,Gipuzkoa,"Per 10,000 inhabitants",2.1
2024,Pharmacist,Retired,,Gipuzkoa,"Per 10,000 inhabitants",2.5
2012,Pharmacist,,,Gipuzkoa,"Per 10,000 inhabitants",13.6
2014,Pharmacist,,,Gipuzkoa,"Per 10,000 inhabitants",14.5
2019,Pharmacist,,,Gipuzkoa,"Per 10,000 inhabitants",15.8
2010,Pharmacist,,,Gipuzkoa,"Per 10,000 inhabitants",12.9
2023,Pharmacist,,,Gipuzkoa,"Per 10,000 inhabitants",16.7
2015,Pharmacist,,,Gipuzkoa,"Per 10,000 inhabitants",14.5
2025,Pharmacist,,,Gipuzkoa,"Per 10,000 inhabitants",16.9
2021,Pharmacist,,,Gipuzkoa,"Per 10,000 inhabitants",16.4
2017,Pharmacist,,,Gipuzkoa,"Per 10,000 inhabitants",15.2
2016,Pharmacist,,,Gipuzkoa,"Per 10,000 inhabitants",14.8
2022,Pharmacist,Not retired,Female,,"Per 10,000 inhabitants",24.3
2023,Pharmacist,,Female,,"Per 10,000 inhabitants",25.9
2014,Pharmacist,Not retired,Female,,"Per 10,000 inhabitants",21.5
2025,Pharmacist,,Female,,"Per 10,000 inhabitants",26.3
2020,Pharmacist,Not retired,Female,,"Per 10,000 inhabitants",23.3
2015,Pharmacist,,Female,,"Per 10,000 inhabitants",23.3
2016,Pharmacist,,Female,,"Per 10,000 inhabitants",23.9
2022,Pharmacist,Retired,Female,,"Per 10,000 inhabitants",1.9
2020,Pharmacist,Retired,Female,,"Per 10,000 inhabitants",1.7
2025,Pharmacist,Retired,Female,,"Per 10,000 inhabitants",2.3
2019,Pharmacist,Not retired,Female,,"Per 10,000 inhabitants",22.9
2018,Pharmacist,Retired,Female,,"Per 10,000 inhabitants",1.5
2012,Pharmacist,Retired,Female,,"Per 10,000 inhabitants",0.9
2017,Pharmacist,Retired,Female,,"Per 10,000 inhabitants",1.4
2019,Pharmacist,Retired,Female,,"Per 10,000 inhabitants",1.5
2010,Pharmacist,Retired,Female,,"Per 10,000 inhabitants",0.8
2013,Pharmacist,Retired,Female,,"Per 10,000 inhabitants",0.9
2011,Pharmacist,Retired,Female,,"Per 10,000 inhabitants",0.9
2016,Pharmacist,Retired,Female,,"Per 10,000 inhabitants",1.2
2024,Pharmacist,Retired,Female,,"Per 10,000 inhabitants",2.2
2017,Pharmacist,Not retired,Female,,"Per 10,000 inhabitants",22.6
2013,Pharmacist,Not retired,Female,,"Per 10,000 inhabitants",21.1
2021,Pharmacist,Not retired,Female,,"Per 10,000 inhabitants",23.6
