Year,Profession,Employment status,Sex,Province,Units,Value
2020,,Retired,Female,Araba/Álava,"Per 10,000 inhabitants",7.8
2023,,,Female,Araba/Álava,"Per 10,000 inhabitants",264.4
2025,,,Female,Araba/Álava,"Per 10,000 inhabitants",273.0
2019,,,Female,Araba/Álava,"Per 10,000 inhabitants",251.0
2016,,,Female,Araba/Álava,"Per 10,000 inhabitants",246.1
2018,,Retired,Female,Araba/Álava,"Per 10,000 inhabitants",5.9
2023,,Retired,Female,Araba/Álava,"Per 10,000 inhabitants",11.0
2019,,Not retired,Female,Araba/Álava,"Per 10,000 inhabitants",243.8
2018,,,Female,Araba/Álava,"Per 10,000 inhabitants",251.2
2014,,Retired,Female,Araba/Álava,"Per 10,000 inhabitants",2.1
2015,,,Female,Araba/Álava,"Per 10,000 inhabitants",242.7
2015,,Retired,Female,Araba/Álava,"Per 10,000 inhabitants",3.9
2012,,Retired,Female,Araba/Álava,"Per 10,000 inhabitants",2.3
2014,,,Female,Araba/Álava,"Per 10,000 inhabitants",238.5
2017,,Retired,Female,Araba/Álava,"Per 10,000 inhabitants",5.4
2019,,Retired,Female,Araba/Álava,"Per 10,000 inhabitants",7.1
2019,,Retired,Female,Bizkaia,"Per 10,000 inhabitants",7.7
2018,,Retired,Female,Bizkaia,"Per 10,000 inhabitants",6.2
2023,,Retired,Female,Bizkaia,"Per 10,000 inhabitants",12.1
2025,,Retired,Female,Bizkaia,"Per 10,000 inhabitants",14.7
2011,,,Female,Bizkaia,"Per 10,000 inhabitants",202.2
2013,,Retired,Female,Bizkaia,"Per 10,000 inhabitants",2.8
2015,,Not retired,Female,Bizkaia,"Per 10,000 inhabitants",216.9
2016,,Retired,Female,Bizkaia,"Per 10,000 inhabitants",4.4
2021,,,Female,Bizkaia,"Per 10,000 inhabitants",249.8
2014,,Not retired,Female,Bizkaia,"Per 10,000 inhabitants",211.6
2023,,,Female,Bizkaia,"Per 10,000 inhabitants",257.4
2020,,,Female,Bizkaia,"Per 10,000 inhabitants",245.0
2010,,Retired,Female,Bizkaia,"Per 10,000 inhabitants",2.1
2011,,Not retired,Female,Bizkaia,"Per 10,000 inhabitants",191.9
2010,,Not retired,Female,Bizkaia,"Per 10,000 inhabitants",193.2
2020,,Not retired,Female,Bizkaia,"Per 10,000 inhabitants",235.6
2018,,Not retired,Female,Bizkaia,"Per 10,000 inhabitants",227.4
2021,,Not retired,Female,Bizkaia,"Per 10,000 inhabitants",238.9
2025,,Not retired,Female,Bizkaia,"Per 10,000 inhabitants",254.2
2023,,Not retired,Female,Bizkaia,"Per 10,000 inhabitants",245.3
2014,,Retired,Female,Bizkaia,"Per 10,000 inhabitants",3.0
2020,,Retired,Female,Bizkaia,"Per 10,000 inhabitants",8.7
2012,,Retired,Female,Bizkaia,"Per 10,000 inhabitants",2.8
2022,,,Female,Bizkaia,"Per 10,000 inhabitants",252.7
2013,,Not retired,Female,Bizkaia,"Per 10,000 inhabitants",207.9
2024,,Retired,Female,Bizkaia,"Per 10,000 inhabitants",13.2
2012,,,Female,Bizkaia,"Per 10,000 inhabitants",208.3
2016,,Not retired,Female,Bizkaia,"Per 10,000 inhabitants",220.5
2017,,Retired,Female,Bizkaia,"Per 10,000 inhabitants",5.3
2018,,,Female,Bizkaia,"Per 10,000 inhabitants",234.2
2019,,Not retired,Female,Bizkaia,"Per 10,000 inhabitants",229.6
2022,,Not retired,Female,Bizkaia,"Per 10,000 inhabitants",242.7
2024,,,Female,Bizkaia,"Per 10,000 inhabitants",262.1
2015,,,Female,Bizkaia,"Per 10,000 inhabitants",221.2
2019,,,Female,Bizkaia,"Per 10,000 inhabitants",238.0
2021,,Retired,Female,Bizkaia,"Per 10,000 inhabitants",10.2
2014,,,Female,Bizkaia,"Per 10,000 inhabitants",215.4
2016,,,Female,Bizkaia,"Per 10,000 inhabitants",225.6
2017,,,Female,Bizkaia,"Per 10,000 inhabitants",229.7
2015,,Retired,Female,Bizkaia,"Per 10,000 inhabitants",3.5
2022,,Retired,Female,Bizkaia,"Per 10,000 inhabitants",10.0
2013,,,Female,Bizkaia,"Per 10,000 inhabitants",211.4
2025,,,Female,Bizkaia,"Per 10,000 inhabitants",268.9
2010,,,Female,Bizkaia,"Per 10,000 inhabitants",195.9
2012,,Not retired,Female,Bizkaia,"Per 10,000 inhabitants",204.9
2017,,Not retired,Female,Bizkaia,"Per 10,000 inhabitants",223.8
2011,,Retired,Female,Bizkaia,"Per 10,000 inhabitants",2.5
2024,,Not retired,Female,Bizkaia,"Per 10,000 inhabitants",249.0
2017,,Not retired,Female,Gipuzkoa,"Per 10,000 inhabitants",219.9
2013,,Not retired,Female,Gipuzkoa,"Per 10,000 inhabitants",210.2
2017,,,Female,Gipuzkoa,"Per 10,000 inhabitants",226.3
2016,,Retired,Female,Gipuzkoa,"Per 10,000 inhabitants",5.4
2020,,Retired,Female,Gipuzkoa,"Per 10,000 inhabitants",9.6
2015,,Retired,Female,Gipuzkoa,"Per 10,000 inhabitants",4.7
2010,,Not retired,Female,Gipuzkoa,"Per 10,000 inhabitants",201.3
2021,,Not retired,Female,Gipuzkoa,"Per 10,000 inhabitants",234.7
