Year,Series,Waste treatment operation,Province,Units,Value
2020,"Proportion of hazardous waste treated, broken down by treatment type",Incineration without energy recovery,,PT,0.3
2018,"Proportion of hazardous waste treated, broken down by treatment type",Incineration without energy recovery,,PT,0.1
2015,"Proportion of hazardous waste treated, broken down by treatment type",Incineration without energy recovery,,PT,0.6
2017,"Proportion of hazardous waste treated, broken down by treatment type",Incineration without energy recovery,Araba/Álava,PT,0.4
2015,"Proportion of hazardous waste treated, broken down by treatment type",Incineration without energy recovery,Araba/Álava,PT,0.6
2010,"Proportion of hazardous waste treated, broken down by treatment type",Incineration without energy recovery,Araba/Álava,PT,21.9
2014,"Proportion of hazardous waste treated, broken down by treatment type",Incineration without energy recovery,Araba/Álava,PT,1.1
2019,"Proportion of hazardous waste treated, broken down by treatment type",Incineration without energy recovery,Araba/Álava,PT,0.1
2012,"Proportion of hazardous waste treated, broken down by treatment type",Incineration without energy recovery,Araba/Álava,PT,0.5
2020,"Proportion of hazardous waste treated, broken down by treatment type",Incineration without energy recovery,Araba/Álava,PT,0.1
2016,"Proportion of hazardous waste treated, broken down by treatment type",Incineration without energy recovery,Araba/Álava,PT,0.6
2013,"Proportion of hazardous waste treated, broken down by treatment type",Incineration without energy recovery,Araba/Álava,PT,0.4
2011,"Proportion of hazardous waste treated, broken down by treatment type",Incineration without energy recovery,Araba/Álava,PT,0.4
2018,"Proportion of hazardous waste treated, broken down by treatment type",Incineration without energy recovery,Araba/Álava,PT,0.3
2012,"Proportion of hazardous waste treated, broken down by treatment type",Incineration without energy recovery,Bizkaia,PT,0.1
2013,"Proportion of hazardous waste treated, broken down by treatment type",Incineration without energy recovery,Bizkaia,PT,0.1
2014,"Proportion of hazardous waste treated, broken down by treatment type",Incineration without energy recovery,Bizkaia,PT,0.3
2020,"Proportion of hazardous waste treated, broken down by treatment type",Incineration without energy recovery,Bizkaia,PT,0.0
