Year,Series,Territorio,Comarca,Municipio,Units,GeoCode,Value
2022,SP_ACS_BSRVH2O,,,ES01049,PT,ES01049,100.0
2015,SP_ACS_BSRVH2O,,,ES01049,PT,ES01049,100.0
2021,SP_ACS_BSRVH2O,,,ES01049,PT,ES01049,100.0
2020,SP_ACS_BSRVH2O,,,ES01049,PT,ES01049,100.0
2023,SP_ACS_BSRVH2O,,,ES01049,PT,ES01049,100.0
2010,SP_ACS_BSRVH2O,,,ES01049,PT,ES01049,100.0
2014,SP_ACS_BSRVH2O,,,ES01049,PT,ES01049,100.0
2019,SP_ACS_BSRVH2O,,,ES01049,PT,ES01049,100.0
2021,SP_ACS_BSRVH2O,,,ES48005,PT,ES48005,100.0
2015,SP_ACS_BSRVH2O,,,ES48005,PT,ES48005,100.0
2016,SP_ACS_BSRVH2O,,,ES48005,PT,ES48005,100.0
2019,SP_ACS_BSRVH2O,,,ES48005,PT,ES48005,100.0
2013,SP_ACS_BSRVH2O,,,ES48005,PT,ES48005,100.0
2014,SP_ACS_BSRVH2O,,,ES48005,PT,ES48005,100.0
2023,SP_ACS_BSRVH2O,,,ES48005,PT,ES48005,100.0
2010,SP_ACS_BSRVH2O,,,ES48005,PT,ES48005,100.0
2018,SP_ACS_BSRVH2O,,,ES48005,PT,ES48005,100.0
2020,SP_ACS_BSRVH2O,,,ES48005,PT,ES48005,100.0
2022,SP_ACS_BSRVH2O,,,ES48005,PT,ES48005,100.0
2014,SP_ACS_BSRVH2O,,,ES20012,PT,ES20012,100.0
2020,SP_ACS_BSRVH2O,,,ES20012,PT,ES20012,100.0
2015,SP_ACS_BSRVH2O,,,ES20012,PT,ES20012,100.0
2023,SP_ACS_BSRVH2O,,,ES20012,PT,ES20012,100.0
2022,SP_ACS_BSRVH2O,,,ES20012,PT,ES20012,100.0
2016,SP_ACS_BSRVH2O,,,ES20012,PT,ES20012,100.0
2013,SP_ACS_BSRVH2O,,,ES20012,PT,ES20012,100.0
2019,SP_ACS_BSRVH2O,,,ES20012,PT,ES20012,100.0
2010,SP_ACS_BSRVH2O,,,ES20012,PT,ES20012,100.0
2021,SP_ACS_BSRVH2O,,,ES20012,PT,ES20012,100.0
2018,SP_ACS_BSRVH2O,,,ES20012,PT,ES20012,100.0
2016,SP_ACS_BSRVH2O,,,ES01003,PT,ES01003,100.0
2023,SP_ACS_BSRVH2O,,,ES01003,PT,ES01003,100.0
2019,SP_ACS_BSRVH2O,,,ES01003,PT,ES01003,100.0
2015,SP_ACS_BSRVH2O,,,ES01003,PT,ES01003,100.0
2022,SP_ACS_BSRVH2O,,,ES01003,PT,ES01003,100.0
2013,SP_ACS_BSRVH2O,,,ES01003,PT,ES01003,100.0
2010,SP_ACS_BSRVH2O,,,ES01003,PT,ES01003,100.0
2021,SP_ACS_BSRVH2O,,,ES01003,PT,ES01003,100.0
2018,SP_ACS_BSRVH2O,,,ES01003,PT,ES01003,100.0
2020,SP_ACS_BSRVH2O,,,ES01003,PT,ES01003,100.0
2014,SP_ACS_BSRVH2O,,,ES01003,PT,ES01003,100.0
2014,SP_ACS_BSRVH2O,,,ES48006,PT,ES48006,100.0
2018,SP_ACS_BSRVH2O,,,ES48006,PT,ES48006,100.0
2021,SP_ACS_BSRVH2O,,,ES48006,PT,ES48006,99.4
2013,SP_ACS_BSRVH2O,,,ES48006,PT,ES48006,100.0
