Year,Series,Province,County,Municipality,Units,GeoCode,Value
2018,Forest area as a proportion of total area,,,Artea,%,Artea,70.5
2016,Forest area as a proportion of total area,,,Artea,%,Artea,74.3
2019,Forest area as a proportion of total area,,,Artea,%,Artea,73.0
2021,Forest area as a proportion of total area,,,Artea,%,Artea,74.2
2010,Forest area as a proportion of total area,,,Artea,%,Artea,74.4
2020,Forest area as a proportion of total area,,,Artea,%,Artea,74.0
2020,Forest area as a proportion of total area,,,Artzentales,%,Artzentales,59.8
2018,Forest area as a proportion of total area,,,Artzentales,%,Artzentales,59.1
2021,Forest area as a proportion of total area,,,Artzentales,%,Artzentales,60.1
2019,Forest area as a proportion of total area,,,Artzentales,%,Artzentales,59.3
2010,Forest area as a proportion of total area,,,Artzentales,%,Artzentales,60.0
2022,Forest area as a proportion of total area,,,Artzentales,%,Artzentales,60.0
2016,Forest area as a proportion of total area,,,Artzentales,%,Artzentales,60.1
2022,Forest area as a proportion of total area,,,Artziniega,%,Artziniega,57.2
2021,Forest area as a proportion of total area,,,Artziniega,%,Artziniega,56.9
2019,Forest area as a proportion of total area,,,Artziniega,%,Artziniega,58.1
2016,Forest area as a proportion of total area,,,Artziniega,%,Artziniega,57.3
2018,Forest area as a proportion of total area,,,Artziniega,%,Artziniega,58.5
2020,Forest area as a proportion of total area,,,Artziniega,%,Artziniega,56.9
2010,Forest area as a proportion of total area,,,Artziniega,%,Artziniega,57.3
2021,Forest area as a proportion of total area,,,Asparrena,%,Asparrena,52.4
2022,Forest area as a proportion of total area,,,Asparrena,%,Asparrena,52.4
2016,Forest area as a proportion of total area,,,Asparrena,%,Asparrena,52.4
2010,Forest area as a proportion of total area,,,Asparrena,%,Asparrena,53.4
2018,Forest area as a proportion of total area,,,Asparrena,%,Asparrena,52.4
2020,Forest area as a proportion of total area,,,Asparrena,%,Asparrena,52.4
2019,Forest area as a proportion of total area,,,Asparrena,%,Asparrena,52.4
2019,Forest area as a proportion of total area,,,Asteasu,%,Asteasu,43.8
2021,Forest area as a proportion of total area,,,Asteasu,%,Asteasu,43.9
2016,Forest area as a proportion of total area,,,Asteasu,%,Asteasu,44.9
2020,Forest area as a proportion of total area,,,Asteasu,%,Asteasu,43.8
2018,Forest area as a proportion of total area,,,Asteasu,%,Asteasu,43.7
2010,Forest area as a proportion of total area,,,Asteasu,%,Asteasu,44.2
2022,Forest area as a proportion of total area,,,Asteasu,%,Asteasu,43.9
2021,Forest area as a proportion of total area,,,Astigarraga,%,Astigarraga,42.1
2018,Forest area as a proportion of total area,,,Astigarraga,%,Astigarraga,41.8
2020,Forest area as a proportion of total area,,,Astigarraga,%,Astigarraga,42.1
2019,Forest area as a proportion of total area,,,Astigarraga,%,Astigarraga,42.3
2016,Forest area as a proportion of total area,,,Astigarraga,%,Astigarraga,42.4
2010,Forest area as a proportion of total area,,,Astigarraga,%,Astigarraga,42.7
2022,Forest area as a proportion of total area,,,Astigarraga,%,Astigarraga,42.0
2019,Forest area as a proportion of total area,,,Ataun,%,Ataun,82.5
2018,Forest area as a proportion of total area,,,Ataun,%,Ataun,82.3
2010,Forest area as a proportion of total area,,,Ataun,%,Ataun,82.0
2021,Forest area as a proportion of total area,,,Ataun,%,Ataun,82.5
2020,Forest area as a proportion of total area,,,Ataun,%,Ataun,82.5
2016,Forest area as a proportion of total area,,,Ataun,%,Ataun,82.5
2022,Forest area as a proportion of total area,,,Ataun,%,Ataun,82.6
2019,Forest area as a proportion of total area,,,Atxondo,%,Atxondo,62.4
2020,Forest area as a proportion of total area,,,Atxondo,%,Atxondo,62.7
2018,Forest area as a proportion of total area,,,Atxondo,%,Atxondo,62.3
2016,Forest area as a proportion of total area,,,Atxondo,%,Atxondo,63.2
2021,Forest area as a proportion of total area,,,Atxondo,%,Atxondo,62.7
2010,Forest area as a proportion of total area,,,Atxondo,%,Atxondo,66.0
2022,Forest area as a proportion of total area,,,Atxondo,%,Atxondo,62.7
2020,Forest area as a proportion of total area,,,Aulesti,%,Aulesti,78.7
2021,Forest area as a proportion of total area,,,Aulesti,%,Aulesti,79.1
2018,Forest area as a proportion of total area,,,Aulesti,%,Aulesti,78.2
2019,Forest area as a proportion of total area,,,Aulesti,%,Aulesti,78.5
2022,Forest area as a proportion of total area,,,Aulesti,%,Aulesti,79.1
2016,Forest area as a proportion of total area,,,Aulesti,%,Aulesti,79.2
2010,Forest area as a proportion of total area,,,Aulesti,%,Aulesti,80.5
2018,Forest area as a proportion of total area,,,Ayala/Aiara,%,Ayala/Aiara,53.7
2020,Forest area as a proportion of total area,,,Ayala/Aiara,%,Ayala/Aiara,53.5
2019,Forest area as a proportion of total area,,,Ayala/Aiara,%,Ayala/Aiara,53.5
2010,Forest area as a proportion of total area,,,Ayala/Aiara,%,Ayala/Aiara,52.9
2021,Forest area as a proportion of total area,,,Ayala/Aiara,%,Ayala/Aiara,53.5
2022,Forest area as a proportion of total area,,,Ayala/Aiara,%,Ayala/Aiara,53.9
2016,Forest area as a proportion of total area,,,Ayala/Aiara,%,Ayala/Aiara,53.7
2010,Forest area as a proportion of total area,,,Azkoitia,%,Azkoitia,66.7
2019,Forest area as a proportion of total area,,,Azkoitia,%,Azkoitia,66.5
2016,Forest area as a proportion of total area,,,Azkoitia,%,Azkoitia,68.8
2018,Forest area as a proportion of total area,,,Azkoitia,%,Azkoitia,66.4
2020,Forest area as a proportion of total area,,,Azkoitia,%,Azkoitia,66.6
2021,Forest area as a proportion of total area,,,Azkoitia,%,Azkoitia,66.6
2022,Forest area as a proportion of total area,,,Azkoitia,%,Azkoitia,66.7
2020,Forest area as a proportion of total area,,,Azpeitia,%,Azpeitia,62.5
2021,Forest area as a proportion of total area,,,Azpeitia,%,Azpeitia,62.7
2010,Forest area as a proportion of total area,,,Azpeitia,%,Azpeitia,64.4
2016,Forest area as a proportion of total area,,,Azpeitia,%,Azpeitia,64.0
2018,Forest area as a proportion of total area,,,Azpeitia,%,Azpeitia,62.0
2022,Forest area as a proportion of total area,,,Azpeitia,%,Azpeitia,62.7
2019,Forest area as a proportion of total area,,,Azpeitia,%,Azpeitia,62.3
2016,Forest area as a proportion of total area,,,Bakio,%,Bakio,67.0
2021,Forest area as a proportion of total area,,,Bakio,%,Bakio,67.0
2022,Forest area as a proportion of total area,,,Bakio,%,Bakio,67.0
2018,Forest area as a proportion of total area,,,Bakio,%,Bakio,66.9
2020,Forest area as a proportion of total area,,,Bakio,%,Bakio,67.0
2019,Forest area as a proportion of total area,,,Bakio,%,Bakio,66.9
2010,Forest area as a proportion of total area,,,Bakio,%,Bakio,64.3
2022,Forest area as a proportion of total area,,,Baliarrain,%,Baliarrain,52.6
2016,Forest area as a proportion of total area,,,Baliarrain,%,Baliarrain,54.9
2021,Forest area as a proportion of total area,,,Baliarrain,%,Baliarrain,52.4
