Year,Series,Sex,Age,Province,Units,Value
2014,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-64 years,Bizkaia,%,20.6
2022,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-64 years,Bizkaia,%,23.0
2013,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-64 years,Bizkaia,%,18.6
2019,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-64 years,Bizkaia,%,21.4
2021,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-64 years,Bizkaia,%,24.2
2023,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-64 years,Bizkaia,%,25.6
2010,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-64 years,Gipuzkoa,%,14.0
2015,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-64 years,Gipuzkoa,%,27.6
2014,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-64 years,Gipuzkoa,%,21.6
2023,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-64 years,Gipuzkoa,%,25.5
2016,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-64 years,Gipuzkoa,%,26.6
2019,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-64 years,Gipuzkoa,%,20.6
2020,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-64 years,Gipuzkoa,%,21.4
2022,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-64 years,Gipuzkoa,%,24.0
2024,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-64 years,Gipuzkoa,%,26.2
2021,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-64 years,Gipuzkoa,%,24.2
2018,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-64 years,Gipuzkoa,%,18.6
2012,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-64 years,Gipuzkoa,%,13.1
2017,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-64 years,Gipuzkoa,%,18.4
2013,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-64 years,Gipuzkoa,%,17.8
2011,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-64 years,Gipuzkoa,%,13.2
2011,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,25-64 years,,%,2.9
2023,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,25-64 years,,%,15.1
2014,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,25-64 years,,%,13.4
2018,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,25-64 years,,%,9.2
2017,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,25-64 years,,%,9.7
2024,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,25-64 years,,%,15.9
2021,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,25-64 years,,%,14.1
2022,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,25-64 years,,%,13.4
2012,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,25-64 years,,%,3.0
2015,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,25-64 years,,%,17.6
2013,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,25-64 years,,%,10.4
2010,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,25-64 years,,%,3.0
2020,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,25-64 years,,%,11.6
2016,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,25-64 years,,%,15.6
2019,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,25-64 years,,%,11.5
2020,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,25-64 years,Araba/Álava,%,11.4
2024,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,25-64 years,Araba/Álava,%,16.6
2021,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,25-64 years,Araba/Álava,%,14.3
2023,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,25-64 years,Araba/Álava,%,14.7
2017,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,25-64 years,Araba/Álava,%,11.5
2012,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,25-64 years,Araba/Álava,%,2.0
2014,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,25-64 years,Araba/Álava,%,16.9
2016,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,25-64 years,Araba/Álava,%,18.7
2010,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,25-64 years,Araba/Álava,%,2.2
2022,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,25-64 years,Araba/Álava,%,13.9
2013,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,25-64 years,Araba/Álava,%,12.5
2019,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,25-64 years,Araba/Álava,%,11.5
2011,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,25-64 years,Araba/Álava,%,2.2
2015,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,25-64 years,Araba/Álava,%,18.8
2018,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,25-64 years,Araba/Álava,%,11.4
2018,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,25-64 years,Bizkaia,%,9.1
2015,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,25-64 years,Bizkaia,%,16.2
2022,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,25-64 years,Bizkaia,%,13.4
2024,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,25-64 years,Bizkaia,%,16.0
2016,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,25-64 years,Bizkaia,%,13.2
2014,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,25-64 years,Bizkaia,%,12.6
2010,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,25-64 years,Bizkaia,%,2.1
2012,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,25-64 years,Bizkaia,%,2.9
2011,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,25-64 years,Bizkaia,%,2.0
2013,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,25-64 years,Bizkaia,%,10.5
2017,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,25-64 years,Bizkaia,%,9.7
2023,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,25-64 years,Bizkaia,%,15.6
2021,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,25-64 years,Bizkaia,%,14.4
2019,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,25-64 years,Bizkaia,%,12.2
2020,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,25-64 years,Bizkaia,%,12.3
2022,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,25-64 years,Gipuzkoa,%,13.1
2021,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,25-64 years,Gipuzkoa,%,13.6
2023,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,25-64 years,Gipuzkoa,%,14.5
2013,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,25-64 years,Gipuzkoa,%,9.2
2015,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,25-64 years,Gipuzkoa,%,19.5
2017,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,25-64 years,Gipuzkoa,%,8.9
2011,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,25-64 years,Gipuzkoa,%,4.7
2010,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,25-64 years,Gipuzkoa,%,5.0
2012,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,25-64 years,Gipuzkoa,%,3.7
2014,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,25-64 years,Gipuzkoa,%,13.0
2019,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,25-64 years,Gipuzkoa,%,10.3
2016,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,25-64 years,Gipuzkoa,%,18.1
2018,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,25-64 years,Gipuzkoa,%,8.3
2020,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,25-64 years,Gipuzkoa,%,10.7
2024,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,25-64 years,Gipuzkoa,%,15.5
2014,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-24 years,,%,78.5
2019,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-24 years,,%,81.2
2011,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-24 years,,%,72.3
2015,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-24 years,,%,81.0
2020,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-24 years,,%,79.8
2010,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-24 years,,%,70.8
2017,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-24 years,,%,78.7
2021,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-24 years,,%,79.4
2023,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-24 years,,%,78.0
2016,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-24 years,,%,81.0
2018,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-24 years,,%,79.7
2012,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-24 years,,%,75.2
2024,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-24 years,,%,78.3
2013,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-24 years,,%,74.9
2022,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-24 years,,%,76.3
2023,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-24 years,Araba/Álava,%,75.2
2011,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-24 years,Araba/Álava,%,64.3
2019,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-24 years,Araba/Álava,%,76.2
2017,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-24 years,Araba/Álava,%,74.5
2021,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-24 years,Araba/Álava,%,78.4
2022,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-24 years,Araba/Álava,%,74.4
2010,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-24 years,Araba/Álava,%,68.7
2018,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-24 years,Araba/Álava,%,75.8
2012,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-24 years,Araba/Álava,%,66.4
2015,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-24 years,Araba/Álava,%,77.4
2016,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-24 years,Araba/Álava,%,80.3
2013,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-24 years,Araba/Álava,%,75.8
2024,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-24 years,Araba/Álava,%,77.7
2014,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-24 years,Araba/Álava,%,82.3
2020,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-24 years,Araba/Álava,%,75.4
2017,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-24 years,Bizkaia,%,81.9
2023,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-24 years,Bizkaia,%,79.8
2015,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-24 years,Bizkaia,%,82.3
2011,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-24 years,Bizkaia,%,73.2
2021,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-24 years,Bizkaia,%,79.9
2019,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-24 years,Bizkaia,%,83.8
2020,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-24 years,Bizkaia,%,80.3
2022,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-24 years,Bizkaia,%,78.1
2018,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-24 years,Bizkaia,%,80.9
2024,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-24 years,Bizkaia,%,77.0
2016,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-24 years,Bizkaia,%,81.7
2010,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-24 years,Bizkaia,%,69.8
2012,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-24 years,Bizkaia,%,78.6
2013,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-24 years,Bizkaia,%,77.1
2014,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-24 years,Bizkaia,%,78.1
2022,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-24 years,Gipuzkoa,%,74.4
2021,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-24 years,Gipuzkoa,%,79.2
2019,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-24 years,Gipuzkoa,%,79.4
2012,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-24 years,Gipuzkoa,%,73.9
2023,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-24 years,Gipuzkoa,%,76.6
2024,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-24 years,Gipuzkoa,%,80.3
2016,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-24 years,Gipuzkoa,%,80.3
2011,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-24 years,Gipuzkoa,%,74.4
2018,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-24 years,Gipuzkoa,%,79.7
2017,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-24 years,Gipuzkoa,%,75.7
2010,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-24 years,Gipuzkoa,%,73.4
2015,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-24 years,Gipuzkoa,%,80.4
2014,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-24 years,Gipuzkoa,%,77.4
2013,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-24 years,Gipuzkoa,%,71.1
2020,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-24 years,Gipuzkoa,%,81.1
2011,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-64 years,,%,12.1
2018,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-64 years,,%,18.1
2010,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-64 years,,%,11.7
2019,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-64 years,,%,19.8
2022,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-64 years,,%,20.4
2023,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-64 years,,%,22.6
2020,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-64 years,,%,20.2
2017,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-64 years,,%,18.1
2014,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-64 years,,%,19.7
2021,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-64 years,,%,21.8
2024,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-64 years,,%,23.4
2016,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-64 years,,%,21.7
2012,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-64 years,,%,12.5
2015,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-64 years,,%,22.7
2013,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-64 years,,%,17.2
2023,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-64 years,Araba/Álava,%,22.2
2022,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-64 years,Araba/Álava,%,21.6
2021,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-64 years,Araba/Álava,%,22.2
2018,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-64 years,Araba/Álava,%,17.6
2013,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-64 years,Araba/Álava,%,18.0
2024,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-64 years,Araba/Álava,%,24.4
2014,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-64 years,Araba/Álava,%,23.1
2010,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-64 years,Araba/Álava,%,11.7
2011,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-64 years,Araba/Álava,%,10.4
2016,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-64 years,Araba/Álava,%,23.4
2015,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-64 years,Araba/Álava,%,22.5
2017,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-64 years,Araba/Álava,%,17.1
2019,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-64 years,Araba/Álava,%,19.0
2020,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-64 years,Araba/Álava,%,19.9
2012,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-64 years,Araba/Álava,%,10.5
2022,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-64 years,Bizkaia,%,20.4
2014,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-64 years,Bizkaia,%,18.9
2010,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-64 years,Bizkaia,%,10.6
2012,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-64 years,Bizkaia,%,12.5
2011,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-64 years,Bizkaia,%,11.6
2013,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-64 years,Bizkaia,%,16.9
2018,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-64 years,Bizkaia,%,18.3
2016,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-64 years,Bizkaia,%,20.9
2015,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-64 years,Bizkaia,%,22.0
2017,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-64 years,Bizkaia,%,18.9
2020,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-64 years,Bizkaia,%,20.5
2019,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-64 years,Bizkaia,%,20.1
2021,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-64 years,Bizkaia,%,21.8
2023,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-64 years,Bizkaia,%,23.0
2024,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-64 years,Bizkaia,%,22.8
2016,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-64 years,Gipuzkoa,%,22.2
2014,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-64 years,Gipuzkoa,%,19.5
2018,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-64 years,Gipuzkoa,%,18.1
2023,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-64 years,Gipuzkoa,%,22.1
2013,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-64 years,Gipuzkoa,%,17.1
2010,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-64 years,Gipuzkoa,%,13.4
2011,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-64 years,Gipuzkoa,%,13.7
2012,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-64 years,Gipuzkoa,%,13.4
2017,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-64 years,Gipuzkoa,%,17.2
2015,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-64 years,Gipuzkoa,%,24.1
2020,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-64 years,Gipuzkoa,%,19.7
2022,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-64 years,Gipuzkoa,%,19.8
2024,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-64 years,Gipuzkoa,%,23.8
2019,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-64 years,Gipuzkoa,%,19.6
2021,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,15-64 years,Gipuzkoa,%,21.6
2015,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,25-64 years,,%,13.9
2023,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,25-64 years,,%,11.8
2012,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,25-64 years,,%,3.1
2019,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,25-64 years,,%,9.6
2014,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,25-64 years,,%,11.0
2013,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,25-64 years,,%,8.8
2021,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,25-64 years,,%,11.3
2011,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,25-64 years,,%,3.1
2017,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,25-64 years,,%,8.4
2022,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,25-64 years,,%,10.0
2016,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,25-64 years,,%,12.5
2010,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,25-64 years,,%,2.5
2024,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,25-64 years,,%,12.3
2020,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,25-64 years,,%,9.5
2018,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,25-64 years,,%,7.8
2014,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,25-64 years,Araba/Álava,%,14.5
2020,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,25-64 years,Araba/Álava,%,10.0
2010,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,25-64 years,Araba/Álava,%,2.4
2024,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,25-64 years,Araba/Álava,%,14.3
2012,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,25-64 years,Araba/Álava,%,1.9
2016,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,25-64 years,Araba/Álava,%,14.9
2011,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,25-64 years,Araba/Álava,%,2.3
2013,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,25-64 years,Araba/Álava,%,9.8
2018,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,25-64 years,Araba/Álava,%,8.2
2015,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,25-64 years,Araba/Álava,%,14.6
2023,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,25-64 years,Araba/Álava,%,12.1
2017,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,25-64 years,Araba/Álava,%,8.4
2019,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,25-64 years,Araba/Álava,%,10.0
2022,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,25-64 years,Araba/Álava,%,12.3
2021,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,25-64 years,Araba/Álava,%,12.0
2018,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,25-64 years,Bizkaia,%,8.0
2014,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,25-64 years,Bizkaia,%,10.4
2012,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,25-64 years,Bizkaia,%,2.7
2011,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,25-64 years,Bizkaia,%,2.4
2013,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,25-64 years,Bizkaia,%,8.4
2016,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,25-64 years,Bizkaia,%,11.6
2015,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,25-64 years,Bizkaia,%,13.0
2022,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,25-64 years,Bizkaia,%,9.9
2017,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,25-64 years,Bizkaia,%,9.0
2020,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,25-64 years,Bizkaia,%,10.4
2019,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,25-64 years,Bizkaia,%,10.0
2021,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,25-64 years,Bizkaia,%,11.8
2024,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,25-64 years,Bizkaia,%,12.2
2023,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,25-64 years,Bizkaia,%,12.4
2010,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,25-64 years,Bizkaia,%,1.7
2017,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,25-64 years,Gipuzkoa,%,7.4
2013,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,25-64 years,Gipuzkoa,%,8.9
2011,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,25-64 years,Gipuzkoa,%,4.6
2010,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,25-64 years,Gipuzkoa,%,3.7
2012,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,25-64 years,Gipuzkoa,%,4.2
2015,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,25-64 years,Gipuzkoa,%,15.0
2014,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,25-64 years,Gipuzkoa,%,10.5
2021,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,25-64 years,Gipuzkoa,%,10.3
2016,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,25-64 years,Gipuzkoa,%,12.8
2019,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,25-64 years,Gipuzkoa,%,8.7
2018,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,25-64 years,Gipuzkoa,%,7.4
2020,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,25-64 years,Gipuzkoa,%,7.9
2023,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,25-64 years,Gipuzkoa,%,10.7
2022,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,25-64 years,Gipuzkoa,%,9.0
2024,Participation rate in formal and non-formal education and training in the last 4 weeks,Male,25-64 years,Gipuzkoa,%,11.4
