Year,Series,Alimento,Territorio,Units,Value
2016,AG_FPA_CFPI,ECOICOP_RUB_11,,IX,-0.7
2006,AG_FPA_CFPI,ECOICOP_RUB_11,,IX,0.1
2004,AG_FPA_CFPI,ECOICOP_RUB_11,,IX,0.2
2008,AG_FPA_CFPI,ECOICOP_RUB_11,,IX,0.8
2010,AG_FPA_CFPI,ECOICOP_RUB_11,,IX,-1.1
2003,AG_FPA_CFPI,ECOICOP_RUB_11,,IX,0.1
2007,AG_FPA_CFPI,ECOICOP_RUB_11,,IX,1.1
2014,AG_FPA_CFPI,ECOICOP_RUB_11,,IX,-0.2
2013,AG_FPA_CFPI,ECOICOP_RUB_11,,IX,-0.1
2020,AG_FPA_CFPI,ECOICOP_RUB_11,,IX,-0.2
2015,AG_FPA_CFPI,ECOICOP_RUB_11,,IX,-0.5
2022,AG_FPA_CFPI,ECOICOP_RUB_11,,IX,2.1
2012,AG_FPA_CFPI,ECOICOP_RUB_11,,IX,0.0
2011,AG_FPA_CFPI,ECOICOP_RUB_11,,IX,-0.3
2021,AG_FPA_CFPI,ECOICOP_RUB_11,,IX,-0.1
2017,AG_FPA_CFPI,ECOICOP_RUB_11,,IX,-0.4
2024,AG_FPA_CFPI,ECOICOP_RUB_11,,IX,-0.4
2009,AG_FPA_CFPI,ECOICOP_RUB_11,,IX,-0.9
2023,AG_FPA_CFPI,ECOICOP_RUB_11,,IX,1.3
2005,AG_FPA_CFPI,ECOICOP_RUB_11,,IX,0.0
2019,AG_FPA_CFPI,ECOICOP_RUB_11,,IX,-0.2
2018,AG_FPA_CFPI,ECOICOP_RUB_11,,IX,-0.4
2004,AG_FPA_CFPI,ECOICOP_RUB_13,,IX,0.4
2008,AG_FPA_CFPI,ECOICOP_RUB_13,,IX,-0.2
2010,AG_FPA_CFPI,ECOICOP_RUB_13,,IX,-0.6
2022,AG_FPA_CFPI,ECOICOP_RUB_13,,IX,1.4
2017,AG_FPA_CFPI,ECOICOP_RUB_13,,IX,-0.2
2013,AG_FPA_CFPI,ECOICOP_RUB_13,,IX,0.4
2023,AG_FPA_CFPI,ECOICOP_RUB_13,,IX,1.3
2007,AG_FPA_CFPI,ECOICOP_RUB_13,,IX,-1.1
2019,AG_FPA_CFPI,ECOICOP_RUB_13,,IX,-1.0
2020,AG_FPA_CFPI,ECOICOP_RUB_13,,IX,-0.6
2011,AG_FPA_CFPI,ECOICOP_RUB_13,,IX,-0.3
2016,AG_FPA_CFPI,ECOICOP_RUB_13,,IX,0.0
2024,AG_FPA_CFPI,ECOICOP_RUB_13,,IX,0.9
2018,AG_FPA_CFPI,ECOICOP_RUB_13,,IX,-0.6
2012,AG_FPA_CFPI,ECOICOP_RUB_13,,IX,0.2
2015,AG_FPA_CFPI,ECOICOP_RUB_13,,IX,0.8
2005,AG_FPA_CFPI,ECOICOP_RUB_13,,IX,0.2
2003,AG_FPA_CFPI,ECOICOP_RUB_13,,IX,-0.2
2009,AG_FPA_CFPI,ECOICOP_RUB_13,,IX,-0.8
2014,AG_FPA_CFPI,ECOICOP_RUB_13,,IX,-0.8
2006,AG_FPA_CFPI,ECOICOP_RUB_13,,IX,0.7
2021,AG_FPA_CFPI,ECOICOP_RUB_13,,IX,0.6
2012,AG_FPA_CFPI,ECOICOP_RUB_14,,IX,-0.1
2006,AG_FPA_CFPI,ECOICOP_RUB_14,,IX,-0.8
2010,AG_FPA_CFPI,ECOICOP_RUB_14,,IX,-0.7
2020,AG_FPA_CFPI,ECOICOP_RUB_14,,IX,0.7
2024,AG_FPA_CFPI,ECOICOP_RUB_14,,IX,0.1
2015,AG_FPA_CFPI,ECOICOP_RUB_14,,IX,-0.3
2003,AG_FPA_CFPI,ECOICOP_RUB_14,,IX,0.7
2021,AG_FPA_CFPI,ECOICOP_RUB_14,,IX,0.1
2013,AG_FPA_CFPI,ECOICOP_RUB_14,,IX,0.6
2009,AG_FPA_CFPI,ECOICOP_RUB_14,,IX,-0.4
2008,AG_FPA_CFPI,ECOICOP_RUB_14,,IX,0.6
2022,AG_FPA_CFPI,ECOICOP_RUB_14,,IX,0.7
2019,AG_FPA_CFPI,ECOICOP_RUB_14,,IX,-0.5
2011,AG_FPA_CFPI,ECOICOP_RUB_14,,IX,-0.4
2018,AG_FPA_CFPI,ECOICOP_RUB_14,,IX,0.0
2007,AG_FPA_CFPI,ECOICOP_RUB_14,,IX,-0.2
2005,AG_FPA_CFPI,ECOICOP_RUB_14,,IX,0.1
2016,AG_FPA_CFPI,ECOICOP_RUB_14,,IX,-0.2
2017,AG_FPA_CFPI,ECOICOP_RUB_14,,IX,0.4
2014,AG_FPA_CFPI,ECOICOP_RUB_14,,IX,-0.8
2004,AG_FPA_CFPI,ECOICOP_RUB_14,,IX,0.7
2023,AG_FPA_CFPI,ECOICOP_RUB_14,,IX,0.2
2019,AG_FPA_CFPI,ECOICOP_RUB_16,,IX,0.1
2011,AG_FPA_CFPI,ECOICOP_RUB_16,,IX,-0.7
2023,AG_FPA_CFPI,ECOICOP_RUB_16,,IX,0.8
2021,AG_FPA_CFPI,ECOICOP_RUB_16,,IX,-0.3
2005,AG_FPA_CFPI,ECOICOP_RUB_16,,IX,0.3
2009,AG_FPA_CFPI,ECOICOP_RUB_16,,IX,-0.1
2016,AG_FPA_CFPI,ECOICOP_RUB_16,,IX,-0.4
2020,AG_FPA_CFPI,ECOICOP_RUB_16,,IX,0.1
