Year,Series,Erakundea,Lurralde historikoa,Units,Value
2020,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Tokiko sektore publikoa,,Ratioa,1.11
2015,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Tokiko sektore publikoa,,Ratioa,1.01
2017,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Tokiko sektore publikoa,,Ratioa,1.07
2019,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Tokiko sektore publikoa,,Ratioa,1.09
2013,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Tokiko sektore publikoa,,Ratioa,1.01
2022,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Tokiko sektore publikoa,Araba / Álava,Ratioa,1.28
2020,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Tokiko sektore publikoa,Araba / Álava,Ratioa,1.27
2010,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Tokiko sektore publikoa,Araba / Álava,Ratioa,1.2
2015,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Tokiko sektore publikoa,Araba / Álava,Ratioa,1.22
2019,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Tokiko sektore publikoa,Araba / Álava,Ratioa,1.24
2016,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Tokiko sektore publikoa,Araba / Álava,Ratioa,1.24
2023,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Tokiko sektore publikoa,Araba / Álava,Ratioa,1.27
