Year,Series,Profesión,Sexo,Territorio histórico,Units,Value
2011,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,,Bizkaia,Por 10.000 habitantes,67.9
2012,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,,Bizkaia,Por 10.000 habitantes,68.4
2018,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,,Bizkaia,Por 10.000 habitantes,75.3
2023,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,,Bizkaia,Por 10.000 habitantes,81.2
2016,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,,Gipuzkoa,Por 10.000 habitantes,72.6
2014,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,,Gipuzkoa,Por 10.000 habitantes,71.3
2010,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,,Gipuzkoa,Por 10.000 habitantes,69.3
2019,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,,Gipuzkoa,Por 10.000 habitantes,73.7
2011,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,,Gipuzkoa,Por 10.000 habitantes,70.8
2023,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,,Gipuzkoa,Por 10.000 habitantes,103.2
2018,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,,Gipuzkoa,Por 10.000 habitantes,72.3
2022,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,,Gipuzkoa,Por 10.000 habitantes,76.4
2012,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,,Gipuzkoa,Por 10.000 habitantes,70.1
2017,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,,Gipuzkoa,Por 10.000 habitantes,72.3
2013,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,,Gipuzkoa,Por 10.000 habitantes,70.0
2015,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,,Gipuzkoa,Por 10.000 habitantes,72.0
2020,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,,Gipuzkoa,Por 10.000 habitantes,75.0
