Year,Series,Profesión,Sexo,Territorio histórico,Units,Value
2014,Densidad y distribución del personal sanitario,Médico/a,Hombre,Gipuzkoa,Por 10.000 habitantes,53.9
2023,Densidad y distribución del personal sanitario,Médico/a,Hombre,Gipuzkoa,Por 10.000 habitantes,55.2
2010,Densidad y distribución del personal sanitario,Médico/a,Hombre,Gipuzkoa,Por 10.000 habitantes,53.1
2012,Densidad y distribución del personal sanitario,Médico/a,Hombre,Gipuzkoa,Por 10.000 habitantes,53.5
2022,Densidad y distribución del personal sanitario,Médico/a,Hombre,Gipuzkoa,Por 10.000 habitantes,55.6
2021,Densidad y distribución del personal sanitario,Médico/a,Hombre,Gipuzkoa,Por 10.000 habitantes,54.9
2013,Densidad y distribución del personal sanitario,Médico/a,Hombre,Gipuzkoa,Por 10.000 habitantes,53.4
2015,Densidad y distribución del personal sanitario,Médico/a,Hombre,Gipuzkoa,Por 10.000 habitantes,53.5
2017,Densidad y distribución del personal sanitario,Médico/a,Hombre,Gipuzkoa,Por 10.000 habitantes,53.6
2013,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,,,Por 10.000 habitantes,70.5
2019,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,,,Por 10.000 habitantes,76.9
2018,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,,,Por 10.000 habitantes,76.1
2016,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,,,Por 10.000 habitantes,74.7
2015,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,,,Por 10.000 habitantes,73.5
2020,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,,,Por 10.000 habitantes,78.4
2022,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,,,Por 10.000 habitantes,80.0
2021,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,,,Por 10.000 habitantes,79.1
2010,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,,,Por 10.000 habitantes,68.1
2014,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,,,Por 10.000 habitantes,72.1
2017,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,,,Por 10.000 habitantes,75.3
2023,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,,,Por 10.000 habitantes,89.6
2012,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,,,Por 10.000 habitantes,70.3
2011,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,,,Por 10.000 habitantes,70.2
2022,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,,Araba/Álava,Por 10.000 habitantes,89.0
2023,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,,Araba/Álava,Por 10.000 habitantes,89.5
2016,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,,Araba/Álava,Por 10.000 habitantes,84.2
2012,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,,Araba/Álava,Por 10.000 habitantes,77.6
2010,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,,Araba/Álava,Por 10.000 habitantes,75.4
2019,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,,Araba/Álava,Por 10.000 habitantes,86.4
2018,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,,Araba/Álava,Por 10.000 habitantes,87.4
2014,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,,Araba/Álava,Por 10.000 habitantes,81.1
2020,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,,Araba/Álava,Por 10.000 habitantes,87.5
2011,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,,Araba/Álava,Por 10.000 habitantes,77.2
2021,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,,Araba/Álava,Por 10.000 habitantes,88.6
2013,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,,Araba/Álava,Por 10.000 habitantes,78.4
2015,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,,Araba/Álava,Por 10.000 habitantes,82.7
2017,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,,Araba/Álava,Por 10.000 habitantes,86.0
2017,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,,Bizkaia,Por 10.000 habitantes,74.2
2021,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,,Bizkaia,Por 10.000 habitantes,78.7
2010,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,,Bizkaia,Por 10.000 habitantes,65.4
2015,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,,Bizkaia,Por 10.000 habitantes,71.9
2022,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,,Bizkaia,Por 10.000 habitantes,79.6
2019,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,,Bizkaia,Por 10.000 habitantes,76.2
2013,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,,Bizkaia,Por 10.000 habitantes,68.6
2014,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,,Bizkaia,Por 10.000 habitantes,70.1
2020,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,,Bizkaia,Por 10.000 habitantes,77.9
2016,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,,Bizkaia,Por 10.000 habitantes,73.3
