Year,Sexo,Edad,Residencia,Personas sin y con discapacidad,Territorio histórico,Comarca,Municipio,Units,GeoCode,Value
2019,,16 años y más,,,,,Irura,%,Irura,8.3
2021,,16 años y más,,,,,Irura,%,Irura,7.5
2020,,16 años y más,,,,,Irura,%,Irura,5.5
2016,,16 años y más,,,,,Irura,%,Irura,10.3
2020,,16 años y más,,,,,Iruraiz-Gauna,%,Iruraiz-Gauna,5.4
2019,,16 años y más,,,,,Iruraiz-Gauna,%,Iruraiz-Gauna,3.6
2016,,16 años y más,,,,,Iruraiz-Gauna,%,Iruraiz-Gauna,5.7
2015,,16 años y más,,,,,Iruraiz-Gauna,%,Iruraiz-Gauna,11.0
2010,,16 años y más,,,,,Iruraiz-Gauna,%,Iruraiz-Gauna,5.3
2021,,16 años y más,,,,,Iruraiz-Gauna,%,Iruraiz-Gauna,5.9
2018,,16 años y más,,,,,Iruraiz-Gauna,%,Iruraiz-Gauna,5.3
2021,,16 años y más,,,,,Ispaster,%,Ispaster,10.2
2016,,16 años y más,,,,,Ispaster,%,Ispaster,7.4
2015,,16 años y más,,,,,Ispaster,%,Ispaster,9.9
2018,,16 años y más,,,,,Ispaster,%,Ispaster,7.9
2010,,16 años y más,,,,,Ispaster,%,Ispaster,6.8
2019,,16 años y más,,,,,Ispaster,%,Ispaster,9.3
2020,,16 años y más,,,,,Ispaster,%,Ispaster,7.5
2020,,16 años y más,,,,,Itsasondo,%,Itsasondo,7.6
2018,,16 años y más,,,,,Itsasondo,%,Itsasondo,10.0
2021,,16 años y más,,,,,Itsasondo,%,Itsasondo,10.8
2010,,16 años y más,,,,,Itsasondo,%,Itsasondo,9.4
2019,,16 años y más,,,,,Itsasondo,%,Itsasondo,9.8
2015,,16 años y más,,,,,Itsasondo,%,Itsasondo,15.3
2016,,16 años y más,,,,,Itsasondo,%,Itsasondo,12.0
2021,,16 años y más,,,,,Iurreta,%,Iurreta,12.3
2020,,16 años y más,,,,,Iurreta,%,Iurreta,10.7
2016,,16 años y más,,,,,Iurreta,%,Iurreta,16.1
2019,,16 años y más,,,,,Iurreta,%,Iurreta,10.7
2018,,16 años y más,,,,,Iurreta,%,Iurreta,12.3
2015,,16 años y más,,,,,Iurreta,%,Iurreta,17.4
2010,,16 años y más,,,,,Iurreta,%,Iurreta,10.1
2018,,16 años y más,,,,,Izurtza,%,Izurtza,7.3
2016,,16 años y más,,,,,Izurtza,%,Izurtza,16.2
2010,,16 años y más,,,,,Izurtza,%,Izurtza,8.0
2020,,16 años y más,,,,,Izurtza,%,Izurtza,10.2
2021,,16 años y más,,,,,Izurtza,%,Izurtza,2.6
2015,,16 años y más,,,,,Izurtza,%,Izurtza,15.4
2019,,16 años y más,,,,,Izurtza,%,Izurtza,8.0
2016,,16 años y más,,,,,Karrantza Harana/Valle de Carranza,%,Karrantza Harana/Valle de Carranza,23.2
2020,,16 años y más,,,,,Karrantza Harana/Valle de Carranza,%,Karrantza Harana/Valle de Carranza,14.4
2015,,16 años y más,,,,,Karrantza Harana/Valle de Carranza,%,Karrantza Harana/Valle de Carranza,20.2
2019,,16 años y más,,,,,Karrantza Harana/Valle de Carranza,%,Karrantza Harana/Valle de Carranza,17.3
2010,,16 años y más,,,,,Karrantza Harana/Valle de Carranza,%,Karrantza Harana/Valle de Carranza,11.1
2018,,16 años y más,,,,,Karrantza Harana/Valle de Carranza,%,Karrantza Harana/Valle de Carranza,21.0
2021,,16 años y más,,,,,Karrantza Harana/Valle de Carranza,%,Karrantza Harana/Valle de Carranza,15.3
2015,,16 años y más,,,,,Kortezubi,%,Kortezubi,11.1
2019,,16 años y más,,,,,Kortezubi,%,Kortezubi,5.1
2016,,16 años y más,,,,,Kortezubi,%,Kortezubi,7.2
2010,,16 años y más,,,,,Kortezubi,%,Kortezubi,3.7
2018,,16 años y más,,,,,Kortezubi,%,Kortezubi,4.6
2020,,16 años y más,,,,,Kortezubi,%,Kortezubi,4.6
2021,,16 años y más,,,,,Kortezubi,%,Kortezubi,4.5
2018,,16 años y más,,,,,Kripan,%,Kripan,6.4
2016,,16 años y más,,,,,Kripan,%,Kripan,7.9
2010,,16 años y más,,,,,Kripan,%,Kripan,3.9
2015,,16 años y más,,,,,Kripan,%,Kripan,9.9
2019,,16 años y más,,,,,Kripan,%,Kripan,3.8
2021,,16 años y más,,,,,Kripan,%,Kripan,14.3
2020,,16 años y más,,,,,Kripan,%,Kripan,4.9
2015,,16 años y más,,,,,Kuartango,%,Kuartango,10.5
2010,,16 años y más,,,,,Kuartango,%,Kuartango,5.5
2019,,16 años y más,,,,,Kuartango,%,Kuartango,9.4
2016,,16 años y más,,,,,Kuartango,%,Kuartango,7.7
2018,,16 años y más,,,,,Kuartango,%,Kuartango,10.1
2021,,16 años y más,,,,,Kuartango,%,Kuartango,8.8
2020,,16 años y más,,,,,Kuartango,%,Kuartango,8.1
2010,,16 años y más,,,,,Labastida/Bastida,%,Labastida/Bastida,12.8
2020,,16 años y más,,,,,Labastida/Bastida,%,Labastida/Bastida,14.0
2016,,16 años y más,,,,,Labastida/Bastida,%,Labastida/Bastida,17.7
2019,,16 años y más,,,,,Labastida/Bastida,%,Labastida/Bastida,15.3
2021,,16 años y más,,,,,Labastida/Bastida,%,Labastida/Bastida,15.9
2018,,16 años y más,,,,,Labastida/Bastida,%,Labastida/Bastida,15.3
2015,,16 años y más,,,,,Labastida/Bastida,%,Labastida/Bastida,19.7
2019,,16 años y más,,,,,Lagrán,%,Lagrán,7.6
2021,,16 años y más,,,,,Lagrán,%,Lagrán,14.8
2010,,16 años y más,,,,,Lagrán,%,Lagrán,12.2
2020,,16 años y más,,,,,Lagrán,%,Lagrán,6.9
2018,,16 años y más,,,,,Lagrán,%,Lagrán,13.2
2015,,16 años y más,,,,,Lagrán,%,Lagrán,11.4
2016,,16 años y más,,,,,Lagrán,%,Lagrán,17.1
2021,,16 años y más,,,,,Laguardia,%,Laguardia,10.7
2015,,16 años y más,,,,,Laguardia,%,Laguardia,14.7
2019,,16 años y más,,,,,Laguardia,%,Laguardia,8.3
2018,,16 años y más,,,,,Laguardia,%,Laguardia,8.6
2016,,16 años y más,,,,,Laguardia,%,Laguardia,12.5
2020,,16 años y más,,,,,Laguardia,%,Laguardia,8.1
2010,,16 años y más,,,,,Laguardia,%,Laguardia,9.4
2016,,16 años y más,,,,,Lanciego/Lantziego,%,Lanciego/Lantziego,16.2
2020,,16 años y más,,,,,Lanciego/Lantziego,%,Lanciego/Lantziego,14.2
2019,,16 años y más,,,,,Lanciego/Lantziego,%,Lanciego/Lantziego,12.0
2018,,16 años y más,,,,,Lanciego/Lantziego,%,Lanciego/Lantziego,15.7
2021,,16 años y más,,,,,Lanciego/Lantziego,%,Lanciego/Lantziego,10.6
2015,,16 años y más,,,,,Lanciego/Lantziego,%,Lanciego/Lantziego,17.9
2010,,16 años y más,,,,,Lanciego/Lantziego,%,Lanciego/Lantziego,10.1
2021,,16 años y más,,,,,Lanestosa,%,Lanestosa,14.8
2015,,16 años y más,,,,,Lanestosa,%,Lanestosa,22.8
2010,,16 años y más,,,,,Lanestosa,%,Lanestosa,12.6
2020,,16 años y más,,,,,Lanestosa,%,Lanestosa,10.8
2019,,16 años y más,,,,,Lanestosa,%,Lanestosa,15.5
2016,,16 años y más,,,,,Lanestosa,%,Lanestosa,26.4
2018,,16 años y más,,,,,Lanestosa,%,Lanestosa,21.2
2015,,16 años y más,,,,,Lantarón,%,Lantarón,19.5
2010,,16 años y más,,,,,Lantarón,%,Lantarón,13.6
2021,,16 años y más,,,,,Lantarón,%,Lantarón,10.9
2018,,16 años y más,,,,,Lantarón,%,Lantarón,10.7
2019,,16 años y más,,,,,Lantarón,%,Lantarón,7.6
2020,,16 años y más,,,,,Lantarón,%,Lantarón,10.9
2016,,16 años y más,,,,,Lantarón,%,Lantarón,18.5
2020,,16 años y más,,,,,Lapuebla de Labarca,%,Lapuebla de Labarca,10.8
2010,,16 años y más,,,,,Lapuebla de Labarca,%,Lapuebla de Labarca,13.9
2015,,16 años y más,,,,,Lapuebla de Labarca,%,Lapuebla de Labarca,19.0
2016,,16 años y más,,,,,Lapuebla de Labarca,%,Lapuebla de Labarca,13.2
2018,,16 años y más,,,,,Lapuebla de Labarca,%,Lapuebla de Labarca,11.7
2019,,16 años y más,,,,,Lapuebla de Labarca,%,Lapuebla de Labarca,13.0
2021,,16 años y más,,,,,Lapuebla de Labarca,%,Lapuebla de Labarca,13.2
2010,,16 años y más,,,,,Larrabetzu,%,Larrabetzu,6.0
2020,,16 años y más,,,,,Larrabetzu,%,Larrabetzu,6.1
2015,,16 años y más,,,,,Larrabetzu,%,Larrabetzu,11.3
2016,,16 años y más,,,,,Larrabetzu,%,Larrabetzu,9.8
2019,,16 años y más,,,,,Larrabetzu,%,Larrabetzu,5.9
2021,,16 años y más,,,,,Larrabetzu,%,Larrabetzu,8.2
2018,,16 años y más,,,,,Larrabetzu,%,Larrabetzu,7.4
2015,,16 años y más,,,,,Larraul,%,Larraul,13.8
2010,,16 años y más,,,,,Larraul,%,Larraul,4.4
2021,,16 años y más,,,,,Larraul,%,Larraul,4.5
2018,,16 años y más,,,,,Larraul,%,Larraul,8.1
2019,,16 años y más,,,,,Larraul,%,Larraul,7.8
2016,,16 años y más,,,,,Larraul,%,Larraul,9.4
2020,,16 años y más,,,,,Larraul,%,Larraul,6.5
2018,,16 años y más,,,,,Lasarte-Oria,%,Lasarte-Oria,9.8
2021,,16 años y más,,,,,Lasarte-Oria,%,Lasarte-Oria,9.3
2020,,16 años y más,,,,,Lasarte-Oria,%,Lasarte-Oria,8.2
2015,,16 años y más,,,,,Lasarte-Oria,%,Lasarte-Oria,15.3
2016,,16 años y más,,,,,Lasarte-Oria,%,Lasarte-Oria,14.1
2019,,16 años y más,,,,,Lasarte-Oria,%,Lasarte-Oria,8.4
2010,,16 años y más,,,,,Lasarte-Oria,%,Lasarte-Oria,9.6
2019,,16 años y más,,,,,Laudio/Llodio,%,Laudio/Llodio,12.1
2020,,16 años y más,,,,,Laudio/Llodio,%,Laudio/Llodio,11.0
2021,,16 años y más,,,,,Laudio/Llodio,%,Laudio/Llodio,12.9
2015,,16 años y más,,,,,Laudio/Llodio,%,Laudio/Llodio,17.1
2010,,16 años y más,,,,,Laudio/Llodio,%,Laudio/Llodio,8.9
2016,,16 años y más,,,,,Laudio/Llodio,%,Laudio/Llodio,16.1
2018,,16 años y más,,,,,Laudio/Llodio,%,Laudio/Llodio,12.9
2016,,16 años y más,,,,,Laukiz,%,Laukiz,10.4
2018,,16 años y más,,,,,Laukiz,%,Laukiz,8.9
2021,,16 años y más,,,,,Laukiz,%,Laukiz,8.9
2010,,16 años y más,,,,,Laukiz,%,Laukiz,7.6
2020,,16 años y más,,,,,Laukiz,%,Laukiz,8.0
2019,,16 años y más,,,,,Laukiz,%,Laukiz,7.5
2015,,16 años y más,,,,,Laukiz,%,Laukiz,12.0
2020,,16 años y más,,,,,Lazkao,%,Lazkao,7.0
2019,,16 años y más,,,,,Lazkao,%,Lazkao,6.5
2015,,16 años y más,,,,,Lazkao,%,Lazkao,11.7
2018,,16 años y más,,,,,Lazkao,%,Lazkao,7.5
2021,,16 años y más,,,,,Lazkao,%,Lazkao,7.5
2010,,16 años y más,,,,,Lazkao,%,Lazkao,8.4
2016,,16 años y más,,,,,Lazkao,%,Lazkao,9.7
2020,,16 años y más,,,,,Leaburu,%,Leaburu,9.8
2015,,16 años y más,,,,,Leaburu,%,Leaburu,11.0
2016,,16 años y más,,,,,Leaburu,%,Leaburu,14.2
2021,,16 años y más,,,,,Leaburu,%,Leaburu,8.1
2019,,16 años y más,,,,,Leaburu,%,Leaburu,9.5
2010,,16 años y más,,,,,Leaburu,%,Leaburu,7.7
2018,,16 años y más,,,,,Leaburu,%,Leaburu,11.9
2015,,16 años y más,,,,,Legazpi,%,Legazpi,11.9
2020,,16 años y más,,,,,Legazpi,%,Legazpi,7.5
2021,,16 años y más,,,,,Legazpi,%,Legazpi,8.1
2016,,16 años y más,,,,,Legazpi,%,Legazpi,10.5
2019,,16 años y más,,,,,Legazpi,%,Legazpi,7.2
2018,,16 años y más,,,,,Legazpi,%,Legazpi,8.4
2010,,16 años y más,,,,,Legazpi,%,Legazpi,8.3
2019,,16 años y más,,,,,Legorreta,%,Legorreta,8.7
2010,,16 años y más,,,,,Legorreta,%,Legorreta,11.1
2018,,16 años y más,,,,,Legorreta,%,Legorreta,10.5
2016,,16 años y más,,,,,Legorreta,%,Legorreta,11.9
2020,,16 años y más,,,,,Legorreta,%,Legorreta,7.1
2021,,16 años y más,,,,,Legorreta,%,Legorreta,8.4
2015,,16 años y más,,,,,Legorreta,%,Legorreta,15.1
2021,,16 años y más,,,,,Legutio,%,Legutio,12.7
2020,,16 años y más,,,,,Legutio,%,Legutio,9.3
2016,,16 años y más,,,,,Legutio,%,Legutio,13.3
2015,,16 años y más,,,,,Legutio,%,Legutio,13.0
2018,,16 años y más,,,,,Legutio,%,Legutio,8.2
2019,,16 años y más,,,,,Legutio,%,Legutio,10.5
2010,,16 años y más,,,,,Legutio,%,Legutio,7.6
2019,,16 años y más,,,,,Leintz-Gatzaga,%,Leintz-Gatzaga,3.1
2020,,16 años y más,,,,,Leintz-Gatzaga,%,Leintz-Gatzaga,2.5
2018,,16 años y más,,,,,Leintz-Gatzaga,%,Leintz-Gatzaga,6.4
2010,,16 años y más,,,,,Leintz-Gatzaga,%,Leintz-Gatzaga,7.4
2015,,16 años y más,,,,,Leintz-Gatzaga,%,Leintz-Gatzaga,12.3
2021,,16 años y más,,,,,Leintz-Gatzaga,%,Leintz-Gatzaga,5.5
2016,,16 años y más,,,,,Leintz-Gatzaga,%,Leintz-Gatzaga,9.2
2010,,16 años y más,,,,,Leioa,%,Leioa,10.0
2018,,16 años y más,,,,,Leioa,%,Leioa,10.7
2020,,16 años y más,,,,,Leioa,%,Leioa,9.4
2016,,16 años y más,,,,,Leioa,%,Leioa,14.3
2019,,16 años y más,,,,,Leioa,%,Leioa,9.5
2021,,16 años y más,,,,,Leioa,%,Leioa,10.4
2015,,16 años y más,,,,,Leioa,%,Leioa,15.1
2016,,16 años y más,,,,,Lekeitio,%,Lekeitio,14.7
2020,,16 años y más,,,,,Lekeitio,%,Lekeitio,10.4
2015,,16 años y más,,,,,Lekeitio,%,Lekeitio,16.1
2010,,16 años y más,,,,,Lekeitio,%,Lekeitio,10.3
2019,,16 años y más,,,,,Lekeitio,%,Lekeitio,10.9
2021,,16 años y más,,,,,Lekeitio,%,Lekeitio,10.3
2018,,16 años y más,,,,,Lekeitio,%,Lekeitio,11.4
2015,,16 años y más,,,,,Lemoa,%,Lemoa,16.2
2016,,16 años y más,,,,,Lemoa,%,Lemoa,14.9
2019,,16 años y más,,,,,Lemoa,%,Lemoa,11.1
2010,,16 años y más,,,,,Lemoa,%,Lemoa,9.4
2020,,16 años y más,,,,,Lemoa,%,Lemoa,10.3
2021,,16 años y más,,,,,Lemoa,%,Lemoa,10.5
2018,,16 años y más,,,,,Lemoa,%,Lemoa,11.9
2020,,16 años y más,,,,,Lemoiz,%,Lemoiz,7.3
2019,,16 años y más,,,,,Lemoiz,%,Lemoiz,7.5
2010,,16 años y más,,,,,Lemoiz,%,Lemoiz,7.0
2018,,16 años y más,,,,,Lemoiz,%,Lemoiz,8.3
2021,,16 años y más,,,,,Lemoiz,%,Lemoiz,11.3
2016,,16 años y más,,,,,Lemoiz,%,Lemoiz,13.2
2015,,16 años y más,,,,,Lemoiz,%,Lemoiz,12.9
2016,,16 años y más,,,,,Leza,%,Leza,10.4
2018,,16 años y más,,,,,Leza,%,Leza,6.6
2019,,16 años y más,,,,,Leza,%,Leza,7.3
2020,,16 años y más,,,,,Leza,%,Leza,6.3
2021,,16 años y más,,,,,Leza,%,Leza,8.2
2010,,16 años y más,,,,,Leza,%,Leza,9.2
2015,,16 años y más,,,,,Leza,%,Leza,12.5
2020,,16 años y más,,,,,Lezama,%,Lezama,7.5
2016,,16 años y más,,,,,Lezama,%,Lezama,10.1
2021,,16 años y más,,,,,Lezama,%,Lezama,8.7
2015,,16 años y más,,,,,Lezama,%,Lezama,11.9
2018,,16 años y más,,,,,Lezama,%,Lezama,7.9
2019,,16 años y más,,,,,Lezama,%,Lezama,7.8
2010,,16 años y más,,,,,Lezama,%,Lezama,6.3
2018,,16 años y más,,,,,Lezo,%,Lezo,8.5
2010,,16 años y más,,,,,Lezo,%,Lezo,8.2
2016,,16 años y más,,,,,Lezo,%,Lezo,12.3
2020,,16 años y más,,,,,Lezo,%,Lezo,8.7
2019,,16 años y más,,,,,Lezo,%,Lezo,8.6
2021,,16 años y más,,,,,Lezo,%,Lezo,9.0
2015,,16 años y más,,,,,Lezo,%,Lezo,13.7
2010,,16 años y más,,,,,Lizartza,%,Lizartza,9.6
2019,,16 años y más,,,,,Lizartza,%,Lizartza,11.4
2018,,16 años y más,,,,,Lizartza,%,Lizartza,12.9
2015,,16 años y más,,,,,Lizartza,%,Lizartza,16.5
2020,,16 años y más,,,,,Lizartza,%,Lizartza,7.3
2021,,16 años y más,,,,,Lizartza,%,Lizartza,8.4
2016,,16 años y más,,,,,Lizartza,%,Lizartza,10.5
2010,,16 años y más,,,,,Loiu,%,Loiu,8.8
2020,,16 años y más,,,,,Loiu,%,Loiu,7.2
2015,,16 años y más,,,,,Loiu,%,Loiu,12.4
2021,,16 años y más,,,,,Loiu,%,Loiu,8.0
2018,,16 años y más,,,,,Loiu,%,Loiu,9.0
2019,,16 años y más,,,,,Loiu,%,Loiu,7.8
2016,,16 años y más,,,,,Loiu,%,Loiu,10.4
2019,,16 años y más,,,,,Mallabia,%,Mallabia,7.4
2010,,16 años y más,,,,,Mallabia,%,Mallabia,7.6
2020,,16 años y más,,,,,Mallabia,%,Mallabia,7.0
2018,,16 años y más,,,,,Mallabia,%,Mallabia,7.8
2015,,16 años y más,,,,,Mallabia,%,Mallabia,11.7
2021,,16 años y más,,,,,Mallabia,%,Mallabia,9.7
2016,,16 años y más,,,,,Mallabia,%,Mallabia,10.2
2021,,16 años y más,,,,,Mañaria,%,Mañaria,10.7
2019,,16 años y más,,,,,Mañaria,%,Mañaria,6.1
2015,,16 años y más,,,,,Mañaria,%,Mañaria,14.7
2018,,16 años y más,,,,,Mañaria,%,Mañaria,11.9
2010,,16 años y más,,,,,Mañaria,%,Mañaria,9.7
2020,,16 años y más,,,,,Mañaria,%,Mañaria,6.8
2016,,16 años y más,,,,,Mañaria,%,Mañaria,12.1
2021,,16 años y más,,,,,Markina-Xemein,%,Markina-Xemein,8.8
2020,,16 años y más,,,,,Markina-Xemein,%,Markina-Xemein,8.2
2019,,16 años y más,,,,,Markina-Xemein,%,Markina-Xemein,7.8
2010,,16 años y más,,,,,Markina-Xemein,%,Markina-Xemein,10.8
2018,,16 años y más,,,,,Markina-Xemein,%,Markina-Xemein,6.9
2015,,16 años y más,,,,,Markina-Xemein,%,Markina-Xemein,14.9
2016,,16 años y más,,,,,Markina-Xemein,%,Markina-Xemein,12.6
2015,,16 años y más,,,,,Maruri-Jatabe,%,Maruri-Jatabe,11.7
2021,,16 años y más,,,,,Maruri-Jatabe,%,Maruri-Jatabe,8.4
2016,,16 años y más,,,,,Maruri-Jatabe,%,Maruri-Jatabe,9.1
2010,,16 años y más,,,,,Maruri-Jatabe,%,Maruri-Jatabe,8.0
2019,,16 años y más,,,,,Maruri-Jatabe,%,Maruri-Jatabe,7.4
2020,,16 años y más,,,,,Maruri-Jatabe,%,Maruri-Jatabe,4.9
2018,,16 años y más,,,,,Maruri-Jatabe,%,Maruri-Jatabe,7.6
2019,,16 años y más,,,,,Mendaro,%,Mendaro,7.8
2018,,16 años y más,,,,,Mendaro,%,Mendaro,8.8
2021,,16 años y más,,,,,Mendaro,%,Mendaro,8.0
2016,,16 años y más,,,,,Mendaro,%,Mendaro,12.1
2015,,16 años y más,,,,,Mendaro,%,Mendaro,12.8
2020,,16 años y más,,,,,Mendaro,%,Mendaro,8.3
2010,,16 años y más,,,,,Mendaro,%,Mendaro,6.9
2016,,16 años y más,,,,,Mendata,%,Mendata,8.9
2018,,16 años y más,,,,,Mendata,%,Mendata,5.2
2021,,16 años y más,,,,,Mendata,%,Mendata,7.8
2010,,16 años y más,,,,,Mendata,%,Mendata,6.9
2020,,16 años y más,,,,,Mendata,%,Mendata,5.9
2019,,16 años y más,,,,,Mendata,%,Mendata,5.8
2015,,16 años y más,,,,,Mendata,%,Mendata,5.3
2020,,16 años y más,,,,,Mendexa,%,Mendexa,7.4
2010,,16 años y más,,,,,Mendexa,%,Mendexa,8.0
2018,,16 años y más,,,,,Mendexa,%,Mendexa,6.2
2019,,16 años y más,,,,,Mendexa,%,Mendexa,9.1
2015,,16 años y más,,,,,Mendexa,%,Mendexa,11.0
2016,,16 años y más,,,,,Mendexa,%,Mendexa,12.1
2021,,16 años y más,,,,,Mendexa,%,Mendexa,8.9
2016,,16 años y más,,,,,Meñaka,%,Meñaka,8.7
2015,,16 años y más,,,,,Meñaka,%,Meñaka,11.3
2021,,16 años y más,,,,,Meñaka,%,Meñaka,6.6
2019,,16 años y más,,,,,Meñaka,%,Meñaka,5.7
2010,,16 años y más,,,,,Meñaka,%,Meñaka,5.8
2020,,16 años y más,,,,,Meñaka,%,Meñaka,5.0
2018,,16 años y más,,,,,Meñaka,%,Meñaka,6.3
2010,,16 años y más,,,,,Moreda de Álava/Moreda Araba,%,Moreda de Álava/Moreda Araba,18.0
2019,,16 años y más,,,,,Moreda de Álava/Moreda Araba,%,Moreda de Álava/Moreda Araba,11.2
2020,,16 años y más,,,,,Moreda de Álava/Moreda Araba,%,Moreda de Álava/Moreda Araba,9.4
2016,,16 años y más,,,,,Moreda de Álava/Moreda Araba,%,Moreda de Álava/Moreda Araba,20.2
2015,,16 años y más,,,,,Moreda de Álava/Moreda Araba,%,Moreda de Álava/Moreda Araba,24.0
2021,,16 años y más,,,,,Moreda de Álava/Moreda Araba,%,Moreda de Álava/Moreda Araba,11.5
2018,,16 años y más,,,,,Moreda de Álava/Moreda Araba,%,Moreda de Álava/Moreda Araba,16.5
2020,,16 años y más,,,,,Morga,%,Morga,8.2
2015,,16 años y más,,,,,Morga,%,Morga,9.8
2016,,16 años y más,,,,,Morga,%,Morga,9.2
2021,,16 años y más,,,,,Morga,%,Morga,9.2
2010,,16 años y más,,,,,Morga,%,Morga,8.2
2019,,16 años y más,,,,,Morga,%,Morga,8.2
2018,,16 años y más,,,,,Morga,%,Morga,14.8
2015,,16 años y más,,,,,Mundaka,%,Mundaka,16.2
2018,,16 años y más,,,,,Mundaka,%,Mundaka,10.0
2016,,16 años y más,,,,,Mundaka,%,Mundaka,13.3
2019,,16 años y más,,,,,Mundaka,%,Mundaka,8.7
2020,,16 años y más,,,,,Mundaka,%,Mundaka,8.3
2021,,16 años y más,,,,,Mundaka,%,Mundaka,9.0
2010,,16 años y más,,,,,Mundaka,%,Mundaka,9.4
2016,,16 años y más,,,,,Mungia,%,Mungia,14.1
2020,,16 años y más,,,,,Mungia,%,Mungia,8.9
2015,,16 años y más,,,,,Mungia,%,Mungia,14.8
2010,,16 años y más,,,,,Mungia,%,Mungia,9.3
2018,,16 años y más,,,,,Mungia,%,Mungia,10.3
2019,,16 años y más,,,,,Mungia,%,Mungia,9.5
2021,,16 años y más,,,,,Mungia,%,Mungia,10.1
2019,,16 años y más,,,,,Munitibar-Arbatzegi Gerrikaitz,%,Munitibar-Arbatzegi Gerrikaitz,7.5
2010,,16 años y más,,,,,Munitibar-Arbatzegi Gerrikaitz,%,Munitibar-Arbatzegi Gerrikaitz,4.9
2016,,16 años y más,,,,,Munitibar-Arbatzegi Gerrikaitz,%,Munitibar-Arbatzegi Gerrikaitz,11.2
2020,,16 años y más,,,,,Munitibar-Arbatzegi Gerrikaitz,%,Munitibar-Arbatzegi Gerrikaitz,8.6
2021,,16 años y más,,,,,Munitibar-Arbatzegi Gerrikaitz,%,Munitibar-Arbatzegi Gerrikaitz,10.7
2015,,16 años y más,,,,,Munitibar-Arbatzegi Gerrikaitz,%,Munitibar-Arbatzegi Gerrikaitz,12.4
2018,,16 años y más,,,,,Munitibar-Arbatzegi Gerrikaitz,%,Munitibar-Arbatzegi Gerrikaitz,8.5
2010,,16 años y más,,,,,Murueta,%,Murueta,7.1
2015,,16 años y más,,,,,Murueta,%,Murueta,7.4
2020,,16 años y más,,,,,Murueta,%,Murueta,6.8
2016,,16 años y más,,,,,Murueta,%,Murueta,9.0
2019,,16 años y más,,,,,Murueta,%,Murueta,7.3
2018,,16 años y más,,,,,Murueta,%,Murueta,8.3
2021,,16 años y más,,,,,Murueta,%,Murueta,6.9
2021,,16 años y más,,,,,Muskiz,%,Muskiz,12.3
2015,,16 años y más,,,,,Muskiz,%,Muskiz,18.7
2019,,16 años y más,,,,,Muskiz,%,Muskiz,11.9
2020,,16 años y más,,,,,Muskiz,%,Muskiz,11.7
2018,,16 años y más,,,,,Muskiz,%,Muskiz,12.1
2016,,16 años y más,,,,,Muskiz,%,Muskiz,17.7
2010,,16 años y más,,,,,Muskiz,%,Muskiz,9.8
2010,,16 años y más,,,,,Mutiloa,%,Mutiloa,5.9
2018,,16 años y más,,,,,Mutiloa,%,Mutiloa,3.3
2021,,16 años y más,,,,,Mutiloa,%,Mutiloa,4.3
2016,,16 años y más,,,,,Mutiloa,%,Mutiloa,6.1
2020,,16 años y más,,,,,Mutiloa,%,Mutiloa,7.8
2015,,16 años y más,,,,,Mutiloa,%,Mutiloa,13.6
2019,,16 años y más,,,,,Mutiloa,%,Mutiloa,3.3
2019,,16 años y más,,,,,Mutriku,%,Mutriku,11.3
2021,,16 años y más,,,,,Mutriku,%,Mutriku,12.0
2015,,16 años y más,,,,,Mutriku,%,Mutriku,14.7
2016,,16 años y más,,,,,Mutriku,%,Mutriku,14.8
2020,,16 años y más,,,,,Mutriku,%,Mutriku,10.9
2010,,16 años y más,,,,,Mutriku,%,Mutriku,9.3
2018,,16 años y más,,,,,Mutriku,%,Mutriku,11.3
2020,,16 años y más,,,,,Muxika,%,Muxika,7.6
2016,,16 años y más,,,,,Muxika,%,Muxika,11.7
2018,,16 años y más,,,,,Muxika,%,Muxika,10.5
2021,,16 años y más,,,,,Muxika,%,Muxika,8.2
2010,,16 años y más,,,,,Muxika,%,Muxika,8.2
2015,,16 años y más,,,,,Muxika,%,Muxika,12.0
2019,,16 años y más,,,,,Muxika,%,Muxika,10.3
2016,,16 años y más,,,,,Nabarniz,%,Nabarniz,8.4
2019,,16 años y más,,,,,Nabarniz,%,Nabarniz,7.1
2021,,16 años y más,,,,,Nabarniz,%,Nabarniz,6.9
2010,,16 años y más,,,,,Nabarniz,%,Nabarniz,4.4
2018,,16 años y más,,,,,Nabarniz,%,Nabarniz,5.3
2015,,16 años y más,,,,,Nabarniz,%,Nabarniz,9.0
2020,,16 años y más,,,,,Nabarniz,%,Nabarniz,7.1
2018,,16 años y más,,,,,Navaridas,%,Navaridas,7.4
2015,,16 años y más,,,,,Navaridas,%,Navaridas,16.2
2020,,16 años y más,,,,,Navaridas,%,Navaridas,3.1
2010,,16 años y más,,,,,Navaridas,%,Navaridas,2.2
2016,,16 años y más,,,,,Navaridas,%,Navaridas,9.3
2019,,16 años y más,,,,,Navaridas,%,Navaridas,7.5
2021,,16 años y más,,,,,Navaridas,%,Navaridas,12.3
2016,,16 años y más,,,,,Oiartzun,%,Oiartzun,10.5
2018,,16 años y más,,,,,Oiartzun,%,Oiartzun,7.6
2019,,16 años y más,,,,,Oiartzun,%,Oiartzun,6.4
2015,,16 años y más,,,,,Oiartzun,%,Oiartzun,11.5
2021,,16 años y más,,,,,Oiartzun,%,Oiartzun,7.5
2010,,16 años y más,,,,,Oiartzun,%,Oiartzun,7.2
