Year,Series,Province,County,Municipality,Units,GeoCode,Value
2015,Proportion of households with running water,,,Aizarnazabal,%,Aizarnazabal,99.6
2020,Proportion of households with running water,,,Aizarnazabal,%,Aizarnazabal,99.6
2021,Proportion of households with a toilet,,,Aizarnazabal,%,Aizarnazabal,100.0
2010,Proportion of households with a toilet,,,Aizarnazabal,%,Aizarnazabal,100.0
2014,Proportion of households with a toilet,,,Aizarnazabal,%,Aizarnazabal,100.0
2019,Proportion of households with a toilet,,,Aizarnazabal,%,Aizarnazabal,100.0
2015,Proportion of households with a toilet,,,Aizarnazabal,%,Aizarnazabal,100.0
2022,Proportion of households with a toilet,,,Aizarnazabal,%,Aizarnazabal,100.0
2023,Proportion of households with a toilet,,,Aizarnazabal,%,Aizarnazabal,100.0
2016,Proportion of households with running water,,,Aizarnazabal,%,Aizarnazabal,99.6
2019,Proportion of households with running water,,,Aizarnazabal,%,Aizarnazabal,99.6
2016,Proportion of households with a toilet,,,Aizarnazabal,%,Aizarnazabal,100.0
2018,Proportion of households with running water,,,Aizarnazabal,%,Aizarnazabal,99.6
2010,Proportion of households with running water,,,Aizarnazabal,%,Aizarnazabal,99.6
2022,Proportion of households with running water,,,Aizarnazabal,%,Aizarnazabal,99.6
2020,Proportion of households with a toilet,,,Aizarnazabal,%,Aizarnazabal,100.0
2021,Proportion of households with running water,,,Aizarnazabal,%,Aizarnazabal,99.6
2013,Proportion of households with a toilet,,,Aizarnazabal,%,Aizarnazabal,100.0
2013,Proportion of households with running water,,,Aizarnazabal,%,Aizarnazabal,99.6
2018,Proportion of households with running water,,,Ajangiz,%,Ajangiz,100.0
2013,Proportion of households with a toilet,,,Ajangiz,%,Ajangiz,100.0
2023,Proportion of households with running water,,,Ajangiz,%,Ajangiz,100.0
2010,Proportion of households with running water,,,Ajangiz,%,Ajangiz,100.0
2020,Proportion of households with a toilet,,,Ajangiz,%,Ajangiz,100.0
2022,Proportion of households with a toilet,,,Ajangiz,%,Ajangiz,100.0
2019,Proportion of households with a toilet,,,Ajangiz,%,Ajangiz,100.0
2020,Proportion of households with running water,,,Ajangiz,%,Ajangiz,100.0
2014,Proportion of households with running water,,,Ajangiz,%,Ajangiz,100.0
2015,Proportion of households with running water,,,Ajangiz,%,Ajangiz,100.0
2015,Proportion of households with a toilet,,,Ajangiz,%,Ajangiz,100.0
2016,Proportion of households with running water,,,Ajangiz,%,Ajangiz,100.0
2018,Proportion of households with a toilet,,,Ajangiz,%,Ajangiz,100.0
2022,Proportion of households with running water,,,Ajangiz,%,Ajangiz,100.0
2021,Proportion of households with running water,,,Ajangiz,%,Ajangiz,100.0
2019,Proportion of households with running water,,,Ajangiz,%,Ajangiz,100.0
2016,Proportion of households with a toilet,,,Ajangiz,%,Ajangiz,100.0
2010,Proportion of households with a toilet,,,Ajangiz,%,Ajangiz,100.0
2013,Proportion of households with running water,,,Ajangiz,%,Ajangiz,100.0
2021,Proportion of households with a toilet,,,Ajangiz,%,Ajangiz,100.0
2023,Proportion of households with a toilet,,,Ajangiz,%,Ajangiz,100.0
2014,Proportion of households with a toilet,,,Ajangiz,%,Ajangiz,100.0
2014,Proportion of households with running water,,,Albiztur,%,Albiztur,100.0
2021,Proportion of households with running water,,,Albiztur,%,Albiztur,100.0
2015,Proportion of households with running water,,,Albiztur,%,Albiztur,100.0
2023,Proportion of households with running water,,,Albiztur,%,Albiztur,100.0
2018,Proportion of households with a toilet,,,Albiztur,%,Albiztur,98.2
2016,Proportion of households with a toilet,,,Albiztur,%,Albiztur,96.6
2015,Proportion of households with a toilet,,,Albiztur,%,Albiztur,96.6
2018,Proportion of households with running water,,,Albiztur,%,Albiztur,100.0
2020,Proportion of households with a toilet,,,Albiztur,%,Albiztur,98.2
2020,Proportion of households with running water,,,Albiztur,%,Albiztur,100.0
2019,Proportion of households with running water,,,Albiztur,%,Albiztur,100.0
2023,Proportion of households with a toilet,,,Albiztur,%,Albiztur,97.4
2014,Proportion of households with a toilet,,,Albiztur,%,Albiztur,96.7
2010,Proportion of households with a toilet,,,Albiztur,%,Albiztur,97.3
2019,Proportion of households with a toilet,,,Albiztur,%,Albiztur,98.2
2013,Proportion of households with running water,,,Albiztur,%,Albiztur,100.0
2022,Proportion of households with running water,,,Albiztur,%,Albiztur,100.0
2013,Proportion of households with a toilet,,,Albiztur,%,Albiztur,97.5
2022,Proportion of households with a toilet,,,Albiztur,%,Albiztur,97.4
2021,Proportion of households with a toilet,,,Albiztur,%,Albiztur,98.2
2010,Proportion of households with running water,,,Albiztur,%,Albiztur,100.0
2016,Proportion of households with running water,,,Albiztur,%,Albiztur,100.0
2020,Proportion of households with a toilet,,,Alegia,%,Alegia,99.9
2013,Proportion of households with running water,,,Alegia,%,Alegia,100.0
2021,Proportion of households with running water,,,Alegia,%,Alegia,100.0
2015,Proportion of households with running water,,,Alegia,%,Alegia,100.0
2016,Proportion of households with running water,,,Alegia,%,Alegia,100.0
2013,Proportion of households with a toilet,,,Alegia,%,Alegia,99.6
2018,Proportion of households with running water,,,Alegia,%,Alegia,100.0
2018,Proportion of households with a toilet,,,Alegia,%,Alegia,99.6
2010,Proportion of households with a toilet,,,Alegia,%,Alegia,99.7
2022,Proportion of households with running water,,,Alegia,%,Alegia,100.0
2020,Proportion of households with running water,,,Alegia,%,Alegia,100.0
2022,Proportion of households with a toilet,,,Alegia,%,Alegia,99.9
2010,Proportion of households with running water,,,Alegia,%,Alegia,100.0
2014,Proportion of households with running water,,,Alegia,%,Alegia,100.0
2015,Proportion of households with a toilet,,,Alegia,%,Alegia,99.6
2023,Proportion of households with running water,,,Alegia,%,Alegia,100.0
2016,Proportion of households with a toilet,,,Alegia,%,Alegia,99.6
2023,Proportion of households with a toilet,,,Alegia,%,Alegia,99.9
2014,Proportion of households with a toilet,,,Alegia,%,Alegia,99.6
2019,Proportion of households with a toilet,,,Alegia,%,Alegia,99.6
2019,Proportion of households with running water,,,Alegia,%,Alegia,100.0
2021,Proportion of households with a toilet,,,Alegia,%,Alegia,99.9
2020,Proportion of households with running water,,,Alegría-Dulantzi,%,Alegría-Dulantzi,99.9
2020,Proportion of households with a toilet,,,Alegría-Dulantzi,%,Alegría-Dulantzi,99.9
2023,Proportion of households with running water,,,Alegría-Dulantzi,%,Alegría-Dulantzi,99.9
