Year,Territorio histórico,Comarca,Municipio,Units,GeoCode,Value
2023,,,Asteasu,Por 10.000,Asteasu,0.0
2021,,,Asteasu,Por 10.000,Asteasu,0.0
2020,,,Asteasu,Por 10.000,Asteasu,0.0
2019,,,Asteasu,Por 10.000,Asteasu,0.0
2022,,,Asteasu,Por 10.000,Asteasu,0.0
2019,,,Astigarraga,Por 10.000,Astigarraga,3.1
2023,,,Astigarraga,Por 10.000,Astigarraga,5.3
2020,,,Astigarraga,Por 10.000,Astigarraga,0.0
2022,,,Astigarraga,Por 10.000,Astigarraga,0.0
2021,,,Astigarraga,Por 10.000,Astigarraga,0.0
2022,,,Ataun,Por 10.000,Ataun,0.0
2021,,,Ataun,Por 10.000,Ataun,0.0
2023,,,Ataun,Por 10.000,Ataun,0.0
2020,,,Ataun,Por 10.000,Ataun,0.0
2019,,,Ataun,Por 10.000,Ataun,0.0
2019,,,Atxondo,Por 10.000,Atxondo,0.0
2021,,,Atxondo,Por 10.000,Atxondo,0.0
2020,,,Atxondo,Por 10.000,Atxondo,0.0
2022,,,Atxondo,Por 10.000,Atxondo,0.0
2023,,,Atxondo,Por 10.000,Atxondo,0.0
2020,,,Aulesti,Por 10.000,Aulesti,0.0
2023,,,Aulesti,Por 10.000,Aulesti,0.0
2019,,,Aulesti,Por 10.000,Aulesti,0.0
2022,,,Aulesti,Por 10.000,Aulesti,0.0
2021,,,Aulesti,Por 10.000,Aulesti,0.0
2019,,,Ayala/Aiara,Por 10.000,Ayala/Aiara,6.9
2022,,,Ayala/Aiara,Por 10.000,Ayala/Aiara,7.0
2021,,,Ayala/Aiara,Por 10.000,Ayala/Aiara,0.0
2023,,,Ayala/Aiara,Por 10.000,Ayala/Aiara,13.8
2020,,,Ayala/Aiara,Por 10.000,Ayala/Aiara,6.9
2021,,,Azkoitia,Por 10.000,Azkoitia,1.7
2019,,,Azkoitia,Por 10.000,Azkoitia,1.7
2022,,,Azkoitia,Por 10.000,Azkoitia,3.4
2023,,,Azkoitia,Por 10.000,Azkoitia,5.1
2020,,,Azkoitia,Por 10.000,Azkoitia,0.0
2019,,,Azpeitia,Por 10.000,Azpeitia,8.0
2022,,,Azpeitia,Por 10.000,Azpeitia,2.6
2020,,,Azpeitia,Por 10.000,Azpeitia,0.0
2023,,,Azpeitia,Por 10.000,Azpeitia,1.3
2021,,,Azpeitia,Por 10.000,Azpeitia,0.0
2022,,,Bakio,Por 10.000,Bakio,7.0
2019,,,Bakio,Por 10.000,Bakio,0.0
2023,,,Bakio,Por 10.000,Bakio,7.1
2020,,,Bakio,Por 10.000,Bakio,0.0
2021,,,Bakio,Por 10.000,Bakio,14.3
2021,,,Baliarrain,Por 10.000,Baliarrain,0.0
2020,,,Baliarrain,Por 10.000,Baliarrain,0.0
2022,,,Baliarrain,Por 10.000,Baliarrain,0.0
2023,,,Baliarrain,Por 10.000,Baliarrain,0.0
