Year,Series,Sexua,Lurralde historikoa,Units,Value
2018,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,Gizona,,Zenbakia,417.0
2015,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,Gizona,,Zenbakia,410.0
2022,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,Gizona,,Zenbakia,373.0
2020,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,Gizona,,Zenbakia,303.0
2021,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,Gizona,,Zenbakia,308.0
2016,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,Gizona,,Zenbakia,281.0
2023,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,Gizona,,Zenbakia,284.0
2021,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,Gizona,Araba / Álava,Zenbakia,40.0
2019,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,Gizona,Araba / Álava,Zenbakia,45.0
2023,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,Gizona,Araba / Álava,Zenbakia,36.0
2022,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,Gizona,Araba / Álava,Zenbakia,54.0
2016,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,Gizona,Araba / Álava,Zenbakia,40.0
2020,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,Gizona,Araba / Álava,Zenbakia,45.0
2018,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,Gizona,Araba / Álava,Zenbakia,59.0
2017,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,Gizona,Araba / Álava,Zenbakia,39.0
2015,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,Gizona,Araba / Álava,Zenbakia,57.0
2018,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,Gizona,Bizkaia,Zenbakia,244.0
2017,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,Gizona,Bizkaia,Zenbakia,188.0
2021,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,Gizona,Bizkaia,Zenbakia,195.0
2015,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,Gizona,Bizkaia,Zenbakia,246.0
2016,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,Gizona,Bizkaia,Zenbakia,179.0
2022,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,Gizona,Bizkaia,Zenbakia,227.0
2020,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,Gizona,Bizkaia,Zenbakia,191.0
2023,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,Gizona,Bizkaia,Zenbakia,183.0
2019,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,Gizona,Bizkaia,Zenbakia,191.0
2016,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,Gizona,Gipuzkoa,Zenbakia,61.0
2017,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,Gizona,Gipuzkoa,Zenbakia,67.0
2019,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,Gizona,Gipuzkoa,Zenbakia,82.0
2018,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,Gizona,Gipuzkoa,Zenbakia,114.0
2023,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,Gizona,Gipuzkoa,Zenbakia,64.0
2020,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,Gizona,Gipuzkoa,Zenbakia,67.0
2015,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,Gizona,Gipuzkoa,Zenbakia,105.0
2021,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,Gizona,Gipuzkoa,Zenbakia,72.0
2022,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,Gizona,Gipuzkoa,Zenbakia,92.0
