Year,Sexo,Territorio histórico,Comarca,Municipio,Units,GeoCode,Value
2016,,,,Armiñón,Por 100.000 habitantes,Armiñón,0.0
2017,,,,Armiñón,Por 100.000 habitantes,Armiñón,0.0
2010,,,,Armiñón,Por 100.000 habitantes,Armiñón,0.0
2019,,,,Armiñón,Por 100.000 habitantes,Armiñón,0.0
2012,,,,Armiñón,Por 100.000 habitantes,Armiñón,0.0
2021,,,,Armiñón,Por 100.000 habitantes,Armiñón,0.0
2024,,,,Armiñón,Por 100.000 habitantes,Armiñón,0.0
2013,,,,Armiñón,Por 100.000 habitantes,Armiñón,0.0
2014,,,,Armiñón,Por 100.000 habitantes,Armiñón,0.0
2022,,,,Armiñón,Por 100.000 habitantes,Armiñón,0.0
2018,,,,Armiñón,Por 100.000 habitantes,Armiñón,0.0
2015,,,,Armiñón,Por 100.000 habitantes,Armiñón,0.0
2020,,,,Armiñón,Por 100.000 habitantes,Armiñón,0.0
2014,,,,Arraia-Maeztu,Por 100.000 habitantes,Arraia-Maeztu,0.0
2021,,,,Arraia-Maeztu,Por 100.000 habitantes,Arraia-Maeztu,0.0
2010,,,,Arraia-Maeztu,Por 100.000 habitantes,Arraia-Maeztu,0.0
2019,,,,Arraia-Maeztu,Por 100.000 habitantes,Arraia-Maeztu,0.0
2020,,,,Arraia-Maeztu,Por 100.000 habitantes,Arraia-Maeztu,0.0
2013,,,,Arraia-Maeztu,Por 100.000 habitantes,Arraia-Maeztu,0.0
2018,,,,Arraia-Maeztu,Por 100.000 habitantes,Arraia-Maeztu,0.0
2024,,,,Arraia-Maeztu,Por 100.000 habitantes,Arraia-Maeztu,0.0
2015,,,,Arraia-Maeztu,Por 100.000 habitantes,Arraia-Maeztu,0.0
2023,,,,Arraia-Maeztu,Por 100.000 habitantes,Arraia-Maeztu,0.0
2022,,,,Arraia-Maeztu,Por 100.000 habitantes,Arraia-Maeztu,0.0
2012,,,,Arraia-Maeztu,Por 100.000 habitantes,Arraia-Maeztu,0.0
2016,,,,Arraia-Maeztu,Por 100.000 habitantes,Arraia-Maeztu,0.0
2011,,,,Arraia-Maeztu,Por 100.000 habitantes,Arraia-Maeztu,0.0
2017,,,,Arraia-Maeztu,Por 100.000 habitantes,Arraia-Maeztu,0.0
2011,,,,Arrankudiaga-Zollo,Por 100.000 habitantes,Arrankudiaga-Zollo,0.0
2010,,,,Arrankudiaga-Zollo,Por 100.000 habitantes,Arrankudiaga-Zollo,0.0
2014,,,,Arrankudiaga-Zollo,Por 100.000 habitantes,Arrankudiaga-Zollo,0.0
2021,,,,Arrankudiaga-Zollo,Por 100.000 habitantes,Arrankudiaga-Zollo,0.0
2012,,,,Arrankudiaga-Zollo,Por 100.000 habitantes,Arrankudiaga-Zollo,0.0
2022,,,,Arrankudiaga-Zollo,Por 100.000 habitantes,Arrankudiaga-Zollo,0.0
2015,,,,Arrankudiaga-Zollo,Por 100.000 habitantes,Arrankudiaga-Zollo,0.0
2018,,,,Arrankudiaga-Zollo,Por 100.000 habitantes,Arrankudiaga-Zollo,0.0
2016,,,,Arrankudiaga-Zollo,Por 100.000 habitantes,Arrankudiaga-Zollo,0.0
2013,,,,Arrankudiaga-Zollo,Por 100.000 habitantes,Arrankudiaga-Zollo,0.0
2023,,,,Arrankudiaga-Zollo,Por 100.000 habitantes,Arrankudiaga-Zollo,0.0
2020,,,,Arrankudiaga-Zollo,Por 100.000 habitantes,Arrankudiaga-Zollo,0.0
2024,,,,Arrankudiaga-Zollo,Por 100.000 habitantes,Arrankudiaga-Zollo,0.0
2019,,,,Arrankudiaga-Zollo,Por 100.000 habitantes,Arrankudiaga-Zollo,0.0
2017,,,,Arrankudiaga-Zollo,Por 100.000 habitantes,Arrankudiaga-Zollo,0.0
2012,,,,Arrasate/Mondragón,Por 100.000 habitantes,Arrasate/Mondragón,0.0
2013,,,,Arrasate/Mondragón,Por 100.000 habitantes,Arrasate/Mondragón,0.0
