Year,Sexua,Adina,Nazionalitatea,Desgaitasuna,Lurralde historikoa,Eskualdea,Udalerria,Units,GeoCode,Value
2016,,,,,,,Arrigorriaga,%,Arrigorriaga,16.8
2021,,,,,,,Arrigorriaga,%,Arrigorriaga,11.3
2020,,,,,,,Arrigorriaga,%,Arrigorriaga,10.5
2010,,,,,,,Arrigorriaga,%,Arrigorriaga,9.4
2019,,,,,,,Arrigorriaga,%,Arrigorriaga,10.8
2015,,,,,,,Arrigorriaga,%,Arrigorriaga,16.5
2018,,,,,,,Artea,%,Artea,9.4
2022,,,,,,,Artea,%,Artea,9.5
2010,,,,,,,Artea,%,Artea,7.4
2023,,,,,,,Artea,%,Artea,7.1
2020,,,,,,,Artea,%,Artea,7.8
2019,,,,,,,Artea,%,Artea,7.8
2021,,,,,,,Artea,%,Artea,11.0
2016,,,,,,,Artea,%,Artea,11.3
2015,,,,,,,Artea,%,Artea,13.3
2016,,,,,,,Artzentales,%,Artzentales,17.7
2023,,,,,,,Artzentales,%,Artzentales,12.2
2019,,,,,,,Artzentales,%,Artzentales,14.4
2018,,,,,,,Artzentales,%,Artzentales,10.6
2020,,,,,,,Artzentales,%,Artzentales,10.4
2022,,,,,,,Artzentales,%,Artzentales,11.9
2021,,,,,,,Artzentales,%,Artzentales,14.4
2015,,,,,,,Artzentales,%,Artzentales,14.0
2010,,,,,,,Artzentales,%,Artzentales,7.3
2018,,,,,,,Artziniega,%,Artziniega,11.8
2020,,,,,,,Artziniega,%,Artziniega,11.3
2022,,,,,,,Artziniega,%,Artziniega,10.0
2023,,,,,,,Artziniega,%,Artziniega,8.4
2010,,,,,,,Artziniega,%,Artziniega,9.1
2019,,,,,,,Artziniega,%,Artziniega,11.2
2021,,,,,,,Artziniega,%,Artziniega,12.2
2015,,,,,,,Artziniega,%,Artziniega,15.3
2016,,,,,,,Artziniega,%,Artziniega,16.4
2016,,,,,,,Asparrena,%,Asparrena,16.7
2020,,,,,,,Asparrena,%,Asparrena,14.1
2021,,,,,,,Asparrena,%,Asparrena,13.0
2018,,,,,,,Asparrena,%,Asparrena,13.6
2015,,,,,,,Asparrena,%,Asparrena,19.1
2019,,,,,,,Asparrena,%,Asparrena,13.8
2022,,,,,,,Asparrena,%,Asparrena,12.2
2023,,,,,,,Asparrena,%,Asparrena,7.7
2010,,,,,,,Asparrena,%,Asparrena,8.6
2023,,,,,,,Asteasu,%,Asteasu,5.2
2016,,,,,,,Asteasu,%,Asteasu,9.2
2019,,,,,,,Asteasu,%,Asteasu,5.6
2020,,,,,,,Asteasu,%,Asteasu,6.0
2010,,,,,,,Asteasu,%,Asteasu,5.3
2022,,,,,,,Asteasu,%,Asteasu,6.1
2021,,,,,,,Asteasu,%,Asteasu,6.9
2015,,,,,,,Asteasu,%,Asteasu,9.8
2018,,,,,,,Asteasu,%,Asteasu,5.3
2010,,,,,,,Astigarraga,%,Astigarraga,6.6
2023,,,,,,,Astigarraga,%,Astigarraga,5.0
2016,,,,,,,Astigarraga,%,Astigarraga,10.1
2018,,,,,,,Astigarraga,%,Astigarraga,7.9
2021,,,,,,,Astigarraga,%,Astigarraga,6.8
2020,,,,,,,Astigarraga,%,Astigarraga,6.6
2015,,,,,,,Astigarraga,%,Astigarraga,11.0
2019,,,,,,,Astigarraga,%,Astigarraga,6.8
2022,,,,,,,Astigarraga,%,Astigarraga,5.8
2010,,,,,,,Ataun,%,Ataun,5.2
2019,,,,,,,Ataun,%,Ataun,6.8
2020,,,,,,,Ataun,%,Ataun,7.0
2021,,,,,,,Ataun,%,Ataun,6.9
2023,,,,,,,Ataun,%,Ataun,6.6
2016,,,,,,,Ataun,%,Ataun,9.4
2015,,,,,,,Ataun,%,Ataun,8.8
2018,,,,,,,Ataun,%,Ataun,6.6
2022,,,,,,,Ataun,%,Ataun,4.1
2015,,,,,,,Atxondo,%,Atxondo,14.5
2022,,,,,,,Atxondo,%,Atxondo,7.1
2020,,,,,,,Atxondo,%,Atxondo,8.7
2018,,,,,,,Atxondo,%,Atxondo,8.6
2023,,,,,,,Atxondo,%,Atxondo,5.6
2021,,,,,,,Atxondo,%,Atxondo,9.2
2019,,,,,,,Atxondo,%,Atxondo,7.1
2016,,,,,,,Atxondo,%,Atxondo,11.1
2010,,,,,,,Atxondo,%,Atxondo,9.0
2018,,,,,,,Aulesti,%,Aulesti,6.7
2023,,,,,,,Aulesti,%,Aulesti,6.0
2022,,,,,,,Aulesti,%,Aulesti,6.0
2015,,,,,,,Aulesti,%,Aulesti,10.7
2019,,,,,,,Aulesti,%,Aulesti,6.1
2010,,,,,,,Aulesti,%,Aulesti,8.7
2016,,,,,,,Aulesti,%,Aulesti,7.1
2021,,,,,,,Aulesti,%,Aulesti,7.2
2020,,,,,,,Aulesti,%,Aulesti,6.3
2023,,,,,,,Ayala / Aiara,%,Ayala / Aiara,5.5
2016,,,,,,,Ayala / Aiara,%,Ayala / Aiara,11.3
2020,,,,,,,Ayala / Aiara,%,Ayala / Aiara,8.3
2010,,,,,,,Ayala / Aiara,%,Ayala / Aiara,7.8
2022,,,,,,,Ayala / Aiara,%,Ayala / Aiara,7.2
2019,,,,,,,Ayala / Aiara,%,Ayala / Aiara,8.3
2021,,,,,,,Ayala / Aiara,%,Ayala / Aiara,9.6
2018,,,,,,,Ayala / Aiara,%,Ayala / Aiara,8.5
2015,,,,,,,Ayala / Aiara,%,Ayala / Aiara,11.8
2023,,,,,,,Azkoitia,%,Azkoitia,7.0
2021,,,,,,,Azkoitia,%,Azkoitia,8.9
2010,,,,,,,Azkoitia,%,Azkoitia,8.7
2015,,,,,,,Azkoitia,%,Azkoitia,14.9
2018,,,,,,,Azkoitia,%,Azkoitia,10.4
2019,,,,,,,Azkoitia,%,Azkoitia,8.7
2020,,,,,,,Azkoitia,%,Azkoitia,8.6
2016,,,,,,,Azkoitia,%,Azkoitia,13.8
2022,,,,,,,Azkoitia,%,Azkoitia,7.3
2022,,,,,,,Azpeitia,%,Azpeitia,6.4
2019,,,,,,,Azpeitia,%,Azpeitia,7.6
2023,,,,,,,Azpeitia,%,Azpeitia,6.1
2020,,,,,,,Azpeitia,%,Azpeitia,7.5
2010,,,,,,,Azpeitia,%,Azpeitia,8.3
2016,,,,,,,Azpeitia,%,Azpeitia,13.2
2018,,,,,,,Azpeitia,%,Azpeitia,8.0
2021,,,,,,,Azpeitia,%,Azpeitia,8.1
2015,,,,,,,Azpeitia,%,Azpeitia,15.4
2020,,,,,,,Bakio,%,Bakio,10.1
2019,,,,,,,Bakio,%,Bakio,9.9
2018,,,,,,,Bakio,%,Bakio,11.8
2022,,,,,,,Bakio,%,Bakio,8.4
2016,,,,,,,Bakio,%,Bakio,15.1
2023,,,,,,,Bakio,%,Bakio,6.6
2010,,,,,,,Bakio,%,Bakio,8.0
2021,,,,,,,Bakio,%,Bakio,10.4
2015,,,,,,,Bakio,%,Bakio,14.8
