Year,Sexua,Adina,Nazionalitatea,Desgaitasuna,Lurralde historikoa,Eskualdea,Udalerria,Units,GeoCode,Value
2015,Emakumea,,,,,,Leioa,%,Leioa,14.6
2016,Emakumea,,,,,,Leioa,%,Leioa,15.4
2022,Emakumea,,,,,,Leioa,%,Leioa,10.1
2019,Emakumea,,,,,,Leioa,%,Leioa,10.6
2010,Emakumea,,,,,,Leioa,%,Leioa,9.2
2018,Emakumea,,,,,,Leioa,%,Leioa,11.4
2021,Emakumea,,,,,,Leioa,%,Leioa,11.3
2023,Emakumea,,,,,,Leioa,%,Leioa,8.7
2020,Emakumea,,,,,,Leioa,%,Leioa,10.5
2016,Emakumea,,,,,,Lekeitio,%,Lekeitio,15.1
2010,Emakumea,,,,,,Lekeitio,%,Lekeitio,10.8
2021,Emakumea,,,,,,Lekeitio,%,Lekeitio,9.2
2022,Emakumea,,,,,,Lekeitio,%,Lekeitio,8.5
2023,Emakumea,,,,,,Lekeitio,%,Lekeitio,5.6
2018,Emakumea,,,,,,Lekeitio,%,Lekeitio,11.0
2019,Emakumea,,,,,,Lekeitio,%,Lekeitio,10.7
2015,Emakumea,,,,,,Lekeitio,%,Lekeitio,15.9
2020,Emakumea,,,,,,Lekeitio,%,Lekeitio,9.8
2018,Emakumea,,,,,,Lemoa,%,Lemoa,14.7
2019,Emakumea,,,,,,Lemoa,%,Lemoa,13.3
2023,Emakumea,,,,,,Lemoa,%,Lemoa,8.2
2020,Emakumea,,,,,,Lemoa,%,Lemoa,12.6
2021,Emakumea,,,,,,Lemoa,%,Lemoa,13.2
2022,Emakumea,,,,,,Lemoa,%,Lemoa,11.7
2016,Emakumea,,,,,,Lemoa,%,Lemoa,17.2
2010,Emakumea,,,,,,Lemoa,%,Lemoa,9.3
2015,Emakumea,,,,,,Lemoa,%,Lemoa,16.7
2010,Emakumea,,,,,,Lemoiz,%,Lemoiz,5.5
2023,Emakumea,,,,,,Lemoiz,%,Lemoiz,7.9
2021,Emakumea,,,,,,Lemoiz,%,Lemoiz,10.0
2019,Emakumea,,,,,,Lemoiz,%,Lemoiz,8.0
2015,Emakumea,,,,,,Lemoiz,%,Lemoiz,9.7
2016,Emakumea,,,,,,Lemoiz,%,Lemoiz,11.7
2022,Emakumea,,,,,,Lemoiz,%,Lemoiz,8.6
2020,Emakumea,,,,,,Lemoiz,%,Lemoiz,8.5
2018,Emakumea,,,,,,Lemoiz,%,Lemoiz,9.1
2022,Emakumea,,,,,,Leza,%,Leza,7.9
2018,Emakumea,,,,,,Leza,%,Leza,7.9
2015,Emakumea,,,,,,Leza,%,Leza,15.2
2019,Emakumea,,,,,,Leza,%,Leza,7.3
2010,Emakumea,,,,,,Leza,%,Leza,13.6
2021,Emakumea,,,,,,Leza,%,Leza,9.5
2020,Emakumea,,,,,,Leza,%,Leza,7.1
2016,Emakumea,,,,,,Leza,%,Leza,18.4
2023,Emakumea,,,,,,Leza,%,Leza,15.8
2020,Emakumea,,,,,,Lezama,%,Lezama,9.4
2010,Emakumea,,,,,,Lezama,%,Lezama,6.1
2022,Emakumea,,,,,,Lezama,%,Lezama,8.6
2015,Emakumea,,,,,,Lezama,%,Lezama,12.2
2023,Emakumea,,,,,,Lezama,%,Lezama,6.7
2016,Emakumea,,,,,,Lezama,%,Lezama,12.2
2021,Emakumea,,,,,,Lezama,%,Lezama,10.4
2019,Emakumea,,,,,,Lezama,%,Lezama,8.9
2018,Emakumea,,,,,,Lezama,%,Lezama,10.0
2020,Emakumea,,,,,,Lezo,%,Lezo,10.1
2023,Emakumea,,,,,,Lezo,%,Lezo,7.9
2016,Emakumea,,,,,,Lezo,%,Lezo,13.5
2010,Emakumea,,,,,,Lezo,%,Lezo,8.5
2022,Emakumea,,,,,,Lezo,%,Lezo,8.1
2015,Emakumea,,,,,,Lezo,%,Lezo,13.4
2021,Emakumea,,,,,,Lezo,%,Lezo,10.3
2018,Emakumea,,,,,,Lezo,%,Lezo,10.1
2019,Emakumea,,,,,,Lezo,%,Lezo,10.2
2016,Emakumea,,,,,,Lizartza,%,Lizartza,9.4
2021,Emakumea,,,,,,Lizartza,%,Lizartza,8.9
2022,Emakumea,,,,,,Lizartza,%,Lizartza,9.5
2020,Emakumea,,,,,,Lizartza,%,Lizartza,10.9
2023,Emakumea,,,,,,Lizartza,%,Lizartza,10.6
2018,Emakumea,,,,,,Lizartza,%,Lizartza,14.9
2019,Emakumea,,,,,,Lizartza,%,Lizartza,14.0
2015,Emakumea,,,,,,Lizartza,%,Lizartza,16.3
2010,Emakumea,,,,,,Lizartza,%,Lizartza,7.7
2015,Emakumea,,,,,,Loiu,%,Loiu,13.0
2018,Emakumea,,,,,,Loiu,%,Loiu,10.9
2019,Emakumea,,,,,,Loiu,%,Loiu,9.6
2022,Emakumea,,,,,,Loiu,%,Loiu,8.2
2023,Emakumea,,,,,,Loiu,%,Loiu,6.0
2020,Emakumea,,,,,,Loiu,%,Loiu,8.4
2021,Emakumea,,,,,,Loiu,%,Loiu,9.7
2016,Emakumea,,,,,,Loiu,%,Loiu,12.0
2010,Emakumea,,,,,,Loiu,%,Loiu,6.9
2020,Emakumea,,,,,,Mallabia,%,Mallabia,9.9
2018,Emakumea,,,,,,Mallabia,%,Mallabia,11.0
2019,Emakumea,,,,,,Mallabia,%,Mallabia,9.6
2015,Emakumea,,,,,,Mallabia,%,Mallabia,13.3
2023,Emakumea,,,,,,Mallabia,%,Mallabia,7.8
2021,Emakumea,,,,,,Mallabia,%,Mallabia,14.3
2010,Emakumea,,,,,,Mallabia,%,Mallabia,10.2
2016,Emakumea,,,,,,Mallabia,%,Mallabia,12.4
2022,Emakumea,,,,,,Mallabia,%,Mallabia,10.7
2021,Emakumea,,,,,,Mañaria,%,Mañaria,11.8
2010,Emakumea,,,,,,Mañaria,%,Mañaria,6.9
2020,Emakumea,,,,,,Mañaria,%,Mañaria,8.9
2016,Emakumea,,,,,,Mañaria,%,Mañaria,11.5
2018,Emakumea,,,,,,Mañaria,%,Mañaria,10.3
2015,Emakumea,,,,,,Mañaria,%,Mañaria,11.6
2019,Emakumea,,,,,,Mañaria,%,Mañaria,7.4
2022,Emakumea,,,,,,Mañaria,%,Mañaria,7.9
2023,Emakumea,,,,,,Mañaria,%,Mañaria,4.8
2018,Emakumea,,,,,,Markina-Xemein,%,Markina-Xemein,7.3
2022,Emakumea,,,,,,Markina-Xemein,%,Markina-Xemein,7.7
2023,Emakumea,,,,,,Markina-Xemein,%,Markina-Xemein,6.7
2020,Emakumea,,,,,,Markina-Xemein,%,Markina-Xemein,7.3
2019,Emakumea,,,,,,Markina-Xemein,%,Markina-Xemein,7.4
2015,Emakumea,,,,,,Markina-Xemein,%,Markina-Xemein,12.7
2016,Emakumea,,,,,,Markina-Xemein,%,Markina-Xemein,12.0
2010,Emakumea,,,,,,Markina-Xemein,%,Markina-Xemein,7.6
2021,Emakumea,,,,,,Markina-Xemein,%,Markina-Xemein,8.7
2023,Emakumea,,,,,,Maruri-Jatabe,%,Maruri-Jatabe,4.8
2022,Emakumea,,,,,,Maruri-Jatabe,%,Maruri-Jatabe,6.9
2020,Emakumea,,,,,,Maruri-Jatabe,%,Maruri-Jatabe,5.0
2016,Emakumea,,,,,,Maruri-Jatabe,%,Maruri-Jatabe,10.6
2018,Emakumea,,,,,,Maruri-Jatabe,%,Maruri-Jatabe,7.3
2015,Emakumea,,,,,,Maruri-Jatabe,%,Maruri-Jatabe,11.8
2021,Emakumea,,,,,,Maruri-Jatabe,%,Maruri-Jatabe,7.9
2019,Emakumea,,,,,,Maruri-Jatabe,%,Maruri-Jatabe,8.0
2010,Emakumea,,,,,,Maruri-Jatabe,%,Maruri-Jatabe,7.2
2016,Emakumea,,,,,,Mendaro,%,Mendaro,14.4
2020,Emakumea,,,,,,Mendaro,%,Mendaro,9.7
2010,Emakumea,,,,,,Mendaro,%,Mendaro,9.5
2015,Emakumea,,,,,,Mendaro,%,Mendaro,15.6
2022,Emakumea,,,,,,Mendaro,%,Mendaro,9.7
2023,Emakumea,,,,,,Mendaro,%,Mendaro,8.0
2021,Emakumea,,,,,,Mendaro,%,Mendaro,10.2
2018,Emakumea,,,,,,Mendaro,%,Mendaro,12.0
2019,Emakumea,,,,,,Mendaro,%,Mendaro,9.9
2022,Emakumea,,,,,,Mendata,%,Mendata,4.9
2019,Emakumea,,,,,,Mendata,%,Mendata,7.2
2021,Emakumea,,,,,,Mendata,%,Mendata,7.2
2015,Emakumea,,,,,,Mendata,%,Mendata,7.1
2010,Emakumea,,,,,,Mendata,%,Mendata,3.7
2016,Emakumea,,,,,,Mendata,%,Mendata,12.1
2020,Emakumea,,,,,,Mendata,%,Mendata,5.8
2018,Emakumea,,,,,,Mendata,%,Mendata,5.9
2023,Emakumea,,,,,,Mendata,%,Mendata,8.2
2022,Emakumea,,,,,,Mendexa,%,Mendexa,5.1
2021,Emakumea,,,,,,Mendexa,%,Mendexa,8.7
2015,Emakumea,,,,,,Mendexa,%,Mendexa,7.4
2018,Emakumea,,,,,,Mendexa,%,Mendexa,5.6
2019,Emakumea,,,,,,Mendexa,%,Mendexa,4.5
2023,Emakumea,,,,,,Mendexa,%,Mendexa,4.5
2010,Emakumea,,,,,,Mendexa,%,Mendexa,7.5
2020,Emakumea,,,,,,Mendexa,%,Mendexa,6.3
2016,Emakumea,,,,,,Mendexa,%,Mendexa,9.1
2023,Emakumea,,,,,,Meñaka,%,Meñaka,4.0
2020,Emakumea,,,,,,Meñaka,%,Meñaka,5.6
2021,Emakumea,,,,,,Meñaka,%,Meñaka,7.3
2022,Emakumea,,,,,,Meñaka,%,Meñaka,3.6
2019,Emakumea,,,,,,Meñaka,%,Meñaka,8.7
2015,Emakumea,,,,,,Meñaka,%,Meñaka,7.5
2016,Emakumea,,,,,,Meñaka,%,Meñaka,7.8
2010,Emakumea,,,,,,Meñaka,%,Meñaka,6.5
2018,Emakumea,,,,,,Meñaka,%,Meñaka,4.7
2018,Emakumea,,,,,,Moreda de Álava / Moreda Araba,%,Moreda de Álava / Moreda Araba,21.7
2016,Emakumea,,,,,,Moreda de Álava / Moreda Araba,%,Moreda de Álava / Moreda Araba,12.5
2019,Emakumea,,,,,,Moreda de Álava / Moreda Araba,%,Moreda de Álava / Moreda Araba,11.7
2020,Emakumea,,,,,,Moreda de Álava / Moreda Araba,%,Moreda de Álava / Moreda Araba,14.0
2015,Emakumea,,,,,,Moreda de Álava / Moreda Araba,%,Moreda de Álava / Moreda Araba,19.1
2022,Emakumea,,,,,,Moreda de Álava / Moreda Araba,%,Moreda de Álava / Moreda Araba,5.1
2023,Emakumea,,,,,,Moreda de Álava / Moreda Araba,%,Moreda de Álava / Moreda Araba,5.4
2021,Emakumea,,,,,,Moreda de Álava / Moreda Araba,%,Moreda de Álava / Moreda Araba,11.5
2010,Emakumea,,,,,,Moreda de Álava / Moreda Araba,%,Moreda de Álava / Moreda Araba,16.0
2021,Emakumea,,,,,,Morga,%,Morga,11.2
2016,Emakumea,,,,,,Morga,%,Morga,9.8
2018,Emakumea,,,,,,Morga,%,Morga,21.0
2023,Emakumea,,,,,,Morga,%,Morga,11.9
2022,Emakumea,,,,,,Morga,%,Morga,8.4
2010,Emakumea,,,,,,Morga,%,Morga,10.6
2015,Emakumea,,,,,,Morga,%,Morga,9.9
2019,Emakumea,,,,,,Morga,%,Morga,13.0
2020,Emakumea,,,,,,Morga,%,Morga,10.9
2022,Emakumea,,,,,,Mundaka,%,Mundaka,8.1
2010,Emakumea,,,,,,Mundaka,%,Mundaka,7.3
2018,Emakumea,,,,,,Mundaka,%,Mundaka,9.8
2021,Emakumea,,,,,,Mundaka,%,Mundaka,9.9
2019,Emakumea,,,,,,Mundaka,%,Mundaka,8.7
2016,Emakumea,,,,,,Mundaka,%,Mundaka,12.7
2015,Emakumea,,,,,,Mundaka,%,Mundaka,14.7
2023,Emakumea,,,,,,Mundaka,%,Mundaka,6.5
2020,Emakumea,,,,,,Mundaka,%,Mundaka,8.7
2023,Emakumea,,,,,,Mungia,%,Mungia,7.8
2016,Emakumea,,,,,,Mungia,%,Mungia,15.8
2015,Emakumea,,,,,,Mungia,%,Mungia,14.7
2010,Emakumea,,,,,,Mungia,%,Mungia,8.9
2021,Emakumea,,,,,,Mungia,%,Mungia,10.7
2018,Emakumea,,,,,,Mungia,%,Mungia,12.0
2022,Emakumea,,,,,,Mungia,%,Mungia,9.3
2020,Emakumea,,,,,,Mungia,%,Mungia,10.6
2019,Emakumea,,,,,,Mungia,%,Mungia,11.5
2020,Emakumea,,,,,,Munitibar-Arbatzegi Gerrikaitz,%,Munitibar-Arbatzegi Gerrikaitz,10.3
2016,Emakumea,,,,,,Munitibar-Arbatzegi Gerrikaitz,%,Munitibar-Arbatzegi Gerrikaitz,11.9
2021,Emakumea,,,,,,Munitibar-Arbatzegi Gerrikaitz,%,Munitibar-Arbatzegi Gerrikaitz,7.8
2019,Emakumea,,,,,,Munitibar-Arbatzegi Gerrikaitz,%,Munitibar-Arbatzegi Gerrikaitz,6.4
2022,Emakumea,,,,,,Munitibar-Arbatzegi Gerrikaitz,%,Munitibar-Arbatzegi Gerrikaitz,6.4
2018,Emakumea,,,,,,Munitibar-Arbatzegi Gerrikaitz,%,Munitibar-Arbatzegi Gerrikaitz,4.7
2015,Emakumea,,,,,,Munitibar-Arbatzegi Gerrikaitz,%,Munitibar-Arbatzegi Gerrikaitz,4.5
2010,Emakumea,,,,,,Munitibar-Arbatzegi Gerrikaitz,%,Munitibar-Arbatzegi Gerrikaitz,6.2
2023,Emakumea,,,,,,Munitibar-Arbatzegi Gerrikaitz,%,Munitibar-Arbatzegi Gerrikaitz,6.4
2010,Emakumea,,,,,,Murueta,%,Murueta,9.2
2015,Emakumea,,,,,,Murueta,%,Murueta,12.3
2023,Emakumea,,,,,,Murueta,%,Murueta,1.2
2021,Emakumea,,,,,,Murueta,%,Murueta,11.1
2019,Emakumea,,,,,,Murueta,%,Murueta,7.1
2020,Emakumea,,,,,,Murueta,%,Murueta,6.1
2022,Emakumea,,,,,,Murueta,%,Murueta,8.4
2016,Emakumea,,,,,,Murueta,%,Murueta,11.0
2018,Emakumea,,,,,,Murueta,%,Murueta,12.9
2016,Emakumea,,,,,,Muskiz,%,Muskiz,19.0
2015,Emakumea,,,,,,Muskiz,%,Muskiz,19.1
2023,Emakumea,,,,,,Muskiz,%,Muskiz,11.2
2018,Emakumea,,,,,,Muskiz,%,Muskiz,14.6
2010,Emakumea,,,,,,Muskiz,%,Muskiz,9.4
2022,Emakumea,,,,,,Muskiz,%,Muskiz,13.1
2020,Emakumea,,,,,,Muskiz,%,Muskiz,13.1
2021,Emakumea,,,,,,Muskiz,%,Muskiz,14.0
2019,Emakumea,,,,,,Muskiz,%,Muskiz,14.1
2020,Emakumea,,,,,,Mutiloa,%,Mutiloa,5.8
2015,Emakumea,,,,,,Mutiloa,%,Mutiloa,12.0
2023,Emakumea,,,,,,Mutiloa,%,Mutiloa,3.5
2019,Emakumea,,,,,,Mutiloa,%,Mutiloa,4.2
2021,Emakumea,,,,,,Mutiloa,%,Mutiloa,6.7
2010,Emakumea,,,,,,Mutiloa,%,Mutiloa,6.0
2016,Emakumea,,,,,,Mutiloa,%,Mutiloa,8.2
2018,Emakumea,,,,,,Mutiloa,%,Mutiloa,4.4
2022,Emakumea,,,,,,Mutiloa,%,Mutiloa,11.3
2023,Emakumea,,,,,,Mutriku,%,Mutriku,8.7
2015,Emakumea,,,,,,Mutriku,%,Mutriku,14.9
2019,Emakumea,,,,,,Mutriku,%,Mutriku,12.5
2018,Emakumea,,,,,,Mutriku,%,Mutriku,11.8
2010,Emakumea,,,,,,Mutriku,%,Mutriku,9.2
2020,Emakumea,,,,,,Mutriku,%,Mutriku,12.7
2022,Emakumea,,,,,,Mutriku,%,Mutriku,9.5
2021,Emakumea,,,,,,Mutriku,%,Mutriku,14.2
2016,Emakumea,,,,,,Mutriku,%,Mutriku,15.4
2021,Emakumea,,,,,,Muxika,%,Muxika,6.5
2023,Emakumea,,,,,,Muxika,%,Muxika,5.1
2022,Emakumea,,,,,,Muxika,%,Muxika,6.6
2019,Emakumea,,,,,,Muxika,%,Muxika,9.3
2016,Emakumea,,,,,,Muxika,%,Muxika,12.9
2018,Emakumea,,,,,,Muxika,%,Muxika,10.7
2010,Emakumea,,,,,,Muxika,%,Muxika,7.9
2015,Emakumea,,,,,,Muxika,%,Muxika,12.3
2020,Emakumea,,,,,,Muxika,%,Muxika,6.2
2020,Emakumea,,,,,,Nabarniz,%,Nabarniz,9.2
2019,Emakumea,,,,,,Nabarniz,%,Nabarniz,9.9
2010,Emakumea,,,,,,Nabarniz,%,Nabarniz,5.9
2015,Emakumea,,,,,,Nabarniz,%,Nabarniz,6.6
2016,Emakumea,,,,,,Nabarniz,%,Nabarniz,8.3
2022,Emakumea,,,,,,Nabarniz,%,Nabarniz,9.9
2021,Emakumea,,,,,,Nabarniz,%,Nabarniz,6.0
2023,Emakumea,,,,,,Nabarniz,%,Nabarniz,11.6
2018,Emakumea,,,,,,Nabarniz,%,Nabarniz,6.0
2018,Emakumea,,,,,,Navaridas,%,Navaridas,7.3
2015,Emakumea,,,,,,Navaridas,%,Navaridas,15.8
2022,Emakumea,,,,,,Navaridas,%,Navaridas,6.5
2020,Emakumea,,,,,,Navaridas,%,Navaridas,6.3
2019,Emakumea,,,,,,Navaridas,%,Navaridas,13.9
2023,Emakumea,,,,,,Navaridas,%,Navaridas,10.6
2016,Emakumea,,,,,,Navaridas,%,Navaridas,8.3
2010,Emakumea,,,,,,Navaridas,%,Navaridas,3.3
2021,Emakumea,,,,,,Navaridas,%,Navaridas,7.1
2022,Emakumea,,,,,,Oiartzun,%,Oiartzun,7.1
2020,Emakumea,,,,,,Oiartzun,%,Oiartzun,7.1
2018,Emakumea,,,,,,Oiartzun,%,Oiartzun,8.5
2016,Emakumea,,,,,,Oiartzun,%,Oiartzun,11.2
2021,Emakumea,,,,,,Oiartzun,%,Oiartzun,7.9
2015,Emakumea,,,,,,Oiartzun,%,Oiartzun,11.2
2019,Emakumea,,,,,,Oiartzun,%,Oiartzun,7.7
2010,Emakumea,,,,,,Oiartzun,%,Oiartzun,7.1
2023,Emakumea,,,,,,Oiartzun,%,Oiartzun,5.9
2018,Emakumea,,,,,,Okondo,%,Okondo,16.2
2021,Emakumea,,,,,,Okondo,%,Okondo,11.2
2019,Emakumea,,,,,,Okondo,%,Okondo,13.5
2023,Emakumea,,,,,,Okondo,%,Okondo,10.7
2022,Emakumea,,,,,,Okondo,%,Okondo,9.2
2020,Emakumea,,,,,,Okondo,%,Okondo,16.0
2016,Emakumea,,,,,,Okondo,%,Okondo,19.4
2010,Emakumea,,,,,,Okondo,%,Okondo,9.9
2015,Emakumea,,,,,,Okondo,%,Okondo,14.8
2016,Emakumea,,,,,,Olaberria,%,Olaberria,17.1
2021,Emakumea,,,,,,Olaberria,%,Olaberria,9.1
2010,Emakumea,,,,,,Olaberria,%,Olaberria,7.3
2022,Emakumea,,,,,,Olaberria,%,Olaberria,10.9
2015,Emakumea,,,,,,Olaberria,%,Olaberria,15.8
2020,Emakumea,,,,,,Olaberria,%,Olaberria,12.4
2018,Emakumea,,,,,,Olaberria,%,Olaberria,12.8
2019,Emakumea,,,,,,Olaberria,%,Olaberria,13.3
2023,Emakumea,,,,,,Olaberria,%,Olaberria,7.4
2021,Emakumea,,,,,,Ondarroa,%,Ondarroa,15.9
2015,Emakumea,,,,,,Ondarroa,%,Ondarroa,20.8
2020,Emakumea,,,,,,Ondarroa,%,Ondarroa,12.8
2016,Emakumea,,,,,,Ondarroa,%,Ondarroa,17.3
2018,Emakumea,,,,,,Ondarroa,%,Ondarroa,16.0
2019,Emakumea,,,,,,Ondarroa,%,Ondarroa,14.6
2022,Emakumea,,,,,,Ondarroa,%,Ondarroa,10.8
2010,Emakumea,,,,,,Ondarroa,%,Ondarroa,10.0
2023,Emakumea,,,,,,Ondarroa,%,Ondarroa,9.1
2018,Emakumea,,,,,,Oñati,%,Oñati,6.2
2022,Emakumea,,,,,,Oñati,%,Oñati,6.2
2021,Emakumea,,,,,,Oñati,%,Oñati,7.0
2010,Emakumea,,,,,,Oñati,%,Oñati,5.5
2023,Emakumea,,,,,,Oñati,%,Oñati,5.9
2016,Emakumea,,,,,,Oñati,%,Oñati,9.4
2019,Emakumea,,,,,,Oñati,%,Oñati,6.6
2020,Emakumea,,,,,,Oñati,%,Oñati,6.2
2015,Emakumea,,,,,,Oñati,%,Oñati,8.8
2023,Emakumea,,,,,,Ordizia,%,Ordizia,9.8
2018,Emakumea,,,,,,Ordizia,%,Ordizia,12.6
2020,Emakumea,,,,,,Ordizia,%,Ordizia,9.8
2022,Emakumea,,,,,,Ordizia,%,Ordizia,10.7
2019,Emakumea,,,,,,Ordizia,%,Ordizia,10.5
2015,Emakumea,,,,,,Ordizia,%,Ordizia,14.3
2010,Emakumea,,,,,,Ordizia,%,Ordizia,8.8
2016,Emakumea,,,,,,Ordizia,%,Ordizia,15.1
2021,Emakumea,,,,,,Ordizia,%,Ordizia,10.5
2021,Emakumea,,,,,,Orendain,%,Orendain,3.7
2023,Emakumea,,,,,,Orendain,%,Orendain,6.3
2019,Emakumea,,,,,,Orendain,%,Orendain,4.2
2018,Emakumea,,,,,,Orendain,%,Orendain,4.1
2016,Emakumea,,,,,,Orendain,%,Orendain,8.5
2020,Emakumea,,,,,,Orendain,%,Orendain,2.0
2022,Emakumea,,,,,,Orendain,%,Orendain,6.5
2015,Emakumea,,,,,,Orendain,%,Orendain,7.0
2010,Emakumea,,,,,,Orendain,%,Orendain,5.7
2016,Emakumea,,,,,,Orexa,%,Orexa,0.0
2022,Emakumea,,,,,,Orexa,%,Orexa,9.1
2023,Emakumea,,,,,,Orexa,%,Orexa,4.5
2020,Emakumea,,,,,,Orexa,%,Orexa,8.3
2015,Emakumea,,,,,,Orexa,%,Orexa,4.0
2019,Emakumea,,,,,,Orexa,%,Orexa,8.3
2010,Emakumea,,,,,,Orexa,%,Orexa,4.0
2021,Emakumea,,,,,,Orexa,%,Orexa,4.8
2018,Emakumea,,,,,,Orexa,%,Orexa,0.0
2016,Emakumea,,,,,,Orio,%,Orio,13.9
2015,Emakumea,,,,,,Orio,%,Orio,14.4
2020,Emakumea,,,,,,Orio,%,Orio,11.0
2018,Emakumea,,,,,,Orio,%,Orio,10.4
2023,Emakumea,,,,,,Orio,%,Orio,6.8
2010,Emakumea,,,,,,Orio,%,Orio,6.6
2022,Emakumea,,,,,,Orio,%,Orio,8.4
2019,Emakumea,,,,,,Orio,%,Orio,9.3
2021,Emakumea,,,,,,Orio,%,Orio,11.2
2023,Emakumea,,,,,,Ormaiztegi,%,Ormaiztegi,10.1
2021,Emakumea,,,,,,Ormaiztegi,%,Ormaiztegi,8.9
2018,Emakumea,,,,,,Ormaiztegi,%,Ormaiztegi,12.6
2016,Emakumea,,,,,,Ormaiztegi,%,Ormaiztegi,14.2
2019,Emakumea,,,,,,Ormaiztegi,%,Ormaiztegi,10.2
2022,Emakumea,,,,,,Ormaiztegi,%,Ormaiztegi,8.8
2020,Emakumea,,,,,,Ormaiztegi,%,Ormaiztegi,8.4
2010,Emakumea,,,,,,Ormaiztegi,%,Ormaiztegi,8.8
2015,Emakumea,,,,,,Ormaiztegi,%,Ormaiztegi,11.0
2016,Emakumea,,,,,,Orozko,%,Orozko,13.9
2019,Emakumea,,,,,,Orozko,%,Orozko,9.8
2018,Emakumea,,,,,,Orozko,%,Orozko,9.7
2023,Emakumea,,,,,,Orozko,%,Orozko,10.3
2021,Emakumea,,,,,,Orozko,%,Orozko,10.8
2022,Emakumea,,,,,,Orozko,%,Orozko,11.2
2015,Emakumea,,,,,,Orozko,%,Orozko,13.8
2020,Emakumea,,,,,,Orozko,%,Orozko,10.9
2010,Emakumea,,,,,,Orozko,%,Orozko,6.6
2015,Emakumea,,,,,,Ortuella,%,Ortuella,20.0
2018,Emakumea,,,,,,Ortuella,%,Ortuella,16.7
2021,Emakumea,,,,,,Ortuella,%,Ortuella,18.1
2010,Emakumea,,,,,,Ortuella,%,Ortuella,8.8
2019,Emakumea,,,,,,Ortuella,%,Ortuella,16.2
2022,Emakumea,,,,,,Ortuella,%,Ortuella,15.8
2023,Emakumea,,,,,,Ortuella,%,Ortuella,14.7
2020,Emakumea,,,,,,Ortuella,%,Ortuella,14.6
2016,Emakumea,,,,,,Ortuella,%,Ortuella,22.0
2019,Emakumea,,,,,,Otxandio,%,Otxandio,8.0
2015,Emakumea,,,,,,Otxandio,%,Otxandio,12.4
2020,Emakumea,,,,,,Otxandio,%,Otxandio,8.5
2018,Emakumea,,,,,,Otxandio,%,Otxandio,9.1
2022,Emakumea,,,,,,Otxandio,%,Otxandio,10.7
2023,Emakumea,,,,,,Otxandio,%,Otxandio,10.4
2010,Emakumea,,,,,,Otxandio,%,Otxandio,5.6
2016,Emakumea,,,,,,Otxandio,%,Otxandio,12.9
2021,Emakumea,,,,,,Otxandio,%,Otxandio,9.2
2018,Emakumea,,,,,,Oyón-Oion,%,Oyón-Oion,24.6
2015,Emakumea,,,,,,Oyón-Oion,%,Oyón-Oion,25.0
2016,Emakumea,,,,,,Oyón-Oion,%,Oyón-Oion,29.1
2023,Emakumea,,,,,,Oyón-Oion,%,Oyón-Oion,16.4
2022,Emakumea,,,,,,Oyón-Oion,%,Oyón-Oion,18.0
2019,Emakumea,,,,,,Oyón-Oion,%,Oyón-Oion,24.7
2010,Emakumea,,,,,,Oyón-Oion,%,Oyón-Oion,18.1
2020,Emakumea,,,,,,Oyón-Oion,%,Oyón-Oion,21.2
2021,Emakumea,,,,,,Oyón-Oion,%,Oyón-Oion,19.5
2020,Emakumea,,,,,,Pasaia,%,Pasaia,10.7
2021,Emakumea,,,,,,Pasaia,%,Pasaia,12.3
2018,Emakumea,,,,,,Pasaia,%,Pasaia,13.3
2022,Emakumea,,,,,,Pasaia,%,Pasaia,10.2
2015,Emakumea,,,,,,Pasaia,%,Pasaia,15.4
2023,Emakumea,,,,,,Pasaia,%,Pasaia,9.4
2019,Emakumea,,,,,,Pasaia,%,Pasaia,11.7
2016,Emakumea,,,,,,Pasaia,%,Pasaia,15.7
2010,Emakumea,,,,,,Pasaia,%,Pasaia,9.0
2023,Emakumea,,,,,,Peñacerrada-Urizaharra,%,Peñacerrada-Urizaharra,8.7
2018,Emakumea,,,,,,Peñacerrada-Urizaharra,%,Peñacerrada-Urizaharra,11.8
2021,Emakumea,,,,,,Peñacerrada-Urizaharra,%,Peñacerrada-Urizaharra,4.2
2019,Emakumea,,,,,,Peñacerrada-Urizaharra,%,Peñacerrada-Urizaharra,6.3
2016,Emakumea,,,,,,Peñacerrada-Urizaharra,%,Peñacerrada-Urizaharra,6.8
2010,Emakumea,,,,,,Peñacerrada-Urizaharra,%,Peñacerrada-Urizaharra,10.7
2015,Emakumea,,,,,,Peñacerrada-Urizaharra,%,Peñacerrada-Urizaharra,8.6
2020,Emakumea,,,,,,Peñacerrada-Urizaharra,%,Peñacerrada-Urizaharra,4.7
2022,Emakumea,,,,,,Peñacerrada-Urizaharra,%,Peñacerrada-Urizaharra,2.8
2015,Emakumea,,,,,,Plentzia,%,Plentzia,16.2
2021,Emakumea,,,,,,Plentzia,%,Plentzia,12.0
2023,Emakumea,,,,,,Plentzia,%,Plentzia,7.5
2019,Emakumea,,,,,,Plentzia,%,Plentzia,11.5
2010,Emakumea,,,,,,Plentzia,%,Plentzia,10.1
2018,Emakumea,,,,,,Plentzia,%,Plentzia,13.6
2016,Emakumea,,,,,,Plentzia,%,Plentzia,16.4
2020,Emakumea,,,,,,Plentzia,%,Plentzia,11.6
2022,Emakumea,,,,,,Plentzia,%,Plentzia,10.3
