Year,Trebetasun informatikoa,Sexua,Adina,Lurralde historikoa,Units,Value
2021,Trebetasun informatikoren bat behintzat,Gizona,16-74 urte,Bizkaia,%,76.5
2020,Trebetasun informatikoren bat behintzat,Gizona,16-74 urte,Bizkaia,%,71.36
2019,Trebetasun informatikoren bat behintzat,Gizona,16-74 urte,Bizkaia,%,71.0
2022,Trebetasun informatikoren bat behintzat,Gizona,16-74 urte,Bizkaia,%,69.91
2023,Trebetasun informatikoren bat behintzat,Gizona,16-74 urte,Bizkaia,%,73.02
2022,Trebetasun informatikoren bat behintzat,Gizona,16-74 urte,Gipuzkoa,%,68.84
2020,Trebetasun informatikoren bat behintzat,Gizona,16-74 urte,Gipuzkoa,%,72.34
2019,Trebetasun informatikoren bat behintzat,Gizona,16-74 urte,Gipuzkoa,%,66.91
2021,Trebetasun informatikoren bat behintzat,Gizona,16-74 urte,Gipuzkoa,%,75.76
2023,Trebetasun informatikoren bat behintzat,Gizona,16-74 urte,Gipuzkoa,%,73.03
2022,Trebetasun informatikoren bat behintzat,Gizona,25-74 urte,,%,66.08
2020,Trebetasun informatikoren bat behintzat,Gizona,25-74 urte,,%,68.27
2021,Trebetasun informatikoren bat behintzat,Gizona,25-74 urte,,%,73.44
2023,Trebetasun informatikoren bat behintzat,Gizona,25-74 urte,,%,69.64
2019,Trebetasun informatikoren bat behintzat,Gizona,25-74 urte,,%,66.92
2023,Trebetasun informatikoren bat behintzat,Gizona,25-74 urte,Araba / Álava,%,64.99
2020,Trebetasun informatikoren bat behintzat,Gizona,25-74 urte,Araba / Álava,%,65.32
2021,Trebetasun informatikoren bat behintzat,Gizona,25-74 urte,Araba / Álava,%,73.2
2022,Trebetasun informatikoren bat behintzat,Gizona,25-74 urte,Araba / Álava,%,65.93
2019,Trebetasun informatikoren bat behintzat,Gizona,25-74 urte,Araba / Álava,%,68.85
2020,Trebetasun informatikoren bat behintzat,Gizona,25-74 urte,Bizkaia,%,68.8
2019,Trebetasun informatikoren bat behintzat,Gizona,25-74 urte,Bizkaia,%,68.19
2023,Trebetasun informatikoren bat behintzat,Gizona,25-74 urte,Bizkaia,%,70.81
2022,Trebetasun informatikoren bat behintzat,Gizona,25-74 urte,Bizkaia,%,66.92
2021,Trebetasun informatikoren bat behintzat,Gizona,25-74 urte,Bizkaia,%,74.31
2020,Trebetasun informatikoren bat behintzat,Gizona,25-74 urte,Gipuzkoa,%,68.8
2022,Trebetasun informatikoren bat behintzat,Gizona,25-74 urte,Gipuzkoa,%,64.8
2021,Trebetasun informatikoren bat behintzat,Gizona,25-74 urte,Gipuzkoa,%,72.14
2019,Trebetasun informatikoren bat behintzat,Gizona,25-74 urte,Gipuzkoa,%,64.03
2023,Trebetasun informatikoren bat behintzat,Gizona,25-74 urte,Gipuzkoa,%,69.92
2020,Fitxategiak edo karpetak kopiatu edo mugitu,,16-24 urte,,%,86.56
2022,Fitxategiak edo karpetak kopiatu edo mugitu,,16-24 urte,,%,87.44
2021,Fitxategiak edo karpetak kopiatu edo mugitu,,16-24 urte,,%,86.58
2019,Fitxategiak edo karpetak kopiatu edo mugitu,,16-24 urte,,%,89.41
2023,Fitxategiak edo karpetak kopiatu edo mugitu,,16-24 urte,,%,89.14
2023,Fitxategiak edo karpetak kopiatu edo mugitu,,16-24 urte,Araba / Álava,%,94.85
2021,Fitxategiak edo karpetak kopiatu edo mugitu,,16-24 urte,Araba / Álava,%,85.68
2020,Fitxategiak edo karpetak kopiatu edo mugitu,,16-24 urte,Araba / Álava,%,80.63
2022,Fitxategiak edo karpetak kopiatu edo mugitu,,16-24 urte,Araba / Álava,%,82.61
2019,Fitxategiak edo karpetak kopiatu edo mugitu,,16-24 urte,Araba / Álava,%,91.07
2019,Fitxategiak edo karpetak kopiatu edo mugitu,,16-24 urte,Bizkaia,%,90.0
2022,Fitxategiak edo karpetak kopiatu edo mugitu,,16-24 urte,Bizkaia,%,88.08
2023,Fitxategiak edo karpetak kopiatu edo mugitu,,16-24 urte,Bizkaia,%,87.1
2021,Fitxategiak edo karpetak kopiatu edo mugitu,,16-24 urte,Bizkaia,%,87.2
2020,Fitxategiak edo karpetak kopiatu edo mugitu,,16-24 urte,Bizkaia,%,83.31
