Year,Teknologia berriztagarri mota,Lurralde historikoa,Eskualdea,Udalerria,Units,GeoCode,Value
2021,Eolikoa,,,Alkiza,Watts per capita,Alkiza,0.0
2015,Eolikoa,,,Alkiza,Watts per capita,Alkiza,0.0
2019,Eolikoa,,,Alkiza,Watts per capita,Alkiza,0.0
2017,Eolikoa,,,Alkiza,Watts per capita,Alkiza,0.0
2014,Eolikoa,,,Alkiza,Watts per capita,Alkiza,0.0
2013,Eolikoa,,,Alkiza,Watts per capita,Alkiza,0.0
2011,Eolikoa,,,Alkiza,Watts per capita,Alkiza,0.0
2010,Eolikoa,,,Alkiza,Watts per capita,Alkiza,0.0
2018,Eolikoa,,,Alkiza,Watts per capita,Alkiza,0.0
2023,Eolikoa,,,Alkiza,Watts per capita,Alkiza,0.0
2016,Eolikoa,,,Alonsotegi,Watts per capita,Alonsotegi,0.1
2012,Eolikoa,,,Alonsotegi,Watts per capita,Alonsotegi,0.1
2021,Eolikoa,,,Alonsotegi,Watts per capita,Alonsotegi,0.1
2013,Eolikoa,,,Alonsotegi,Watts per capita,Alonsotegi,0.1
2017,Eolikoa,,,Alonsotegi,Watts per capita,Alonsotegi,0.1
2023,Eolikoa,,,Alonsotegi,Watts per capita,Alonsotegi,0.1
2018,Eolikoa,,,Alonsotegi,Watts per capita,Alonsotegi,0.1
2019,Eolikoa,,,Alonsotegi,Watts per capita,Alonsotegi,0.1
2014,Eolikoa,,,Alonsotegi,Watts per capita,Alonsotegi,0.1
2022,Eolikoa,,,Alonsotegi,Watts per capita,Alonsotegi,0.1
2020,Eolikoa,,,Alonsotegi,Watts per capita,Alonsotegi,0.1
2010,Eolikoa,,,Alonsotegi,Watts per capita,Alonsotegi,0.1
2015,Eolikoa,,,Alonsotegi,Watts per capita,Alonsotegi,0.1
2011,Eolikoa,,,Alonsotegi,Watts per capita,Alonsotegi,0.1
2012,Eolikoa,,,Altzaga,Watts per capita,Altzaga,0.0
2010,Eolikoa,,,Altzaga,Watts per capita,Altzaga,0.0
2022,Eolikoa,,,Altzaga,Watts per capita,Altzaga,0.0
2011,Eolikoa,,,Altzaga,Watts per capita,Altzaga,0.0
2014,Eolikoa,,,Altzaga,Watts per capita,Altzaga,0.0
2015,Eolikoa,,,Altzaga,Watts per capita,Altzaga,0.0
2023,Eolikoa,,,Altzaga,Watts per capita,Altzaga,0.0
2020,Eolikoa,,,Altzaga,Watts per capita,Altzaga,0.0
2019,Eolikoa,,,Altzaga,Watts per capita,Altzaga,0.0
2017,Eolikoa,,,Altzaga,Watts per capita,Altzaga,0.0
2013,Eolikoa,,,Altzaga,Watts per capita,Altzaga,0.0
2016,Eolikoa,,,Altzaga,Watts per capita,Altzaga,0.0
2021,Eolikoa,,,Altzaga,Watts per capita,Altzaga,0.0
2018,Eolikoa,,,Altzaga,Watts per capita,Altzaga,0.0
2019,Eolikoa,,,Altzo,Watts per capita,Altzo,0.0
2017,Eolikoa,,,Altzo,Watts per capita,Altzo,0.0
2023,Eolikoa,,,Altzo,Watts per capita,Altzo,0.0
2011,Eolikoa,,,Altzo,Watts per capita,Altzo,0.0
2012,Eolikoa,,,Altzo,Watts per capita,Altzo,0.0
2014,Eolikoa,,,Altzo,Watts per capita,Altzo,0.0
2016,Eolikoa,,,Altzo,Watts per capita,Altzo,0.0
2015,Eolikoa,,,Altzo,Watts per capita,Altzo,0.0
2018,Eolikoa,,,Altzo,Watts per capita,Altzo,0.0
2010,Eolikoa,,,Altzo,Watts per capita,Altzo,0.0
2013,Eolikoa,,,Altzo,Watts per capita,Altzo,0.0
2021,Eolikoa,,,Altzo,Watts per capita,Altzo,0.0
2022,Eolikoa,,,Altzo,Watts per capita,Altzo,0.0
2020,Eolikoa,,,Altzo,Watts per capita,Altzo,0.0
2020,Eolikoa,,,Amezketa,Watts per capita,Amezketa,0.0
2012,Eolikoa,,,Amezketa,Watts per capita,Amezketa,0.0
2022,Eolikoa,,,Amezketa,Watts per capita,Amezketa,0.0
2015,Eolikoa,,,Amezketa,Watts per capita,Amezketa,0.0
2019,Eolikoa,,,Amezketa,Watts per capita,Amezketa,0.0
2016,Eolikoa,,,Amezketa,Watts per capita,Amezketa,0.0
2010,Eolikoa,,,Amezketa,Watts per capita,Amezketa,0.0
2023,Eolikoa,,,Amezketa,Watts per capita,Amezketa,0.0
2014,Eolikoa,,,Amezketa,Watts per capita,Amezketa,0.0
2018,Eolikoa,,,Amezketa,Watts per capita,Amezketa,0.0
2017,Eolikoa,,,Amezketa,Watts per capita,Amezketa,0.0
2021,Eolikoa,,,Amezketa,Watts per capita,Amezketa,0.0
2013,Eolikoa,,,Amezketa,Watts per capita,Amezketa,0.0
2011,Eolikoa,,,Amezketa,Watts per capita,Amezketa,0.0
2022,Eolikoa,,,Amorebieta-Etxano,Watts per capita,Amorebieta-Etxano,0.2
2018,Eolikoa,,,Amorebieta-Etxano,Watts per capita,Amorebieta-Etxano,0.2
2015,Eolikoa,,,Amorebieta-Etxano,Watts per capita,Amorebieta-Etxano,0.1
2020,Eolikoa,,,Amorebieta-Etxano,Watts per capita,Amorebieta-Etxano,0.2
2017,Eolikoa,,,Amorebieta-Etxano,Watts per capita,Amorebieta-Etxano,0.2
2023,Eolikoa,,,Amorebieta-Etxano,Watts per capita,Amorebieta-Etxano,0.2
2021,Eolikoa,,,Amorebieta-Etxano,Watts per capita,Amorebieta-Etxano,0.2
2013,Eolikoa,,,Amorebieta-Etxano,Watts per capita,Amorebieta-Etxano,0.1
2011,Eolikoa,,,Amorebieta-Etxano,Watts per capita,Amorebieta-Etxano,0.1
2012,Eolikoa,,,Amorebieta-Etxano,Watts per capita,Amorebieta-Etxano,0.1
2014,Eolikoa,,,Amorebieta-Etxano,Watts per capita,Amorebieta-Etxano,0.1
2010,Eolikoa,,,Amorebieta-Etxano,Watts per capita,Amorebieta-Etxano,0.1
2019,Eolikoa,,,Amorebieta-Etxano,Watts per capita,Amorebieta-Etxano,0.2
2016,Eolikoa,,,Amorebieta-Etxano,Watts per capita,Amorebieta-Etxano,0.1
2017,Eolikoa,,,Amoroto,Watts per capita,Amoroto,0.0
2022,Eolikoa,,,Amoroto,Watts per capita,Amoroto,0.0
2019,Eolikoa,,,Amoroto,Watts per capita,Amoroto,0.0
2013,Eolikoa,,,Amoroto,Watts per capita,Amoroto,0.0
2011,Eolikoa,,,Amoroto,Watts per capita,Amoroto,0.0
2012,Eolikoa,,,Amoroto,Watts per capita,Amoroto,0.0
2016,Eolikoa,,,Amoroto,Watts per capita,Amoroto,0.0
2014,Eolikoa,,,Amoroto,Watts per capita,Amoroto,0.0
2010,Eolikoa,,,Amoroto,Watts per capita,Amoroto,0.0
2021,Eolikoa,,,Amoroto,Watts per capita,Amoroto,0.0
2023,Eolikoa,,,Amoroto,Watts per capita,Amoroto,0.0
2020,Eolikoa,,,Amoroto,Watts per capita,Amoroto,0.0
2018,Eolikoa,,,Amoroto,Watts per capita,Amoroto,0.0
2015,Eolikoa,,,Amoroto,Watts per capita,Amoroto,0.0
2014,Eolikoa,,,Amurrio,Watts per capita,Amurrio,0.4
2023,Eolikoa,,,Amurrio,Watts per capita,Amurrio,0.6
2011,Eolikoa,,,Amurrio,Watts per capita,Amurrio,0.5
2017,Eolikoa,,,Amurrio,Watts per capita,Amurrio,0.6
2010,Eolikoa,,,Amurrio,Watts per capita,Amurrio,0.5
2016,Eolikoa,,,Amurrio,Watts per capita,Amurrio,0.4
2019,Eolikoa,,,Amurrio,Watts per capita,Amurrio,0.6
2020,Eolikoa,,,Amurrio,Watts per capita,Amurrio,0.6
2012,Eolikoa,,,Amurrio,Watts per capita,Amurrio,0.5
2021,Eolikoa,,,Amurrio,Watts per capita,Amurrio,0.6
2015,Eolikoa,,,Amurrio,Watts per capita,Amurrio,0.4
2018,Eolikoa,,,Amurrio,Watts per capita,Amurrio,0.6
2022,Eolikoa,,,Amurrio,Watts per capita,Amurrio,0.6
2013,Eolikoa,,,Amurrio,Watts per capita,Amurrio,0.4
2017,Eolikoa,,,Andoain,Watts per capita,Andoain,0.0
2016,Eolikoa,,,Andoain,Watts per capita,Andoain,0.0
2013,Eolikoa,,,Andoain,Watts per capita,Andoain,0.0
2020,Eolikoa,,,Andoain,Watts per capita,Andoain,0.0
2023,Eolikoa,,,Andoain,Watts per capita,Andoain,0.0
2022,Eolikoa,,,Andoain,Watts per capita,Andoain,0.0
2010,Eolikoa,,,Andoain,Watts per capita,Andoain,0.0
2012,Eolikoa,,,Andoain,Watts per capita,Andoain,0.0
2018,Eolikoa,,,Andoain,Watts per capita,Andoain,0.0
2011,Eolikoa,,,Andoain,Watts per capita,Andoain,0.0
2014,Eolikoa,,,Andoain,Watts per capita,Andoain,0.0
2021,Eolikoa,,,Andoain,Watts per capita,Andoain,0.0
2019,Eolikoa,,,Andoain,Watts per capita,Andoain,0.0
2015,Eolikoa,,,Andoain,Watts per capita,Andoain,0.0
2017,Eolikoa,,,Anoeta,Watts per capita,Anoeta,0.0
2022,Eolikoa,,,Anoeta,Watts per capita,Anoeta,0.0
2021,Eolikoa,,,Anoeta,Watts per capita,Anoeta,0.0
2019,Eolikoa,,,Anoeta,Watts per capita,Anoeta,0.0
2020,Eolikoa,,,Anoeta,Watts per capita,Anoeta,0.0
2015,Eolikoa,,,Anoeta,Watts per capita,Anoeta,0.0
2014,Eolikoa,,,Anoeta,Watts per capita,Anoeta,0.0
2013,Eolikoa,,,Anoeta,Watts per capita,Anoeta,0.0
2011,Eolikoa,,,Anoeta,Watts per capita,Anoeta,0.0
2016,Eolikoa,,,Anoeta,Watts per capita,Anoeta,0.0
2018,Eolikoa,,,Anoeta,Watts per capita,Anoeta,0.0
2023,Eolikoa,,,Anoeta,Watts per capita,Anoeta,0.0
2012,Eolikoa,,,Anoeta,Watts per capita,Anoeta,0.0
2010,Eolikoa,,,Anoeta,Watts per capita,Anoeta,0.0
2017,Eolikoa,,,Antzuola,Watts per capita,Antzuola,0.0
2014,Eolikoa,,,Antzuola,Watts per capita,Antzuola,0.0
2012,Eolikoa,,,Antzuola,Watts per capita,Antzuola,0.0
2011,Eolikoa,,,Antzuola,Watts per capita,Antzuola,0.0
2013,Eolikoa,,,Antzuola,Watts per capita,Antzuola,0.0
2015,Eolikoa,,,Antzuola,Watts per capita,Antzuola,0.0
2023,Eolikoa,,,Antzuola,Watts per capita,Antzuola,0.0
2010,Eolikoa,,,Antzuola,Watts per capita,Antzuola,0.0
2016,Eolikoa,,,Antzuola,Watts per capita,Antzuola,0.0
2021,Eolikoa,,,Antzuola,Watts per capita,Antzuola,0.0
2018,Eolikoa,,,Antzuola,Watts per capita,Antzuola,0.0
2022,Eolikoa,,,Antzuola,Watts per capita,Antzuola,0.0
2019,Eolikoa,,,Antzuola,Watts per capita,Antzuola,0.0
2020,Eolikoa,,,Antzuola,Watts per capita,Antzuola,0.0
2015,Eolikoa,,,Añana,Watts per capita,Añana,0.0
2011,Eolikoa,,,Añana,Watts per capita,Añana,0.0
2018,Eolikoa,,,Añana,Watts per capita,Añana,0.0
2021,Eolikoa,,,Añana,Watts per capita,Añana,0.0
2012,Eolikoa,,,Añana,Watts per capita,Añana,0.0
2014,Eolikoa,,,Añana,Watts per capita,Añana,0.0
2016,Eolikoa,,,Añana,Watts per capita,Añana,0.0
2020,Eolikoa,,,Añana,Watts per capita,Añana,0.0
2019,Eolikoa,,,Añana,Watts per capita,Añana,0.0
2013,Eolikoa,,,Añana,Watts per capita,Añana,0.0
2023,Eolikoa,,,Añana,Watts per capita,Añana,0.0
2017,Eolikoa,,,Añana,Watts per capita,Añana,0.0
2010,Eolikoa,,,Añana,Watts per capita,Añana,0.0
2022,Eolikoa,,,Añana,Watts per capita,Añana,0.0
2022,Eolikoa,,,Arakaldo,Watts per capita,Arakaldo,0.0
2019,Eolikoa,,,Arakaldo,Watts per capita,Arakaldo,0.0
2010,Eolikoa,,,Arakaldo,Watts per capita,Arakaldo,0.0
2023,Eolikoa,,,Arakaldo,Watts per capita,Arakaldo,0.0
2021,Eolikoa,,,Arakaldo,Watts per capita,Arakaldo,0.0
2018,Eolikoa,,,Arakaldo,Watts per capita,Arakaldo,0.0
2016,Eolikoa,,,Arakaldo,Watts per capita,Arakaldo,0.0
2012,Eolikoa,,,Arakaldo,Watts per capita,Arakaldo,0.0
2014,Eolikoa,,,Arakaldo,Watts per capita,Arakaldo,0.0
2015,Eolikoa,,,Arakaldo,Watts per capita,Arakaldo,0.0
2020,Eolikoa,,,Arakaldo,Watts per capita,Arakaldo,0.0
2017,Eolikoa,,,Arakaldo,Watts per capita,Arakaldo,0.0
2013,Eolikoa,,,Arakaldo,Watts per capita,Arakaldo,0.0
2011,Eolikoa,,,Arakaldo,Watts per capita,Arakaldo,0.0
2019,Eolikoa,,,Arama,Watts per capita,Arama,0.0
2022,Eolikoa,,,Arama,Watts per capita,Arama,0.0
2012,Eolikoa,,,Arama,Watts per capita,Arama,0.0
2016,Eolikoa,,,Arama,Watts per capita,Arama,0.0
2018,Eolikoa,,,Arama,Watts per capita,Arama,0.0
2023,Eolikoa,,,Arama,Watts per capita,Arama,0.0
2021,Eolikoa,,,Arama,Watts per capita,Arama,0.0
2020,Eolikoa,,,Arama,Watts per capita,Arama,0.0
2017,Eolikoa,,,Arama,Watts per capita,Arama,0.0
2015,Eolikoa,,,Arama,Watts per capita,Arama,0.0
2010,Eolikoa,,,Arama,Watts per capita,Arama,0.0
2011,Eolikoa,,,Arama,Watts per capita,Arama,0.0
2013,Eolikoa,,,Arama,Watts per capita,Arama,0.0
2014,Eolikoa,,,Arama,Watts per capita,Arama,0.0
2023,Eolikoa,,,Aramaio,Watts per capita,Aramaio,0.0
2021,Eolikoa,,,Aramaio,Watts per capita,Aramaio,0.0
2019,Eolikoa,,,Aramaio,Watts per capita,Aramaio,0.0
2017,Eolikoa,,,Aramaio,Watts per capita,Aramaio,0.0
2011,Eolikoa,,,Aramaio,Watts per capita,Aramaio,0.0
2012,Eolikoa,,,Aramaio,Watts per capita,Aramaio,0.0
2010,Eolikoa,,,Aramaio,Watts per capita,Aramaio,0.0
2015,Eolikoa,,,Aramaio,Watts per capita,Aramaio,0.0
2014,Eolikoa,,,Aramaio,Watts per capita,Aramaio,0.0
2022,Eolikoa,,,Aramaio,Watts per capita,Aramaio,0.0
2018,Eolikoa,,,Aramaio,Watts per capita,Aramaio,0.0
2020,Eolikoa,,,Aramaio,Watts per capita,Aramaio,0.0
2016,Eolikoa,,,Aramaio,Watts per capita,Aramaio,0.0
2013,Eolikoa,,,Aramaio,Watts per capita,Aramaio,0.0
2011,Eolikoa,,,Arantzazu,Watts per capita,Arantzazu,0.0
2022,Eolikoa,,,Arantzazu,Watts per capita,Arantzazu,0.0
2018,Eolikoa,,,Arantzazu,Watts per capita,Arantzazu,0.0
2014,Eolikoa,,,Arantzazu,Watts per capita,Arantzazu,0.0
2015,Eolikoa,,,Arantzazu,Watts per capita,Arantzazu,0.0
2021,Eolikoa,,,Arantzazu,Watts per capita,Arantzazu,0.0
2019,Eolikoa,,,Arantzazu,Watts per capita,Arantzazu,0.0
2013,Eolikoa,,,Arantzazu,Watts per capita,Arantzazu,0.0
2016,Eolikoa,,,Arantzazu,Watts per capita,Arantzazu,0.0
2017,Eolikoa,,,Arantzazu,Watts per capita,Arantzazu,0.0
2020,Eolikoa,,,Arantzazu,Watts per capita,Arantzazu,0.0
2010,Eolikoa,,,Arantzazu,Watts per capita,Arantzazu,0.0
2012,Eolikoa,,,Arantzazu,Watts per capita,Arantzazu,0.0
2023,Eolikoa,,,Arantzazu,Watts per capita,Arantzazu,0.0
2023,Eolikoa,,,Areatza,Watts per capita,Areatza,0.3
2018,Eolikoa,,,Areatza,Watts per capita,Areatza,0.3
2015,Eolikoa,,,Areatza,Watts per capita,Areatza,0.3
2020,Eolikoa,,,Areatza,Watts per capita,Areatza,0.3
2017,Eolikoa,,,Areatza,Watts per capita,Areatza,0.3
2016,Eolikoa,,,Areatza,Watts per capita,Areatza,0.3
2012,Eolikoa,,,Areatza,Watts per capita,Areatza,0.3
2022,Eolikoa,,,Areatza,Watts per capita,Areatza,0.3
2014,Eolikoa,,,Areatza,Watts per capita,Areatza,0.3
2021,Eolikoa,,,Areatza,Watts per capita,Areatza,0.3
2019,Eolikoa,,,Areatza,Watts per capita,Areatza,0.3
2013,Eolikoa,,,Areatza,Watts per capita,Areatza,0.3
2011,Eolikoa,,,Areatza,Watts per capita,Areatza,0.3
2010,Eolikoa,,,Areatza,Watts per capita,Areatza,0.3
2011,Eolikoa,,,Aretxabaleta,Watts per capita,Aretxabaleta,289.1
2016,Eolikoa,,,Aretxabaleta,Watts per capita,Aretxabaleta,284.0
2018,Eolikoa,,,Aretxabaleta,Watts per capita,Aretxabaleta,279.0
2022,Eolikoa,,,Aretxabaleta,Watts per capita,Aretxabaleta,276.3
2014,Eolikoa,,,Aretxabaleta,Watts per capita,Aretxabaleta,283.8
2017,Eolikoa,,,Aretxabaleta,Watts per capita,Aretxabaleta,284.3
2010,Eolikoa,,,Aretxabaleta,Watts per capita,Aretxabaleta,295.0
2020,Eolikoa,,,Aretxabaleta,Watts per capita,Aretxabaleta,278.2
2013,Eolikoa,,,Aretxabaleta,Watts per capita,Aretxabaleta,283.1
2021,Eolikoa,,,Aretxabaleta,Watts per capita,Aretxabaleta,279.5
2019,Eolikoa,,,Aretxabaleta,Watts per capita,Aretxabaleta,279.7
2012,Eolikoa,,,Aretxabaleta,Watts per capita,Aretxabaleta,285.9
2023,Eolikoa,,,Aretxabaleta,Watts per capita,Aretxabaleta,274.7
2015,Eolikoa,,,Aretxabaleta,Watts per capita,Aretxabaleta,283.4
2022,Eolikoa,,,Armiñón,Watts per capita,Armiñón,0.0
2014,Eolikoa,,,Armiñón,Watts per capita,Armiñón,0.0
2019,Eolikoa,,,Armiñón,Watts per capita,Armiñón,0.0
2017,Eolikoa,,,Armiñón,Watts per capita,Armiñón,0.0
2016,Eolikoa,,,Armiñón,Watts per capita,Armiñón,0.0
2013,Eolikoa,,,Armiñón,Watts per capita,Armiñón,0.0
2018,Eolikoa,,,Armiñón,Watts per capita,Armiñón,0.0
2011,Eolikoa,,,Armiñón,Watts per capita,Armiñón,0.0
2020,Eolikoa,,,Armiñón,Watts per capita,Armiñón,0.0
2021,Eolikoa,,,Armiñón,Watts per capita,Armiñón,0.0
2023,Eolikoa,,,Armiñón,Watts per capita,Armiñón,0.0
2015,Eolikoa,,,Armiñón,Watts per capita,Armiñón,0.0
2010,Eolikoa,,,Armiñón,Watts per capita,Armiñón,0.0
2012,Eolikoa,,,Armiñón,Watts per capita,Armiñón,0.0
2012,Eolikoa,,,Arraia-Maeztu,Watts per capita,Arraia-Maeztu,0.7
2016,Eolikoa,,,Arraia-Maeztu,Watts per capita,Arraia-Maeztu,0.7
2010,Eolikoa,,,Arraia-Maeztu,Watts per capita,Arraia-Maeztu,0.1
2017,Eolikoa,,,Arraia-Maeztu,Watts per capita,Arraia-Maeztu,0.7
2020,Eolikoa,,,Arraia-Maeztu,Watts per capita,Arraia-Maeztu,0.6
2014,Eolikoa,,,Arraia-Maeztu,Watts per capita,Arraia-Maeztu,0.7
2019,Eolikoa,,,Arraia-Maeztu,Watts per capita,Arraia-Maeztu,0.7
2022,Eolikoa,,,Arraia-Maeztu,Watts per capita,Arraia-Maeztu,0.6
2021,Eolikoa,,,Arraia-Maeztu,Watts per capita,Arraia-Maeztu,0.6
2013,Eolikoa,,,Arraia-Maeztu,Watts per capita,Arraia-Maeztu,0.7
2018,Eolikoa,,,Arraia-Maeztu,Watts per capita,Arraia-Maeztu,0.7
2015,Eolikoa,,,Arraia-Maeztu,Watts per capita,Arraia-Maeztu,0.7
2023,Eolikoa,,,Arraia-Maeztu,Watts per capita,Arraia-Maeztu,0.6
2011,Eolikoa,,,Arraia-Maeztu,Watts per capita,Arraia-Maeztu,0.1
2023,Eolikoa,,,Arrankudiaga-Zollo,Watts per capita,Arrankudiaga-Zollo,0.0
2022,Eolikoa,,,Arrankudiaga-Zollo,Watts per capita,Arrankudiaga-Zollo,0.0
2020,Eolikoa,,,Arrankudiaga-Zollo,Watts per capita,Arrankudiaga-Zollo,0.0
2017,Eolikoa,,,Arrankudiaga-Zollo,Watts per capita,Arrankudiaga-Zollo,0.0
2016,Eolikoa,,,Arrankudiaga-Zollo,Watts per capita,Arrankudiaga-Zollo,0.0
2015,Eolikoa,,,Arrankudiaga-Zollo,Watts per capita,Arrankudiaga-Zollo,0.0
2013,Eolikoa,,,Arrankudiaga-Zollo,Watts per capita,Arrankudiaga-Zollo,0.0
2010,Eolikoa,,,Arrankudiaga-Zollo,Watts per capita,Arrankudiaga-Zollo,0.0
2011,Eolikoa,,,Arrankudiaga-Zollo,Watts per capita,Arrankudiaga-Zollo,0.0
2019,Eolikoa,,,Arrankudiaga-Zollo,Watts per capita,Arrankudiaga-Zollo,0.0
2014,Eolikoa,,,Arrankudiaga-Zollo,Watts per capita,Arrankudiaga-Zollo,0.0
2021,Eolikoa,,,Arrankudiaga-Zollo,Watts per capita,Arrankudiaga-Zollo,0.0
2018,Eolikoa,,,Arrankudiaga-Zollo,Watts per capita,Arrankudiaga-Zollo,0.0
2012,Eolikoa,,,Arrankudiaga-Zollo,Watts per capita,Arrankudiaga-Zollo,0.0
2018,Eolikoa,,,Arrasate / Mondragón,Watts per capita,Arrasate / Mondragón,0.0
2014,Eolikoa,,,Arrasate / Mondragón,Watts per capita,Arrasate / Mondragón,0.0
2015,Eolikoa,,,Arrasate / Mondragón,Watts per capita,Arrasate / Mondragón,0.0
2023,Eolikoa,,,Arrasate / Mondragón,Watts per capita,Arrasate / Mondragón,0.0
2021,Eolikoa,,,Arrasate / Mondragón,Watts per capita,Arrasate / Mondragón,0.0
2012,Eolikoa,,,Arrasate / Mondragón,Watts per capita,Arrasate / Mondragón,0.0
2020,Eolikoa,,,Arrasate / Mondragón,Watts per capita,Arrasate / Mondragón,0.0
2022,Eolikoa,,,Arrasate / Mondragón,Watts per capita,Arrasate / Mondragón,0.0
2016,Eolikoa,,,Arrasate / Mondragón,Watts per capita,Arrasate / Mondragón,0.0
2010,Eolikoa,,,Arrasate / Mondragón,Watts per capita,Arrasate / Mondragón,0.0
2019,Eolikoa,,,Arrasate / Mondragón,Watts per capita,Arrasate / Mondragón,0.0
2011,Eolikoa,,,Arrasate / Mondragón,Watts per capita,Arrasate / Mondragón,0.0
2013,Eolikoa,,,Arrasate / Mondragón,Watts per capita,Arrasate / Mondragón,0.0
2017,Eolikoa,,,Arrasate / Mondragón,Watts per capita,Arrasate / Mondragón,0.0
2012,Eolikoa,,,Arratzu,Watts per capita,Arratzu,0.0
2021,Eolikoa,,,Arratzu,Watts per capita,Arratzu,3.5
2013,Eolikoa,,,Arratzu,Watts per capita,Arratzu,0.0
2019,Eolikoa,,,Arratzu,Watts per capita,Arratzu,3.7
2023,Eolikoa,,,Arratzu,Watts per capita,Arratzu,7.4
2010,Eolikoa,,,Arratzu,Watts per capita,Arratzu,0.0
2020,Eolikoa,,,Arratzu,Watts per capita,Arratzu,3.6
2018,Eolikoa,,,Arratzu,Watts per capita,Arratzu,3.6
2016,Eolikoa,,,Arratzu,Watts per capita,Arratzu,3.7
2014,Eolikoa,,,Arratzu,Watts per capita,Arratzu,0.0
2022,Eolikoa,,,Arratzu,Watts per capita,Arratzu,3.6
2015,Eolikoa,,,Arratzu,Watts per capita,Arratzu,0.0
2011,Eolikoa,,,Arratzu,Watts per capita,Arratzu,0.0
2017,Eolikoa,,,Arratzu,Watts per capita,Arratzu,3.6
2014,Eolikoa,,,Arratzua-Ubarrundia,Watts per capita,Arratzua-Ubarrundia,1.3
2015,Eolikoa,,,Arratzua-Ubarrundia,Watts per capita,Arratzua-Ubarrundia,1.4
2022,Eolikoa,,,Arratzua-Ubarrundia,Watts per capita,Arratzua-Ubarrundia,1.3
2020,Eolikoa,,,Arratzua-Ubarrundia,Watts per capita,Arratzua-Ubarrundia,1.3
2018,Eolikoa,,,Arratzua-Ubarrundia,Watts per capita,Arratzua-Ubarrundia,1.4
2013,Eolikoa,,,Arratzua-Ubarrundia,Watts per capita,Arratzua-Ubarrundia,1.3
2016,Eolikoa,,,Arratzua-Ubarrundia,Watts per capita,Arratzua-Ubarrundia,1.4
2017,Eolikoa,,,Arratzua-Ubarrundia,Watts per capita,Arratzua-Ubarrundia,1.4
2023,Eolikoa,,,Arratzua-Ubarrundia,Watts per capita,Arratzua-Ubarrundia,1.3
2021,Eolikoa,,,Arratzua-Ubarrundia,Watts per capita,Arratzua-Ubarrundia,1.3
2011,Eolikoa,,,Arratzua-Ubarrundia,Watts per capita,Arratzua-Ubarrundia,1.4
2012,Eolikoa,,,Arratzua-Ubarrundia,Watts per capita,Arratzua-Ubarrundia,1.4
2010,Eolikoa,,,Arratzua-Ubarrundia,Watts per capita,Arratzua-Ubarrundia,1.4
2019,Eolikoa,,,Arratzua-Ubarrundia,Watts per capita,Arratzua-Ubarrundia,1.4
2019,Eolikoa,,,Arrieta,Watts per capita,Arrieta,0.7
2018,Eolikoa,,,Arrieta,Watts per capita,Arrieta,0.7
2017,Eolikoa,,,Arrieta,Watts per capita,Arrieta,0.7
2016,Eolikoa,,,Arrieta,Watts per capita,Arrieta,0.7
2014,Eolikoa,,,Arrieta,Watts per capita,Arrieta,0.7
2023,Eolikoa,,,Arrieta,Watts per capita,Arrieta,0.7
2013,Eolikoa,,,Arrieta,Watts per capita,Arrieta,0.7
2012,Eolikoa,,,Arrieta,Watts per capita,Arrieta,0.7
2015,Eolikoa,,,Arrieta,Watts per capita,Arrieta,0.7
2022,Eolikoa,,,Arrieta,Watts per capita,Arrieta,0.7
2021,Eolikoa,,,Arrieta,Watts per capita,Arrieta,0.7
2020,Eolikoa,,,Arrieta,Watts per capita,Arrieta,0.7
2011,Eolikoa,,,Arrieta,Watts per capita,Arrieta,0.7
2010,Eolikoa,,,Arrieta,Watts per capita,Arrieta,0.7
2015,Eolikoa,,,Arrigorriaga,Watts per capita,Arrigorriaga,0.0
2022,Eolikoa,,,Arrigorriaga,Watts per capita,Arrigorriaga,0.0
2016,Eolikoa,,,Arrigorriaga,Watts per capita,Arrigorriaga,0.0
2021,Eolikoa,,,Arrigorriaga,Watts per capita,Arrigorriaga,0.0
2019,Eolikoa,,,Arrigorriaga,Watts per capita,Arrigorriaga,0.0
2014,Eolikoa,,,Arrigorriaga,Watts per capita,Arrigorriaga,0.0
2011,Eolikoa,,,Arrigorriaga,Watts per capita,Arrigorriaga,0.0
2010,Eolikoa,,,Arrigorriaga,Watts per capita,Arrigorriaga,0.0
2017,Eolikoa,,,Arrigorriaga,Watts per capita,Arrigorriaga,0.0
2012,Eolikoa,,,Arrigorriaga,Watts per capita,Arrigorriaga,0.0
2023,Eolikoa,,,Arrigorriaga,Watts per capita,Arrigorriaga,0.0
2013,Eolikoa,,,Arrigorriaga,Watts per capita,Arrigorriaga,0.0
2018,Eolikoa,,,Arrigorriaga,Watts per capita,Arrigorriaga,0.0
2020,Eolikoa,,,Arrigorriaga,Watts per capita,Arrigorriaga,0.0
2019,Eolikoa,,,Artea,Watts per capita,Artea,2.6
2020,Eolikoa,,,Artea,Watts per capita,Artea,2.5
2015,Eolikoa,,,Artea,Watts per capita,Artea,2.6
2021,Eolikoa,,,Artea,Watts per capita,Artea,2.5
2016,Eolikoa,,,Artea,Watts per capita,Artea,2.6
2022,Eolikoa,,,Artea,Watts per capita,Artea,2.5
2018,Eolikoa,,,Artea,Watts per capita,Artea,2.6
2013,Eolikoa,,,Artea,Watts per capita,Artea,2.5
2011,Eolikoa,,,Artea,Watts per capita,Artea,2.5
2010,Eolikoa,,,Artea,Watts per capita,Artea,2.5
