Year,Lanbidea,Lan-egoera,Sexua,Lurralde historikoa,Units,Value
2013,,Ez erretiratuak,Emakumea,,10.000 biztanleko,211.9
2022,,Ez erretiratuak,Emakumea,,10.000 biztanleko,241.7
2016,,,Emakumea,,10.000 biztanleko,228.0
2018,,Ez erretiratuak,Emakumea,,10.000 biztanleko,228.0
2024,,Erretiratuak,Emakumea,,10.000 biztanleko,25.9
2021,,,Emakumea,,10.000 biztanleko,249.8
2019,,Ez erretiratuak,Emakumea,,10.000 biztanleko,229.9
2016,,Ez erretiratuak,Emakumea,,10.000 biztanleko,222.9
2015,,,Emakumea,,10.000 biztanleko,224.4
2011,,,Emakumea,,10.000 biztanleko,205.6
2021,,Erretiratuak,Emakumea,,10.000 biztanleko,10.1
2011,,Ez erretiratuak,Emakumea,,10.000 biztanleko,195.7
2015,,Ez erretiratuak,Emakumea,,10.000 biztanleko,220.1
2022,,,Emakumea,,10.000 biztanleko,252.6
2011,,,Emakumea,Araba / Álava,10.000 biztanleko,222.3
2014,,Ez erretiratuak,Emakumea,Araba / Álava,10.000 biztanleko,236.4
2013,,,Emakumea,Araba / Álava,10.000 biztanleko,233.0
2024,,,Emakumea,Araba / Álava,10.000 biztanleko,267.6
2015,,Ez erretiratuak,Emakumea,Araba / Álava,10.000 biztanleko,238.9
2022,,,Emakumea,Araba / Álava,10.000 biztanleko,262.2
2020,,Erretiratuak,Emakumea,Araba / Álava,10.000 biztanleko,7.8
2014,,,Emakumea,Araba / Álava,10.000 biztanleko,238.5
2011,,Ez erretiratuak,Emakumea,Araba / Álava,10.000 biztanleko,212.9
2024,,Ez erretiratuak,Emakumea,Araba / Álava,10.000 biztanleko,254.6
2016,,Ez erretiratuak,Emakumea,Araba / Álava,10.000 biztanleko,241.4
2021,,Ez erretiratuak,Emakumea,Araba / Álava,10.000 biztanleko,250.6
2023,,Erretiratuak,Emakumea,Araba / Álava,10.000 biztanleko,11.0
2020,,,Emakumea,Araba / Álava,10.000 biztanleko,256.1
2019,,,Emakumea,Araba / Álava,10.000 biztanleko,251.0
2015,,Erretiratuak,Emakumea,Araba / Álava,10.000 biztanleko,3.9
2023,,Ez erretiratuak,Emakumea,Araba / Álava,10.000 biztanleko,253.4
2021,,Erretiratuak,Emakumea,Araba / Álava,10.000 biztanleko,8.3
2022,,Ez erretiratuak,Emakumea,Araba / Álava,10.000 biztanleko,252.6
2017,,Erretiratuak,Emakumea,Araba / Álava,10.000 biztanleko,5.4
2016,,,Emakumea,Araba / Álava,10.000 biztanleko,246.1
2017,,,Emakumea,Araba / Álava,10.000 biztanleko,248.5
2010,,Ez erretiratuak,Emakumea,Araba / Álava,10.000 biztanleko,213.8
2012,,Erretiratuak,Emakumea,Araba / Álava,10.000 biztanleko,2.3
2020,,Ez erretiratuak,Emakumea,Araba / Álava,10.000 biztanleko,248.3
2023,,,Emakumea,Araba / Álava,10.000 biztanleko,264.4
2018,,,Emakumea,Araba / Álava,10.000 biztanleko,251.2
2024,,Erretiratuak,Emakumea,Araba / Álava,10.000 biztanleko,13.0
2010,,,Emakumea,Araba / Álava,10.000 biztanleko,216.1
2018,,Erretiratuak,Emakumea,Araba / Álava,10.000 biztanleko,5.9
2013,,Erretiratuak,Emakumea,Araba / Álava,10.000 biztanleko,2.1
2011,,Erretiratuak,Emakumea,Araba / Álava,10.000 biztanleko,3.8
2018,,Ez erretiratuak,Emakumea,Araba / Álava,10.000 biztanleko,245.4
2022,,Erretiratuak,Emakumea,Araba / Álava,10.000 biztanleko,9.6
2019,,Erretiratuak,Emakumea,Araba / Álava,10.000 biztanleko,7.1
2012,,,Emakumea,Araba / Álava,10.000 biztanleko,229.9
2016,,Erretiratuak,Emakumea,Araba / Álava,10.000 biztanleko,4.8
2017,,Ez erretiratuak,Emakumea,Araba / Álava,10.000 biztanleko,243.2
2019,,Ez erretiratuak,Emakumea,Araba / Álava,10.000 biztanleko,243.8
2014,,Erretiratuak,Emakumea,Araba / Álava,10.000 biztanleko,2.1
2013,,Ez erretiratuak,Emakumea,Araba / Álava,10.000 biztanleko,230.8
2015,,,Emakumea,Araba / Álava,10.000 biztanleko,242.7
2010,,Erretiratuak,Emakumea,Araba / Álava,10.000 biztanleko,2.3
2021,,,Emakumea,Araba / Álava,10.000 biztanleko,258.9
2012,,Ez erretiratuak,Emakumea,Araba / Álava,10.000 biztanleko,227.5
2023,,,Emakumea,Bizkaia,10.000 biztanleko,257.4
2010,,Ez erretiratuak,Emakumea,Bizkaia,10.000 biztanleko,193.2
2022,,,Emakumea,Bizkaia,10.000 biztanleko,252.7
2021,,Erretiratuak,Emakumea,Bizkaia,10.000 biztanleko,10.2
2023,,Erretiratuak,Emakumea,Bizkaia,10.000 biztanleko,12.1
2016,,,Emakumea,Bizkaia,10.000 biztanleko,225.6
2018,,Ez erretiratuak,Emakumea,Bizkaia,10.000 biztanleko,227.4
2024,,Ez erretiratuak,Emakumea,Bizkaia,10.000 biztanleko,249.0
2020,,Erretiratuak,Emakumea,Bizkaia,10.000 biztanleko,8.7
2012,,Erretiratuak,Emakumea,Bizkaia,10.000 biztanleko,2.8
2011,,Erretiratuak,Emakumea,Bizkaia,10.000 biztanleko,2.5
2016,,Ez erretiratuak,Emakumea,Bizkaia,10.000 biztanleko,220.5
2014,,,Emakumea,Bizkaia,10.000 biztanleko,215.4
2015,,,Emakumea,Bizkaia,10.000 biztanleko,221.2
2017,,Ez erretiratuak,Emakumea,Bizkaia,10.000 biztanleko,223.8
2014,,Ez erretiratuak,Emakumea,Bizkaia,10.000 biztanleko,211.6
2020,,,Emakumea,Bizkaia,10.000 biztanleko,245.0
2010,,,Emakumea,Bizkaia,10.000 biztanleko,195.9
2018,,Erretiratuak,Emakumea,Bizkaia,10.000 biztanleko,6.2
