Year,Series,Sexua,Kontratu mota,Lurralde historikoa,Eskualdea,Udalerria,Units,GeoCode,Value
2019,Okupazio-tasa,,,,,Arantzazu,%,Arantzazu,72.0
2016,Okupazio-tasa,,,,,Arantzazu,%,Arantzazu,71.6
2018,Okupazio-tasa,,,,,Arantzazu,%,Arantzazu,70.7
2022,Okupazio-tasa,,,,,Arantzazu,%,Arantzazu,73.3
2010,Okupazio-tasa,,,,,Arantzazu,%,Arantzazu,67.6
2015,Okupazio-tasa,,,,,Arantzazu,%,Arantzazu,68.3
2023,Okupazio-tasa,,,,,Arantzazu,%,Arantzazu,77.7
2021,Okupazio-tasa,,,,,Arantzazu,%,Arantzazu,70.0
2020,Okupazio-tasa,,,,,Areatza,%,Areatza,71.7
2023,Okupazio-tasa,,,,,Areatza,%,Areatza,75.2
2019,Okupazio-tasa,,,,,Areatza,%,Areatza,73.8
2018,Okupazio-tasa,,,,,Areatza,%,Areatza,71.5
2016,Okupazio-tasa,,,,,Areatza,%,Areatza,69.5
2021,Okupazio-tasa,,,,,Areatza,%,Areatza,69.1
2022,Okupazio-tasa,,,,,Areatza,%,Areatza,72.0
2015,Okupazio-tasa,,,,,Areatza,%,Areatza,68.1
2010,Okupazio-tasa,,,,,Areatza,%,Areatza,68.3
2020,Okupazio-tasa,,,,,Aretxabaleta,%,Aretxabaleta,77.0
2023,Okupazio-tasa,,,,,Aretxabaleta,%,Aretxabaleta,79.2
2016,Okupazio-tasa,,,,,Aretxabaleta,%,Aretxabaleta,72.7
2018,Okupazio-tasa,,,,,Aretxabaleta,%,Aretxabaleta,75.4
2010,Okupazio-tasa,,,,,Aretxabaleta,%,Aretxabaleta,70.3
2021,Okupazio-tasa,,,,,Aretxabaleta,%,Aretxabaleta,75.8
2019,Okupazio-tasa,,,,,Aretxabaleta,%,Aretxabaleta,75.5
2022,Okupazio-tasa,,,,,Aretxabaleta,%,Aretxabaleta,77.7
2015,Okupazio-tasa,,,,,Aretxabaleta,%,Aretxabaleta,70.8
2023,Okupazio-tasa,,,,,Armiñón,%,Armiñón,76.3
2020,Okupazio-tasa,,,,,Armiñón,%,Armiñón,73.3
2019,Okupazio-tasa,,,,,Armiñón,%,Armiñón,77.0
2021,Okupazio-tasa,,,,,Armiñón,%,Armiñón,72.1
2022,Okupazio-tasa,,,,,Armiñón,%,Armiñón,77.7
2018,Okupazio-tasa,,,,,Armiñón,%,Armiñón,78.8
2010,Okupazio-tasa,,,,,Armiñón,%,Armiñón,69.0
2015,Okupazio-tasa,,,,,Armiñón,%,Armiñón,75.8
2016,Okupazio-tasa,,,,,Armiñón,%,Armiñón,73.2
2021,Okupazio-tasa,,,,,Arraia-Maeztu,%,Arraia-Maeztu,79.5
2022,Okupazio-tasa,,,,,Arraia-Maeztu,%,Arraia-Maeztu,82.9
2010,Okupazio-tasa,,,,,Arraia-Maeztu,%,Arraia-Maeztu,75.0
2015,Okupazio-tasa,,,,,Arraia-Maeztu,%,Arraia-Maeztu,76.4
2016,Okupazio-tasa,,,,,Arraia-Maeztu,%,Arraia-Maeztu,76.7
2020,Okupazio-tasa,,,,,Arraia-Maeztu,%,Arraia-Maeztu,81.7
2018,Okupazio-tasa,,,,,Arraia-Maeztu,%,Arraia-Maeztu,79.4
2019,Okupazio-tasa,,,,,Arraia-Maeztu,%,Arraia-Maeztu,79.8
2023,Okupazio-tasa,,,,,Arraia-Maeztu,%,Arraia-Maeztu,83.4
2019,Okupazio-tasa,,,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,74.0
2023,Okupazio-tasa,,,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,79.0
2021,Okupazio-tasa,,,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,74.7
2020,Okupazio-tasa,,,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,73.6
2018,Okupazio-tasa,,,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,74.7
