Year,Series,Gaixotasun ez-kutsakorra,Sexua,Lurralde historikoa,Eskualdea,Udalerria,Units,GeoCode,Value
2018,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,Bizkaia,,,100.000 biztanleko,Bizkaia,691.0
2023,Heriotza-tasa,Gaixotasun kardiobaskularrak,,Bizkaia,,,100.000 biztanleko,Bizkaia,259.4
2016,Heriotza-tasa,Minbizia,,Bizkaia,,,100.000 biztanleko,Bizkaia,303.7
2012,Heriotza-tasa,Gaixotasun kardiobaskularrak,,Bizkaia,,,100.000 biztanleko,Bizkaia,285.8
2016,Heriotza-tasa,Arnas gaixotasun kronikoak,,Bizkaia,,,100.000 biztanleko,Bizkaia,79.5
2020,Heriotza-tasa,Minbizia,,Bizkaia,,,100.000 biztanleko,Bizkaia,292.3
2015,Heriotza-tasa,Diabetesa,,Bizkaia,,,100.000 biztanleko,Bizkaia,23.8
2020,Heriotza-tasa,Diabetesa,,Bizkaia,,,100.000 biztanleko,Bizkaia,24.4
2013,Heriotza-tasa,Gaixotasun kardiobaskularrak,,Bizkaia,,,100.000 biztanleko,Bizkaia,263.0
2015,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,Bizkaia,,,100.000 biztanleko,Bizkaia,696.8
2015,Heriotza-tasa,Arnas gaixotasun kronikoak,,Bizkaia,,,100.000 biztanleko,Bizkaia,83.8
2013,Heriotza-tasa,Diabetesa,,Bizkaia,,,100.000 biztanleko,Bizkaia,22.4
2020,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,Bizkaia,,,100.000 biztanleko,Bizkaia,651.0
2022,Heriotza-tasa,Arnas gaixotasun kronikoak,,Bizkaia,,,100.000 biztanleko,Bizkaia,61.3
2018,Heriotza-tasa,Arnas gaixotasun kronikoak,,Bizkaia,,,100.000 biztanleko,Bizkaia,89.1
2019,Heriotza-tasa,Gaixotasun kardiobaskularrak,,Bizkaia,,,100.000 biztanleko,Bizkaia,276.2
2014,Heriotza-tasa,Gaixotasun kardiobaskularrak,,Bizkaia,,,100.000 biztanleko,Bizkaia,274.4
2018,Heriotza-tasa,Minbizia,,Bizkaia,,,100.000 biztanleko,Bizkaia,293.8
2012,Heriotza-tasa,Diabetesa,,Bizkaia,,,100.000 biztanleko,Bizkaia,21.8
2022,Heriotza-tasa,Gaixotasun kardiobaskularrak,,Bizkaia,,,100.000 biztanleko,Bizkaia,275.1
2020,Heriotza-tasa,Gaixotasun kardiobaskularrak,,Bizkaia,,,100.000 biztanleko,Bizkaia,277.0
2017,Heriotza-tasa,Gaixotasun kardiobaskularrak,,Bizkaia,,,100.000 biztanleko,Bizkaia,285.9
2014,Heriotza-tasa,Diabetesa,,Bizkaia,,,100.000 biztanleko,Bizkaia,22.3
2019,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,Bizkaia,,,100.000 biztanleko,Bizkaia,676.6
2010,Heriotza-tasa,Minbizia,,Bizkaia,,,100.000 biztanleko,Bizkaia,287.6
2012,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,Bizkaia,,,100.000 biztanleko,Bizkaia,669.6
2018,Heriotza-tasa,Gaixotasun kardiobaskularrak,,Bizkaia,,,100.000 biztanleko,Bizkaia,287.8
2016,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,Bizkaia,,,100.000 biztanleko,Bizkaia,689.2
