Year,Teknologia,Lurralde historikoa,Units,Value
2018,"Zuntz hibridoa, kable ardazkidea (HFC)",Bizkaia,100 pertsonako,13.9
2017,"Zuntz hibridoa, kable ardazkidea (HFC)",Bizkaia,100 pertsonako,14.0
2016,"Zuntz hibridoa, kable ardazkidea (HFC)",Bizkaia,100 pertsonako,13.7
2015,"Zuntz hibridoa, kable ardazkidea (HFC)",Bizkaia,100 pertsonako,13.3
2014,"Zuntz hibridoa, kable ardazkidea (HFC)",Bizkaia,100 pertsonako,12.9
2013,"Zuntz hibridoa, kable ardazkidea (HFC)",Bizkaia,100 pertsonako,12.7
2012,"Zuntz hibridoa, kable ardazkidea (HFC)",Bizkaia,100 pertsonako,12.1
2011,"Zuntz hibridoa, kable ardazkidea (HFC)",Bizkaia,100 pertsonako,12.1
2010,"Zuntz hibridoa, kable ardazkidea (HFC)",Bizkaia,100 pertsonako,11.3
2020,"Zuntz hibridoa, kable ardazkidea (HFC)",Bizkaia,100 pertsonako,13.4
2019,"Zuntz hibridoa, kable ardazkidea (HFC)",Gipuzkoa,100 pertsonako,12.1
2023,"Zuntz hibridoa, kable ardazkidea (HFC)",Gipuzkoa,100 pertsonako,5.2
2024,"Zuntz hibridoa, kable ardazkidea (HFC)",Gipuzkoa,100 pertsonako,3.3
2022,"Zuntz hibridoa, kable ardazkidea (HFC)",Gipuzkoa,100 pertsonako,8.1
2021,"Zuntz hibridoa, kable ardazkidea (HFC)",Gipuzkoa,100 pertsonako,10.0
2020,"Zuntz hibridoa, kable ardazkidea (HFC)",Gipuzkoa,100 pertsonako,11.7
2018,"Zuntz hibridoa, kable ardazkidea (HFC)",Gipuzkoa,100 pertsonako,12.1
2017,"Zuntz hibridoa, kable ardazkidea (HFC)",Gipuzkoa,100 pertsonako,12.2
2016,"Zuntz hibridoa, kable ardazkidea (HFC)",Gipuzkoa,100 pertsonako,12.1
2015,"Zuntz hibridoa, kable ardazkidea (HFC)",Gipuzkoa,100 pertsonako,11.9
2014,"Zuntz hibridoa, kable ardazkidea (HFC)",Gipuzkoa,100 pertsonako,11.6
2012,"Zuntz hibridoa, kable ardazkidea (HFC)",Gipuzkoa,100 pertsonako,10.9
