Year,Profesion,SituacLabor,Sexo,Territorio,Units,Value
2017,,EU_SIT_NOJUB,F,ES212,PER_10000_POP,219.9
2013,,EU_SIT_NOJUB,F,ES212,PER_10000_POP,210.2
2017,,,F,ES212,PER_10000_POP,226.3
2016,,EU_SIT_JUB,F,ES212,PER_10000_POP,5.4
2020,,EU_SIT_JUB,F,ES212,PER_10000_POP,9.6
2015,,EU_SIT_JUB,F,ES212,PER_10000_POP,4.7
2010,,EU_SIT_NOJUB,F,ES212,PER_10000_POP,201.3
2021,,EU_SIT_NOJUB,F,ES212,PER_10000_POP,234.7
2012,,,F,ES212,PER_10000_POP,207.9
2023,,EU_SIT_JUB,F,ES212,PER_10000_POP,58.6
2022,,EU_SIT_JUB,F,ES212,PER_10000_POP,12.9
2014,,,F,ES212,PER_10000_POP,218.5
2023,,EU_SIT_NOJUB,F,ES212,PER_10000_POP,238.7
2019,,EU_SIT_NOJUB,F,ES212,PER_10000_POP,224.0
2022,,,F,ES212,PER_10000_POP,248.2
2010,,,F,ES212,PER_10000_POP,203.3
2017,,EU_SIT_JUB,F,ES212,PER_10000_POP,6.4
2019,,EU_SIT_JUB,F,ES212,PER_10000_POP,8.6
2012,,EU_SIT_JUB,F,ES212,PER_10000_POP,3.2
2018,,,F,ES212,PER_10000_POP,228.5
2012,,EU_SIT_NOJUB,F,ES212,PER_10000_POP,204.7
2015,,EU_SIT_NOJUB,F,ES212,PER_10000_POP,216.8
2023,,,F,ES212,PER_10000_POP,297.3
2019,,,F,ES212,PER_10000_POP,232.6
2010,,EU_SIT_JUB,F,ES212,PER_10000_POP,2.0
2013,,EU_SIT_JUB,F,ES212,PER_10000_POP,3.5
2015,,,F,ES212,PER_10000_POP,221.5
2021,,,F,ES212,PER_10000_POP,245.4
2025,,,F,ES212,PER_10000_POP,302.1
2011,,,F,ES212,PER_10000_POP,203.7
2016,,,F,ES212,PER_10000_POP,223.9
2025,,EU_SIT_NOJUB,F,ES212,PER_10000_POP,245.6
2024,,EU_SIT_NOJUB,F,ES212,PER_10000_POP,241.7
2020,,EU_SIT_NOJUB,F,ES212,PER_10000_POP,231.0
2018,,EU_SIT_NOJUB,F,ES212,PER_10000_POP,221.0
2016,,EU_SIT_NOJUB,F,ES212,PER_10000_POP,218.5
2022,,EU_SIT_NOJUB,F,ES212,PER_10000_POP,235.2
2024,,EU_SIT_JUB,F,ES212,PER_10000_POP,52.4
2021,,EU_SIT_JUB,F,ES212,PER_10000_POP,10.7
2011,,EU_SIT_NOJUB,F,ES212,PER_10000_POP,194.4
2014,,EU_SIT_JUB,F,ES212,PER_10000_POP,4.0
2014,,EU_SIT_NOJUB,F,ES212,PER_10000_POP,214.5
2020,,,F,ES212,PER_10000_POP,240.6
2013,,,F,ES212,PER_10000_POP,213.6
2025,,EU_SIT_JUB,F,ES212,PER_10000_POP,56.6
2011,,EU_SIT_JUB,F,ES212,PER_10000_POP,2.4
2024,,,F,ES212,PER_10000_POP,294.0
2018,,EU_SIT_JUB,F,ES212,PER_10000_POP,7.4
2013,,EU_SIT_NOJUB,M,,PER_10000_POP,73.9
2015,,EU_SIT_NOJUB,M,,PER_10000_POP,74.0
2022,,EU_SIT_JUB,M,,PER_10000_POP,19.0
2017,,EU_SIT_JUB,M,,PER_10000_POP,12.9
2013,,EU_SIT_JUB,M,,PER_10000_POP,9.7
2020,,EU_SIT_NOJUB,M,,PER_10000_POP,74.8
2017,,,M,,PER_10000_POP,86.8
2010,,EU_SIT_JUB,M,,PER_10000_POP,7.9
2016,,EU_SIT_NOJUB,M,,PER_10000_POP,74.3
2023,,EU_SIT_JUB,M,,PER_10000_POP,22.6
2015,,EU_SIT_JUB,M,,PER_10000_POP,11.1
2025,,EU_SIT_NOJUB,M,,PER_10000_POP,73.8
2014,,EU_SIT_NOJUB,M,,PER_10000_POP,74.3
2016,,,M,,PER_10000_POP,86.3
2018,,EU_SIT_JUB,M,,PER_10000_POP,13.8
2012,,,M,,PER_10000_POP,83.9
2019,,,M,,PER_10000_POP,89.7
2019,,EU_SIT_NOJUB,M,,PER_10000_POP,73.9
2010,,,M,,PER_10000_POP,82.3
2013,,,M,,PER_10000_POP,83.6
2020,,EU_SIT_JUB,M,,PER_10000_POP,17.0
2011,,EU_SIT_JUB,M,,PER_10000_POP,8.2
2017,,EU_SIT_NOJUB,M,,PER_10000_POP,73.9
2018,,EU_SIT_NOJUB,M,,PER_10000_POP,74.3
2025,,,M,,PER_10000_POP,97.8
2014,,,M,,PER_10000_POP,84.6
2011,,,M,,PER_10000_POP,84.8
2023,,,M,,PER_10000_POP,96.6
2024,,EU_SIT_NOJUB,M,,PER_10000_POP,73.6
2016,,EU_SIT_JUB,M,,PER_10000_POP,11.9
2010,,EU_SIT_NOJUB,M,,PER_10000_POP,74.2
2025,,EU_SIT_JUB,M,,PER_10000_POP,24.0
2022,,EU_SIT_NOJUB,M,,PER_10000_POP,74.7
2021,,EU_SIT_NOJUB,M,,PER_10000_POP,74.7
2020,,,M,,PER_10000_POP,91.8
2015,,,M,,PER_10000_POP,85.2
2022,,,M,,PER_10000_POP,93.7
2019,,EU_SIT_JUB,M,,PER_10000_POP,15.7
2024,,EU_SIT_JUB,M,,PER_10000_POP,22.7
2023,,EU_SIT_NOJUB,M,,PER_10000_POP,74.0
2021,,,M,,PER_10000_POP,92.9
2012,,EU_SIT_NOJUB,M,,PER_10000_POP,74.4
2018,,,M,,PER_10000_POP,88.2
2021,,EU_SIT_JUB,M,,PER_10000_POP,18.2
2014,,EU_SIT_JUB,M,,PER_10000_POP,10.2
2024,,,M,,PER_10000_POP,96.3
2012,,EU_SIT_JUB,M,,PER_10000_POP,9.4
2011,,EU_SIT_NOJUB,M,,PER_10000_POP,68.5
2015,,EU_SIT_JUB,M,ES211,PER_10000_POP,11.0
2020,,EU_SIT_JUB,M,ES211,PER_10000_POP,16.3
2011,,,M,ES211,PER_10000_POP,76.3
2022,,,M,ES211,PER_10000_POP,85.6
2015,,EU_SIT_NOJUB,M,ES211,PER_10000_POP,68.4
