Year,Lurralde historikoa,Eskualdea,Udalerria,Units,GeoCode,Value
2020,,,Beizama,%,Beizama,17.1
2014,,,Beizama,%,Beizama,11.6
2018,,,Beizama,%,Beizama,14.8
2019,,,Beizama,%,Beizama,19.6
2020,,,Belauntza,%,Belauntza,0.9
2022,,,Belauntza,%,Belauntza,0.8
2015,,,Belauntza,%,Belauntza,1.2
2017,,,Belauntza,%,Belauntza,1.0
2018,,,Belauntza,%,Belauntza,0.8
2016,,,Belauntza,%,Belauntza,1.1
2014,,,Belauntza,%,Belauntza,1.4
2019,,,Belauntza,%,Belauntza,1.0
2021,,,Belauntza,%,Belauntza,0.8
2014,,,Berango,%,Berango,0.8
2017,,,Berango,%,Berango,0.5
2020,,,Berango,%,Berango,0.3
2015,,,Berango,%,Berango,0.7
2018,,,Berango,%,Berango,0.4
2022,,,Berango,%,Berango,0.2
2021,,,Berango,%,Berango,0.2
2016,,,Berango,%,Berango,0.6
2019,,,Berango,%,Berango,0.4
2017,,,Berantevilla,%,Berantevilla,3.5
2014,,,Berantevilla,%,Berantevilla,3.5
2022,,,Berantevilla,%,Berantevilla,4.4
2015,,,Berantevilla,%,Berantevilla,5.1
2020,,,Berantevilla,%,Berantevilla,3.8
2019,,,Berantevilla,%,Berantevilla,3.4
2021,,,Berantevilla,%,Berantevilla,5.3
2016,,,Berantevilla,%,Berantevilla,4.2
2018,,,Berantevilla,%,Berantevilla,3.8
2022,,,Berastegi,%,Berastegi,3.4
2020,,,Berastegi,%,Berastegi,2.6
2015,,,Berastegi,%,Berastegi,2.3
2021,,,Berastegi,%,Berastegi,2.7
2018,,,Berastegi,%,Berastegi,2.2
2017,,,Berastegi,%,Berastegi,3.0
2014,,,Berastegi,%,Berastegi,2.2
2019,,,Berastegi,%,Berastegi,3.0
2016,,,Berastegi,%,Berastegi,2.4
2021,,,Bergara,%,Bergara,0.7
2017,,,Bergara,%,Bergara,0.7
2014,,,Bergara,%,Bergara,0.6
2016,,,Bergara,%,Bergara,0.6
2019,,,Bergara,%,Bergara,0.7
2018,,,Bergara,%,Bergara,0.5
2015,,,Bergara,%,Bergara,0.6
2020,,,Bergara,%,Bergara,0.6
2022,,,Bergara,%,Bergara,0.8
2017,,,Bermeo,%,Bermeo,32.6
2015,,,Bermeo,%,Bermeo,13.1
2022,,,Bermeo,%,Bermeo,32.0
2016,,,Bermeo,%,Bermeo,14.5
2020,,,Bermeo,%,Bermeo,29.8
2021,,,Bermeo,%,Bermeo,24.2
2018,,,Bermeo,%,Bermeo,30.5
2019,,,Bermeo,%,Bermeo,32.3
2014,,,Bermeo,%,Bermeo,16.7
2020,,,Bernedo,%,Bernedo,5.4
2017,,,Bernedo,%,Bernedo,7.2
2016,,,Bernedo,%,Bernedo,7.4
2015,,,Bernedo,%,Bernedo,7.6
2021,,,Bernedo,%,Bernedo,6.9
2014,,,Bernedo,%,Bernedo,7.2
2019,,,Bernedo,%,Bernedo,6.5
2018,,,Bernedo,%,Bernedo,7.2
2022,,,Bernedo,%,Bernedo,6.2
2022,,,Berriatua,%,Berriatua,2.5
2016,,,Berriatua,%,Berriatua,1.3
2019,,,Berriatua,%,Berriatua,1.2
2017,,,Berriatua,%,Berriatua,1.1
2021,,,Berriatua,%,Berriatua,2.1
2014,,,Berriatua,%,Berriatua,1.4
2018,,,Berriatua,%,Berriatua,1.1
2020,,,Berriatua,%,Berriatua,1.5
2015,,,Berriatua,%,Berriatua,1.4
2015,,,Berriz,%,Berriz,0.7
2016,,,Berriz,%,Berriz,0.8
2014,,,Berriz,%,Berriz,0.7
2019,,,Berriz,%,Berriz,0.8
2022,,,Berriz,%,Berriz,1.4
2018,,,Berriz,%,Berriz,0.7
2020,,,Berriz,%,Berriz,0.9
2017,,,Berriz,%,Berriz,0.8
2021,,,Berriz,%,Berriz,1.1
2015,,,Berrobi,%,Berrobi,2.9
2016,,,Berrobi,%,Berrobi,2.7
2022,,,Berrobi,%,Berrobi,2.7
2021,,,Berrobi,%,Berrobi,2.9
2017,,,Berrobi,%,Berrobi,2.7
2019,,,Berrobi,%,Berrobi,2.6
2014,,,Berrobi,%,Berrobi,2.6
2020,,,Berrobi,%,Berrobi,2.7
2018,,,Berrobi,%,Berrobi,2.0
2015,,,Bidania-Goiatz,%,Bidania-Goiatz,5.3
2019,,,Bidania-Goiatz,%,Bidania-Goiatz,5.1
2014,,,Bidania-Goiatz,%,Bidania-Goiatz,4.3
2016,,,Bidania-Goiatz,%,Bidania-Goiatz,5.0
2021,,,Bidania-Goiatz,%,Bidania-Goiatz,4.2
2020,,,Bidania-Goiatz,%,Bidania-Goiatz,4.7
2018,,,Bidania-Goiatz,%,Bidania-Goiatz,4.4
2017,,,Bidania-Goiatz,%,Bidania-Goiatz,4.9
2022,,,Bidania-Goiatz,%,Bidania-Goiatz,4.4
2014,,,Bilbao,%,Bilbao,0.0
2021,,,Bilbao,%,Bilbao,0.0
2016,,,Bilbao,%,Bilbao,0.0
2020,,,Bilbao,%,Bilbao,0.0
2015,,,Bilbao,%,Bilbao,0.0
2017,,,Bilbao,%,Bilbao,0.1
2019,,,Bilbao,%,Bilbao,0.1
2018,,,Bilbao,%,Bilbao,0.1
2022,,,Bilbao,%,Bilbao,0.0
2022,,,Busturia,%,Busturia,5.0
2018,,,Busturia,%,Busturia,3.2
2021,,,Busturia,%,Busturia,4.3
2017,,,Busturia,%,Busturia,3.7
2015,,,Busturia,%,Busturia,4.5
2020,,,Busturia,%,Busturia,3.4
2019,,,Busturia,%,Busturia,3.5
2014,,,Busturia,%,Busturia,5.1
2016,,,Busturia,%,Busturia,3.9
2014,,,Campezo / Kanpezu,%,Campezo / Kanpezu,10.0
2017,,,Campezo / Kanpezu,%,Campezo / Kanpezu,9.9
2022,,,Campezo / Kanpezu,%,Campezo / Kanpezu,9.4
2018,,,Campezo / Kanpezu,%,Campezo / Kanpezu,11.0
2021,,,Campezo / Kanpezu,%,Campezo / Kanpezu,9.9
2016,,,Campezo / Kanpezu,%,Campezo / Kanpezu,11.6
2015,,,Campezo / Kanpezu,%,Campezo / Kanpezu,11.4
2020,,,Campezo / Kanpezu,%,Campezo / Kanpezu,8.3
2019,,,Campezo / Kanpezu,%,Campezo / Kanpezu,9.8
2015,,,Deba,%,Deba,0.9
2022,,,Deba,%,Deba,1.2
2018,,,Deba,%,Deba,0.8
2014,,,Deba,%,Deba,0.9
2020,,,Deba,%,Deba,1.0
2021,,,Deba,%,Deba,1.1
2019,,,Deba,%,Deba,1.0
2017,,,Deba,%,Deba,1.1
2016,,,Deba,%,Deba,0.9
2019,,,Derio,%,Derio,0.2
2022,,,Derio,%,Derio,0.1
2020,,,Derio,%,Derio,0.1
2014,,,Derio,%,Derio,0.2
2017,,,Derio,%,Derio,0.2
2016,,,Derio,%,Derio,0.2
2021,,,Derio,%,Derio,0.1
2018,,,Derio,%,Derio,0.1
2015,,,Derio,%,Derio,0.2
2018,,,Dima,%,Dima,6.0
2015,,,Dima,%,Dima,5.4
2019,,,Dima,%,Dima,7.1
2022,,,Dima,%,Dima,12.6
2014,,,Dima,%,Dima,5.1
2016,,,Dima,%,Dima,6.7
2020,,,Dima,%,Dima,7.0
2021,,,Dima,%,Dima,9.9
2017,,,Dima,%,Dima,6.5
2016,,,Donostia / San Sebastián,%,Donostia / San Sebastián,0.0
2017,,,Donostia / San Sebastián,%,Donostia / San Sebastián,0.0
2021,,,Donostia / San Sebastián,%,Donostia / San Sebastián,0.0
2020,,,Donostia / San Sebastián,%,Donostia / San Sebastián,0.0
2015,,,Donostia / San Sebastián,%,Donostia / San Sebastián,0.1
2019,,,Donostia / San Sebastián,%,Donostia / San Sebastián,0.0
2014,,,Donostia / San Sebastián,%,Donostia / San Sebastián,0.1
2018,,,Donostia / San Sebastián,%,Donostia / San Sebastián,0.0
2022,,,Donostia / San Sebastián,%,Donostia / San Sebastián,0.0
2017,,,Durango,%,Durango,0.1
2015,,,Durango,%,Durango,0.1
2018,,,Durango,%,Durango,0.1
2021,,,Durango,%,Durango,0.1
2022,,,Durango,%,Durango,0.1
2014,,,Durango,%,Durango,0.1
2016,,,Durango,%,Durango,0.1
2020,,,Durango,%,Durango,0.1
2019,,,Durango,%,Durango,0.1
2022,,,Ea,%,Ea,5.8
2016,,,Ea,%,Ea,5.2
2021,,,Ea,%,Ea,5.5
2020,,,Ea,%,Ea,5.1
2014,,,Ea,%,Ea,6.0
2018,,,Ea,%,Ea,4.5
2015,,,Ea,%,Ea,5.6
2019,,,Ea,%,Ea,5.2
2017,,,Ea,%,Ea,5.1
2019,,,Eibar,%,Eibar,0.2
2020,,,Eibar,%,Eibar,0.2
2016,,,Eibar,%,Eibar,0.1
2017,,,Eibar,%,Eibar,0.2
2014,,,Eibar,%,Eibar,0.1
2022,,,Eibar,%,Eibar,0.2
2015,,,Eibar,%,Eibar,0.1
2018,,,Eibar,%,Eibar,0.1
2021,,,Eibar,%,Eibar,0.2
2014,,,Elantxobe,%,Elantxobe,1.8
2016,,,Elantxobe,%,Elantxobe,1.3
2020,,,Elantxobe,%,Elantxobe,1.0
2019,,,Elantxobe,%,Elantxobe,1.1
2021,,,Elantxobe,%,Elantxobe,1.3
2018,,,Elantxobe,%,Elantxobe,1.0
2022,,,Elantxobe,%,Elantxobe,1.6
2015,,,Elantxobe,%,Elantxobe,1.6
2017,,,Elantxobe,%,Elantxobe,1.2
2018,,,Elburgo / Burgelu,%,Elburgo / Burgelu,13.9
2014,,,Elburgo / Burgelu,%,Elburgo / Burgelu,13.7
2015,,,Elburgo / Burgelu,%,Elburgo / Burgelu,20.6
2020,,,Elburgo / Burgelu,%,Elburgo / Burgelu,15.3
2019,,,Elburgo / Burgelu,%,Elburgo / Burgelu,14.6
2022,,,Elburgo / Burgelu,%,Elburgo / Burgelu,12.7
2016,,,Elburgo / Burgelu,%,Elburgo / Burgelu,16.2
2021,,,Elburgo / Burgelu,%,Elburgo / Burgelu,17.9
2017,,,Elburgo / Burgelu,%,Elburgo / Burgelu,13.9
2022,,,Elciego,%,Elciego,6.6
2020,,,Elciego,%,Elciego,10.4
2016,,,Elciego,%,Elciego,11.8
2015,,,Elciego,%,Elciego,11.4
2017,,,Elciego,%,Elciego,10.8
2019,,,Elciego,%,Elciego,10.5
2018,,,Elciego,%,Elciego,12.1
2021,,,Elciego,%,Elciego,9.2
2014,,,Elciego,%,Elciego,8.4
2019,,,Elduain,%,Elduain,6.6
2018,,,Elduain,%,Elduain,5.3
2020,,,Elduain,%,Elduain,6.2
2021,,,Elduain,%,Elduain,7.5
2015,,,Elduain,%,Elduain,6.0
2016,,,Elduain,%,Elduain,5.0
2022,,,Elduain,%,Elduain,9.5
2017,,,Elduain,%,Elduain,6.1
2014,,,Elduain,%,Elduain,6.6
2020,,,Elgeta,%,Elgeta,1.0
2016,,,Elgeta,%,Elgeta,1.0
2018,,,Elgeta,%,Elgeta,0.8
2019,,,Elgeta,%,Elgeta,1.1
2022,,,Elgeta,%,Elgeta,1.9
2014,,,Elgeta,%,Elgeta,0.7
2015,,,Elgeta,%,Elgeta,0.8
2017,,,Elgeta,%,Elgeta,1.2
2021,,,Elgeta,%,Elgeta,1.3
2019,,,Elgoibar,%,Elgoibar,0.4
2021,,,Elgoibar,%,Elgoibar,0.4
2017,,,Elgoibar,%,Elgoibar,0.4
2018,,,Elgoibar,%,Elgoibar,0.3
2022,,,Elgoibar,%,Elgoibar,0.5
2016,,,Elgoibar,%,Elgoibar,0.3
2020,,,Elgoibar,%,Elgoibar,0.4
2014,,,Elgoibar,%,Elgoibar,0.2
2015,,,Elgoibar,%,Elgoibar,0.3
2018,,,Elorrio,%,Elorrio,0.6
2020,,,Elorrio,%,Elorrio,0.6
2019,,,Elorrio,%,Elorrio,0.7
2022,,,Elorrio,%,Elorrio,1.1
2021,,,Elorrio,%,Elorrio,0.9
2016,,,Elorrio,%,Elorrio,0.7
2014,,,Elorrio,%,Elorrio,0.5
2015,,,Elorrio,%,Elorrio,0.4
2017,,,Elorrio,%,Elorrio,0.6
2018,,,Elvillar / Bilar,%,Elvillar / Bilar,44.1
2020,,,Elvillar / Bilar,%,Elvillar / Bilar,45.1
2021,,,Elvillar / Bilar,%,Elvillar / Bilar,43.5
2014,,,Elvillar / Bilar,%,Elvillar / Bilar,21.8
2022,,,Elvillar / Bilar,%,Elvillar / Bilar,38.9
2017,,,Elvillar / Bilar,%,Elvillar / Bilar,37.5
2016,,,Elvillar / Bilar,%,Elvillar / Bilar,33.7
2019,,,Elvillar / Bilar,%,Elvillar / Bilar,40.9
2015,,,Elvillar / Bilar,%,Elvillar / Bilar,28.6
2020,,,Erandio,%,Erandio,0.1
2017,,,Erandio,%,Erandio,0.1
2022,,,Erandio,%,Erandio,0.1
2015,,,Erandio,%,Erandio,0.1
2021,,,Erandio,%,Erandio,0.1
2016,,,Erandio,%,Erandio,0.1
2019,,,Erandio,%,Erandio,0.1
2014,,,Erandio,%,Erandio,0.1
2018,,,Erandio,%,Erandio,0.1
2016,,,Ereño,%,Ereño,8.6
2019,,,Ereño,%,Ereño,14.3
2015,,,Ereño,%,Ereño,9.6
2018,,,Ereño,%,Ereño,11.4
2022,,,Ereño,%,Ereño,19.4
2020,,,Ereño,%,Ereño,16.2
2014,,,Ereño,%,Ereño,12.1
2017,,,Ereño,%,Ereño,8.2
2021,,,Ereño,%,Ereño,16.8
2020,,,Ermua,%,Ermua,0.0
2019,,,Ermua,%,Ermua,0.0
2014,,,Ermua,%,Ermua,0.0
2018,,,Ermua,%,Ermua,0.0
2021,,,Ermua,%,Ermua,0.1
2022,,,Ermua,%,Ermua,0.1
2017,,,Ermua,%,Ermua,0.0
2016,,,Ermua,%,Ermua,0.1
2015,,,Ermua,%,Ermua,0.0
2015,,,Errenteria,%,Errenteria,0.1
2016,,,Errenteria,%,Errenteria,0.1
2022,,,Errenteria,%,Errenteria,0.2
2014,,,Errenteria,%,Errenteria,0.1
2018,,,Errenteria,%,Errenteria,0.1
2017,,,Errenteria,%,Errenteria,0.1
2019,,,Errenteria,%,Errenteria,0.1
2021,,,Errenteria,%,Errenteria,0.1
2020,,,Errenteria,%,Errenteria,0.1
2014,,,Errezil,%,Errezil,4.2
2015,,,Errezil,%,Errezil,4.3
2022,,,Errezil,%,Errezil,5.0
2019,,,Errezil,%,Errezil,6.2
2016,,,Errezil,%,Errezil,5.3
2018,,,Errezil,%,Errezil,4.9
2020,,,Errezil,%,Errezil,5.1
2021,,,Errezil,%,Errezil,4.7
2017,,,Errezil,%,Errezil,6.1
2021,,,Erriberagoitia / Ribera Alta,%,Erriberagoitia / Ribera Alta,24.9
2016,,,Erriberagoitia / Ribera Alta,%,Erriberagoitia / Ribera Alta,21.1
2019,,,Erriberagoitia / Ribera Alta,%,Erriberagoitia / Ribera Alta,22.3
2015,,,Erriberagoitia / Ribera Alta,%,Erriberagoitia / Ribera Alta,19.1
2017,,,Erriberagoitia / Ribera Alta,%,Erriberagoitia / Ribera Alta,19.3
2022,,,Erriberagoitia / Ribera Alta,%,Erriberagoitia / Ribera Alta,19.3
2018,,,Erriberagoitia / Ribera Alta,%,Erriberagoitia / Ribera Alta,21.4
2014,,,Erriberagoitia / Ribera Alta,%,Erriberagoitia / Ribera Alta,23.9
2020,,,Erriberagoitia / Ribera Alta,%,Erriberagoitia / Ribera Alta,22.3
2019,,,Errigoiti,%,Errigoiti,12.6
2020,,,Errigoiti,%,Errigoiti,13.6
2022,,,Errigoiti,%,Errigoiti,17.1
2017,,,Errigoiti,%,Errigoiti,12.8
2015,,,Errigoiti,%,Errigoiti,10.7
2016,,,Errigoiti,%,Errigoiti,12.2
2014,,,Errigoiti,%,Errigoiti,12.6
2018,,,Errigoiti,%,Errigoiti,10.9
2021,,,Errigoiti,%,Errigoiti,15.9
2018,,,Eskoriatza,%,Eskoriatza,0.7
2020,,,Eskoriatza,%,Eskoriatza,0.9
2021,,,Eskoriatza,%,Eskoriatza,1.1
2019,,,Eskoriatza,%,Eskoriatza,0.9
2017,,,Eskoriatza,%,Eskoriatza,0.8
2022,,,Eskoriatza,%,Eskoriatza,1.3
2014,,,Eskoriatza,%,Eskoriatza,0.6
2016,,,Eskoriatza,%,Eskoriatza,0.7
2015,,,Eskoriatza,%,Eskoriatza,0.6
2021,,,Etxebarri,%,Etxebarri,0.0
2022,,,Etxebarri,%,Etxebarri,0.0
2014,,,Etxebarri,%,Etxebarri,0.0
2017,,,Etxebarri,%,Etxebarri,0.0
2015,,,Etxebarri,%,Etxebarri,0.0
2020,,,Etxebarri,%,Etxebarri,0.0
2019,,,Etxebarri,%,Etxebarri,0.0
2018,,,Etxebarri,%,Etxebarri,0.0
2016,,,Etxebarri,%,Etxebarri,0.0
2022,,,Etxebarria,%,Etxebarria,1.6
2019,,,Etxebarria,%,Etxebarria,1.0
2016,,,Etxebarria,%,Etxebarria,0.8
2020,,,Etxebarria,%,Etxebarria,1.0
2018,,,Etxebarria,%,Etxebarria,0.8
2017,,,Etxebarria,%,Etxebarria,0.7
2021,,,Etxebarria,%,Etxebarria,1.4
2014,,,Etxebarria,%,Etxebarria,0.8
2015,,,Etxebarria,%,Etxebarria,0.8
2016,,,Ezkio-Itsaso,%,Ezkio-Itsaso,1.6
2018,,,Ezkio-Itsaso,%,Ezkio-Itsaso,1.4
2017,,,Ezkio-Itsaso,%,Ezkio-Itsaso,2.1
2014,,,Ezkio-Itsaso,%,Ezkio-Itsaso,1.5
2019,,,Ezkio-Itsaso,%,Ezkio-Itsaso,1.8
2021,,,Ezkio-Itsaso,%,Ezkio-Itsaso,1.9
2015,,,Ezkio-Itsaso,%,Ezkio-Itsaso,1.5
2022,,,Ezkio-Itsaso,%,Ezkio-Itsaso,2.7
2020,,,Ezkio-Itsaso,%,Ezkio-Itsaso,1.7
2022,,,Forua,%,Forua,6.2
2020,,,Forua,%,Forua,5.2
2014,,,Forua,%,Forua,4.3
2018,,,Forua,%,Forua,3.8
2017,,,Forua,%,Forua,4.1
2019,,,Forua,%,Forua,4.1
2016,,,Forua,%,Forua,4.5
2015,,,Forua,%,Forua,4.3
2021,,,Forua,%,Forua,5.7
2014,,,Fruiz,%,Fruiz,6.3
2018,,,Fruiz,%,Fruiz,3.5
2017,,,Fruiz,%,Fruiz,3.8
2016,,,Fruiz,%,Fruiz,4.7
2021,,,Fruiz,%,Fruiz,3.8
2020,,,Fruiz,%,Fruiz,3.3
2019,,,Fruiz,%,Fruiz,3.7
2015,,,Fruiz,%,Fruiz,5.4
2022,,,Fruiz,%,Fruiz,5.0
2021,,,Gabiria,%,Gabiria,6.1
2015,,,Gabiria,%,Gabiria,5.3
2017,,,Gabiria,%,Gabiria,5.3
2022,,,Gabiria,%,Gabiria,6.8
2016,,,Gabiria,%,Gabiria,5.1
2014,,,Gabiria,%,Gabiria,4.7
2020,,,Gabiria,%,Gabiria,5.1
2018,,,Gabiria,%,Gabiria,4.0
2019,,,Gabiria,%,Gabiria,4.8
2015,,,Gaintza,%,Gaintza,11.0
2017,,,Gaintza,%,Gaintza,13.0
2018,,,Gaintza,%,Gaintza,9.6
2020,,,Gaintza,%,Gaintza,11.7
2022,,,Gaintza,%,Gaintza,18.2
2016,,,Gaintza,%,Gaintza,11.0
2014,,,Gaintza,%,Gaintza,11.2
2019,,,Gaintza,%,Gaintza,12.7
2021,,,Gaintza,%,Gaintza,14.4
2022,,,Galdakao,%,Galdakao,0.2
2021,,,Galdakao,%,Galdakao,0.1
2014,,,Galdakao,%,Galdakao,0.2
2016,,,Galdakao,%,Galdakao,0.1
2015,,,Galdakao,%,Galdakao,0.2
2020,,,Galdakao,%,Galdakao,0.1
2019,,,Galdakao,%,Galdakao,0.1
2017,,,Galdakao,%,Galdakao,0.1
2018,,,Galdakao,%,Galdakao,0.1
2020,,,Galdames,%,Galdames,6.7
2021,,,Galdames,%,Galdames,7.6
2015,,,Galdames,%,Galdames,5.9
2019,,,Galdames,%,Galdames,6.5
2022,,,Galdames,%,Galdames,10.7
2017,,,Galdames,%,Galdames,6.9
2014,,,Galdames,%,Galdames,5.3
2016,,,Galdames,%,Galdames,7.5
2018,,,Galdames,%,Galdames,6.1
2020,,,Gamiz-Fika,%,Gamiz-Fika,9.0
2015,,,Gamiz-Fika,%,Gamiz-Fika,14.7
2014,,,Gamiz-Fika,%,Gamiz-Fika,13.9
2018,,,Gamiz-Fika,%,Gamiz-Fika,8.6
2022,,,Gamiz-Fika,%,Gamiz-Fika,10.2
2021,,,Gamiz-Fika,%,Gamiz-Fika,9.6
2017,,,Gamiz-Fika,%,Gamiz-Fika,9.7
2019,,,Gamiz-Fika,%,Gamiz-Fika,8.5
2016,,,Gamiz-Fika,%,Gamiz-Fika,11.1
2019,,,Garai,%,Garai,5.6
2022,,,Garai,%,Garai,11.5
2016,,,Garai,%,Garai,6.1
2021,,,Garai,%,Garai,8.9
2020,,,Garai,%,Garai,7.2
2015,,,Garai,%,Garai,5.2
2018,,,Garai,%,Garai,5.2
2017,,,Garai,%,Garai,5.5
2014,,,Garai,%,Garai,5.2
2021,,,Gatika,%,Gatika,3.0
2015,,,Gatika,%,Gatika,4.6
2019,,,Gatika,%,Gatika,3.1
2018,,,Gatika,%,Gatika,2.8
2020,,,Gatika,%,Gatika,3.5
2016,,,Gatika,%,Gatika,3.4
2014,,,Gatika,%,Gatika,3.7
2017,,,Gatika,%,Gatika,3.3
2022,,,Gatika,%,Gatika,3.2
2016,,,Gautegiz Arteaga,%,Gautegiz Arteaga,3.2
2019,,,Gautegiz Arteaga,%,Gautegiz Arteaga,2.5
2014,,,Gautegiz Arteaga,%,Gautegiz Arteaga,4.1
2017,,,Gautegiz Arteaga,%,Gautegiz Arteaga,2.6
2021,,,Gautegiz Arteaga,%,Gautegiz Arteaga,3.4
2015,,,Gautegiz Arteaga,%,Gautegiz Arteaga,3.7
2020,,,Gautegiz Arteaga,%,Gautegiz Arteaga,2.8
2018,,,Gautegiz Arteaga,%,Gautegiz Arteaga,2.3
2022,,,Gautegiz Arteaga,%,Gautegiz Arteaga,3.8
2017,,,Gaztelu,%,Gaztelu,14.1
2014,,,Gaztelu,%,Gaztelu,9.5
2019,,,Gaztelu,%,Gaztelu,16.0
2020,,,Gaztelu,%,Gaztelu,15.6
2015,,,Gaztelu,%,Gaztelu,10.8
2018,,,Gaztelu,%,Gaztelu,12.0
2022,,,Gaztelu,%,Gaztelu,17.3
2021,,,Gaztelu,%,Gaztelu,16.6
2016,,,Gaztelu,%,Gaztelu,13.0
2019,,,Gernika-Lumo,%,Gernika-Lumo,0.3
2014,,,Gernika-Lumo,%,Gernika-Lumo,0.2
2020,,,Gernika-Lumo,%,Gernika-Lumo,0.3
2016,,,Gernika-Lumo,%,Gernika-Lumo,0.2
2021,,,Gernika-Lumo,%,Gernika-Lumo,0.3
2017,,,Gernika-Lumo,%,Gernika-Lumo,0.2
2015,,,Gernika-Lumo,%,Gernika-Lumo,0.2
2022,,,Gernika-Lumo,%,Gernika-Lumo,0.3
2018,,,Gernika-Lumo,%,Gernika-Lumo,0.3
2018,,,Getaria,%,Getaria,22.4
2019,,,Getaria,%,Getaria,20.3
2017,,,Getaria,%,Getaria,24.1
2022,,,Getaria,%,Getaria,19.4
2016,,,Getaria,%,Getaria,19.1
2014,,,Getaria,%,Getaria,18.0
2015,,,Getaria,%,Getaria,20.6
2021,,,Getaria,%,Getaria,20.6
2020,,,Getaria,%,Getaria,17.2
2016,,,Getxo,%,Getxo,0.1
2014,,,Getxo,%,Getxo,0.1
2018,,,Getxo,%,Getxo,0.0
2019,,,Getxo,%,Getxo,0.0
2022,,,Getxo,%,Getxo,0.0
2015,,,Getxo,%,Getxo,0.1
2017,,,Getxo,%,Getxo,0.1
2020,,,Getxo,%,Getxo,0.0
2021,,,Getxo,%,Getxo,0.0
2017,,,Gizaburuaga,%,Gizaburuaga,1.4
2014,,,Gizaburuaga,%,Gizaburuaga,2.0
2021,,,Gizaburuaga,%,Gizaburuaga,2.5
2015,,,Gizaburuaga,%,Gizaburuaga,1.7
2016,,,Gizaburuaga,%,Gizaburuaga,1.8
2020,,,Gizaburuaga,%,Gizaburuaga,1.9
2019,,,Gizaburuaga,%,Gizaburuaga,1.9
2022,,,Gizaburuaga,%,Gizaburuaga,3.0
2018,,,Gizaburuaga,%,Gizaburuaga,1.5
2014,,,Gordexola,%,Gordexola,4.6
2022,,,Gordexola,%,Gordexola,6.5
2018,,,Gordexola,%,Gordexola,3.3
2017,,,Gordexola,%,Gordexola,3.5
2020,,,Gordexola,%,Gordexola,3.6
2019,,,Gordexola,%,Gordexola,3.8
2015,,,Gordexola,%,Gordexola,4.3
2016,,,Gordexola,%,Gordexola,4.3
2021,,,Gordexola,%,Gordexola,5.1
2020,,,Gorliz,%,Gorliz,0.4
2014,,,Gorliz,%,Gorliz,1.3
2018,,,Gorliz,%,Gorliz,0.6
2017,,,Gorliz,%,Gorliz,0.8
2015,,,Gorliz,%,Gorliz,1.3
2019,,,Gorliz,%,Gorliz,0.5
2021,,,Gorliz,%,Gorliz,0.4
2022,,,Gorliz,%,Gorliz,0.2
2016,,,Gorliz,%,Gorliz,1.0
2019,,,Güeñes,%,Güeñes,0.8
2014,,,Güeñes,%,Güeñes,1.2
2017,,,Güeñes,%,Güeñes,1.0
2022,,,Güeñes,%,Güeñes,2.0
2020,,,Güeñes,%,Güeñes,1.1
2015,,,Güeñes,%,Güeñes,1.2
2016,,,Güeñes,%,Güeñes,1.2
2018,,,Güeñes,%,Güeñes,1.0
2021,,,Güeñes,%,Güeñes,1.5
2022,,,Harana / Valle de Arana,%,Harana / Valle de Arana,26.7
2019,,,Harana / Valle de Arana,%,Harana / Valle de Arana,18.7
2016,,,Harana / Valle de Arana,%,Harana / Valle de Arana,24.2
2020,,,Harana / Valle de Arana,%,Harana / Valle de Arana,14.9
2014,,,Harana / Valle de Arana,%,Harana / Valle de Arana,26.4
2018,,,Harana / Valle de Arana,%,Harana / Valle de Arana,23.2
2021,,,Harana / Valle de Arana,%,Harana / Valle de Arana,35.9
2015,,,Harana / Valle de Arana,%,Harana / Valle de Arana,25.5
2017,,,Harana / Valle de Arana,%,Harana / Valle de Arana,22.6
2016,,,Hernani,%,Hernani,0.3
2021,,,Hernani,%,Hernani,0.2
2022,,,Hernani,%,Hernani,0.2
2018,,,Hernani,%,Hernani,0.2
2020,,,Hernani,%,Hernani,0.2
2019,,,Hernani,%,Hernani,0.2
2017,,,Hernani,%,Hernani,0.3
2015,,,Hernani,%,Hernani,0.4
2014,,,Hernani,%,Hernani,0.4
2019,,,Hernialde,%,Hernialde,4.4
2017,,,Hernialde,%,Hernialde,5.0
2014,,,Hernialde,%,Hernialde,3.6
2018,,,Hernialde,%,Hernialde,4.0
2016,,,Hernialde,%,Hernialde,4.3
2022,,,Hernialde,%,Hernialde,3.7
2020,,,Hernialde,%,Hernialde,4.4
2015,,,Hernialde,%,Hernialde,5.4
2021,,,Hernialde,%,Hernialde,4.0
2019,,,Hondarribia,%,Hondarribia,5.8
2015,,,Hondarribia,%,Hondarribia,5.3
2021,,,Hondarribia,%,Hondarribia,6.2
2022,,,Hondarribia,%,Hondarribia,5.1
2014,,,Hondarribia,%,Hondarribia,4.6
2020,,,Hondarribia,%,Hondarribia,4.6
2018,,,Hondarribia,%,Hondarribia,5.9
2016,,,Hondarribia,%,Hondarribia,4.9
2017,,,Hondarribia,%,Hondarribia,6.6
2022,,,Ibarra,%,Ibarra,0.4
2020,,,Ibarra,%,Ibarra,0.5
2014,,,Ibarra,%,Ibarra,0.6
2021,,,Ibarra,%,Ibarra,0.4
2019,,,Ibarra,%,Ibarra,0.4
2018,,,Ibarra,%,Ibarra,0.4
2016,,,Ibarra,%,Ibarra,0.4
2015,,,Ibarra,%,Ibarra,0.5
