Year,Sexua,Adina,Egoitza,Desgaitasunik ez duten pertsonak,Lurralde historikoa,Eskualdea,Udalerria,Units,GeoCode,Value
2016,,16 urte eta gehiago,,,,Arabako Mendialdea / Montaña Alavesa,,%,Arabako Mendialdea / Montaña Alavesa,10.4
2021,,16 urte eta gehiago,,,,Arratia Nerbioi / Arratia-Nervión,,%,Arratia Nerbioi / Arratia-Nervión,10.8
2010,,16 urte eta gehiago,,,,Arratia Nerbioi / Arratia-Nervión,,%,Arratia Nerbioi / Arratia-Nervión,8.1
2016,,16 urte eta gehiago,,,,Arratia Nerbioi / Arratia-Nervión,,%,Arratia Nerbioi / Arratia-Nervión,14.3
2018,,16 urte eta gehiago,,,,Arratia Nerbioi / Arratia-Nervión,,%,Arratia Nerbioi / Arratia-Nervión,11.1
2019,,16 urte eta gehiago,,,,Arratia Nerbioi / Arratia-Nervión,,%,Arratia Nerbioi / Arratia-Nervión,10.1
2015,,16 urte eta gehiago,,,,Arratia Nerbioi / Arratia-Nervión,,%,Arratia Nerbioi / Arratia-Nervión,14.6
2020,,16 urte eta gehiago,,,,Arratia Nerbioi / Arratia-Nervión,,%,Arratia Nerbioi / Arratia-Nervión,9.5
2019,,16 urte eta gehiago,,,,Bidasoa Beherea / Bajo Bidasoa,,%,Bidasoa Beherea / Bajo Bidasoa,10.8
2020,,16 urte eta gehiago,,,,Bidasoa Beherea / Bajo Bidasoa,,%,Bidasoa Beherea / Bajo Bidasoa,10.7
2010,,16 urte eta gehiago,,,,Bidasoa Beherea / Bajo Bidasoa,,%,Bidasoa Beherea / Bajo Bidasoa,10.5
2021,,16 urte eta gehiago,,,,Bidasoa Beherea / Bajo Bidasoa,,%,Bidasoa Beherea / Bajo Bidasoa,11.8
2018,,16 urte eta gehiago,,,,Bidasoa Beherea / Bajo Bidasoa,,%,Bidasoa Beherea / Bajo Bidasoa,11.9
2016,,16 urte eta gehiago,,,,Bidasoa Beherea / Bajo Bidasoa,,%,Bidasoa Beherea / Bajo Bidasoa,16.3
2015,,16 urte eta gehiago,,,,Bidasoa Beherea / Bajo Bidasoa,,%,Bidasoa Beherea / Bajo Bidasoa,17.3
2016,,16 urte eta gehiago,,,,Bilbo Handia / Gran Bilbao,,%,Bilbo Handia / Gran Bilbao,17.7
2020,,16 urte eta gehiago,,,,Bilbo Handia / Gran Bilbao,,%,Bilbo Handia / Gran Bilbao,11.6
2018,,16 urte eta gehiago,,,,Bilbo Handia / Gran Bilbao,,%,Bilbo Handia / Gran Bilbao,13.7
2010,,16 urte eta gehiago,,,,Bilbo Handia / Gran Bilbao,,%,Bilbo Handia / Gran Bilbao,10.6
2015,,16 urte eta gehiago,,,,Bilbo Handia / Gran Bilbao,,%,Bilbo Handia / Gran Bilbao,17.9
2021,,16 urte eta gehiago,,,,Bilbo Handia / Gran Bilbao,,%,Bilbo Handia / Gran Bilbao,12.9
2019,,16 urte eta gehiago,,,,Bilbo Handia / Gran Bilbao,,%,Bilbo Handia / Gran Bilbao,12.4
2019,,16 urte eta gehiago,,,,Debabarrena / Bajo Deba,,%,Debabarrena / Bajo Deba,10.4
