Year,Sexua,Adina,Egoitza,Desgaitasunik ez duten pertsonak,Lurralde historikoa,Eskualdea,Udalerria,Units,GeoCode,Value
2019,Emakumea,16 urte eta gehiago,,,,,Maruri-Jatabe,%,Maruri-Jatabe,8.0
2015,Emakumea,16 urte eta gehiago,,,,,Mendaro,%,Mendaro,15.6
2010,Emakumea,16 urte eta gehiago,,,,,Mendaro,%,Mendaro,9.5
2019,Emakumea,16 urte eta gehiago,,,,,Mendaro,%,Mendaro,9.9
2021,Emakumea,16 urte eta gehiago,,,,,Mendaro,%,Mendaro,10.2
2016,Emakumea,16 urte eta gehiago,,,,,Mendaro,%,Mendaro,14.4
2020,Emakumea,16 urte eta gehiago,,,,,Mendaro,%,Mendaro,9.7
2018,Emakumea,16 urte eta gehiago,,,,,Mendaro,%,Mendaro,12.0
2020,Emakumea,16 urte eta gehiago,,,,,Mendata,%,Mendata,5.8
2021,Emakumea,16 urte eta gehiago,,,,,Mendata,%,Mendata,7.2
2016,Emakumea,16 urte eta gehiago,,,,,Mendata,%,Mendata,12.1
2018,Emakumea,16 urte eta gehiago,,,,,Mendata,%,Mendata,5.9
2015,Emakumea,16 urte eta gehiago,,,,,Mendata,%,Mendata,7.1
2010,Emakumea,16 urte eta gehiago,,,,,Mendata,%,Mendata,3.7
2019,Emakumea,16 urte eta gehiago,,,,,Mendata,%,Mendata,7.2
2021,Emakumea,16 urte eta gehiago,,,,,Mendexa,%,Mendexa,8.7
2016,Emakumea,16 urte eta gehiago,,,,,Mendexa,%,Mendexa,9.1
2015,Emakumea,16 urte eta gehiago,,,,,Mendexa,%,Mendexa,7.4
2019,Emakumea,16 urte eta gehiago,,,,,Mendexa,%,Mendexa,4.5
2020,Emakumea,16 urte eta gehiago,,,,,Mendexa,%,Mendexa,6.3
2018,Emakumea,16 urte eta gehiago,,,,,Mendexa,%,Mendexa,5.6
2010,Emakumea,16 urte eta gehiago,,,,,Mendexa,%,Mendexa,7.5
2015,Emakumea,16 urte eta gehiago,,,,,Meñaka,%,Meñaka,7.5
2010,Emakumea,16 urte eta gehiago,,,,,Meñaka,%,Meñaka,6.5
2020,Emakumea,16 urte eta gehiago,,,,,Meñaka,%,Meñaka,5.6
2018,Emakumea,16 urte eta gehiago,,,,,Meñaka,%,Meñaka,4.7
2019,Emakumea,16 urte eta gehiago,,,,,Meñaka,%,Meñaka,8.7
2016,Emakumea,16 urte eta gehiago,,,,,Meñaka,%,Meñaka,7.8
2021,Emakumea,16 urte eta gehiago,,,,,Meñaka,%,Meñaka,7.3
2020,Emakumea,16 urte eta gehiago,,,,,Moreda de Álava / Moreda Araba,%,Moreda de Álava / Moreda Araba,14.0
2021,Emakumea,16 urte eta gehiago,,,,,Moreda de Álava / Moreda Araba,%,Moreda de Álava / Moreda Araba,11.5
2019,Emakumea,16 urte eta gehiago,,,,,Moreda de Álava / Moreda Araba,%,Moreda de Álava / Moreda Araba,11.7
2015,Emakumea,16 urte eta gehiago,,,,,Moreda de Álava / Moreda Araba,%,Moreda de Álava / Moreda Araba,19.1
2018,Emakumea,16 urte eta gehiago,,,,,Moreda de Álava / Moreda Araba,%,Moreda de Álava / Moreda Araba,21.7
2016,Emakumea,16 urte eta gehiago,,,,,Moreda de Álava / Moreda Araba,%,Moreda de Álava / Moreda Araba,12.5
2010,Emakumea,16 urte eta gehiago,,,,,Moreda de Álava / Moreda Araba,%,Moreda de Álava / Moreda Araba,16.0
2021,Emakumea,16 urte eta gehiago,,,,,Morga,%,Morga,11.2
2016,Emakumea,16 urte eta gehiago,,,,,Morga,%,Morga,9.8
2015,Emakumea,16 urte eta gehiago,,,,,Morga,%,Morga,9.9
2020,Emakumea,16 urte eta gehiago,,,,,Morga,%,Morga,10.9
2010,Emakumea,16 urte eta gehiago,,,,,Morga,%,Morga,10.6
2019,Emakumea,16 urte eta gehiago,,,,,Morga,%,Morga,13.0
2018,Emakumea,16 urte eta gehiago,,,,,Morga,%,Morga,21.0
2015,Emakumea,16 urte eta gehiago,,,,,Mundaka,%,Mundaka,14.7
2016,Emakumea,16 urte eta gehiago,,,,,Mundaka,%,Mundaka,12.7
2020,Emakumea,16 urte eta gehiago,,,,,Mundaka,%,Mundaka,8.7
2010,Emakumea,16 urte eta gehiago,,,,,Mundaka,%,Mundaka,7.3
2019,Emakumea,16 urte eta gehiago,,,,,Mundaka,%,Mundaka,8.7
2021,Emakumea,16 urte eta gehiago,,,,,Mundaka,%,Mundaka,9.9
2018,Emakumea,16 urte eta gehiago,,,,,Mundaka,%,Mundaka,9.8
2015,Emakumea,16 urte eta gehiago,,,,,Mungia,%,Mungia,14.7
2019,Emakumea,16 urte eta gehiago,,,,,Mungia,%,Mungia,11.5
2010,Emakumea,16 urte eta gehiago,,,,,Mungia,%,Mungia,8.9
2016,Emakumea,16 urte eta gehiago,,,,,Mungia,%,Mungia,15.8
2020,Emakumea,16 urte eta gehiago,,,,,Mungia,%,Mungia,10.6
2021,Emakumea,16 urte eta gehiago,,,,,Mungia,%,Mungia,10.7
2018,Emakumea,16 urte eta gehiago,,,,,Mungia,%,Mungia,12.0
2021,Emakumea,16 urte eta gehiago,,,,,Munitibar-Arbatzegi Gerrikaitz,%,Munitibar-Arbatzegi Gerrikaitz,7.8
2018,Emakumea,16 urte eta gehiago,,,,,Munitibar-Arbatzegi Gerrikaitz,%,Munitibar-Arbatzegi Gerrikaitz,4.7
2015,Emakumea,16 urte eta gehiago,,,,,Munitibar-Arbatzegi Gerrikaitz,%,Munitibar-Arbatzegi Gerrikaitz,4.5
2016,Emakumea,16 urte eta gehiago,,,,,Munitibar-Arbatzegi Gerrikaitz,%,Munitibar-Arbatzegi Gerrikaitz,11.9
2019,Emakumea,16 urte eta gehiago,,,,,Munitibar-Arbatzegi Gerrikaitz,%,Munitibar-Arbatzegi Gerrikaitz,6.4
2010,Emakumea,16 urte eta gehiago,,,,,Munitibar-Arbatzegi Gerrikaitz,%,Munitibar-Arbatzegi Gerrikaitz,6.2
2020,Emakumea,16 urte eta gehiago,,,,,Munitibar-Arbatzegi Gerrikaitz,%,Munitibar-Arbatzegi Gerrikaitz,10.3
2016,Emakumea,16 urte eta gehiago,,,,,Murueta,%,Murueta,11.0
2020,Emakumea,16 urte eta gehiago,,,,,Murueta,%,Murueta,6.1
2018,Emakumea,16 urte eta gehiago,,,,,Murueta,%,Murueta,12.9
2019,Emakumea,16 urte eta gehiago,,,,,Murueta,%,Murueta,7.1
2021,Emakumea,16 urte eta gehiago,,,,,Murueta,%,Murueta,11.1
2015,Emakumea,16 urte eta gehiago,,,,,Murueta,%,Murueta,12.3
2010,Emakumea,16 urte eta gehiago,,,,,Murueta,%,Murueta,9.2
2018,Emakumea,16 urte eta gehiago,,,,,Muskiz,%,Muskiz,14.6
2010,Emakumea,16 urte eta gehiago,,,,,Muskiz,%,Muskiz,9.4
2015,Emakumea,16 urte eta gehiago,,,,,Muskiz,%,Muskiz,19.1
2019,Emakumea,16 urte eta gehiago,,,,,Muskiz,%,Muskiz,14.1
2020,Emakumea,16 urte eta gehiago,,,,,Muskiz,%,Muskiz,13.1
2016,Emakumea,16 urte eta gehiago,,,,,Muskiz,%,Muskiz,19.0
2021,Emakumea,16 urte eta gehiago,,,,,Muskiz,%,Muskiz,14.0
2016,Emakumea,16 urte eta gehiago,,,,,Mutiloa,%,Mutiloa,8.2
2020,Emakumea,16 urte eta gehiago,,,,,Mutiloa,%,Mutiloa,5.8
2019,Emakumea,16 urte eta gehiago,,,,,Mutiloa,%,Mutiloa,4.2
2018,Emakumea,16 urte eta gehiago,,,,,Mutiloa,%,Mutiloa,4.4
2015,Emakumea,16 urte eta gehiago,,,,,Mutiloa,%,Mutiloa,12.0
2021,Emakumea,16 urte eta gehiago,,,,,Mutiloa,%,Mutiloa,6.7
2010,Emakumea,16 urte eta gehiago,,,,,Mutiloa,%,Mutiloa,6.0
2015,Emakumea,16 urte eta gehiago,,,,,Mutriku,%,Mutriku,14.9
2020,Emakumea,16 urte eta gehiago,,,,,Mutriku,%,Mutriku,12.7
2010,Emakumea,16 urte eta gehiago,,,,,Mutriku,%,Mutriku,9.2
2016,Emakumea,16 urte eta gehiago,,,,,Mutriku,%,Mutriku,15.4
2018,Emakumea,16 urte eta gehiago,,,,,Mutriku,%,Mutriku,11.8
2019,Emakumea,16 urte eta gehiago,,,,,Mutriku,%,Mutriku,12.5
2021,Emakumea,16 urte eta gehiago,,,,,Mutriku,%,Mutriku,14.2
2021,Emakumea,16 urte eta gehiago,,,,,Muxika,%,Muxika,6.5
2020,Emakumea,16 urte eta gehiago,,,,,Muxika,%,Muxika,6.2
2019,Emakumea,16 urte eta gehiago,,,,,Muxika,%,Muxika,9.3
2010,Emakumea,16 urte eta gehiago,,,,,Muxika,%,Muxika,7.9
2016,Emakumea,16 urte eta gehiago,,,,,Muxika,%,Muxika,12.9
2015,Emakumea,16 urte eta gehiago,,,,,Muxika,%,Muxika,12.3
2018,Emakumea,16 urte eta gehiago,,,,,Muxika,%,Muxika,10.7
2018,Emakumea,16 urte eta gehiago,,,,,Nabarniz,%,Nabarniz,6.0
2010,Emakumea,16 urte eta gehiago,,,,,Nabarniz,%,Nabarniz,5.9
2021,Emakumea,16 urte eta gehiago,,,,,Nabarniz,%,Nabarniz,6.0
2020,Emakumea,16 urte eta gehiago,,,,,Nabarniz,%,Nabarniz,9.2
2016,Emakumea,16 urte eta gehiago,,,,,Nabarniz,%,Nabarniz,8.3
2019,Emakumea,16 urte eta gehiago,,,,,Nabarniz,%,Nabarniz,9.9
2015,Emakumea,16 urte eta gehiago,,,,,Nabarniz,%,Nabarniz,6.6
2020,Emakumea,16 urte eta gehiago,,,,,Navaridas,%,Navaridas,6.3
2021,Emakumea,16 urte eta gehiago,,,,,Navaridas,%,Navaridas,7.1
2015,Emakumea,16 urte eta gehiago,,,,,Navaridas,%,Navaridas,15.8
2018,Emakumea,16 urte eta gehiago,,,,,Navaridas,%,Navaridas,7.3
2016,Emakumea,16 urte eta gehiago,,,,,Navaridas,%,Navaridas,8.3
2019,Emakumea,16 urte eta gehiago,,,,,Navaridas,%,Navaridas,13.9
2010,Emakumea,16 urte eta gehiago,,,,,Navaridas,%,Navaridas,3.3
2016,Emakumea,16 urte eta gehiago,,,,,Oiartzun,%,Oiartzun,11.2
2021,Emakumea,16 urte eta gehiago,,,,,Oiartzun,%,Oiartzun,7.9
2015,Emakumea,16 urte eta gehiago,,,,,Oiartzun,%,Oiartzun,11.2
2020,Emakumea,16 urte eta gehiago,,,,,Oiartzun,%,Oiartzun,7.1
2018,Emakumea,16 urte eta gehiago,,,,,Oiartzun,%,Oiartzun,8.5
2019,Emakumea,16 urte eta gehiago,,,,,Oiartzun,%,Oiartzun,7.7
2010,Emakumea,16 urte eta gehiago,,,,,Oiartzun,%,Oiartzun,7.1
2016,Emakumea,16 urte eta gehiago,,,,,Okondo,%,Okondo,19.4
2021,Emakumea,16 urte eta gehiago,,,,,Okondo,%,Okondo,11.2
2019,Emakumea,16 urte eta gehiago,,,,,Okondo,%,Okondo,13.5
2018,Emakumea,16 urte eta gehiago,,,,,Okondo,%,Okondo,16.2
2015,Emakumea,16 urte eta gehiago,,,,,Okondo,%,Okondo,14.8
2020,Emakumea,16 urte eta gehiago,,,,,Okondo,%,Okondo,16.0
2010,Emakumea,16 urte eta gehiago,,,,,Okondo,%,Okondo,9.9
2016,Emakumea,16 urte eta gehiago,,,,,Olaberria,%,Olaberria,17.1
2015,Emakumea,16 urte eta gehiago,,,,,Olaberria,%,Olaberria,15.8
2019,Emakumea,16 urte eta gehiago,,,,,Olaberria,%,Olaberria,13.3
2018,Emakumea,16 urte eta gehiago,,,,,Olaberria,%,Olaberria,12.8
2020,Emakumea,16 urte eta gehiago,,,,,Olaberria,%,Olaberria,12.4
2010,Emakumea,16 urte eta gehiago,,,,,Olaberria,%,Olaberria,7.3
2021,Emakumea,16 urte eta gehiago,,,,,Olaberria,%,Olaberria,9.1
2021,Emakumea,16 urte eta gehiago,,,,,Ondarroa,%,Ondarroa,15.9
2015,Emakumea,16 urte eta gehiago,,,,,Ondarroa,%,Ondarroa,20.8
2018,Emakumea,16 urte eta gehiago,,,,,Ondarroa,%,Ondarroa,16.0
2020,Emakumea,16 urte eta gehiago,,,,,Ondarroa,%,Ondarroa,12.8
2010,Emakumea,16 urte eta gehiago,,,,,Ondarroa,%,Ondarroa,10.0
2019,Emakumea,16 urte eta gehiago,,,,,Ondarroa,%,Ondarroa,14.6
2016,Emakumea,16 urte eta gehiago,,,,,Ondarroa,%,Ondarroa,17.3
2019,Emakumea,16 urte eta gehiago,,,,,Oñati,%,Oñati,6.6
2015,Emakumea,16 urte eta gehiago,,,,,Oñati,%,Oñati,8.8
2010,Emakumea,16 urte eta gehiago,,,,,Oñati,%,Oñati,5.5
2020,Emakumea,16 urte eta gehiago,,,,,Oñati,%,Oñati,6.2
2016,Emakumea,16 urte eta gehiago,,,,,Oñati,%,Oñati,9.4
2021,Emakumea,16 urte eta gehiago,,,,,Oñati,%,Oñati,7.0
2018,Emakumea,16 urte eta gehiago,,,,,Oñati,%,Oñati,6.2
2010,Emakumea,16 urte eta gehiago,,,,,Ordizia,%,Ordizia,8.8
2018,Emakumea,16 urte eta gehiago,,,,,Ordizia,%,Ordizia,12.6
2015,Emakumea,16 urte eta gehiago,,,,,Ordizia,%,Ordizia,14.3
2019,Emakumea,16 urte eta gehiago,,,,,Ordizia,%,Ordizia,10.5
2016,Emakumea,16 urte eta gehiago,,,,,Ordizia,%,Ordizia,15.1
2020,Emakumea,16 urte eta gehiago,,,,,Ordizia,%,Ordizia,9.8
2021,Emakumea,16 urte eta gehiago,,,,,Ordizia,%,Ordizia,10.5
2021,Emakumea,16 urte eta gehiago,,,,,Orendain,%,Orendain,3.7
2018,Emakumea,16 urte eta gehiago,,,,,Orendain,%,Orendain,4.1
2010,Emakumea,16 urte eta gehiago,,,,,Orendain,%,Orendain,5.7
2020,Emakumea,16 urte eta gehiago,,,,,Orendain,%,Orendain,2.0
2016,Emakumea,16 urte eta gehiago,,,,,Orendain,%,Orendain,8.5
2019,Emakumea,16 urte eta gehiago,,,,,Orendain,%,Orendain,4.2
2015,Emakumea,16 urte eta gehiago,,,,,Orendain,%,Orendain,7.0
2021,Emakumea,16 urte eta gehiago,,,,,Orexa,%,Orexa,4.8
2010,Emakumea,16 urte eta gehiago,,,,,Orexa,%,Orexa,4.0
2020,Emakumea,16 urte eta gehiago,,,,,Orexa,%,Orexa,8.3
2016,Emakumea,16 urte eta gehiago,,,,,Orexa,%,Orexa,0.0
2018,Emakumea,16 urte eta gehiago,,,,,Orexa,%,Orexa,0.0
2019,Emakumea,16 urte eta gehiago,,,,,Orexa,%,Orexa,8.3
2015,Emakumea,16 urte eta gehiago,,,,,Orexa,%,Orexa,4.0
2020,Emakumea,16 urte eta gehiago,,,,,Orio,%,Orio,11.0
2015,Emakumea,16 urte eta gehiago,,,,,Orio,%,Orio,14.4
2018,Emakumea,16 urte eta gehiago,,,,,Orio,%,Orio,10.4
2010,Emakumea,16 urte eta gehiago,,,,,Orio,%,Orio,6.6
2021,Emakumea,16 urte eta gehiago,,,,,Orio,%,Orio,11.2
2016,Emakumea,16 urte eta gehiago,,,,,Orio,%,Orio,13.9
2019,Emakumea,16 urte eta gehiago,,,,,Orio,%,Orio,9.3
2016,Emakumea,16 urte eta gehiago,,,,,Ormaiztegi,%,Ormaiztegi,14.2
2021,Emakumea,16 urte eta gehiago,,,,,Ormaiztegi,%,Ormaiztegi,8.9
2018,Emakumea,16 urte eta gehiago,,,,,Ormaiztegi,%,Ormaiztegi,12.6
2019,Emakumea,16 urte eta gehiago,,,,,Ormaiztegi,%,Ormaiztegi,10.2
2015,Emakumea,16 urte eta gehiago,,,,,Ormaiztegi,%,Ormaiztegi,11.0
2010,Emakumea,16 urte eta gehiago,,,,,Ormaiztegi,%,Ormaiztegi,8.8
2020,Emakumea,16 urte eta gehiago,,,,,Ormaiztegi,%,Ormaiztegi,8.4
2019,Emakumea,16 urte eta gehiago,,,,,Orozko,%,Orozko,9.8
2020,Emakumea,16 urte eta gehiago,,,,,Orozko,%,Orozko,10.9
2015,Emakumea,16 urte eta gehiago,,,,,Orozko,%,Orozko,13.8
2018,Emakumea,16 urte eta gehiago,,,,,Orozko,%,Orozko,9.7
2010,Emakumea,16 urte eta gehiago,,,,,Orozko,%,Orozko,6.6
2016,Emakumea,16 urte eta gehiago,,,,,Orozko,%,Orozko,13.9
2021,Emakumea,16 urte eta gehiago,,,,,Orozko,%,Orozko,10.8
2020,Emakumea,16 urte eta gehiago,,,,,Ortuella,%,Ortuella,14.6
2018,Emakumea,16 urte eta gehiago,,,,,Ortuella,%,Ortuella,16.7
2015,Emakumea,16 urte eta gehiago,,,,,Ortuella,%,Ortuella,20.0
2010,Emakumea,16 urte eta gehiago,,,,,Ortuella,%,Ortuella,8.8
2019,Emakumea,16 urte eta gehiago,,,,,Ortuella,%,Ortuella,16.2
2016,Emakumea,16 urte eta gehiago,,,,,Ortuella,%,Ortuella,22.0
2021,Emakumea,16 urte eta gehiago,,,,,Ortuella,%,Ortuella,18.1
2021,Emakumea,16 urte eta gehiago,,,,,Otxandio,%,Otxandio,9.2
2020,Emakumea,16 urte eta gehiago,,,,,Otxandio,%,Otxandio,8.5
2016,Emakumea,16 urte eta gehiago,,,,,Otxandio,%,Otxandio,12.9
2019,Emakumea,16 urte eta gehiago,,,,,Otxandio,%,Otxandio,8.0
2015,Emakumea,16 urte eta gehiago,,,,,Otxandio,%,Otxandio,12.4
2010,Emakumea,16 urte eta gehiago,,,,,Otxandio,%,Otxandio,5.6
2018,Emakumea,16 urte eta gehiago,,,,,Otxandio,%,Otxandio,9.1
2010,Emakumea,16 urte eta gehiago,,,,,Oyón-Oion,%,Oyón-Oion,18.1
2021,Emakumea,16 urte eta gehiago,,,,,Oyón-Oion,%,Oyón-Oion,19.5
2016,Emakumea,16 urte eta gehiago,,,,,Oyón-Oion,%,Oyón-Oion,29.1
2019,Emakumea,16 urte eta gehiago,,,,,Oyón-Oion,%,Oyón-Oion,24.7
2015,Emakumea,16 urte eta gehiago,,,,,Oyón-Oion,%,Oyón-Oion,25.0
2018,Emakumea,16 urte eta gehiago,,,,,Oyón-Oion,%,Oyón-Oion,24.6
2020,Emakumea,16 urte eta gehiago,,,,,Oyón-Oion,%,Oyón-Oion,21.2
2019,Emakumea,16 urte eta gehiago,,,,,Pasaia,%,Pasaia,11.7
2010,Emakumea,16 urte eta gehiago,,,,,Pasaia,%,Pasaia,9.0
2018,Emakumea,16 urte eta gehiago,,,,,Pasaia,%,Pasaia,13.3
2015,Emakumea,16 urte eta gehiago,,,,,Pasaia,%,Pasaia,15.4
2020,Emakumea,16 urte eta gehiago,,,,,Pasaia,%,Pasaia,10.7
2021,Emakumea,16 urte eta gehiago,,,,,Pasaia,%,Pasaia,12.3
2016,Emakumea,16 urte eta gehiago,,,,,Pasaia,%,Pasaia,15.7
2018,Emakumea,16 urte eta gehiago,,,,,Peñacerrada-Urizaharra,%,Peñacerrada-Urizaharra,11.8
2019,Emakumea,16 urte eta gehiago,,,,,Peñacerrada-Urizaharra,%,Peñacerrada-Urizaharra,6.3
2020,Emakumea,16 urte eta gehiago,,,,,Peñacerrada-Urizaharra,%,Peñacerrada-Urizaharra,4.7
2021,Emakumea,16 urte eta gehiago,,,,,Peñacerrada-Urizaharra,%,Peñacerrada-Urizaharra,4.2
2015,Emakumea,16 urte eta gehiago,,,,,Peñacerrada-Urizaharra,%,Peñacerrada-Urizaharra,8.6
2010,Emakumea,16 urte eta gehiago,,,,,Peñacerrada-Urizaharra,%,Peñacerrada-Urizaharra,10.7
2016,Emakumea,16 urte eta gehiago,,,,,Peñacerrada-Urizaharra,%,Peñacerrada-Urizaharra,6.8
2020,Emakumea,16 urte eta gehiago,,,,,Plentzia,%,Plentzia,11.6
2021,Emakumea,16 urte eta gehiago,,,,,Plentzia,%,Plentzia,12.0
2015,Emakumea,16 urte eta gehiago,,,,,Plentzia,%,Plentzia,16.2
2018,Emakumea,16 urte eta gehiago,,,,,Plentzia,%,Plentzia,13.6
2010,Emakumea,16 urte eta gehiago,,,,,Plentzia,%,Plentzia,10.1
2019,Emakumea,16 urte eta gehiago,,,,,Plentzia,%,Plentzia,11.5
2016,Emakumea,16 urte eta gehiago,,,,,Plentzia,%,Plentzia,16.4
2018,Emakumea,16 urte eta gehiago,,,,,Portugalete,%,Portugalete,15.2
2010,Emakumea,16 urte eta gehiago,,,,,Portugalete,%,Portugalete,9.9
2021,Emakumea,16 urte eta gehiago,,,,,Portugalete,%,Portugalete,14.7
2015,Emakumea,16 urte eta gehiago,,,,,Portugalete,%,Portugalete,16.4
2019,Emakumea,16 urte eta gehiago,,,,,Portugalete,%,Portugalete,14.3
2020,Emakumea,16 urte eta gehiago,,,,,Portugalete,%,Portugalete,13.4
2016,Emakumea,16 urte eta gehiago,,,,,Portugalete,%,Portugalete,18.0
2020,Emakumea,16 urte eta gehiago,,,,,Ribera Baja / Erriberabeitia,%,Ribera Baja / Erriberabeitia,11.5
2021,Emakumea,16 urte eta gehiago,,,,,Ribera Baja / Erriberabeitia,%,Ribera Baja / Erriberabeitia,13.3
2019,Emakumea,16 urte eta gehiago,,,,,Ribera Baja / Erriberabeitia,%,Ribera Baja / Erriberabeitia,16.7
2010,Emakumea,16 urte eta gehiago,,,,,Ribera Baja / Erriberabeitia,%,Ribera Baja / Erriberabeitia,14.5
2016,Emakumea,16 urte eta gehiago,,,,,Ribera Baja / Erriberabeitia,%,Ribera Baja / Erriberabeitia,18.1
2015,Emakumea,16 urte eta gehiago,,,,,Ribera Baja / Erriberabeitia,%,Ribera Baja / Erriberabeitia,16.9
2018,Emakumea,16 urte eta gehiago,,,,,Ribera Baja / Erriberabeitia,%,Ribera Baja / Erriberabeitia,19.9
2015,Emakumea,16 urte eta gehiago,,,,,Samaniego,%,Samaniego,5.4
2010,Emakumea,16 urte eta gehiago,,,,,Samaniego,%,Samaniego,4.8
2016,Emakumea,16 urte eta gehiago,,,,,Samaniego,%,Samaniego,6.9
2018,Emakumea,16 urte eta gehiago,,,,,Samaniego,%,Samaniego,2.2
2020,Emakumea,16 urte eta gehiago,,,,,Samaniego,%,Samaniego,4.7
2019,Emakumea,16 urte eta gehiago,,,,,Samaniego,%,Samaniego,2.5
2021,Emakumea,16 urte eta gehiago,,,,,Samaniego,%,Samaniego,5.5
2018,Emakumea,16 urte eta gehiago,,,,,San Millán / Donemiliaga,%,San Millán / Donemiliaga,10.1
2015,Emakumea,16 urte eta gehiago,,,,,San Millán / Donemiliaga,%,San Millán / Donemiliaga,11.5
2016,Emakumea,16 urte eta gehiago,,,,,San Millán / Donemiliaga,%,San Millán / Donemiliaga,11.9
2020,Emakumea,16 urte eta gehiago,,,,,San Millán / Donemiliaga,%,San Millán / Donemiliaga,8.4
2021,Emakumea,16 urte eta gehiago,,,,,San Millán / Donemiliaga,%,San Millán / Donemiliaga,5.0
2010,Emakumea,16 urte eta gehiago,,,,,San Millán / Donemiliaga,%,San Millán / Donemiliaga,4.6
2019,Emakumea,16 urte eta gehiago,,,,,San Millán / Donemiliaga,%,San Millán / Donemiliaga,7.1
2016,Emakumea,16 urte eta gehiago,,,,,Santurtzi,%,Santurtzi,20.4
2010,Emakumea,16 urte eta gehiago,,,,,Santurtzi,%,Santurtzi,10.3
2020,Emakumea,16 urte eta gehiago,,,,,Santurtzi,%,Santurtzi,15.3
2021,Emakumea,16 urte eta gehiago,,,,,Santurtzi,%,Santurtzi,16.9
2018,Emakumea,16 urte eta gehiago,,,,,Santurtzi,%,Santurtzi,17.4
2015,Emakumea,16 urte eta gehiago,,,,,Santurtzi,%,Santurtzi,18.2
2019,Emakumea,16 urte eta gehiago,,,,,Santurtzi,%,Santurtzi,16.2
2016,Emakumea,16 urte eta gehiago,,,,,Segura,%,Segura,9.5
2010,Emakumea,16 urte eta gehiago,,,,,Segura,%,Segura,8.5
2015,Emakumea,16 urte eta gehiago,,,,,Segura,%,Segura,8.8
2020,Emakumea,16 urte eta gehiago,,,,,Segura,%,Segura,8.0
2018,Emakumea,16 urte eta gehiago,,,,,Segura,%,Segura,7.5
2021,Emakumea,16 urte eta gehiago,,,,,Segura,%,Segura,5.8
2019,Emakumea,16 urte eta gehiago,,,,,Segura,%,Segura,7.2
2021,Emakumea,16 urte eta gehiago,,,,,Sestao,%,Sestao,17.8
2010,Emakumea,16 urte eta gehiago,,,,,Sestao,%,Sestao,11.2
2015,Emakumea,16 urte eta gehiago,,,,,Sestao,%,Sestao,20.4
2020,Emakumea,16 urte eta gehiago,,,,,Sestao,%,Sestao,16.0
2019,Emakumea,16 urte eta gehiago,,,,,Sestao,%,Sestao,18.4
2016,Emakumea,16 urte eta gehiago,,,,,Sestao,%,Sestao,23.9
2018,Emakumea,16 urte eta gehiago,,,,,Sestao,%,Sestao,19.4
2018,Emakumea,16 urte eta gehiago,,,,,Sondika,%,Sondika,9.4
2016,Emakumea,16 urte eta gehiago,,,,,Sondika,%,Sondika,14.1
2019,Emakumea,16 urte eta gehiago,,,,,Sondika,%,Sondika,9.9
2021,Emakumea,16 urte eta gehiago,,,,,Sondika,%,Sondika,10.7
2020,Emakumea,16 urte eta gehiago,,,,,Sondika,%,Sondika,8.1
2015,Emakumea,16 urte eta gehiago,,,,,Sondika,%,Sondika,13.9
2010,Emakumea,16 urte eta gehiago,,,,,Sondika,%,Sondika,7.6
2016,Emakumea,16 urte eta gehiago,,,,,Sopela,%,Sopela,13.8
2015,Emakumea,16 urte eta gehiago,,,,,Sopela,%,Sopela,15.2
2018,Emakumea,16 urte eta gehiago,,,,,Sopela,%,Sopela,11.3
2020,Emakumea,16 urte eta gehiago,,,,,Sopela,%,Sopela,9.5
2021,Emakumea,16 urte eta gehiago,,,,,Sopela,%,Sopela,11.6
2010,Emakumea,16 urte eta gehiago,,,,,Sopela,%,Sopela,9.6
2019,Emakumea,16 urte eta gehiago,,,,,Sopela,%,Sopela,10.5
2021,Emakumea,16 urte eta gehiago,,,,,Sopuerta,%,Sopuerta,12.5
2018,Emakumea,16 urte eta gehiago,,,,,Sopuerta,%,Sopuerta,12.7
2019,Emakumea,16 urte eta gehiago,,,,,Sopuerta,%,Sopuerta,11.5
2016,Emakumea,16 urte eta gehiago,,,,,Sopuerta,%,Sopuerta,15.9
2010,Emakumea,16 urte eta gehiago,,,,,Sopuerta,%,Sopuerta,10.8
2020,Emakumea,16 urte eta gehiago,,,,,Sopuerta,%,Sopuerta,9.5
2015,Emakumea,16 urte eta gehiago,,,,,Sopuerta,%,Sopuerta,19.1
2015,Emakumea,16 urte eta gehiago,,,,,Soraluze-Placencia de las Armas,%,Soraluze-Placencia de las Armas,17.3
2020,Emakumea,16 urte eta gehiago,,,,,Soraluze-Placencia de las Armas,%,Soraluze-Placencia de las Armas,14.1
2016,Emakumea,16 urte eta gehiago,,,,,Soraluze-Placencia de las Armas,%,Soraluze-Placencia de las Armas,20.2
2018,Emakumea,16 urte eta gehiago,,,,,Soraluze-Placencia de las Armas,%,Soraluze-Placencia de las Armas,16.6
2021,Emakumea,16 urte eta gehiago,,,,,Soraluze-Placencia de las Armas,%,Soraluze-Placencia de las Armas,14.5
2010,Emakumea,16 urte eta gehiago,,,,,Soraluze-Placencia de las Armas,%,Soraluze-Placencia de las Armas,8.9
2019,Emakumea,16 urte eta gehiago,,,,,Soraluze-Placencia de las Armas,%,Soraluze-Placencia de las Armas,14.6
2020,Emakumea,16 urte eta gehiago,,,,,Sukarrieta,%,Sukarrieta,11.8
2016,Emakumea,16 urte eta gehiago,,,,,Sukarrieta,%,Sukarrieta,12.5
