Year,Habilidad informática,Edad,Sexo,Territorio histórico,Units,Value
2022,Copiar o mover ficheros o carpetas,,Mujer,,%,56.5
2020,Copiar o mover ficheros o carpetas,,Mujer,,%,53.5
2023,Copiar o mover ficheros o carpetas,,Mujer,,%,55.8
2021,Copiar o mover ficheros o carpetas,,Mujer,,%,60.2
2019,Copiar o mover ficheros o carpetas,,Mujer,,%,53.0
2024,Copiar o mover ficheros o carpetas,,Mujer,Araba/Álava,%,48.7
2019,Copiar o mover ficheros o carpetas,,Mujer,Araba/Álava,%,51.7
2023,Copiar o mover ficheros o carpetas,,Mujer,Araba/Álava,%,55.5
2021,Copiar o mover ficheros o carpetas,,Mujer,Araba/Álava,%,59.5
2020,Copiar o mover ficheros o carpetas,,Mujer,Araba/Álava,%,53.8
2022,Copiar o mover ficheros o carpetas,,Mujer,Araba/Álava,%,57.6
2020,Copiar o mover ficheros o carpetas,,Mujer,Bizkaia,%,51.2
2024,Copiar o mover ficheros o carpetas,,Mujer,Bizkaia,%,50.1
2022,Copiar o mover ficheros o carpetas,,Mujer,Bizkaia,%,55.3
2021,Copiar o mover ficheros o carpetas,,Mujer,Bizkaia,%,59.5
2019,Copiar o mover ficheros o carpetas,,Mujer,Bizkaia,%,53.1
2023,Copiar o mover ficheros o carpetas,,Mujer,Bizkaia,%,55.2
2020,Copiar o mover ficheros o carpetas,,Mujer,Gipuzkoa,%,57.0
2024,Copiar o mover ficheros o carpetas,,Mujer,Gipuzkoa,%,49.6
2019,Copiar o mover ficheros o carpetas,,Mujer,Gipuzkoa,%,53.6
2021,Copiar o mover ficheros o carpetas,,Mujer,Gipuzkoa,%,61.8
2022,Copiar o mover ficheros o carpetas,,Mujer,Gipuzkoa,%,57.9
2023,Copiar o mover ficheros o carpetas,,Mujer,Gipuzkoa,%,57.1
2020,Copiar o mover ficheros o carpetas,,Hombre,,%,57.3
2024,Copiar o mover ficheros o carpetas,,Hombre,,%,52.4
2019,Copiar o mover ficheros o carpetas,,Hombre,,%,57.8
2021,Copiar o mover ficheros o carpetas,,Hombre,,%,62.7
2023,Copiar o mover ficheros o carpetas,,Hombre,,%,56.7
2022,Copiar o mover ficheros o carpetas,,Hombre,,%,57.9
2022,Copiar o mover ficheros o carpetas,,Hombre,Araba/Álava,%,55.9
2021,Copiar o mover ficheros o carpetas,,Hombre,Araba/Álava,%,64.3
2019,Copiar o mover ficheros o carpetas,,Hombre,Araba/Álava,%,60.0
2024,Copiar o mover ficheros o carpetas,,Hombre,Araba/Álava,%,55.3
2023,Copiar o mover ficheros o carpetas,,Hombre,Araba/Álava,%,54.1
2020,Copiar o mover ficheros o carpetas,,Hombre,Araba/Álava,%,54.3
2019,Copiar o mover ficheros o carpetas,,Hombre,Bizkaia,%,58.6
2024,Copiar o mover ficheros o carpetas,,Hombre,Bizkaia,%,52.3
2021,Copiar o mover ficheros o carpetas,,Hombre,Bizkaia,%,63.8
2023,Copiar o mover ficheros o carpetas,,Hombre,Bizkaia,%,57.0
2022,Copiar o mover ficheros o carpetas,,Hombre,Bizkaia,%,58.1
2020,Copiar o mover ficheros o carpetas,,Hombre,Bizkaia,%,57.5
2022,Copiar o mover ficheros o carpetas,,Hombre,Gipuzkoa,%,58.7
2023,Copiar o mover ficheros o carpetas,,Hombre,Gipuzkoa,%,57.4
2021,Copiar o mover ficheros o carpetas,,Hombre,Gipuzkoa,%,60.2
2024,Copiar o mover ficheros o carpetas,,Hombre,Gipuzkoa,%,51.1
2019,Copiar o mover ficheros o carpetas,,Hombre,Gipuzkoa,%,55.4
2020,Copiar o mover ficheros o carpetas,,Hombre,Gipuzkoa,%,58.4
2021,Copiar o mover ficheros o carpetas,16-24 años,,,%,86.6
2020,Copiar o mover ficheros o carpetas,16-24 años,,,%,86.6
2024,Copiar o mover ficheros o carpetas,16-24 años,,,%,81.4
2019,Copiar o mover ficheros o carpetas,16-24 años,,,%,89.4
2023,Copiar o mover ficheros o carpetas,16-24 años,,,%,89.1
2022,Copiar o mover ficheros o carpetas,16-24 años,,,%,87.4
2019,Copiar o mover ficheros o carpetas,16-24 años,,Araba/Álava,%,91.1
2020,Copiar o mover ficheros o carpetas,16-24 años,,Araba/Álava,%,80.6
2024,Copiar o mover ficheros o carpetas,16-24 años,,Araba/Álava,%,86.7
2023,Copiar o mover ficheros o carpetas,16-24 años,,Araba/Álava,%,94.8
2021,Copiar o mover ficheros o carpetas,16-24 años,,Araba/Álava,%,85.7
2022,Copiar o mover ficheros o carpetas,16-24 años,,Araba/Álava,%,82.6
2021,Copiar o mover ficheros o carpetas,16-24 años,,Bizkaia,%,87.2
2023,Copiar o mover ficheros o carpetas,16-24 años,,Bizkaia,%,87.1
2022,Copiar o mover ficheros o carpetas,16-24 años,,Bizkaia,%,88.1
2024,Copiar o mover ficheros o carpetas,16-24 años,,Bizkaia,%,81.2
2019,Copiar o mover ficheros o carpetas,16-24 años,,Bizkaia,%,90.0
2020,Copiar o mover ficheros o carpetas,16-24 años,,Bizkaia,%,83.3
2019,Copiar o mover ficheros o carpetas,16-24 años,,Gipuzkoa,%,87.9
2023,Copiar o mover ficheros o carpetas,16-24 años,,Gipuzkoa,%,89.5
2020,Copiar o mover ficheros o carpetas,16-24 años,,Gipuzkoa,%,94.1
2021,Copiar o mover ficheros o carpetas,16-24 años,,Gipuzkoa,%,86.1
2022,Copiar o mover ficheros o carpetas,16-24 años,,Gipuzkoa,%,88.4
2024,Copiar o mover ficheros o carpetas,16-24 años,,Gipuzkoa,%,79.5
2023,Copiar o mover ficheros o carpetas,16-24 años,Mujer,,%,92.9
2020,Copiar o mover ficheros o carpetas,16-24 años,Mujer,,%,88.0
2022,Copiar o mover ficheros o carpetas,16-24 años,Mujer,,%,89.6
2021,Copiar o mover ficheros o carpetas,16-24 años,Mujer,,%,85.6
2024,Copiar o mover ficheros o carpetas,16-24 años,Mujer,,%,83.0
2019,Copiar o mover ficheros o carpetas,16-24 años,Mujer,,%,93.7
2024,Copiar o mover ficheros o carpetas,16-24 años,Mujer,Araba/Álava,%,91.2
2023,Copiar o mover ficheros o carpetas,16-24 años,Mujer,Araba/Álava,%,96.8
2022,Copiar o mover ficheros o carpetas,16-24 años,Mujer,Araba/Álava,%,91.4
2019,Copiar o mover ficheros o carpetas,16-24 años,Mujer,Araba/Álava,%,91.8
2021,Copiar o mover ficheros o carpetas,16-24 años,Mujer,Araba/Álava,%,86.5
2020,Copiar o mover ficheros o carpetas,16-24 años,Mujer,Araba/Álava,%,80.8
2022,Copiar o mover ficheros o carpetas,16-24 años,Mujer,Bizkaia,%,90.4
2024,Copiar o mover ficheros o carpetas,16-24 años,Mujer,Bizkaia,%,82.1
2021,Copiar o mover ficheros o carpetas,16-24 años,Mujer,Bizkaia,%,84.9
2023,Copiar o mover ficheros o carpetas,16-24 años,Mujer,Bizkaia,%,90.4
2019,Copiar o mover ficheros o carpetas,16-24 años,Mujer,Bizkaia,%,93.0
2020,Copiar o mover ficheros o carpetas,16-24 años,Mujer,Bizkaia,%,85.0
2024,Copiar o mover ficheros o carpetas,16-24 años,Mujer,Gipuzkoa,%,80.9
2019,Copiar o mover ficheros o carpetas,16-24 años,Mujer,Gipuzkoa,%,95.6
2021,Copiar o mover ficheros o carpetas,16-24 años,Mujer,Gipuzkoa,%,86.2
2020,Copiar o mover ficheros o carpetas,16-24 años,Mujer,Gipuzkoa,%,95.6
2023,Copiar o mover ficheros o carpetas,16-24 años,Mujer,Gipuzkoa,%,95.1
2022,Copiar o mover ficheros o carpetas,16-24 años,Mujer,Gipuzkoa,%,87.4
2023,Copiar o mover ficheros o carpetas,16-24 años,Hombre,,%,85.6
2021,Copiar o mover ficheros o carpetas,16-24 años,Hombre,,%,87.5
2020,Copiar o mover ficheros o carpetas,16-24 años,Hombre,,%,85.2
2024,Copiar o mover ficheros o carpetas,16-24 años,Hombre,,%,79.9
2022,Copiar o mover ficheros o carpetas,16-24 años,Hombre,,%,85.4
2019,Copiar o mover ficheros o carpetas,16-24 años,Hombre,,%,85.1
2022,Copiar o mover ficheros o carpetas,16-24 años,Hombre,Araba/Álava,%,74.0
2023,Copiar o mover ficheros o carpetas,16-24 años,Hombre,Araba/Álava,%,93.3
2021,Copiar o mover ficheros o carpetas,16-24 años,Hombre,Araba/Álava,%,85.0
2020,Copiar o mover ficheros o carpetas,16-24 años,Hombre,Araba/Álava,%,80.5
2024,Copiar o mover ficheros o carpetas,16-24 años,Hombre,Araba/Álava,%,82.4
2019,Copiar o mover ficheros o carpetas,16-24 años,Hombre,Araba/Álava,%,90.2
2023,Copiar o mover ficheros o carpetas,16-24 años,Hombre,Bizkaia,%,83.9
2022,Copiar o mover ficheros o carpetas,16-24 años,Hombre,Bizkaia,%,85.8
2020,Copiar o mover ficheros o carpetas,16-24 años,Hombre,Bizkaia,%,81.7
2019,Copiar o mover ficheros o carpetas,16-24 años,Hombre,Bizkaia,%,87.1
2024,Copiar o mover ficheros o carpetas,16-24 años,Hombre,Bizkaia,%,80.4
2021,Copiar o mover ficheros o carpetas,16-24 años,Hombre,Bizkaia,%,89.5
2024,Copiar o mover ficheros o carpetas,16-24 años,Hombre,Gipuzkoa,%,78.3
2022,Copiar o mover ficheros o carpetas,16-24 años,Hombre,Gipuzkoa,%,89.4
2023,Copiar o mover ficheros o carpetas,16-24 años,Hombre,Gipuzkoa,%,84.1
2019,Copiar o mover ficheros o carpetas,16-24 años,Hombre,Gipuzkoa,%,80.5
2021,Copiar o mover ficheros o carpetas,16-24 años,Hombre,Gipuzkoa,%,86.0
2020,Copiar o mover ficheros o carpetas,16-24 años,Hombre,Gipuzkoa,%,92.7
2022,Copiar o mover ficheros o carpetas,25-74 años,,,%,53.2
2020,Copiar o mover ficheros o carpetas,25-74 años,,,%,51.5
2021,Copiar o mover ficheros o carpetas,25-74 años,,,%,58.1
2024,Copiar o mover ficheros o carpetas,25-74 años,,,%,46.8
2023,Copiar o mover ficheros o carpetas,25-74 años,,,%,51.9
2019,Copiar o mover ficheros o carpetas,25-74 años,,,%,51.5
2024,Copiar o mover ficheros o carpetas,25-74 años,,Araba/Álava,%,47.3
2023,Copiar o mover ficheros o carpetas,25-74 años,,Araba/Álava,%,49.3
2021,Copiar o mover ficheros o carpetas,25-74 años,,Araba/Álava,%,58.7
2019,Copiar o mover ficheros o carpetas,25-74 años,,Araba/Álava,%,51.8
2022,Copiar o mover ficheros o carpetas,25-74 años,,Araba/Álava,%,53.6
2020,Copiar o mover ficheros o carpetas,25-74 años,,Araba/Álava,%,50.7
2021,Copiar o mover ficheros o carpetas,25-74 años,,Bizkaia,%,58.4
2023,Copiar o mover ficheros o carpetas,25-74 años,,Bizkaia,%,52.1
2019,Copiar o mover ficheros o carpetas,25-74 años,,Bizkaia,%,52.2
2020,Copiar o mover ficheros o carpetas,25-74 años,,Bizkaia,%,50.9
2024,Copiar o mover ficheros o carpetas,25-74 años,,Bizkaia,%,47.2
2022,Copiar o mover ficheros o carpetas,25-74 años,,Bizkaia,%,52.6
2021,Copiar o mover ficheros o carpetas,25-74 años,,Gipuzkoa,%,57.4
2019,Copiar o mover ficheros o carpetas,25-74 años,,Gipuzkoa,%,50.3
2022,Copiar o mover ficheros o carpetas,25-74 años,,Gipuzkoa,%,54.1
2024,Copiar o mover ficheros o carpetas,25-74 años,,Gipuzkoa,%,45.9
2020,Copiar o mover ficheros o carpetas,25-74 años,,Gipuzkoa,%,52.9
2023,Copiar o mover ficheros o carpetas,25-74 años,,Gipuzkoa,%,52.8
2022,Copiar o mover ficheros o carpetas,25-74 años,Mujer,,%,52.3
2021,Copiar o mover ficheros o carpetas,25-74 años,Mujer,,%,57.1
2019,Copiar o mover ficheros o carpetas,25-74 años,Mujer,,%,48.5
2020,Copiar o mover ficheros o carpetas,25-74 años,Mujer,,%,49.4
2024,Copiar o mover ficheros o carpetas,25-74 años,Mujer,,%,45.5
2023,Copiar o mover ficheros o carpetas,25-74 años,Mujer,,%,51.2
2024,Copiar o mover ficheros o carpetas,25-74 años,Mujer,Araba/Álava,%,43.2
2020,Copiar o mover ficheros o carpetas,25-74 años,Mujer,Araba/Álava,%,50.7
2021,Copiar o mover ficheros o carpetas,25-74 años,Mujer,Araba/Álava,%,56.3
2019,Copiar o mover ficheros o carpetas,25-74 años,Mujer,Araba/Álava,%,46.9
2023,Copiar o mover ficheros o carpetas,25-74 años,Mujer,Araba/Álava,%,50.6
2022,Copiar o mover ficheros o carpetas,25-74 años,Mujer,Araba/Álava,%,53.6
2024,Copiar o mover ficheros o carpetas,25-74 años,Mujer,Bizkaia,%,46.3
2019,Copiar o mover ficheros o carpetas,25-74 años,Mujer,Bizkaia,%,48.9
2022,Copiar o mover ficheros o carpetas,25-74 años,Mujer,Bizkaia,%,51.0
2020,Copiar o mover ficheros o carpetas,25-74 años,Mujer,Bizkaia,%,47.3
2021,Copiar o mover ficheros o carpetas,25-74 años,Mujer,Bizkaia,%,56.3
2023,Copiar o mover ficheros o carpetas,25-74 años,Mujer,Bizkaia,%,50.9
2019,Copiar o mover ficheros o carpetas,25-74 años,Mujer,Gipuzkoa,%,48.5
2023,Copiar o mover ficheros o carpetas,25-74 años,Mujer,Gipuzkoa,%,51.9
2021,Copiar o mover ficheros o carpetas,25-74 años,Mujer,Gipuzkoa,%,58.7
2024,Copiar o mover ficheros o carpetas,25-74 años,Mujer,Gipuzkoa,%,45.2
2022,Copiar o mover ficheros o carpetas,25-74 años,Mujer,Gipuzkoa,%,53.9
2020,Copiar o mover ficheros o carpetas,25-74 años,Mujer,Gipuzkoa,%,52.2
2023,Copiar o mover ficheros o carpetas,25-74 años,Hombre,,%,52.6
2024,Copiar o mover ficheros o carpetas,25-74 años,Hombre,,%,48.2
2020,Copiar o mover ficheros o carpetas,25-74 años,Hombre,,%,53.7
2022,Copiar o mover ficheros o carpetas,25-74 años,Hombre,,%,54.2
2021,Copiar o mover ficheros o carpetas,25-74 años,Hombre,,%,59.2
2019,Copiar o mover ficheros o carpetas,25-74 años,Hombre,,%,54.6
2019,Copiar o mover ficheros o carpetas,25-74 años,Hombre,Araba/Álava,%,56.8
2023,Copiar o mover ficheros o carpetas,25-74 años,Hombre,Araba/Álava,%,47.9
2022,Copiar o mover ficheros o carpetas,25-74 años,Hombre,Araba/Álava,%,53.7
2020,Copiar o mover ficheros o carpetas,25-74 años,Hombre,Araba/Álava,%,50.7
2021,Copiar o mover ficheros o carpetas,25-74 años,Hombre,Araba/Álava,%,61.2
2024,Copiar o mover ficheros o carpetas,25-74 años,Hombre,Araba/Álava,%,51.5
2024,Copiar o mover ficheros o carpetas,25-74 años,Hombre,Bizkaia,%,48.2
2020,Copiar o mover ficheros o carpetas,25-74 años,Hombre,Bizkaia,%,54.5
2019,Copiar o mover ficheros o carpetas,25-74 años,Hombre,Bizkaia,%,55.6
2021,Copiar o mover ficheros o carpetas,25-74 años,Hombre,Bizkaia,%,60.5
2023,Copiar o mover ficheros o carpetas,25-74 años,Hombre,Bizkaia,%,53.4
2022,Copiar o mover ficheros o carpetas,25-74 años,Hombre,Bizkaia,%,54.3
2023,Copiar o mover ficheros o carpetas,25-74 años,Hombre,Gipuzkoa,%,53.6
2021,Copiar o mover ficheros o carpetas,25-74 años,Hombre,Gipuzkoa,%,56.1
2019,Copiar o mover ficheros o carpetas,25-74 años,Hombre,Gipuzkoa,%,52.1
2024,Copiar o mover ficheros o carpetas,25-74 años,Hombre,Gipuzkoa,%,46.6
2022,Copiar o mover ficheros o carpetas,25-74 años,Hombre,Gipuzkoa,%,54.2
2020,Copiar o mover ficheros o carpetas,25-74 años,Hombre,Gipuzkoa,%,53.7
2019,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,,,%,42.2
2023,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,,,%,41.1
2020,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,,,%,45.0
2021,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,,,%,46.0
2022,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,,,%,42.3
2024,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,,,%,40.0
2023,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,,Araba/Álava,%,38.4
2021,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,,Araba/Álava,%,46.6
2024,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,,Araba/Álava,%,38.1
2022,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,,Araba/Álava,%,43.5
2020,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,,Araba/Álava,%,43.0
2019,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,,Araba/Álava,%,41.8
2023,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,,Bizkaia,%,40.7
2021,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,,Bizkaia,%,46.1
2022,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,,Bizkaia,%,41.9
2024,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,,Bizkaia,%,40.6
2020,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,,Bizkaia,%,45.1
2019,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,,Bizkaia,%,42.4
2019,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,,Gipuzkoa,%,42.2
2024,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,,Gipuzkoa,%,40.0
2020,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,,Gipuzkoa,%,45.7
2022,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,,Gipuzkoa,%,42.3
2023,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,,Gipuzkoa,%,42.9
2021,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,,Gipuzkoa,%,45.4
2020,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,Mujer,,%,44.5
2021,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,Mujer,,%,45.1
2023,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,Mujer,,%,41.8
2019,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,Mujer,,%,41.7
2024,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,Mujer,,%,38.6
2022,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,Mujer,,%,42.9
2023,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,Mujer,Araba/Álava,%,39.6
2022,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,Mujer,Araba/Álava,%,44.3
2024,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,Mujer,Araba/Álava,%,35.8
2021,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,Mujer,Araba/Álava,%,44.9
2020,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,Mujer,Araba/Álava,%,42.4
2019,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,Mujer,Araba/Álava,%,42.9
2023,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,Mujer,Bizkaia,%,42.1
2024,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,Mujer,Bizkaia,%,39.8
2021,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,Mujer,Bizkaia,%,43.9
2022,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,Mujer,Bizkaia,%,42.1
2019,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,Mujer,Bizkaia,%,40.6
2020,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,Mujer,Bizkaia,%,43.9
2021,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,Mujer,Gipuzkoa,%,47.0
2024,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,Mujer,Gipuzkoa,%,37.8
2023,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,Mujer,Gipuzkoa,%,42.3
2019,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,Mujer,Gipuzkoa,%,43.0
2020,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,Mujer,Gipuzkoa,%,46.5
2022,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,Mujer,Gipuzkoa,%,43.7
2023,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,Hombre,,%,40.3
2020,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,Hombre,,%,45.5
2024,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,Hombre,,%,41.5
2022,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,Hombre,,%,41.7
2021,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,Hombre,,%,46.8
2019,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,Hombre,,%,42.7
2021,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,Hombre,Araba/Álava,%,48.3
2022,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,Hombre,Araba/Álava,%,42.7
2019,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,Hombre,Araba/Álava,%,40.6
2023,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,Hombre,Araba/Álava,%,37.2
2020,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,Hombre,Araba/Álava,%,43.6
2024,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,Hombre,Araba/Álava,%,40.4
2021,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,Hombre,Bizkaia,%,48.4
2019,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,Hombre,Bizkaia,%,44.2
2024,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,Hombre,Bizkaia,%,41.5
2023,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,Hombre,Bizkaia,%,39.2
2022,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,Hombre,Bizkaia,%,41.8
2020,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,Hombre,Bizkaia,%,46.3
2019,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,Hombre,Gipuzkoa,%,41.4
2023,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,Hombre,Gipuzkoa,%,43.5
2024,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,Hombre,Gipuzkoa,%,42.2
2021,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,Hombre,Gipuzkoa,%,43.7
2022,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,Hombre,Gipuzkoa,%,40.9
2020,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",,Hombre,Gipuzkoa,%,45.0
2021,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",16-24 años,,,%,82.8
2020,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",16-24 años,,,%,86.4
2023,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",16-24 años,,,%,83.5
2024,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",16-24 años,,,%,79.5
2019,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",16-24 años,,,%,85.3
2022,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",16-24 años,,,%,81.3
2020,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",16-24 años,,Araba/Álava,%,78.9
2024,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",16-24 años,,Araba/Álava,%,85.2
2019,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",16-24 años,,Araba/Álava,%,89.2
2022,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",16-24 años,,Araba/Álava,%,83.7
2023,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",16-24 años,,Araba/Álava,%,83.6
2021,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",16-24 años,,Araba/Álava,%,77.0
2019,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",16-24 años,,Bizkaia,%,88.1
2020,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",16-24 años,,Bizkaia,%,86.6
2021,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",16-24 años,,Bizkaia,%,83.3
2023,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",16-24 años,,Bizkaia,%,82.0
2022,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",16-24 años,,Bizkaia,%,82.7
2024,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",16-24 años,,Bizkaia,%,74.8
2023,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",16-24 años,,Gipuzkoa,%,85.7
2022,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",16-24 años,,Gipuzkoa,%,78.2
2020,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",16-24 años,,Gipuzkoa,%,89.6
2019,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",16-24 años,,Gipuzkoa,%,79.9
2024,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",16-24 años,,Gipuzkoa,%,83.7
2021,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",16-24 años,,Gipuzkoa,%,84.7
2021,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",16-24 años,Mujer,,%,83.2
2020,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",16-24 años,Mujer,,%,86.5
2019,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",16-24 años,Mujer,,%,88.7
2024,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",16-24 años,Mujer,,%,86.5
2022,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",16-24 años,Mujer,,%,85.7
2023,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",16-24 años,Mujer,,%,90.3
2024,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",16-24 años,Mujer,Araba/Álava,%,93.1
2023,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",16-24 años,Mujer,Araba/Álava,%,92.2
2021,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",16-24 años,Mujer,Araba/Álava,%,83.9
2020,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",16-24 años,Mujer,Araba/Álava,%,74.8
2022,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",16-24 años,Mujer,Araba/Álava,%,94.0
2019,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",16-24 años,Mujer,Araba/Álava,%,89.8
2021,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",16-24 años,Mujer,Bizkaia,%,80.2
2024,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",16-24 años,Mujer,Bizkaia,%,84.0
2023,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",16-24 años,Mujer,Bizkaia,%,88.7
2019,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",16-24 años,Mujer,Bizkaia,%,90.7
2020,"Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos",16-24 años,Mujer,Bizkaia,%,87.6
