Year,Habilidad_IT,Sexo,Edad,Territorio,Units,Value
2020,ICTCPT,F,Y25T74,ES212,PT,52.18
2023,ICTCPT,F,Y25T74,ES212,PT,51.94
2019,ICTCPT,F,Y25T74,ES212,PT,48.54
2021,ICTCPT,F,Y25T74,ES212,PT,58.7
2023,ICTCPT,M,Y16T24,,PT,85.58
2020,ICTCPT,M,Y16T24,,PT,85.21
2021,ICTCPT,M,Y16T24,,PT,87.49
2019,ICTCPT,M,Y16T24,,PT,85.09
2022,ICTCPT,M,Y16T24,,PT,85.38
2023,ICTCPT,M,Y16T24,ES211,PT,93.34
2021,ICTCPT,M,Y16T24,ES211,PT,84.98
2020,ICTCPT,M,Y16T24,ES211,PT,80.49
2019,ICTCPT,M,Y16T24,ES211,PT,90.23
2022,ICTCPT,M,Y16T24,ES211,PT,73.96
2021,ICTCPT,M,Y16T24,ES213,PT,89.47
2020,ICTCPT,M,Y16T24,ES213,PT,81.67
2023,ICTCPT,M,Y16T24,ES213,PT,83.88
2019,ICTCPT,M,Y16T24,ES213,PT,87.06
2022,ICTCPT,M,Y16T24,ES213,PT,85.75
2022,ICTCPT,M,Y16T24,ES212,PT,89.39
2020,ICTCPT,M,Y16T24,ES212,PT,92.67
2023,ICTCPT,M,Y16T24,ES212,PT,84.13
2019,ICTCPT,M,Y16T24,ES212,PT,80.51
2021,ICTCPT,M,Y16T24,ES212,PT,85.97
2020,ICTCPT,M,Y16T74,,PT,57.3
2022,ICTCPT,M,Y16T74,,PT,57.94
2023,ICTCPT,M,Y16T74,,PT,56.67
2021,ICTCPT,M,Y16T74,,PT,62.72
2019,ICTCPT,M,Y16T74,,PT,57.75
2019,ICTCPT,M,Y16T74,ES211,PT,60.01
2023,ICTCPT,M,Y16T74,ES211,PT,54.1
2021,ICTCPT,M,Y16T74,ES211,PT,64.32
2022,ICTCPT,M,Y16T74,ES211,PT,55.89
2020,ICTCPT,M,Y16T74,ES211,PT,54.32
2020,ICTCPT,M,Y16T74,ES213,PT,57.51
2023,ICTCPT,M,Y16T74,ES213,PT,56.95
2021,ICTCPT,M,Y16T74,ES213,PT,63.83
2022,ICTCPT,M,Y16T74,ES213,PT,58.08
2019,ICTCPT,M,Y16T74,ES213,PT,58.64
2020,ICTCPT,M,Y16T74,ES212,PT,58.37
2022,ICTCPT,M,Y16T74,ES212,PT,58.68
2021,ICTCPT,M,Y16T74,ES212,PT,60.21
2019,ICTCPT,M,Y16T74,ES212,PT,55.37
2023,ICTCPT,M,Y16T74,ES212,PT,57.43
2022,ICTCPT,M,Y25T74,,PT,54.17
2021,ICTCPT,M,Y25T74,,PT,59.16
2020,ICTCPT,M,Y25T74,,PT,53.66
2019,ICTCPT,M,Y25T74,,PT,54.64
2023,ICTCPT,M,Y25T74,,PT,52.63
2021,ICTCPT,M,Y25T74,ES211,PT,61.18
2020,ICTCPT,M,Y25T74,ES211,PT,50.74
2023,ICTCPT,M,Y25T74,ES211,PT,47.9
2019,ICTCPT,M,Y25T74,ES211,PT,56.81
2022,ICTCPT,M,Y25T74,ES211,PT,53.67
2019,ICTCPT,M,Y25T74,ES213,PT,55.58
2020,ICTCPT,M,Y25T74,ES213,PT,54.51
2022,ICTCPT,M,Y25T74,ES213,PT,54.3
2021,ICTCPT,M,Y25T74,ES213,PT,60.48
