Year,Servicios públicos,Sexo,Territorio histórico,Units,Value
2018,Obras públicas,Hombre,Bizkaia,Porcentaje,79.3
2019,Obras públicas,Hombre,Bizkaia,Porcentaje,78.9
2020,Obras públicas,Hombre,Bizkaia,Porcentaje,74.1
2021,Obras públicas,Hombre,Bizkaia,Porcentaje,56.9
2022,Obras públicas,Hombre,Bizkaia,Porcentaje,49.1
2023,Obras públicas,Hombre,Bizkaia,Porcentaje,62.8
2017,Obras públicas,Hombre,Gipuzkoa,Porcentaje,45.8
2016,Obras públicas,Hombre,Gipuzkoa,Porcentaje,55.0
2018,Obras públicas,Hombre,Gipuzkoa,Porcentaje,63.6
2020,Obras públicas,Hombre,Gipuzkoa,Porcentaje,53.8
2022,Obras públicas,Hombre,Gipuzkoa,Porcentaje,56.0
2023,Obras públicas,Hombre,Gipuzkoa,Porcentaje,78.1
2021,Obras públicas,Hombre,Gipuzkoa,Porcentaje,72.2
2019,Obras públicas,Hombre,Gipuzkoa,Porcentaje,62.1
2023,Ayuda a personas dependientes,,,Porcentaje,38.7
2020,Ayuda a personas dependientes,,,Porcentaje,40.5
2019,Ayuda a personas dependientes,,,Porcentaje,42.2
2021,Ayuda a personas dependientes,,,Porcentaje,40.5
2011,Ayuda a personas dependientes,,,Porcentaje,37.3
2014,Ayuda a personas dependientes,,,Porcentaje,12.6
2016,Ayuda a personas dependientes,,,Porcentaje,27.0
2013,Ayuda a personas dependientes,,,Porcentaje,24.8
2022,Ayuda a personas dependientes,,,Porcentaje,40.8
2018,Ayuda a personas dependientes,,,Porcentaje,43.6
2012,Ayuda a personas dependientes,,,Porcentaje,28.7
2015,Ayuda a personas dependientes,,,Porcentaje,22.3
2017,Ayuda a personas dependientes,,,Porcentaje,29.8
2023,Ayuda a personas dependientes,,Araba/Álava,Porcentaje,36.6
2021,Ayuda a personas dependientes,,Araba/Álava,Porcentaje,41.0
2019,Ayuda a personas dependientes,,Araba/Álava,Porcentaje,66.7
2022,Ayuda a personas dependientes,,Araba/Álava,Porcentaje,49.4
2016,Ayuda a personas dependientes,,Araba/Álava,Porcentaje,6.7
2018,Ayuda a personas dependientes,,Araba/Álava,Porcentaje,37.5
2020,Ayuda a personas dependientes,,Araba/Álava,Porcentaje,46.4
2017,Ayuda a personas dependientes,,Araba/Álava,Porcentaje,13.0
2020,Ayuda a personas dependientes,,Bizkaia,Porcentaje,34.8
2016,Ayuda a personas dependientes,,Bizkaia,Porcentaje,23.8
2019,Ayuda a personas dependientes,,Bizkaia,Porcentaje,30.8
2022,Ayuda a personas dependientes,,Bizkaia,Porcentaje,41.1
2018,Ayuda a personas dependientes,,Bizkaia,Porcentaje,46.5
2021,Ayuda a personas dependientes,,Bizkaia,Porcentaje,47.9
2017,Ayuda a personas dependientes,,Bizkaia,Porcentaje,25.6
2023,Ayuda a personas dependientes,,Bizkaia,Porcentaje,43.5
2022,Ayuda a personas dependientes,,Gipuzkoa,Porcentaje,38.0
2017,Ayuda a personas dependientes,,Gipuzkoa,Porcentaje,42.9
2019,Ayuda a personas dependientes,,Gipuzkoa,Porcentaje,44.8
2018,Ayuda a personas dependientes,,Gipuzkoa,Porcentaje,42.9
2016,Ayuda a personas dependientes,,Gipuzkoa,Porcentaje,37.2
2021,Ayuda a personas dependientes,,Gipuzkoa,Porcentaje,36.8
2023,Ayuda a personas dependientes,,Gipuzkoa,Porcentaje,36.7
2020,Ayuda a personas dependientes,,Gipuzkoa,Porcentaje,42.3
2017,Ayuda a personas dependientes,Mujer,,Porcentaje,27.5
2022,Ayuda a personas dependientes,Mujer,,Porcentaje,35.0
2018,Ayuda a personas dependientes,Mujer,,Porcentaje,42.0
2016,Ayuda a personas dependientes,Mujer,,Porcentaje,22.2
2021,Ayuda a personas dependientes,Mujer,,Porcentaje,42.8
2023,Ayuda a personas dependientes,Mujer,,Porcentaje,39.3
2019,Ayuda a personas dependientes,Mujer,,Porcentaje,38.3
2020,Ayuda a personas dependientes,Mujer,,Porcentaje,32.3
2016,Ayuda a personas dependientes,Mujer,Araba/Álava,Porcentaje,14.3
2018,Ayuda a personas dependientes,Mujer,Araba/Álava,Porcentaje,33.3
2017,Ayuda a personas dependientes,Mujer,Araba/Álava,Porcentaje,10.0
2019,Ayuda a personas dependientes,Mujer,Araba/Álava,Porcentaje,66.7
2020,Ayuda a personas dependientes,Mujer,Araba/Álava,Porcentaje,31.3
2022,Ayuda a personas dependientes,Mujer,Araba/Álava,Porcentaje,51.5
2023,Ayuda a personas dependientes,Mujer,Araba/Álava,Porcentaje,33.7
2021,Ayuda a personas dependientes,Mujer,Araba/Álava,Porcentaje,44.3
2016,Ayuda a personas dependientes,Mujer,Bizkaia,Porcentaje,12.5
2023,Ayuda a personas dependientes,Mujer,Bizkaia,Porcentaje,45.1
2018,Ayuda a personas dependientes,Mujer,Bizkaia,Porcentaje,42.1
2019,Ayuda a personas dependientes,Mujer,Bizkaia,Porcentaje,27.3
2017,Ayuda a personas dependientes,Mujer,Bizkaia,Porcentaje,19.0
2021,Ayuda a personas dependientes,Mujer,Bizkaia,Porcentaje,55.6
2022,Ayuda a personas dependientes,Mujer,Bizkaia,Porcentaje,36.2
2020,Ayuda a personas dependientes,Mujer,Bizkaia,Porcentaje,28.6
2022,Ayuda a personas dependientes,Mujer,Gipuzkoa,Porcentaje,28.7
2023,Ayuda a personas dependientes,Mujer,Gipuzkoa,Porcentaje,37.0
2020,Ayuda a personas dependientes,Mujer,Gipuzkoa,Porcentaje,35.7
2019,Ayuda a personas dependientes,Mujer,Gipuzkoa,Porcentaje,40.6
2018,Ayuda a personas dependientes,Mujer,Gipuzkoa,Porcentaje,45.5
2021,Ayuda a personas dependientes,Mujer,Gipuzkoa,Porcentaje,35.8
2016,Ayuda a personas dependientes,Mujer,Gipuzkoa,Porcentaje,34.8
2017,Ayuda a personas dependientes,Mujer,Gipuzkoa,Porcentaje,45.0
2016,Ayuda a personas dependientes,Hombre,,Porcentaje,32.6
2021,Ayuda a personas dependientes,Hombre,,Porcentaje,37.9
2023,Ayuda a personas dependientes,Hombre,,Porcentaje,38.1
2022,Ayuda a personas dependientes,Hombre,,Porcentaje,47.2
2018,Ayuda a personas dependientes,Hombre,,Porcentaje,45.1
2019,Ayuda a personas dependientes,Hombre,,Porcentaje,46.9
2017,Ayuda a personas dependientes,Hombre,,Porcentaje,32.1
2020,Ayuda a personas dependientes,Hombre,,Porcentaje,49.2
2023,Ayuda a personas dependientes,Hombre,Araba/Álava,Porcentaje,38.6
2020,Ayuda a personas dependientes,Hombre,Araba/Álava,Porcentaje,66.7
2022,Ayuda a personas dependientes,Hombre,Araba/Álava,Porcentaje,47.2
2021,Ayuda a personas dependientes,Hombre,Araba/Álava,Porcentaje,39.0
2019,Ayuda a personas dependientes,Hombre,Araba/Álava,Porcentaje,66.7
2017,Ayuda a personas dependientes,Hombre,Araba/Álava,Porcentaje,15.4
2018,Ayuda a personas dependientes,Hombre,Araba/Álava,Porcentaje,42.9
2018,Ayuda a personas dependientes,Hombre,Bizkaia,Porcentaje,50.0
2020,Ayuda a personas dependientes,Hombre,Bizkaia,Porcentaje,40.0
2016,Ayuda a personas dependientes,Hombre,Bizkaia,Porcentaje,38.9
2022,Ayuda a personas dependientes,Hombre,Bizkaia,Porcentaje,50.0
2017,Ayuda a personas dependientes,Hombre,Bizkaia,Porcentaje,33.3
2019,Ayuda a personas dependientes,Hombre,Bizkaia,Porcentaje,35.3
2021,Ayuda a personas dependientes,Hombre,Bizkaia,Porcentaje,36.8
2023,Ayuda a personas dependientes,Hombre,Bizkaia,Porcentaje,41.1
2020,Ayuda a personas dependientes,Hombre,Gipuzkoa,Porcentaje,50.0
2017,Ayuda a personas dependientes,Hombre,Gipuzkoa,Porcentaje,40.9
2023,Ayuda a personas dependientes,Hombre,Gipuzkoa,Porcentaje,36.2
2022,Ayuda a personas dependientes,Hombre,Gipuzkoa,Porcentaje,46.2
2021,Ayuda a personas dependientes,Hombre,Gipuzkoa,Porcentaje,38.1
2018,Ayuda a personas dependientes,Hombre,Gipuzkoa,Porcentaje,40.0
2016,Ayuda a personas dependientes,Hombre,Gipuzkoa,Porcentaje,40.0
2019,Ayuda a personas dependientes,Hombre,Gipuzkoa,Porcentaje,50.0
