Year,Series,Sexo,Edad,Territorio histórico,Units,Value
2018,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,Gipuzkoa,Porcentaje,80.0
2015,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,Gipuzkoa,Porcentaje,82.1
2016,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,Gipuzkoa,Porcentaje,79.9
2011,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,Gipuzkoa,Porcentaje,71.7
2013,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-64 años,,Porcentaje,18.6
2018,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-64 años,,Porcentaje,18.3
2014,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-64 años,,Porcentaje,21.6
2019,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-64 años,,Porcentaje,21.1
2016,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-64 años,,Porcentaje,24.1
2017,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-64 años,,Porcentaje,18.8
2012,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-64 años,,Porcentaje,12.1
2021,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-64 años,,Porcentaje,24.2
2010,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-64 años,,Porcentaje,11.9
2023,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-64 años,,Porcentaje,25.4
2011,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-64 años,,Porcentaje,11.4
2015,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-64 años,,Porcentaje,26.1
2020,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-64 años,,Porcentaje,21.4
2022,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-64 años,,Porcentaje,23.5
2015,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-64 años,Araba/Álava,Porcentaje,27.2
2019,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-64 años,Araba/Álava,Porcentaje,21.3
2013,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-64 años,Araba/Álava,Porcentaje,20.6
2022,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-64 años,Araba/Álava,Porcentaje,23.6
2018,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-64 años,Araba/Álava,Porcentaje,19.8
2021,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-64 años,Araba/Álava,Porcentaje,24.1
2012,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-64 años,Araba/Álava,Porcentaje,11.8
2010,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-64 años,Araba/Álava,Porcentaje,10.9
2017,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-64 años,Araba/Álava,Porcentaje,20.1
2014,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-64 años,Araba/Álava,Porcentaje,24.9
2011,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-64 años,Araba/Álava,Porcentaje,11.0
2016,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-64 años,Araba/Álava,Porcentaje,26.7
2020,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-64 años,Araba/Álava,Porcentaje,21.2
2023,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-64 años,Araba/Álava,Porcentaje,24.5
2014,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-64 años,Bizkaia,Porcentaje,20.6
2012,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-64 años,Bizkaia,Porcentaje,11.6
2015,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-64 años,Bizkaia,Porcentaje,24.9
2019,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-64 años,Bizkaia,Porcentaje,21.4
2010,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-64 años,Bizkaia,Porcentaje,10.9
2023,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-64 años,Bizkaia,Porcentaje,25.7
2020,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-64 años,Bizkaia,Porcentaje,21.5
2021,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-64 años,Bizkaia,Porcentaje,24.2
2013,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-64 años,Bizkaia,Porcentaje,18.6
2017,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-64 años,Bizkaia,Porcentaje,18.7
2022,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-64 años,Bizkaia,Porcentaje,23.1
2011,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-64 años,Bizkaia,Porcentaje,10.4
2018,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-64 años,Bizkaia,Porcentaje,17.8
2016,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-64 años,Bizkaia,Porcentaje,21.9
2012,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-64 años,Gipuzkoa,Porcentaje,13.1
2013,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-64 años,Gipuzkoa,Porcentaje,17.8
2015,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-64 años,Gipuzkoa,Porcentaje,27.6
2018,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-64 años,Gipuzkoa,Porcentaje,18.6
2021,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-64 años,Gipuzkoa,Porcentaje,24.2
2020,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-64 años,Gipuzkoa,Porcentaje,21.4
2016,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-64 años,Gipuzkoa,Porcentaje,26.6
2010,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-64 años,Gipuzkoa,Porcentaje,14.0
2023,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-64 años,Gipuzkoa,Porcentaje,25.5
2019,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-64 años,Gipuzkoa,Porcentaje,20.6
2017,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-64 años,Gipuzkoa,Porcentaje,18.4
2011,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-64 años,Gipuzkoa,Porcentaje,13.2
2022,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-64 años,Gipuzkoa,Porcentaje,24.0
2014,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-64 años,Gipuzkoa,Porcentaje,21.6
2013,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,25-64 años,,Porcentaje,10.4
2019,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,25-64 años,,Porcentaje,11.5
2023,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,25-64 años,,Porcentaje,15.2
2014,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,25-64 años,,Porcentaje,13.4
2012,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,25-64 años,,Porcentaje,3.0
2021,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,25-64 años,,Porcentaje,14.1
2015,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,25-64 años,,Porcentaje,17.6
2011,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,25-64 años,,Porcentaje,2.9
2010,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,25-64 años,,Porcentaje,3.0
2022,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,25-64 años,,Porcentaje,13.4
2018,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,25-64 años,,Porcentaje,9.2
2017,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,25-64 años,,Porcentaje,9.7
2020,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,25-64 años,,Porcentaje,11.6
2016,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,25-64 años,,Porcentaje,15.6
2015,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,25-64 años,Araba/Álava,Porcentaje,18.8
2014,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,25-64 años,Araba/Álava,Porcentaje,16.9
2020,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,25-64 años,Araba/Álava,Porcentaje,11.4
2018,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,25-64 años,Araba/Álava,Porcentaje,11.4
2011,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,25-64 años,Araba/Álava,Porcentaje,2.2
2013,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,25-64 años,Araba/Álava,Porcentaje,12.5
2021,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,25-64 años,Araba/Álava,Porcentaje,14.3
2017,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,25-64 años,Araba/Álava,Porcentaje,11.5
2023,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,25-64 años,Araba/Álava,Porcentaje,14.7
2010,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,25-64 años,Araba/Álava,Porcentaje,2.2
2019,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,25-64 años,Araba/Álava,Porcentaje,11.5
2022,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,25-64 años,Araba/Álava,Porcentaje,13.9
2012,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,25-64 años,Araba/Álava,Porcentaje,2.0
2016,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,25-64 años,Araba/Álava,Porcentaje,18.7
2022,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,25-64 años,Bizkaia,Porcentaje,13.5
2014,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,25-64 años,Bizkaia,Porcentaje,12.6
2020,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,25-64 años,Bizkaia,Porcentaje,12.3
2016,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,25-64 años,Bizkaia,Porcentaje,13.2
2010,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,25-64 años,Bizkaia,Porcentaje,2.1
2011,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,25-64 años,Bizkaia,Porcentaje,2.0
2013,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,25-64 años,Bizkaia,Porcentaje,10.5
2018,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,25-64 años,Bizkaia,Porcentaje,9.1
2015,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,25-64 años,Bizkaia,Porcentaje,16.2
2017,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,25-64 años,Bizkaia,Porcentaje,9.7
2019,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,25-64 años,Bizkaia,Porcentaje,12.2
2021,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,25-64 años,Bizkaia,Porcentaje,14.4
2023,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,25-64 años,Bizkaia,Porcentaje,15.8
2012,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,25-64 años,Bizkaia,Porcentaje,2.9
2015,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,25-64 años,Gipuzkoa,Porcentaje,19.5
2011,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,25-64 años,Gipuzkoa,Porcentaje,4.7
2012,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,25-64 años,Gipuzkoa,Porcentaje,3.7
2010,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,25-64 años,Gipuzkoa,Porcentaje,5.0
2018,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,25-64 años,Gipuzkoa,Porcentaje,8.3
2014,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,25-64 años,Gipuzkoa,Porcentaje,13.0
2020,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,25-64 años,Gipuzkoa,Porcentaje,10.7
2022,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,25-64 años,Gipuzkoa,Porcentaje,13.0
2016,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,25-64 años,Gipuzkoa,Porcentaje,18.1
2013,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,25-64 años,Gipuzkoa,Porcentaje,9.2
2017,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,25-64 años,Gipuzkoa,Porcentaje,8.9
2019,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,25-64 años,Gipuzkoa,Porcentaje,10.3
2021,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,25-64 años,Gipuzkoa,Porcentaje,13.6
2023,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,25-64 años,Gipuzkoa,Porcentaje,14.5
2011,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-24 años,,Porcentaje,72.3
2016,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-24 años,,Porcentaje,81.0
2015,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-24 años,,Porcentaje,81.0
2022,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-24 años,,Porcentaje,76.8
2014,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-24 años,,Porcentaje,78.5
2017,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-24 años,,Porcentaje,78.7
2023,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-24 años,,Porcentaje,79.0
2013,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-24 años,,Porcentaje,74.9
2021,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-24 años,,Porcentaje,79.4
2010,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-24 años,,Porcentaje,70.8
2019,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-24 años,,Porcentaje,81.2
2020,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-24 años,,Porcentaje,79.8
2012,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-24 años,,Porcentaje,75.2
2018,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-24 años,,Porcentaje,79.7
2023,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-24 años,Araba/Álava,Porcentaje,76.6
2021,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-24 años,Araba/Álava,Porcentaje,78.4
2020,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-24 años,Araba/Álava,Porcentaje,75.4
2016,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-24 años,Araba/Álava,Porcentaje,80.3
2017,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-24 años,Araba/Álava,Porcentaje,74.5
2018,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-24 años,Araba/Álava,Porcentaje,75.8
2011,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-24 años,Araba/Álava,Porcentaje,64.3
2013,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-24 años,Araba/Álava,Porcentaje,75.8
2022,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-24 años,Araba/Álava,Porcentaje,75.2
2012,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-24 años,Araba/Álava,Porcentaje,66.4
2019,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-24 años,Araba/Álava,Porcentaje,76.2
2014,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-24 años,Araba/Álava,Porcentaje,82.3
2015,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-24 años,Araba/Álava,Porcentaje,77.4
2010,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-24 años,Araba/Álava,Porcentaje,68.7
2010,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-24 años,Bizkaia,Porcentaje,69.8
2011,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-24 años,Bizkaia,Porcentaje,73.2
2018,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-24 años,Bizkaia,Porcentaje,80.9
2014,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-24 años,Bizkaia,Porcentaje,78.1
2015,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-24 años,Bizkaia,Porcentaje,82.3
2016,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-24 años,Bizkaia,Porcentaje,81.7
2017,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-24 años,Bizkaia,Porcentaje,81.9
2023,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-24 años,Bizkaia,Porcentaje,80.7
2012,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-24 años,Bizkaia,Porcentaje,78.6
2022,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-24 años,Bizkaia,Porcentaje,78.4
2013,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-24 años,Bizkaia,Porcentaje,77.1
2020,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-24 años,Bizkaia,Porcentaje,80.3
2021,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-24 años,Bizkaia,Porcentaje,79.9
2019,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-24 años,Bizkaia,Porcentaje,83.8
2013,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-24 años,Gipuzkoa,Porcentaje,71.1
2010,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-24 años,Gipuzkoa,Porcentaje,73.4
2021,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-24 años,Gipuzkoa,Porcentaje,79.2
2011,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-24 años,Gipuzkoa,Porcentaje,74.4
2017,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-24 años,Gipuzkoa,Porcentaje,75.7
2018,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-24 años,Gipuzkoa,Porcentaje,79.7
2022,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-24 años,Gipuzkoa,Porcentaje,75.0
2023,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-24 años,Gipuzkoa,Porcentaje,77.7
2015,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-24 años,Gipuzkoa,Porcentaje,80.4
2016,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-24 años,Gipuzkoa,Porcentaje,80.3
2019,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-24 años,Gipuzkoa,Porcentaje,79.4
2014,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-24 años,Gipuzkoa,Porcentaje,77.4
2012,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-24 años,Gipuzkoa,Porcentaje,73.9
2020,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-24 años,Gipuzkoa,Porcentaje,81.1
2010,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-64 años,,Porcentaje,11.7
2015,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-64 años,,Porcentaje,22.7
2016,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-64 años,,Porcentaje,21.7
2021,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-64 años,,Porcentaje,21.8
2020,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-64 años,,Porcentaje,20.2
2022,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-64 años,,Porcentaje,20.3
2014,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-64 años,,Porcentaje,19.7
2018,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-64 años,,Porcentaje,18.1
2013,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-64 años,,Porcentaje,17.2
2011,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-64 años,,Porcentaje,12.1
2019,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-64 años,,Porcentaje,19.8
2023,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-64 años,,Porcentaje,22.6
2017,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-64 años,,Porcentaje,18.1
2012,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-64 años,,Porcentaje,12.5
2010,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-64 años,Araba/Álava,Porcentaje,11.7
2019,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-64 años,Araba/Álava,Porcentaje,19.0
2015,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-64 años,Araba/Álava,Porcentaje,22.5
2013,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-64 años,Araba/Álava,Porcentaje,18.0
2014,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-64 años,Araba/Álava,Porcentaje,23.1
2011,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-64 años,Araba/Álava,Porcentaje,10.4
2012,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-64 años,Araba/Álava,Porcentaje,10.5
2020,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-64 años,Araba/Álava,Porcentaje,19.9
2017,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-64 años,Araba/Álava,Porcentaje,17.1
2018,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-64 años,Araba/Álava,Porcentaje,17.6
2021,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-64 años,Araba/Álava,Porcentaje,22.2
2022,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-64 años,Araba/Álava,Porcentaje,21.5
2023,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-64 años,Araba/Álava,Porcentaje,22.3
2016,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-64 años,Araba/Álava,Porcentaje,23.4
2016,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-64 años,Bizkaia,Porcentaje,20.9
2010,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-64 años,Bizkaia,Porcentaje,10.6
2011,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-64 años,Bizkaia,Porcentaje,11.6
2020,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-64 años,Bizkaia,Porcentaje,20.5
2014,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-64 años,Bizkaia,Porcentaje,18.9
2013,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-64 años,Bizkaia,Porcentaje,16.9
2015,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-64 años,Bizkaia,Porcentaje,22.0
2018,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-64 años,Bizkaia,Porcentaje,18.3
2017,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-64 años,Bizkaia,Porcentaje,18.9
2019,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-64 años,Bizkaia,Porcentaje,20.1
2022,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-64 años,Bizkaia,Porcentaje,20.4
