Year,Habilidad informática,Sexo,Edad,Territorio histórico,Units,Value
2019,Copiar o mover ficheros o carpetas,,25-74 años,Bizkaia,%,52.19
2021,Copiar o mover ficheros o carpetas,,25-74 años,Bizkaia,%,58.38
2023,Copiar o mover ficheros o carpetas,,25-74 años,Bizkaia,%,52.12
2022,Copiar o mover ficheros o carpetas,,25-74 años,Bizkaia,%,52.56
2020,Copiar o mover ficheros o carpetas,,25-74 años,Bizkaia,%,50.87
2022,Copiar o mover ficheros o carpetas,,25-74 años,Gipuzkoa,%,54.06
2023,Copiar o mover ficheros o carpetas,,25-74 años,Gipuzkoa,%,52.75
2020,Copiar o mover ficheros o carpetas,,25-74 años,Gipuzkoa,%,52.91
2021,Copiar o mover ficheros o carpetas,,25-74 años,Gipuzkoa,%,57.39
2019,Copiar o mover ficheros o carpetas,,25-74 años,Gipuzkoa,%,50.33
2022,Copiar o mover ficheros o carpetas,Mujer,16-24 años,,%,89.57
2023,Copiar o mover ficheros o carpetas,Mujer,16-24 años,,%,92.94
2019,Copiar o mover ficheros o carpetas,Mujer,16-24 años,,%,93.7
2020,Copiar o mover ficheros o carpetas,Mujer,16-24 años,,%,88.02
2021,Copiar o mover ficheros o carpetas,Mujer,16-24 años,,%,85.56
2023,Copiar o mover ficheros o carpetas,Mujer,16-24 años,Araba/Álava,%,96.79
2021,Copiar o mover ficheros o carpetas,Mujer,16-24 años,Araba/Álava,%,86.52
2019,Copiar o mover ficheros o carpetas,Mujer,16-24 años,Araba/Álava,%,91.79
2022,Copiar o mover ficheros o carpetas,Mujer,16-24 años,Araba/Álava,%,91.43
2020,Copiar o mover ficheros o carpetas,Mujer,16-24 años,Araba/Álava,%,80.79
2020,Copiar o mover ficheros o carpetas,Mujer,16-24 años,Bizkaia,%,85.05
2022,Copiar o mover ficheros o carpetas,Mujer,16-24 años,Bizkaia,%,90.43
2021,Copiar o mover ficheros o carpetas,Mujer,16-24 años,Bizkaia,%,84.89
2019,Copiar o mover ficheros o carpetas,Mujer,16-24 años,Bizkaia,%,92.96
2023,Copiar o mover ficheros o carpetas,Mujer,16-24 años,Bizkaia,%,90.41
2019,Copiar o mover ficheros o carpetas,Mujer,16-24 años,Gipuzkoa,%,95.61
2020,Copiar o mover ficheros o carpetas,Mujer,16-24 años,Gipuzkoa,%,95.62
2021,Copiar o mover ficheros o carpetas,Mujer,16-24 años,Gipuzkoa,%,86.21
2022,Copiar o mover ficheros o carpetas,Mujer,16-24 años,Gipuzkoa,%,87.43
2023,Copiar o mover ficheros o carpetas,Mujer,16-24 años,Gipuzkoa,%,95.08
2021,Copiar o mover ficheros o carpetas,Mujer,16-74 años,,%,60.25
2022,Copiar o mover ficheros o carpetas,Mujer,16-74 años,,%,56.49
2023,Copiar o mover ficheros o carpetas,Mujer,16-74 años,,%,55.85
2019,Copiar o mover ficheros o carpetas,Mujer,16-74 años,,%,53.04
2020,Copiar o mover ficheros o carpetas,Mujer,16-74 años,,%,53.47
2021,Copiar o mover ficheros o carpetas,Mujer,16-74 años,Araba/Álava,%,59.54
2019,Copiar o mover ficheros o carpetas,Mujer,16-74 años,Araba/Álava,%,51.69
2022,Copiar o mover ficheros o carpetas,Mujer,16-74 años,Araba/Álava,%,57.56
2023,Copiar o mover ficheros o carpetas,Mujer,16-74 años,Araba/Álava,%,55.54
2020,Copiar o mover ficheros o carpetas,Mujer,16-74 años,Araba/Álava,%,53.75
2022,Copiar o mover ficheros o carpetas,Mujer,16-74 años,Bizkaia,%,55.34
2019,Copiar o mover ficheros o carpetas,Mujer,16-74 años,Bizkaia,%,53.06
2020,Copiar o mover ficheros o carpetas,Mujer,16-74 años,Bizkaia,%,51.2
2023,Copiar o mover ficheros o carpetas,Mujer,16-74 años,Bizkaia,%,55.17
2021,Copiar o mover ficheros o carpetas,Mujer,16-74 años,Bizkaia,%,59.48
2022,Copiar o mover ficheros o carpetas,Mujer,16-74 años,Gipuzkoa,%,57.91
2019,Copiar o mover ficheros o carpetas,Mujer,16-74 años,Gipuzkoa,%,53.63
2023,Copiar o mover ficheros o carpetas,Mujer,16-74 años,Gipuzkoa,%,57.09
2020,Copiar o mover ficheros o carpetas,Mujer,16-74 años,Gipuzkoa,%,57.0
2021,Copiar o mover ficheros o carpetas,Mujer,16-74 años,Gipuzkoa,%,61.84
2023,Copiar o mover ficheros o carpetas,Mujer,25-74 años,,%,51.2
2020,Copiar o mover ficheros o carpetas,Mujer,25-74 años,,%,49.4
2022,Copiar o mover ficheros o carpetas,Mujer,25-74 años,,%,52.3
2019,Copiar o mover ficheros o carpetas,Mujer,25-74 años,,%,48.51
2021,Copiar o mover ficheros o carpetas,Mujer,25-74 años,,%,57.08
2019,Copiar o mover ficheros o carpetas,Mujer,25-74 años,Araba/Álava,%,46.87
2022,Copiar o mover ficheros o carpetas,Mujer,25-74 años,Araba/Álava,%,53.63
2020,Copiar o mover ficheros o carpetas,Mujer,25-74 años,Araba/Álava,%,50.65
2021,Copiar o mover ficheros o carpetas,Mujer,25-74 años,Araba/Álava,%,56.25
2023,Copiar o mover ficheros o carpetas,Mujer,25-74 años,Araba/Álava,%,50.64
2021,Copiar o mover ficheros o carpetas,Mujer,25-74 años,Bizkaia,%,56.33
2019,Copiar o mover ficheros o carpetas,Mujer,25-74 años,Bizkaia,%,48.95
2023,Copiar o mover ficheros o carpetas,Mujer,25-74 años,Bizkaia,%,50.91
2022,Copiar o mover ficheros o carpetas,Mujer,25-74 años,Bizkaia,%,50.95
2020,Copiar o mover ficheros o carpetas,Mujer,25-74 años,Bizkaia,%,47.33
2022,Copiar o mover ficheros o carpetas,Mujer,25-74 años,Gipuzkoa,%,53.94
2020,Copiar o mover ficheros o carpetas,Mujer,25-74 años,Gipuzkoa,%,52.18
2023,Copiar o mover ficheros o carpetas,Mujer,25-74 años,Gipuzkoa,%,51.94
2019,Copiar o mover ficheros o carpetas,Mujer,25-74 años,Gipuzkoa,%,48.54
2021,Copiar o mover ficheros o carpetas,Mujer,25-74 años,Gipuzkoa,%,58.7
2023,Copiar o mover ficheros o carpetas,Hombre,16-24 años,,%,85.58
2020,Copiar o mover ficheros o carpetas,Hombre,16-24 años,,%,85.21
2021,Copiar o mover ficheros o carpetas,Hombre,16-24 años,,%,87.49
2019,Copiar o mover ficheros o carpetas,Hombre,16-24 años,,%,85.09
2022,Copiar o mover ficheros o carpetas,Hombre,16-24 años,,%,85.38
2023,Copiar o mover ficheros o carpetas,Hombre,16-24 años,Araba/Álava,%,93.34
2021,Copiar o mover ficheros o carpetas,Hombre,16-24 años,Araba/Álava,%,84.98
2020,Copiar o mover ficheros o carpetas,Hombre,16-24 años,Araba/Álava,%,80.49
