Value,eu,es,en,Disaggregation combinations using this value,Number of indicators
ES20009,Andoain,Andoain,Andoain,40,17
ES20010,Anoeta,Anoeta,Anoeta,40,17
ES20011,Antzuola,Antzuola,Antzuola,40,17
ES20012,Arama,Arama,Arama,40,17
ES20013,Aretxabaleta,Aretxabaleta,Aretxabaleta,40,17
ES20014,Asteasu,Asteasu,Asteasu,40,17
ES20015,Ataun,Ataun,Ataun,40,17
ES20016,Aia,Aia,Aia,40,17
ES20017,Azkoitia,Azkoitia,Azkoitia,40,17
ES20018,Azpeitia,Azpeitia,Azpeitia,40,17
ES20019,Beasain,Beasain,Beasain,40,17
ES20020,Beizama,Beizama,Beizama,40,17
ES20021,Belauntza,Belauntza,Belauntza,40,17
ES20022,Berastegi,Berastegi,Berastegi,40,17
ES20023,Berrobi,Berrobi,Berrobi,40,17
ES20024,Bidania-Goiatz,Bidania-Goiatz,Bidania-Goiatz,40,17
ES20025,Zegama,Zegama,Zegama,40,17
ES20026,Zerain,Zerain,Zerain,40,17
ES20027,Zestoa,Zestoa,Zestoa,40,17
ES20028,Zizurkil,Zizurkil,Zizurkil,40,17
ES20029,Deba,Deba,Deba,40,17
ES20030,Eibar,Eibar,Eibar,40,17
ES20031,Elduain,Elduain,Elduain,40,17
ES20032,Elgoibar,Elgoibar,Elgoibar,40,17
ES20033,Elgeta,Elgeta,Elgeta,40,17
ES20034,Eskoriatza,Eskoriatza,Eskoriatza,40,17
ES20035,Ezkio-Itsaso,Ezkio-Itsaso,Ezkio-Itsaso,40,17
ES20036,Hondarribia,Hondarribia,Hondarribia,40,17
ES20037,Gaintza,Gaintza,Gaintza,40,17
ES20038,Gabiria,Gabiria,Gabiria,40,17
ES20039,Getaria,Getaria,Getaria,40,17
ES20040,Hernani,Hernani,Hernani,40,17
ES20041,Hernialde,Hernialde,Hernialde,40,17
ES20042,Ibarra,Ibarra,Ibarra,40,17
ES20043,Idiazabal,Idiazabal,Idiazabal,40,17
ES20044,Ikaztegieta,Ikaztegieta,Ikaztegieta,40,17
ES20045,Irun,Irun,Irun,40,17
