Year,Tipo de tecnología renovable,Territorio histórico,Comarca,Municipio,Units,GeoCode,Value
2020,,,,Arama,Watts per cápita,Arama,112.2
2019,,,,Arama,Watts per cápita,Arama,112.7
2019,,,,Aramaio,Watts per cápita,Aramaio,73.0
2020,,,,Aramaio,Watts per cápita,Aramaio,74.6
2018,,,,Aramaio,Watts per cápita,Aramaio,71.7
2011,,,,Aramaio,Watts per cápita,Aramaio,37.5
2010,,,,Aramaio,Watts per cápita,Aramaio,38.0
2014,,,,Aramaio,Watts per cápita,Aramaio,52.8
2015,,,,Aramaio,Watts per cápita,Aramaio,54.0
2022,,,,Aramaio,Watts per cápita,Aramaio,95.4
2013,,,,Aramaio,Watts per cápita,Aramaio,52.6
2017,,,,Aramaio,Watts per cápita,Aramaio,54.6
2016,,,,Aramaio,Watts per cápita,Aramaio,54.7
2012,,,,Aramaio,Watts per cápita,Aramaio,44.8
2023,,,,Aramaio,Watts per cápita,Aramaio,228.0
2021,,,,Aramaio,Watts per cápita,Aramaio,83.0
2014,,,,Arantzazu,Watts per cápita,Arantzazu,18.2
2020,,,,Arantzazu,Watts per cápita,Arantzazu,27.1
2018,,,,Arantzazu,Watts per cápita,Arantzazu,19.6
2011,,,,Arantzazu,Watts per cápita,Arantzazu,16.6
2015,,,,Arantzazu,Watts per cápita,Arantzazu,19.6
2021,,,,Arantzazu,Watts per cápita,Arantzazu,38.6
2012,,,,Arantzazu,Watts per cápita,Arantzazu,17.4
2016,,,,Arantzazu,Watts per cápita,Arantzazu,19.8
2019,,,,Arantzazu,Watts per cápita,Arantzazu,19.1
2013,,,,Arantzazu,Watts per cápita,Arantzazu,19.2
2010,,,,Arantzazu,Watts per cápita,Arantzazu,17.1
2022,,,,Arantzazu,Watts per cápita,Arantzazu,39.3
2023,,,,Arantzazu,Watts per cápita,Arantzazu,323.4
2017,,,,Arantzazu,Watts per cápita,Arantzazu,20.1
2016,,,,Areatza,Watts per cápita,Areatza,36.7
2012,,,,Areatza,Watts per cápita,Areatza,33.9
2020,,,,Areatza,Watts per cápita,Areatza,62.6
2014,,,,Areatza,Watts per cápita,Areatza,37.9
2017,,,,Areatza,Watts per cápita,Areatza,36.2
2021,,,,Areatza,Watts per cápita,Areatza,65.2
2015,,,,Areatza,Watts per cápita,Areatza,37.0
2022,,,,Areatza,Watts per cápita,Areatza,65.3
2018,,,,Areatza,Watts per cápita,Areatza,36.4
2011,,,,Areatza,Watts per cápita,Areatza,34.1
2013,,,,Areatza,Watts per cápita,Areatza,34.7
2010,,,,Areatza,Watts per cápita,Areatza,29.3
2023,,,,Areatza,Watts per cápita,Areatza,75.4
2019,,,,Areatza,Watts per cápita,Areatza,35.9
2023,,,,Aretxabaleta,Watts per cápita,Aretxabaleta,351.5
2011,,,,Aretxabaleta,Watts per cápita,Aretxabaleta,306.2
2019,,,,Aretxabaleta,Watts per cápita,Aretxabaleta,329.7
2016,,,,Aretxabaleta,Watts per cápita,Aretxabaleta,317.9
2018,,,,Aretxabaleta,Watts per cápita,Aretxabaleta,327.2
2010,,,,Aretxabaleta,Watts per cápita,Aretxabaleta,308.4
2020,,,,Aretxabaleta,Watts per cápita,Aretxabaleta,329.6
2021,,,,Aretxabaleta,Watts per cápita,Aretxabaleta,335.0
2017,,,,Aretxabaleta,Watts per cápita,Aretxabaleta,318.4
2012,,,,Aretxabaleta,Watts per cápita,Aretxabaleta,319.6
2013,,,,Aretxabaleta,Watts per cápita,Aretxabaleta,316.5
2015,,,,Aretxabaleta,Watts per cápita,Aretxabaleta,317.2
2014,,,,Aretxabaleta,Watts per cápita,Aretxabaleta,317.7
2022,,,,Aretxabaleta,Watts per cápita,Aretxabaleta,334.3
2019,,,,Armiñón,Watts per cápita,Armiñón,449.3
2010,,,,Armiñón,Watts per cápita,Armiñón,497.5
2016,,,,Armiñón,Watts per cápita,Armiñón,445.3
2023,,,,Armiñón,Watts per cápita,Armiñón,421.0
2018,,,,Armiñón,Watts per cápita,Armiñón,449.3
2012,,,,Armiñón,Watts per cápita,Armiñón,458.7
2013,,,,Armiñón,Watts per cápita,Armiñón,435.7
2015,,,,Armiñón,Watts per cápita,Armiñón,451.4
2014,,,,Armiñón,Watts per cápita,Armiñón,440.5
2021,,,,Armiñón,Watts per cápita,Armiñón,439.5
