Year,Series,Operación de tratamiento de residuos,Territorio histórico,Units,Value
2024,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Bizkaia,%,3.3
2014,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Bizkaia,%,1.0
2017,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Bizkaia,%,1.4
2011,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Bizkaia,%,0.9
2012,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Bizkaia,%,0.4
2013,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Bizkaia,%,0.9
2020,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Gipuzkoa,%,17.9
2010,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Gipuzkoa,%,3.4
2019,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Gipuzkoa,%,16.3
2017,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Gipuzkoa,%,13.0
2016,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Gipuzkoa,%,11.4
2014,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Gipuzkoa,%,8.4
2013,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Gipuzkoa,%,5.7
2015,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Gipuzkoa,%,10.4
2018,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Gipuzkoa,%,14.1
2011,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Gipuzkoa,%,3.1
2012,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Gipuzkoa,%,3.8
2023,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Gipuzkoa,%,15.4
2024,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Gipuzkoa,%,15.3
2021,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Gipuzkoa,%,17.7
2022,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Gipuzkoa,%,17.2
2015,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,,%,34.5
2013,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,,%,43.7
2018,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,,%,34.4
2016,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,,%,35.6
2017,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,,%,34.7
2024,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,,%,20.6
2012,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,,%,50.5
2023,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,,%,20.8
2022,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,,%,17.0
2010,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,,%,49.5
2021,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,,%,19.9
2014,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,,%,39.9
2019,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,,%,30.0
2011,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,,%,46.6
2020,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,,%,19.2
2015,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Araba/Álava,%,44.9
2017,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Araba/Álava,%,43.8
2018,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Araba/Álava,%,48.3
2023,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Araba/Álava,%,54.5
2014,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Araba/Álava,%,54.3
2019,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Araba/Álava,%,50.6
2012,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Araba/Álava,%,78.9
2010,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Araba/Álava,%,76.1
2011,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Araba/Álava,%,76.3
2013,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Araba/Álava,%,73.2
2021,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Araba/Álava,%,53.6
2016,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Araba/Álava,%,39.3
2020,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Araba/Álava,%,52.2
2024,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Araba/Álava,%,50.5
2022,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Araba/Álava,%,48.7
2016,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Bizkaia,%,25.8
2011,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Bizkaia,%,30.1
2024,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Bizkaia,%,21.7
2022,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Bizkaia,%,15.6
2020,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Bizkaia,%,17.8
2018,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Bizkaia,%,23.3
2021,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Bizkaia,%,20.0
2014,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Bizkaia,%,26.9
2019,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Bizkaia,%,20.3
2017,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Bizkaia,%,22.8
2012,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Bizkaia,%,32.2
2010,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Bizkaia,%,33.8
2023,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Bizkaia,%,21.2
2013,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Bizkaia,%,30.2
2015,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Bizkaia,%,21.4
2021,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Gipuzkoa,%,5.7
2019,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Gipuzkoa,%,37.7
2024,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Gipuzkoa,%,6.5
2013,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Gipuzkoa,%,53.7
2023,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Gipuzkoa,%,6.6
2015,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Gipuzkoa,%,49.1
2011,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Gipuzkoa,%,61.2
2020,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Gipuzkoa,%,7.2
2022,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Gipuzkoa,%,5.8
2012,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Gipuzkoa,%,68.0
2016,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Gipuzkoa,%,49.2
2017,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Gipuzkoa,%,49.4
2014,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Gipuzkoa,%,53.5
2010,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Gipuzkoa,%,64.7
2018,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Gipuzkoa,%,45.4
