Year,Series,Sexo,Territorio histórico,Units,Value
2022,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,Gipuzkoa,Porcentaje,76.3
2019,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,Gipuzkoa,Porcentaje,75.9
2020,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,Gipuzkoa,Porcentaje,76.1
2017,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,Gipuzkoa,Porcentaje,75.1
2015,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,Gipuzkoa,Porcentaje,74.8
2010,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,Gipuzkoa,Porcentaje,74.4
2024,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,Gipuzkoa,Porcentaje,77.1
2013,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,Gipuzkoa,Porcentaje,74.5
2014,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,Gipuzkoa,Porcentaje,74.6
2012,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,Gipuzkoa,Porcentaje,74.2
2011,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,Gipuzkoa,Porcentaje,74.3
2016,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,Gipuzkoa,Porcentaje,75.0
2021,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,Gipuzkoa,Porcentaje,76.2
2018,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,,Porcentaje,99.7
2013,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,,Porcentaje,100.0
2020,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,,Porcentaje,98.6
2021,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,,Porcentaje,97.2
2014,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,,Porcentaje,100.0
2016,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,,Porcentaje,100.0
2015,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,,Porcentaje,100.0
2023,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,,Porcentaje,95.0
2011,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,,Porcentaje,100.0
2012,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,,Porcentaje,100.0
2017,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,,Porcentaje,100.0
2024,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,,Porcentaje,95.4
2022,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,,Porcentaje,96.2
2019,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,,Porcentaje,99.3
2010,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,,Porcentaje,100.0
2018,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,Araba/Álava,Porcentaje,98.8
2011,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,Araba/Álava,Porcentaje,98.2
2010,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,Araba/Álava,Porcentaje,98.1
2015,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,Araba/Álava,Porcentaje,98.7
2012,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,Araba/Álava,Porcentaje,98.1
2016,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,Araba/Álava,Porcentaje,98.7
2019,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,Araba/Álava,Porcentaje,98.6
2014,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,Araba/Álava,Porcentaje,99.2
2017,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,Araba/Álava,Porcentaje,99.2
2013,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,Araba/Álava,Porcentaje,98.8
2021,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,Araba/Álava,Porcentaje,96.0
2024,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,Araba/Álava,Porcentaje,94.2
2023,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,Araba/Álava,Porcentaje,93.3
2020,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,Araba/Álava,Porcentaje,97.6
2022,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,Araba/Álava,Porcentaje,94.7
