Year,Institución,Territorio histórico,Units,Value
2017,Electas en Juntas Generales,Bizkaia,%,49.0
2015,Electas en Juntas Generales,Bizkaia,%,49.0
2014,Electas en Juntas Generales,Bizkaia,%,45.1
2013,Electas en Juntas Generales,Bizkaia,%,45.1
2012,Electas en Juntas Generales,Bizkaia,%,45.1
2011,Electas en Juntas Generales,Bizkaia,%,45.1
2010,Electas en Juntas Generales,Bizkaia,%,39.2
2020,Electas en Juntas Generales,Bizkaia,%,51.0
2016,Electas en Juntas Generales,Bizkaia,%,49.0
2010,Electas en Juntas Generales,Gipuzkoa,%,43.1
2011,Electas en Juntas Generales,Gipuzkoa,%,49.0
2013,Electas en Juntas Generales,Gipuzkoa,%,49.0
2017,Electas en Juntas Generales,Gipuzkoa,%,50.0
2019,Electas en Juntas Generales,Gipuzkoa,%,54.9
2022,Electas en Juntas Generales,Gipuzkoa,%,54.9
2018,Electas en Juntas Generales,Gipuzkoa,%,50.0
2020,Electas en Juntas Generales,Gipuzkoa,%,54.9
2021,Electas en Juntas Generales,Gipuzkoa,%,54.9
2016,Electas en Juntas Generales,Gipuzkoa,%,50.0
2015,Electas en Juntas Generales,Gipuzkoa,%,50.0
2014,Electas en Juntas Generales,Gipuzkoa,%,49.0
2012,Electas en Juntas Generales,Gipuzkoa,%,49.0
2013,Alcaldías,,%,22.3
2022,Alcaldías,,%,30.3
2014,Alcaldías,,%,23.1
2017,Alcaldías,,%,25.2
2011,Alcaldías,,%,22.0
2023,Alcaldías,,%,33.1
2012,Alcaldías,,%,22.0
2024,Alcaldías,,%,34.3
2019,Alcaldías,,%,29.2
2015,Alcaldías,,%,25.2
2010,Alcaldías,,%,19.9
2021,Alcaldías,,%,30.3
2018,Alcaldías,,%,25.2
2016,Alcaldías,,%,25.2
2020,Alcaldías,,%,29.2
2020,Concejalías,,%,47.8
2024,Concejalías,,%,46.5
2022,Concejalías,,%,47.5
2016,Concejalías,,%,41.4
2017,Concejalías,,%,41.4
2010,Concejalías,,%,27.8
2015,Concejalías,,%,41.4
2011,Concejalías,,%,40.4
2012,Concejalías,,%,40.4
2021,Concejalías,,%,47.5
2018,Concejalías,,%,41.4
2013,Concejalías,,%,40.5
2023,Concejalías,,%,48.3
2019,Concejalías,,%,47.8
2014,Concejalías,,%,40.3
