Year,Sex,Age,Residence,People with and without disabilities,Province,County,Municipality,Units,GeoCode,Value
2021,Female,16 years and over,,,,,Gernika-Lumo,PT,Gernika-Lumo,11.6
2010,Female,16 years and over,,,,,Gernika-Lumo,PT,Gernika-Lumo,8.7
2016,Female,16 years and over,,,,,Gernika-Lumo,PT,Gernika-Lumo,15.2
2020,Female,16 years and over,,,,,Gernika-Lumo,PT,Gernika-Lumo,11.1
2020,Female,16 years and over,,,,,Getaria,PT,Getaria,8.9
2015,Female,16 years and over,,,,,Getaria,PT,Getaria,10.6
2019,Female,16 years and over,,,,,Getaria,PT,Getaria,8.8
2021,Female,16 years and over,,,,,Getaria,PT,Getaria,10.0
2018,Female,16 years and over,,,,,Getaria,PT,Getaria,9.8
2010,Female,16 years and over,,,,,Getaria,PT,Getaria,9.7
2016,Female,16 years and over,,,,,Getaria,PT,Getaria,12.7
2010,Female,16 years and over,,,,,Getxo,PT,Getxo,9.3
2020,Female,16 years and over,,,,,Getxo,PT,Getxo,8.9
2021,Female,16 years and over,,,,,Getxo,PT,Getxo,10.6
2018,Female,16 years and over,,,,,Getxo,PT,Getxo,10.9
2016,Female,16 years and over,,,,,Getxo,PT,Getxo,14.1
2015,Female,16 years and over,,,,,Getxo,PT,Getxo,14.3
2019,Female,16 years and over,,,,,Getxo,PT,Getxo,10.2
2019,Female,16 years and over,,,,,Gizaburuaga,PT,Gizaburuaga,14.9
2016,Female,16 years and over,,,,,Gizaburuaga,PT,Gizaburuaga,8.9
2020,Female,16 years and over,,,,,Gizaburuaga,PT,Gizaburuaga,15.6
2021,Female,16 years and over,,,,,Gizaburuaga,PT,Gizaburuaga,6.7
2015,Female,16 years and over,,,,,Gizaburuaga,PT,Gizaburuaga,13.7
2010,Female,16 years and over,,,,,Gizaburuaga,PT,Gizaburuaga,2.2
2018,Female,16 years and over,,,,,Gizaburuaga,PT,Gizaburuaga,10.6
2015,Female,16 years and over,,,,,Gordexola,PT,Gordexola,13.1
2019,Female,16 years and over,,,,,Gordexola,PT,Gordexola,10.8
2018,Female,16 years and over,,,,,Gordexola,PT,Gordexola,10.2
2016,Female,16 years and over,,,,,Gordexola,PT,Gordexola,13.7
2020,Female,16 years and over,,,,,Gordexola,PT,Gordexola,10.4
2010,Female,16 years and over,,,,,Gordexola,PT,Gordexola,7.7
2021,Female,16 years and over,,,,,Gordexola,PT,Gordexola,7.9
2010,Female,16 years and over,,,,,Gorliz,PT,Gorliz,9.4
2015,Female,16 years and over,,,,,Gorliz,PT,Gorliz,15.1
2020,Female,16 years and over,,,,,Gorliz,PT,Gorliz,9.7
2021,Female,16 years and over,,,,,Gorliz,PT,Gorliz,10.5
2016,Female,16 years and over,,,,,Gorliz,PT,Gorliz,16.7
2018,Female,16 years and over,,,,,Gorliz,PT,Gorliz,13.7
2019,Female,16 years and over,,,,,Gorliz,PT,Gorliz,11.9
2010,Female,16 years and over,,,,,Güeñes,PT,Güeñes,8.9
2018,Female,16 years and over,,,,,Güeñes,PT,Güeñes,17.1
2016,Female,16 years and over,,,,,Güeñes,PT,Güeñes,20.2
2021,Female,16 years and over,,,,,Güeñes,PT,Güeñes,12.3
2019,Female,16 years and over,,,,,Güeñes,PT,Güeñes,14.8
2015,Female,16 years and over,,,,,Güeñes,PT,Güeñes,17.3
2020,Female,16 years and over,,,,,Güeñes,PT,Güeñes,12.7
2019,Female,16 years and over,,,,,Harana/Valle de Arana,PT,Harana/Valle de Arana,5.7
2016,Female,16 years and over,,,,,Harana/Valle de Arana,PT,Harana/Valle de Arana,8.3
2010,Female,16 years and over,,,,,Harana/Valle de Arana,PT,Harana/Valle de Arana,14.6
2015,Female,16 years and over,,,,,Harana/Valle de Arana,PT,Harana/Valle de Arana,2.6
2021,Female,16 years and over,,,,,Harana/Valle de Arana,PT,Harana/Valle de Arana,5.1
2020,Female,16 years and over,,,,,Harana/Valle de Arana,PT,Harana/Valle de Arana,10.8
2018,Female,16 years and over,,,,,Harana/Valle de Arana,PT,Harana/Valle de Arana,2.6
2018,Female,16 years and over,,,,,Hernani,PT,Hernani,9.8
2019,Female,16 years and over,,,,,Hernani,PT,Hernani,9.4
2021,Female,16 years and over,,,,,Hernani,PT,Hernani,10.1
2010,Female,16 years and over,,,,,Hernani,PT,Hernani,7.6
2015,Female,16 years and over,,,,,Hernani,PT,Hernani,13.7
2016,Female,16 years and over,,,,,Hernani,PT,Hernani,13.0
2020,Female,16 years and over,,,,,Hernani,PT,Hernani,8.2
2018,Female,16 years and over,,,,,Hernialde,PT,Hernialde,7.3
2020,Female,16 years and over,,,,,Hernialde,PT,Hernialde,8.5
2021,Female,16 years and over,,,,,Hernialde,PT,Hernialde,11.1
2010,Female,16 years and over,,,,,Hernialde,PT,Hernialde,7.1
2019,Female,16 years and over,,,,,Hernialde,PT,Hernialde,7.8
2015,Female,16 years and over,,,,,Hernialde,PT,Hernialde,8.6
2016,Female,16 years and over,,,,,Hernialde,PT,Hernialde,12.0
2019,Female,16 years and over,,,,,Hondarribia,PT,Hondarribia,9.9
2010,Female,16 years and over,,,,,Hondarribia,PT,Hondarribia,8.6
2018,Female,16 years and over,,,,,Hondarribia,PT,Hondarribia,10.9
2020,Female,16 years and over,,,,,Hondarribia,PT,Hondarribia,8.9
2016,Female,16 years and over,,,,,Hondarribia,PT,Hondarribia,14.4
2021,Female,16 years and over,,,,,Hondarribia,PT,Hondarribia,10.2
2015,Female,16 years and over,,,,,Hondarribia,PT,Hondarribia,14.2
2015,Female,16 years and over,,,,,Ibarra,PT,Ibarra,15.8
2019,Female,16 years and over,,,,,Ibarra,PT,Ibarra,13.1
2018,Female,16 years and over,,,,,Ibarra,PT,Ibarra,14.0
2016,Female,16 years and over,,,,,Ibarra,PT,Ibarra,16.4
2021,Female,16 years and over,,,,,Ibarra,PT,Ibarra,12.2
2020,Female,16 years and over,,,,,Ibarra,PT,Ibarra,9.6
2010,Female,16 years and over,,,,,Ibarra,PT,Ibarra,8.3
2015,Female,16 years and over,,,,,Ibarrangelu,PT,Ibarrangelu,14.5
2021,Female,16 years and over,,,,,Ibarrangelu,PT,Ibarrangelu,10.7
2018,Female,16 years and over,,,,,Ibarrangelu,PT,Ibarrangelu,10.3
2020,Female,16 years and over,,,,,Ibarrangelu,PT,Ibarrangelu,10.9
2016,Female,16 years and over,,,,,Ibarrangelu,PT,Ibarrangelu,12.7
2010,Female,16 years and over,,,,,Ibarrangelu,PT,Ibarrangelu,8.3
2019,Female,16 years and over,,,,,Ibarrangelu,PT,Ibarrangelu,12.7
2018,Female,16 years and over,,,,,Idiazabal,PT,Idiazabal,10.5
2016,Female,16 years and over,,,,,Idiazabal,PT,Idiazabal,13.5
2019,Female,16 years and over,,,,,Idiazabal,PT,Idiazabal,7.2
2015,Female,16 years and over,,,,,Idiazabal,PT,Idiazabal,13.8
2010,Female,16 years and over,,,,,Idiazabal,PT,Idiazabal,6.3
2021,Female,16 years and over,,,,,Idiazabal,PT,Idiazabal,7.8
2020,Female,16 years and over,,,,,Idiazabal,PT,Idiazabal,6.3
2015,Female,16 years and over,,,,,Igorre,PT,Igorre,17.1
2021,Female,16 years and over,,,,,Igorre,PT,Igorre,12.5
2019,Female,16 years and over,,,,,Igorre,PT,Igorre,14.0
2020,Female,16 years and over,,,,,Igorre,PT,Igorre,11.4
2018,Female,16 years and over,,,,,Igorre,PT,Igorre,15.1
2010,Female,16 years and over,,,,,Igorre,PT,Igorre,9.8
2016,Female,16 years and over,,,,,Igorre,PT,Igorre,15.6
2020,Female,16 years and over,,,,,Ikaztegieta,PT,Ikaztegieta,12.6
2021,Female,16 years and over,,,,,Ikaztegieta,PT,Ikaztegieta,18.2
2015,Female,16 years and over,,,,,Ikaztegieta,PT,Ikaztegieta,17.8
2018,Female,16 years and over,,,,,Ikaztegieta,PT,Ikaztegieta,14.1
2010,Female,16 years and over,,,,,Ikaztegieta,PT,Ikaztegieta,9.2
2016,Female,16 years and over,,,,,Ikaztegieta,PT,Ikaztegieta,21.0
2019,Female,16 years and over,,,,,Ikaztegieta,PT,Ikaztegieta,15.8
2016,Female,16 years and over,,,,,Irun,PT,Irun,18.7
2020,Female,16 years and over,,,,,Irun,PT,Irun,12.5
2021,Female,16 years and over,,,,,Irun,PT,Irun,13.7
2015,Female,16 years and over,,,,,Irun,PT,Irun,17.4
2010,Female,16 years and over,,,,,Irun,PT,Irun,10.2
2019,Female,16 years and over,,,,,Irun,PT,Irun,13.1
2018,Female,16 years and over,,,,,Irun,PT,Irun,14.4
2019,Female,16 years and over,,,,,Iruña Oka/Iruña de Oca,PT,Iruña Oka/Iruña de Oca,10.7
2021,Female,16 years and over,,,,,Iruña Oka/Iruña de Oca,PT,Iruña Oka/Iruña de Oca,12.7
2010,Female,16 years and over,,,,,Iruña Oka/Iruña de Oca,PT,Iruña Oka/Iruña de Oca,6.6
2018,Female,16 years and over,,,,,Iruña Oka/Iruña de Oca,PT,Iruña Oka/Iruña de Oca,11.1
2015,Female,16 years and over,,,,,Iruña Oka/Iruña de Oca,PT,Iruña Oka/Iruña de Oca,11.8
2020,Female,16 years and over,,,,,Iruña Oka/Iruña de Oca,PT,Iruña Oka/Iruña de Oca,9.3
2016,Female,16 years and over,,,,,Iruña Oka/Iruña de Oca,PT,Iruña Oka/Iruña de Oca,13.0
2016,Female,16 years and over,,,,,Irura,PT,Irura,11.1
2015,Female,16 years and over,,,,,Irura,PT,Irura,13.9
2019,Female,16 years and over,,,,,Irura,PT,Irura,11.0
2020,Female,16 years and over,,,,,Irura,PT,Irura,7.5
2018,Female,16 years and over,,,,,Irura,PT,Irura,10.4
2010,Female,16 years and over,,,,,Irura,PT,Irura,7.2
2021,Female,16 years and over,,,,,Irura,PT,Irura,9.4
2015,Female,16 years and over,,,,,Iruraiz-Gauna,PT,Iruraiz-Gauna,10.6
2018,Female,16 years and over,,,,,Iruraiz-Gauna,PT,Iruraiz-Gauna,6.6
2016,Female,16 years and over,,,,,Iruraiz-Gauna,PT,Iruraiz-Gauna,8.7
2021,Female,16 years and over,,,,,Iruraiz-Gauna,PT,Iruraiz-Gauna,7.0
2020,Female,16 years and over,,,,,Iruraiz-Gauna,PT,Iruraiz-Gauna,6.3
2010,Female,16 years and over,,,,,Iruraiz-Gauna,PT,Iruraiz-Gauna,7.0
2019,Female,16 years and over,,,,,Iruraiz-Gauna,PT,Iruraiz-Gauna,4.9
2015,Female,16 years and over,,,,,Ispaster,PT,Ispaster,11.0
2016,Female,16 years and over,,,,,Ispaster,PT,Ispaster,6.8
2018,Female,16 years and over,,,,,Ispaster,PT,Ispaster,7.8
2019,Female,16 years and over,,,,,Ispaster,PT,Ispaster,10.7
2010,Female,16 years and over,,,,,Ispaster,PT,Ispaster,6.1
2020,Female,16 years and over,,,,,Ispaster,PT,Ispaster,9.9
2021,Female,16 years and over,,,,,Ispaster,PT,Ispaster,11.2
2018,Female,16 years and over,,,,,Itsasondo,PT,Itsasondo,13.8
2021,Female,16 years and over,,,,,Itsasondo,PT,Itsasondo,11.8
2020,Female,16 years and over,,,,,Itsasondo,PT,Itsasondo,9.4
2016,Female,16 years and over,,,,,Itsasondo,PT,Itsasondo,15.4
2010,Female,16 years and over,,,,,Itsasondo,PT,Itsasondo,9.8
2015,Female,16 years and over,,,,,Itsasondo,PT,Itsasondo,17.0
2019,Female,16 years and over,,,,,Itsasondo,PT,Itsasondo,12.0
2021,Female,16 years and over,,,,,Iurreta,PT,Iurreta,14.0
2010,Female,16 years and over,,,,,Iurreta,PT,Iurreta,10.6
2018,Female,16 years and over,,,,,Iurreta,PT,Iurreta,15.9
2016,Female,16 years and over,,,,,Iurreta,PT,Iurreta,19.3
2020,Female,16 years and over,,,,,Iurreta,PT,Iurreta,11.1
2015,Female,16 years and over,,,,,Iurreta,PT,Iurreta,19.0
2019,Female,16 years and over,,,,,Iurreta,PT,Iurreta,13.0
2018,Female,16 years and over,,,,,Izurtza,PT,Izurtza,10.9
2010,Female,16 years and over,,,,,Izurtza,PT,Izurtza,7.3
2016,Female,16 years and over,,,,,Izurtza,PT,Izurtza,16.0
2015,Female,16 years and over,,,,,Izurtza,PT,Izurtza,17.5
2020,Female,16 years and over,,,,,Izurtza,PT,Izurtza,8.5
2021,Female,16 years and over,,,,,Izurtza,PT,Izurtza,4.2
2019,Female,16 years and over,,,,,Izurtza,PT,Izurtza,13.2
2021,Female,16 years and over,,,,,Karrantza Harana/Valle de Carranza,PT,Karrantza Harana/Valle de Carranza,18.8
2018,Female,16 years and over,,,,,Karrantza Harana/Valle de Carranza,PT,Karrantza Harana/Valle de Carranza,23.6
2016,Female,16 years and over,,,,,Karrantza Harana/Valle de Carranza,PT,Karrantza Harana/Valle de Carranza,25.5
2019,Female,16 years and over,,,,,Karrantza Harana/Valle de Carranza,PT,Karrantza Harana/Valle de Carranza,19.8
2010,Female,16 years and over,,,,,Karrantza Harana/Valle de Carranza,PT,Karrantza Harana/Valle de Carranza,11.8
2015,Female,16 years and over,,,,,Karrantza Harana/Valle de Carranza,PT,Karrantza Harana/Valle de Carranza,21.7
2020,Female,16 years and over,,,,,Karrantza Harana/Valle de Carranza,PT,Karrantza Harana/Valle de Carranza,16.1
2019,Female,16 years and over,,,,,Kortezubi,PT,Kortezubi,5.0
2015,Female,16 years and over,,,,,Kortezubi,PT,Kortezubi,14.4
2018,Female,16 years and over,,,,,Kortezubi,PT,Kortezubi,5.0
2010,Female,16 years and over,,,,,Kortezubi,PT,Kortezubi,3.3
2021,Female,16 years and over,,,,,Kortezubi,PT,Kortezubi,3.7
2016,Female,16 years and over,,,,,Kortezubi,PT,Kortezubi,8.7
2020,Female,16 years and over,,,,,Kortezubi,PT,Kortezubi,3.0
2018,Female,16 years and over,,,,,Kripan,PT,Kripan,15.2
2020,Female,16 years and over,,,,,Kripan,PT,Kripan,5.7
2019,Female,16 years and over,,,,,Kripan,PT,Kripan,6.5
2021,Female,16 years and over,,,,,Kripan,PT,Kripan,15.4
2010,Female,16 years and over,,,,,Kripan,PT,Kripan,3.3
2016,Female,16 years and over,,,,,Kripan,PT,Kripan,6.1
2015,Female,16 years and over,,,,,Kripan,PT,Kripan,8.6
2019,Female,16 years and over,,,,,Kuartango,PT,Kuartango,12.7
2018,Female,16 years and over,,,,,Kuartango,PT,Kuartango,12.9
2015,Female,16 years and over,,,,,Kuartango,PT,Kuartango,9.3
2021,Female,16 years and over,,,,,Kuartango,PT,Kuartango,9.7
2020,Female,16 years and over,,,,,Kuartango,PT,Kuartango,7.9
2010,Female,16 years and over,,,,,Kuartango,PT,Kuartango,8.1
2016,Female,16 years and over,,,,,Kuartango,PT,Kuartango,7.6
2010,Female,16 years and over,,,,,Labastida/Bastida,PT,Labastida/Bastida,10.5
2016,Female,16 years and over,,,,,Labastida/Bastida,PT,Labastida/Bastida,21.9
2020,Female,16 years and over,,,,,Labastida/Bastida,PT,Labastida/Bastida,15.4
2018,Female,16 years and over,,,,,Labastida/Bastida,PT,Labastida/Bastida,17.1
2015,Female,16 years and over,,,,,Labastida/Bastida,PT,Labastida/Bastida,20.8
2019,Female,16 years and over,,,,,Labastida/Bastida,PT,Labastida/Bastida,16.4
2021,Female,16 years and over,,,,,Labastida/Bastida,PT,Labastida/Bastida,19.4
2019,Female,16 years and over,,,,,Lagrán,PT,Lagrán,6.9
2020,Female,16 years and over,,,,,Lagrán,PT,Lagrán,3.2
2010,Female,16 years and over,,,,,Lagrán,PT,Lagrán,12.8
2016,Female,16 years and over,,,,,Lagrán,PT,Lagrán,25.7
2015,Female,16 years and over,,,,,Lagrán,PT,Lagrán,14.7
2018,Female,16 years and over,,,,,Lagrán,PT,Lagrán,14.3
2021,Female,16 years and over,,,,,Lagrán,PT,Lagrán,12.9
2015,Female,16 years and over,,,,,Laguardia,PT,Laguardia,15.4
2021,Female,16 years and over,,,,,Laguardia,PT,Laguardia,11.2
2016,Female,16 years and over,,,,,Laguardia,PT,Laguardia,14.2
2018,Female,16 years and over,,,,,Laguardia,PT,Laguardia,10.7
2019,Female,16 years and over,,,,,Laguardia,PT,Laguardia,10.3
2010,Female,16 years and over,,,,,Laguardia,PT,Laguardia,10.5
2020,Female,16 years and over,,,,,Laguardia,PT,Laguardia,9.0
2010,Female,16 years and over,,,,,Lanciego/Lantziego,PT,Lanciego/Lantziego,7.2
2019,Female,16 years and over,,,,,Lanciego/Lantziego,PT,Lanciego/Lantziego,20.3
2015,Female,16 years and over,,,,,Lanciego/Lantziego,PT,Lanciego/Lantziego,21.4
2021,Female,16 years and over,,,,,Lanciego/Lantziego,PT,Lanciego/Lantziego,15.9
2020,Female,16 years and over,,,,,Lanciego/Lantziego,PT,Lanciego/Lantziego,20.2
2016,Female,16 years and over,,,,,Lanciego/Lantziego,PT,Lanciego/Lantziego,22.9
2018,Female,16 years and over,,,,,Lanciego/Lantziego,PT,Lanciego/Lantziego,21.0
2010,Female,16 years and over,,,,,Lanestosa,PT,Lanestosa,6.5
2020,Female,16 years and over,,,,,Lanestosa,PT,Lanestosa,11.4
2021,Female,16 years and over,,,,,Lanestosa,PT,Lanestosa,14.3
2015,Female,16 years and over,,,,,Lanestosa,PT,Lanestosa,24.5
2016,Female,16 years and over,,,,,Lanestosa,PT,Lanestosa,26.7
2018,Female,16 years and over,,,,,Lanestosa,PT,Lanestosa,24.5
2019,Female,16 years and over,,,,,Lanestosa,PT,Lanestosa,22.9
2010,Female,16 years and over,,,,,Lantarón,PT,Lantarón,12.3
2019,Female,16 years and over,,,,,Lantarón,PT,Lantarón,6.3
2018,Female,16 years and over,,,,,Lantarón,PT,Lantarón,10.8
2016,Female,16 years and over,,,,,Lantarón,PT,Lantarón,18.2
2020,Female,16 years and over,,,,,Lantarón,PT,Lantarón,12.6
2021,Female,16 years and over,,,,,Lantarón,PT,Lantarón,14.8
2015,Female,16 years and over,,,,,Lantarón,PT,Lantarón,20.0
2019,Female,16 years and over,,,,,Lapuebla de Labarca,PT,Lapuebla de Labarca,18.8
2018,Female,16 years and over,,,,,Lapuebla de Labarca,PT,Lapuebla de Labarca,14.3
2021,Female,16 years and over,,,,,Lapuebla de Labarca,PT,Lapuebla de Labarca,18.7
2020,Female,16 years and over,,,,,Lapuebla de Labarca,PT,Lapuebla de Labarca,13.9
2015,Female,16 years and over,,,,,Lapuebla de Labarca,PT,Lapuebla de Labarca,18.2
2010,Female,16 years and over,,,,,Lapuebla de Labarca,PT,Lapuebla de Labarca,14.3
2016,Female,16 years and over,,,,,Lapuebla de Labarca,PT,Lapuebla de Labarca,12.8
2021,Female,16 years and over,,,,,Larrabetzu,PT,Larrabetzu,7.3
2018,Female,16 years and over,,,,,Larrabetzu,PT,Larrabetzu,5.8
2010,Female,16 years and over,,,,,Larrabetzu,PT,Larrabetzu,4.6
2016,Female,16 years and over,,,,,Larrabetzu,PT,Larrabetzu,8.3
2020,Female,16 years and over,,,,,Larrabetzu,PT,Larrabetzu,5.3
2015,Female,16 years and over,,,,,Larrabetzu,PT,Larrabetzu,9.3
2019,Female,16 years and over,,,,,Larrabetzu,PT,Larrabetzu,5.6
2020,Female,16 years and over,,,,,Larraul,PT,Larraul,7.3
2019,Female,16 years and over,,,,,Larraul,PT,Larraul,11.1
2010,Female,16 years and over,,,,,Larraul,PT,Larraul,5.2
2016,Female,16 years and over,,,,,Larraul,PT,Larraul,13.0
2018,Female,16 years and over,,,,,Larraul,PT,Larraul,7.3
2015,Female,16 years and over,,,,,Larraul,PT,Larraul,17.5
2021,Female,16 years and over,,,,,Larraul,PT,Larraul,3.7
2016,Female,16 years and over,,,,,Lasarte-Oria,PT,Lasarte-Oria,15.3
2021,Female,16 years and over,,,,,Lasarte-Oria,PT,Lasarte-Oria,10.4
2010,Female,16 years and over,,,,,Lasarte-Oria,PT,Lasarte-Oria,9.8
2019,Female,16 years and over,,,,,Lasarte-Oria,PT,Lasarte-Oria,9.6
2018,Female,16 years and over,,,,,Lasarte-Oria,PT,Lasarte-Oria,11.1
2015,Female,16 years and over,,,,,Lasarte-Oria,PT,Lasarte-Oria,15.3
2020,Female,16 years and over,,,,,Lasarte-Oria,PT,Lasarte-Oria,8.8
2016,Female,16 years and over,,,,,Laudio/Llodio,PT,Laudio/Llodio,18.8
2018,Female,16 years and over,,,,,Laudio/Llodio,PT,Laudio/Llodio,15.8
2019,Female,16 years and over,,,,,Laudio/Llodio,PT,Laudio/Llodio,14.1
2020,Female,16 years and over,,,,,Laudio/Llodio,PT,Laudio/Llodio,12.9
2015,Female,16 years and over,,,,,Laudio/Llodio,PT,Laudio/Llodio,17.3
2010,Female,16 years and over,,,,,Laudio/Llodio,PT,Laudio/Llodio,9.3
2021,Female,16 years and over,,,,,Laudio/Llodio,PT,Laudio/Llodio,15.0
2015,Female,16 years and over,,,,,Laukiz,PT,Laukiz,12.5
2020,Female,16 years and over,,,,,Laukiz,PT,Laukiz,7.8
2018,Female,16 years and over,,,,,Laukiz,PT,Laukiz,8.9
2019,Female,16 years and over,,,,,Laukiz,PT,Laukiz,8.1
2010,Female,16 years and over,,,,,Laukiz,PT,Laukiz,8.3
2016,Female,16 years and over,,,,,Laukiz,PT,Laukiz,13.1
2021,Female,16 years and over,,,,,Laukiz,PT,Laukiz,9.6
2018,Female,16 years and over,,,,,Lazkao,PT,Lazkao,10.7
2021,Female,16 years and over,,,,,Lazkao,PT,Lazkao,9.9
2010,Female,16 years and over,,,,,Lazkao,PT,Lazkao,9.1
2016,Female,16 years and over,,,,,Lazkao,PT,Lazkao,12.9
2019,Female,16 years and over,,,,,Lazkao,PT,Lazkao,9.4
2020,Female,16 years and over,,,,,Lazkao,PT,Lazkao,9.7
2015,Female,16 years and over,,,,,Lazkao,PT,Lazkao,13.5
2016,Female,16 years and over,,,,,Leaburu,PT,Leaburu,17.8
2018,Female,16 years and over,,,,,Leaburu,PT,Leaburu,17.5
2021,Female,16 years and over,,,,,Leaburu,PT,Leaburu,14.3
2010,Female,16 years and over,,,,,Leaburu,PT,Leaburu,10.5
2019,Female,16 years and over,,,,,Leaburu,PT,Leaburu,16.0
2015,Female,16 years and over,,,,,Leaburu,PT,Leaburu,16.4
2020,Female,16 years and over,,,,,Leaburu,PT,Leaburu,13.6
2020,Female,16 years and over,,,,,Legazpi,PT,Legazpi,9.2
2021,Female,16 years and over,,,,,Legazpi,PT,Legazpi,9.9
2010,Female,16 years and over,,,,,Legazpi,PT,Legazpi,8.8
2016,Female,16 years and over,,,,,Legazpi,PT,Legazpi,13.1
2015,Female,16 years and over,,,,,Legazpi,PT,Legazpi,13.3
2019,Female,16 years and over,,,,,Legazpi,PT,Legazpi,9.5
2018,Female,16 years and over,,,,,Legazpi,PT,Legazpi,10.2
2010,Female,16 years and over,,,,,Legorreta,PT,Legorreta,10.3
2016,Female,16 years and over,,,,,Legorreta,PT,Legorreta,14.8
2018,Female,16 years and over,,,,,Legorreta,PT,Legorreta,11.6
2020,Female,16 years and over,,,,,Legorreta,PT,Legorreta,7.9
2021,Female,16 years and over,,,,,Legorreta,PT,Legorreta,8.3
2019,Female,16 years and over,,,,,Legorreta,PT,Legorreta,8.6
2015,Female,16 years and over,,,,,Legorreta,PT,Legorreta,16.5
2015,Female,16 years and over,,,,,Legutio,PT,Legutio,13.6
2010,Female,16 years and over,,,,,Legutio,PT,Legutio,9.8
2018,Female,16 years and over,,,,,Legutio,PT,Legutio,11.1
2019,Female,16 years and over,,,,,Legutio,PT,Legutio,13.0
2016,Female,16 years and over,,,,,Legutio,PT,Legutio,13.4
2021,Female,16 years and over,,,,,Legutio,PT,Legutio,16.0
2020,Female,16 years and over,,,,,Legutio,PT,Legutio,11.8
2021,Female,16 years and over,,,,,Leintz-Gatzaga,PT,Leintz-Gatzaga,5.1
2019,Female,16 years and over,,,,,Leintz-Gatzaga,PT,Leintz-Gatzaga,5.9
2018,Female,16 years and over,,,,,Leintz-Gatzaga,PT,Leintz-Gatzaga,10.2
2015,Female,16 years and over,,,,,Leintz-Gatzaga,PT,Leintz-Gatzaga,16.4
2020,Female,16 years and over,,,,,Leintz-Gatzaga,PT,Leintz-Gatzaga,6.4
2016,Female,16 years and over,,,,,Leintz-Gatzaga,PT,Leintz-Gatzaga,8.3
2010,Female,16 years and over,,,,,Leintz-Gatzaga,PT,Leintz-Gatzaga,6.1
2021,Female,16 years and over,,,,,Leioa,PT,Leioa,11.3
2020,Female,16 years and over,,,,,Leioa,PT,Leioa,10.5
2019,Female,16 years and over,,,,,Leioa,PT,Leioa,10.6
2010,Female,16 years and over,,,,,Leioa,PT,Leioa,9.2
2015,Female,16 years and over,,,,,Leioa,PT,Leioa,14.6
2016,Female,16 years and over,,,,,Leioa,PT,Leioa,15.4
2018,Female,16 years and over,,,,,Leioa,PT,Leioa,11.4
2019,Female,16 years and over,,,,,Lekeitio,PT,Lekeitio,10.7
2020,Female,16 years and over,,,,,Lekeitio,PT,Lekeitio,9.8
2018,Female,16 years and over,,,,,Lekeitio,PT,Lekeitio,11.0
2010,Female,16 years and over,,,,,Lekeitio,PT,Lekeitio,10.8
2016,Female,16 years and over,,,,,Lekeitio,PT,Lekeitio,15.1
2015,Female,16 years and over,,,,,Lekeitio,PT,Lekeitio,15.9
2021,Female,16 years and over,,,,,Lekeitio,PT,Lekeitio,9.2
2018,Female,16 years and over,,,,,Lemoa,PT,Lemoa,14.7
2010,Female,16 years and over,,,,,Lemoa,PT,Lemoa,9.3
2021,Female,16 years and over,,,,,Lemoa,PT,Lemoa,13.2
2020,Female,16 years and over,,,,,Lemoa,PT,Lemoa,12.6
2019,Female,16 years and over,,,,,Lemoa,PT,Lemoa,13.3
2016,Female,16 years and over,,,,,Lemoa,PT,Lemoa,17.2
2015,Female,16 years and over,,,,,Lemoa,PT,Lemoa,16.7
2019,Female,16 years and over,,,,,Lemoiz,PT,Lemoiz,8.0
2016,Female,16 years and over,,,,,Lemoiz,PT,Lemoiz,11.7
2018,Female,16 years and over,,,,,Lemoiz,PT,Lemoiz,9.1
2010,Female,16 years and over,,,,,Lemoiz,PT,Lemoiz,5.5
2021,Female,16 years and over,,,,,Lemoiz,PT,Lemoiz,10.0
2020,Female,16 years and over,,,,,Lemoiz,PT,Lemoiz,8.5
2015,Female,16 years and over,,,,,Lemoiz,PT,Lemoiz,9.7
2015,Female,16 years and over,,,,,Leza,PT,Leza,15.2
2020,Female,16 years and over,,,,,Leza,PT,Leza,7.1
2010,Female,16 years and over,,,,,Leza,PT,Leza,13.6
2019,Female,16 years and over,,,,,Leza,PT,Leza,7.3
2016,Female,16 years and over,,,,,Leza,PT,Leza,18.4
2021,Female,16 years and over,,,,,Leza,PT,Leza,9.5
2018,Female,16 years and over,,,,,Leza,PT,Leza,7.9
2021,Female,16 years and over,,,,,Lezama,PT,Lezama,10.4
2016,Female,16 years and over,,,,,Lezama,PT,Lezama,12.2
2018,Female,16 years and over,,,,,Lezama,PT,Lezama,10.0
2015,Female,16 years and over,,,,,Lezama,PT,Lezama,12.2
2020,Female,16 years and over,,,,,Lezama,PT,Lezama,9.4
2019,Female,16 years and over,,,,,Lezama,PT,Lezama,8.9
2010,Female,16 years and over,,,,,Lezama,PT,Lezama,6.1
2021,Female,16 years and over,,,,,Lezo,PT,Lezo,10.3
2010,Female,16 years and over,,,,,Lezo,PT,Lezo,8.5
2020,Female,16 years and over,,,,,Lezo,PT,Lezo,10.1
2019,Female,16 years and over,,,,,Lezo,PT,Lezo,10.2
2016,Female,16 years and over,,,,,Lezo,PT,Lezo,13.5
2018,Female,16 years and over,,,,,Lezo,PT,Lezo,10.1
2015,Female,16 years and over,,,,,Lezo,PT,Lezo,13.4
2015,Female,16 years and over,,,,,Lizartza,PT,Lizartza,16.3
2020,Female,16 years and over,,,,,Lizartza,PT,Lizartza,10.9
2016,Female,16 years and over,,,,,Lizartza,PT,Lizartza,9.4
