Year,Sex,Age,Residence,People with and without disabilities,Province,County,Municipality,Units,GeoCode,Value
2018,,16 years and over,,,,,Arrieta,PT,Arrieta,7.2
2010,,16 years and over,,,,,Arrieta,PT,Arrieta,7.7
2021,,16 years and over,,,,,Arrieta,PT,Arrieta,6.8
2016,,16 years and over,,,,,Arrieta,PT,Arrieta,10.2
2020,,16 years and over,,,,,Arrigorriaga,PT,Arrigorriaga,10.5
2021,,16 years and over,,,,,Arrigorriaga,PT,Arrigorriaga,11.3
2016,,16 years and over,,,,,Arrigorriaga,PT,Arrigorriaga,16.8
2019,,16 years and over,,,,,Arrigorriaga,PT,Arrigorriaga,10.8
2015,,16 years and over,,,,,Arrigorriaga,PT,Arrigorriaga,16.5
2018,,16 years and over,,,,,Arrigorriaga,PT,Arrigorriaga,12.8
2010,,16 years and over,,,,,Arrigorriaga,PT,Arrigorriaga,9.4
2020,,16 years and over,,,,,Artea,PT,Artea,7.8
2016,,16 years and over,,,,,Artea,PT,Artea,11.3
2018,,16 years and over,,,,,Artea,PT,Artea,9.4
2019,,16 years and over,,,,,Artea,PT,Artea,7.8
2015,,16 years and over,,,,,Artea,PT,Artea,13.3
2010,,16 years and over,,,,,Artea,PT,Artea,7.4
2021,,16 years and over,,,,,Artea,PT,Artea,11.0
2015,,16 years and over,,,,,Artzentales,PT,Artzentales,14.0
2018,,16 years and over,,,,,Artzentales,PT,Artzentales,10.6
2021,,16 years and over,,,,,Artzentales,PT,Artzentales,14.4
2016,,16 years and over,,,,,Artzentales,PT,Artzentales,17.7
2010,,16 years and over,,,,,Artzentales,PT,Artzentales,7.3
2020,,16 years and over,,,,,Artzentales,PT,Artzentales,10.4
2019,,16 years and over,,,,,Artzentales,PT,Artzentales,14.4
2018,,16 years and over,,,,,Artziniega,PT,Artziniega,11.8
2015,,16 years and over,,,,,Artziniega,PT,Artziniega,15.3
2020,,16 years and over,,,,,Artziniega,PT,Artziniega,11.3
2021,,16 years and over,,,,,Artziniega,PT,Artziniega,12.2
2019,,16 years and over,,,,,Artziniega,PT,Artziniega,11.2
2016,,16 years and over,,,,,Artziniega,PT,Artziniega,16.4
2010,,16 years and over,,,,,Artziniega,PT,Artziniega,9.1
2019,,16 years and over,,,,,Asparrena,PT,Asparrena,13.8
2016,,16 years and over,,,,,Asparrena,PT,Asparrena,16.7
2015,,16 years and over,,,,,Asparrena,PT,Asparrena,19.1
2021,,16 years and over,,,,,Asparrena,PT,Asparrena,13.0
2020,,16 years and over,,,,,Asparrena,PT,Asparrena,14.1
2018,,16 years and over,,,,,Asparrena,PT,Asparrena,13.6
2010,,16 years and over,,,,,Asparrena,PT,Asparrena,8.6
2010,,16 years and over,,,,,Asteasu,PT,Asteasu,5.3
2020,,16 years and over,,,,,Asteasu,PT,Asteasu,6.0
2016,,16 years and over,,,,,Asteasu,PT,Asteasu,9.2
2021,,16 years and over,,,,,Asteasu,PT,Asteasu,6.9
2019,,16 years and over,,,,,Asteasu,PT,Asteasu,5.6
2018,,16 years and over,,,,,Asteasu,PT,Asteasu,5.3
2015,,16 years and over,,,,,Asteasu,PT,Asteasu,9.8
2021,,16 years and over,,,,,Astigarraga,PT,Astigarraga,6.8
2020,,16 years and over,,,,,Astigarraga,PT,Astigarraga,6.6
2015,,16 years and over,,,,,Astigarraga,PT,Astigarraga,11.0
2016,,16 years and over,,,,,Astigarraga,PT,Astigarraga,10.1
2018,,16 years and over,,,,,Astigarraga,PT,Astigarraga,7.9
