Year,Type of renewable technology,Province,County,Municipality,Units,GeoCode,Value
2022,,,,Arraia-Maeztu,Watts per capita,Arraia-Maeztu,201.7
2023,,,,Arraia-Maeztu,Watts per capita,Arraia-Maeztu,320.8
2020,,,,Arrankudiaga-Zollo,Watts per capita,Arrankudiaga-Zollo,25.6
2010,,,,Arrankudiaga-Zollo,Watts per capita,Arrankudiaga-Zollo,19.7
2019,,,,Arrankudiaga-Zollo,Watts per capita,Arrankudiaga-Zollo,18.4
2018,,,,Arrankudiaga-Zollo,Watts per capita,Arrankudiaga-Zollo,18.4
2013,,,,Arrankudiaga-Zollo,Watts per capita,Arrankudiaga-Zollo,18.9
2022,,,,Arrankudiaga-Zollo,Watts per capita,Arrankudiaga-Zollo,54.7
2015,,,,Arrankudiaga-Zollo,Watts per capita,Arrankudiaga-Zollo,18.8
2021,,,,Arrankudiaga-Zollo,Watts per capita,Arrankudiaga-Zollo,51.2
2014,,,,Arrankudiaga-Zollo,Watts per capita,Arrankudiaga-Zollo,18.9
2012,,,,Arrankudiaga-Zollo,Watts per capita,Arrankudiaga-Zollo,19.1
2017,,,,Arrankudiaga-Zollo,Watts per capita,Arrankudiaga-Zollo,18.4
2016,,,,Arrankudiaga-Zollo,Watts per capita,Arrankudiaga-Zollo,18.4
2011,,,,Arrankudiaga-Zollo,Watts per capita,Arrankudiaga-Zollo,19.1
2023,,,,Arrankudiaga-Zollo,Watts per capita,Arrankudiaga-Zollo,244.7
2021,,,,Arrasate/Mondragón,Watts per capita,Arrasate/Mondragón,21.6
2019,,,,Arrasate/Mondragón,Watts per capita,Arrasate/Mondragón,9.5
2020,,,,Arrasate/Mondragón,Watts per capita,Arrasate/Mondragón,9.7
2014,,,,Arrasate/Mondragón,Watts per capita,Arrasate/Mondragón,8.7
2018,,,,Arrasate/Mondragón,Watts per capita,Arrasate/Mondragón,9.3
2012,,,,Arrasate/Mondragón,Watts per capita,Arrasate/Mondragón,8.1
2017,,,,Arrasate/Mondragón,Watts per capita,Arrasate/Mondragón,9.3
2023,,,,Arrasate/Mondragón,Watts per capita,Arrasate/Mondragón,23.1
2016,,,,Arrasate/Mondragón,Watts per capita,Arrasate/Mondragón,9.3
2022,,,,Arrasate/Mondragón,Watts per capita,Arrasate/Mondragón,21.7
2013,,,,Arrasate/Mondragón,Watts per capita,Arrasate/Mondragón,8.2
2015,,,,Arrasate/Mondragón,Watts per capita,Arrasate/Mondragón,8.7
2011,,,,Arrasate/Mondragón,Watts per capita,Arrasate/Mondragón,7.8
2010,,,,Arrasate/Mondragón,Watts per capita,Arrasate/Mondragón,7.0
2011,,,,Arratzu,Watts per capita,Arratzu,104.9
2013,,,,Arratzu,Watts per capita,Arratzu,100.5
2019,,,,Arratzu,Watts per capita,Arratzu,117.6
2017,,,,Arratzu,Watts per capita,Arratzu,100.7
2012,,,,Arratzu,Watts per capita,Arratzu,103.1
2018,,,,Arratzu,Watts per capita,Arratzu,116.1
2014,,,,Arratzu,Watts per capita,Arratzu,99.6
2021,,,,Arratzu,Watts per capita,Arratzu,123.8
2022,,,,Arratzu,Watts per capita,Arratzu,125.3
2010,,,,Arratzu,Watts per capita,Arratzu,105.7
2023,,,,Arratzu,Watts per capita,Arratzu,350.6
2016,,,,Arratzu,Watts per capita,Arratzu,102.0
2020,,,,Arratzu,Watts per capita,Arratzu,121.5
2015,,,,Arratzu,Watts per capita,Arratzu,98.6
2019,,,,Arratzua-Ubarrundia,Watts per capita,Arratzua-Ubarrundia,284.8
2016,,,,Arratzua-Ubarrundia,Watts per capita,Arratzua-Ubarrundia,262.4
2013,,,,Arratzua-Ubarrundia,Watts per capita,Arratzua-Ubarrundia,254.3
2014,,,,Arratzua-Ubarrundia,Watts per capita,Arratzua-Ubarrundia,258.1
2023,,,,Arratzua-Ubarrundia,Watts per capita,Arratzua-Ubarrundia,395.8
2012,,,,Arratzua-Ubarrundia,Watts per capita,Arratzua-Ubarrundia,258.3
2017,,,,Arratzua-Ubarrundia,Watts per capita,Arratzua-Ubarrundia,260.8
2021,,,,Arratzua-Ubarrundia,Watts per capita,Arratzua-Ubarrundia,316.3
2020,,,,Arratzua-Ubarrundia,Watts per capita,Arratzua-Ubarrundia,282.2
2011,,,,Arratzua-Ubarrundia,Watts per capita,Arratzua-Ubarrundia,259.1
2018,,,,Arratzua-Ubarrundia,Watts per capita,Arratzua-Ubarrundia,261.1
2015,,,,Arratzua-Ubarrundia,Watts per capita,Arratzua-Ubarrundia,263.3
2022,,,,Arratzua-Ubarrundia,Watts per capita,Arratzua-Ubarrundia,323.3
2010,,,,Arratzua-Ubarrundia,Watts per capita,Arratzua-Ubarrundia,270.9
2015,,,,Arrieta,Watts per capita,Arrieta,58.4
2023,,,,Arrieta,Watts per capita,Arrieta,171.3
2021,,,,Arrieta,Watts per capita,Arrieta,112.2
2010,,,,Arrieta,Watts per capita,Arrieta,48.7
2013,,,,Arrieta,Watts per capita,Arrieta,57.0
2022,,,,Arrieta,Watts per capita,Arrieta,117.8
2011,,,,Arrieta,Watts per capita,Arrieta,47.8
2020,,,,Arrieta,Watts per capita,Arrieta,92.7
2019,,,,Arrieta,Watts per capita,Arrieta,79.9
2018,,,,Arrieta,Watts per capita,Arrieta,73.1
2017,,,,Arrieta,Watts per capita,Arrieta,59.0
2014,,,,Arrieta,Watts per capita,Arrieta,57.0
2016,,,,Arrieta,Watts per capita,Arrieta,59.0
2012,,,,Arrieta,Watts per capita,Arrieta,48.9
2011,,,,Arrigorriaga,Watts per capita,Arrigorriaga,4.8
2018,,,,Arrigorriaga,Watts per capita,Arrigorriaga,5.5
2016,,,,Arrigorriaga,Watts per capita,Arrigorriaga,5.5
2023,,,,Arrigorriaga,Watts per capita,Arrigorriaga,57.4
2014,,,,Arrigorriaga,Watts per capita,Arrigorriaga,5.4
2013,,,,Arrigorriaga,Watts per capita,Arrigorriaga,5.4
2021,,,,Arrigorriaga,Watts per capita,Arrigorriaga,56.4
2010,,,,Arrigorriaga,Watts per capita,Arrigorriaga,4.8
2019,,,,Arrigorriaga,Watts per capita,Arrigorriaga,5.5
2020,,,,Arrigorriaga,Watts per capita,Arrigorriaga,6.1
2015,,,,Arrigorriaga,Watts per capita,Arrigorriaga,5.4
2012,,,,Arrigorriaga,Watts per capita,Arrigorriaga,5.4
2022,,,,Arrigorriaga,Watts per capita,Arrigorriaga,56.4
2017,,,,Arrigorriaga,Watts per capita,Arrigorriaga,5.5
2014,,,,Artea,Watts per capita,Artea,389.9
2017,,,,Artea,Watts per capita,Artea,411.1
2020,,,,Artea,Watts per capita,Artea,412.4
2011,,,,Artea,Watts per capita,Artea,349.1
2022,,,,Artea,Watts per capita,Artea,431.3
2016,,,,Artea,Watts per capita,Artea,412.3
2012,,,,Artea,Watts per capita,Artea,394.5
2021,,,,Artea,Watts per capita,Artea,425.4
2023,,,,Artea,Watts per capita,Artea,667.9
2010,,,,Artea,Watts per capita,Artea,350.0
2018,,,,Artea,Watts per capita,Artea,410.0
2013,,,,Artea,Watts per capita,Artea,387.8
2019,,,,Artea,Watts per capita,Artea,413.3
2015,,,,Artea,Watts per capita,Artea,402.3
2010,,,,Artzentales,Watts per capita,Artzentales,24.5
2022,,,,Artzentales,Watts per capita,Artzentales,47.4
2013,,,,Artzentales,Watts per capita,Artzentales,37.0
2021,,,,Artzentales,Watts per capita,Artzentales,47.7
2018,,,,Artzentales,Watts per capita,Artzentales,38.2
2017,,,,Artzentales,Watts per capita,Artzentales,37.3
2020,,,,Artzentales,Watts per capita,Artzentales,37.1
2012,,,,Artzentales,Watts per capita,Artzentales,24.2
2023,,,,Artzentales,Watts per capita,Artzentales,51.2
2011,,,,Artzentales,Watts per capita,Artzentales,23.7
2016,,,,Artzentales,Watts per capita,Artzentales,36.9
2019,,,,Artzentales,Watts per capita,Artzentales,39.3
2015,,,,Artzentales,Watts per capita,Artzentales,36.0
2014,,,,Artzentales,Watts per capita,Artzentales,37.2
2012,,,,Artziniega,Watts per capita,Artziniega,0.0
2022,,,,Artziniega,Watts per capita,Artziniega,11.1
2021,,,,Artziniega,Watts per capita,Artziniega,3.3
2023,,,,Artziniega,Watts per capita,Artziniega,54.0
2016,,,,Artziniega,Watts per capita,Artziniega,2.5
2014,,,,Artziniega,Watts per capita,Artziniega,2.4
2013,,,,Artziniega,Watts per capita,Artziniega,0.0
2015,,,,Artziniega,Watts per capita,Artziniega,2.4
2017,,,,Artziniega,Watts per capita,Artziniega,2.5
2020,,,,Artziniega,Watts per capita,Artziniega,3.3
2018,,,,Artziniega,Watts per capita,Artziniega,3.2
2019,,,,Artziniega,Watts per capita,Artziniega,3.2
2011,,,,Artziniega,Watts per capita,Artziniega,0.0
2010,,,,Artziniega,Watts per capita,Artziniega,0.0
2010,,,,Asparrena,Watts per capita,Asparrena,596.0
2016,,,,Asparrena,Watts per capita,Asparrena,637.8
2015,,,,Asparrena,Watts per capita,Asparrena,625.4
2013,,,,Asparrena,Watts per capita,Asparrena,610.6
2020,,,,Asparrena,Watts per capita,Asparrena,687.4
2019,,,,Asparrena,Watts per capita,Asparrena,639.4
2012,,,,Asparrena,Watts per capita,Asparrena,600.1
2022,,,,Asparrena,Watts per capita,Asparrena,705.2
2014,,,,Asparrena,Watts per capita,Asparrena,619.1
2021,,,,Asparrena,Watts per capita,Asparrena,692.5
2011,,,,Asparrena,Watts per capita,Asparrena,592.8
2023,,,,Asparrena,Watts per capita,Asparrena,728.7
2018,,,,Asparrena,Watts per capita,Asparrena,642.1
2017,,,,Asparrena,Watts per capita,Asparrena,631.5
2010,,,,Asteasu,Watts per capita,Asteasu,25.9
2014,,,,Asteasu,Watts per capita,Asteasu,25.4
2016,,,,Asteasu,Watts per capita,Asteasu,37.5
2019,,,,Asteasu,Watts per capita,Asteasu,137.2
2013,,,,Asteasu,Watts per capita,Asteasu,25.2
2020,,,,Asteasu,Watts per capita,Asteasu,144.5
2021,,,,Asteasu,Watts per capita,Asteasu,160.6
2012,,,,Asteasu,Watts per capita,Asteasu,25.2
2015,,,,Asteasu,Watts per capita,Asteasu,25.7
2022,,,,Asteasu,Watts per capita,Asteasu,161.8
2011,,,,Asteasu,Watts per capita,Asteasu,25.5
2023,,,,Asteasu,Watts per capita,Asteasu,202.9
2018,,,,Asteasu,Watts per capita,Asteasu,121.3
2017,,,,Asteasu,Watts per capita,Asteasu,37.0
2021,,,,Astigarraga,Watts per capita,Astigarraga,70.3
2015,,,,Astigarraga,Watts per capita,Astigarraga,19.7
2019,,,,Astigarraga,Watts per capita,Astigarraga,37.9
2022,,,,Astigarraga,Watts per capita,Astigarraga,76.5
2012,,,,Astigarraga,Watts per capita,Astigarraga,20.9
2020,,,,Astigarraga,Watts per capita,Astigarraga,36.2
2010,,,,Astigarraga,Watts per capita,Astigarraga,22.1
2018,,,,Astigarraga,Watts per capita,Astigarraga,31.0
2023,,,,Astigarraga,Watts per capita,Astigarraga,82.9
2011,,,,Astigarraga,Watts per capita,Astigarraga,21.2
2017,,,,Astigarraga,Watts per capita,Astigarraga,30.6
2014,,,,Astigarraga,Watts per capita,Astigarraga,20.3
2016,,,,Astigarraga,Watts per capita,Astigarraga,27.5
2013,,,,Astigarraga,Watts per capita,Astigarraga,20.1
2013,,,,Ataun,Watts per capita,Ataun,26.3
2020,,,,Ataun,Watts per capita,Ataun,28.6
2011,,,,Ataun,Watts per capita,Ataun,36.9
2022,,,,Ataun,Watts per capita,Ataun,30.8
2019,,,,Ataun,Watts per capita,Ataun,25.6
2014,,,,Ataun,Watts per capita,Ataun,26.5
2016,,,,Ataun,Watts per capita,Ataun,26.0
2010,,,,Ataun,Watts per capita,Ataun,30.9
2015,,,,Ataun,Watts per capita,Ataun,26.4
2018,,,,Ataun,Watts per capita,Ataun,25.6
2017,,,,Ataun,Watts per capita,Ataun,25.9
2012,,,,Ataun,Watts per capita,Ataun,26.6
2021,,,,Ataun,Watts per capita,Ataun,31.3
2023,,,,Ataun,Watts per capita,Ataun,49.1
2010,,,,Atxondo,Watts per capita,Atxondo,2.1
2018,,,,Atxondo,Watts per capita,Atxondo,33.1
2013,,,,Atxondo,Watts per capita,Atxondo,8.0
2023,,,,Atxondo,Watts per capita,Atxondo,113.8
2014,,,,Atxondo,Watts per capita,Atxondo,18.6
2016,,,,Atxondo,Watts per capita,Atxondo,19.5
2022,,,,Atxondo,Watts per capita,Atxondo,52.2
2019,,,,Atxondo,Watts per capita,Atxondo,46.3
2012,,,,Atxondo,Watts per capita,Atxondo,6.3
2015,,,,Atxondo,Watts per capita,Atxondo,18.2
2021,,,,Atxondo,Watts per capita,Atxondo,52.0
2011,,,,Atxondo,Watts per capita,Atxondo,3.8
2020,,,,Atxondo,Watts per capita,Atxondo,46.7
2017,,,,Atxondo,Watts per capita,Atxondo,31.0
2015,,,,Aulesti,Watts per capita,Aulesti,0.0
2013,,,,Aulesti,Watts per capita,Aulesti,0.0
2023,,,,Aulesti,Watts per capita,Aulesti,33.2
2020,,,,Aulesti,Watts per capita,Aulesti,17.7
2010,,,,Aulesti,Watts per capita,Aulesti,0.0
2018,,,,Aulesti,Watts per capita,Aulesti,10.5
2016,,,,Aulesti,Watts per capita,Aulesti,0.0
2014,,,,Aulesti,Watts per capita,Aulesti,0.0
2012,,,,Aulesti,Watts per capita,Aulesti,0.0
2022,,,,Aulesti,Watts per capita,Aulesti,17.4
2011,,,,Aulesti,Watts per capita,Aulesti,0.0
2019,,,,Aulesti,Watts per capita,Aulesti,11.4
2017,,,,Aulesti,Watts per capita,Aulesti,10.6
2021,,,,Aulesti,Watts per capita,Aulesti,17.4
2014,,,,Ayala/Aiara,Watts per capita,Ayala/Aiara,49.4
2012,,,,Ayala/Aiara,Watts per capita,Ayala/Aiara,47.8
2023,,,,Ayala/Aiara,Watts per capita,Ayala/Aiara,119.5
2013,,,,Ayala/Aiara,Watts per capita,Ayala/Aiara,49.0
2020,,,,Ayala/Aiara,Watts per capita,Ayala/Aiara,57.2
2016,,,,Ayala/Aiara,Watts per capita,Ayala/Aiara,49.8
2018,,,,Ayala/Aiara,Watts per capita,Ayala/Aiara,50.1
2022,,,,Ayala/Aiara,Watts per capita,Ayala/Aiara,90.8
2011,,,,Ayala/Aiara,Watts per capita,Ayala/Aiara,47.2
2021,,,,Ayala/Aiara,Watts per capita,Ayala/Aiara,88.0
2015,,,,Ayala/Aiara,Watts per capita,Ayala/Aiara,49.2
2019,,,,Ayala/Aiara,Watts per capita,Ayala/Aiara,52.6
2017,,,,Ayala/Aiara,Watts per capita,Ayala/Aiara,49.6
2010,,,,Ayala/Aiara,Watts per capita,Ayala/Aiara,47.0
2013,,,,Azkoitia,Watts per capita,Azkoitia,117.3
2016,,,,Azkoitia,Watts per capita,Azkoitia,116.8
2019,,,,Azkoitia,Watts per capita,Azkoitia,116.3
2014,,,,Azkoitia,Watts per capita,Azkoitia,116.9
2012,,,,Azkoitia,Watts per capita,Azkoitia,117.4
2022,,,,Azkoitia,Watts per capita,Azkoitia,133.7
2017,,,,Azkoitia,Watts per capita,Azkoitia,116.0
2023,,,,Azkoitia,Watts per capita,Azkoitia,159.9
2018,,,,Azkoitia,Watts per capita,Azkoitia,115.8
2015,,,,Azkoitia,Watts per capita,Azkoitia,116.8
2011,,,,Azkoitia,Watts per capita,Azkoitia,125.2
2021,,,,Azkoitia,Watts per capita,Azkoitia,132.8
2010,,,,Azkoitia,Watts per capita,Azkoitia,126.3
2020,,,,Azkoitia,Watts per capita,Azkoitia,117.7
2021,,,,Azpeitia,Watts per capita,Azpeitia,43.8
2020,,,,Azpeitia,Watts per capita,Azpeitia,40.3
2011,,,,Azpeitia,Watts per capita,Azpeitia,17.6
2010,,,,Azpeitia,Watts per capita,Azpeitia,11.2
2023,,,,Azpeitia,Watts per capita,Azpeitia,97.1
2013,,,,Azpeitia,Watts per capita,Azpeitia,18.7
2019,,,,Azpeitia,Watts per capita,Azpeitia,28.7
2015,,,,Azpeitia,Watts per capita,Azpeitia,19.0
2014,,,,Azpeitia,Watts per capita,Azpeitia,18.9
2012,,,,Azpeitia,Watts per capita,Azpeitia,18.8
2022,,,,Azpeitia,Watts per capita,Azpeitia,48.6
2017,,,,Azpeitia,Watts per capita,Azpeitia,21.6
2018,,,,Azpeitia,Watts per capita,Azpeitia,29.0
2016,,,,Azpeitia,Watts per capita,Azpeitia,20.4
2012,,,,Bakio,Watts per capita,Bakio,58.1
2018,,,,Bakio,Watts per capita,Bakio,60.2
2019,,,,Bakio,Watts per capita,Bakio,62.4
2023,,,,Bakio,Watts per capita,Bakio,90.4
2013,,,,Bakio,Watts per capita,Bakio,58.4
2017,,,,Bakio,Watts per capita,Bakio,61.1
2021,,,,Bakio,Watts per capita,Bakio,64.2
2015,,,,Bakio,Watts per capita,Bakio,61.2
2010,,,,Bakio,Watts per capita,Bakio,59.8
2022,,,,Bakio,Watts per capita,Bakio,67.5
2016,,,,Bakio,Watts per capita,Bakio,61.5
2011,,,,Bakio,Watts per capita,Bakio,58.4
2020,,,,Bakio,Watts per capita,Bakio,59.8
2014,,,,Bakio,Watts per capita,Bakio,59.0
2011,,,,Baliarrain,Watts per capita,Baliarrain,0.0
2023,,,,Baliarrain,Watts per capita,Baliarrain,412.0
2013,,,,Baliarrain,Watts per capita,Baliarrain,0.0
2017,,,,Baliarrain,Watts per capita,Baliarrain,60.0
2022,,,,Baliarrain,Watts per capita,Baliarrain,315.6
2012,,,,Baliarrain,Watts per capita,Baliarrain,0.0
2021,,,,Baliarrain,Watts per capita,Baliarrain,313.5
2015,,,,Baliarrain,Watts per capita,Baliarrain,31.4
2016,,,,Baliarrain,Watts per capita,Baliarrain,59.2
2010,,,,Baliarrain,Watts per capita,Baliarrain,0.0
2014,,,,Baliarrain,Watts per capita,Baliarrain,30.8
2018,,,,Baliarrain,Watts per capita,Baliarrain,59.6
2019,,,,Baliarrain,Watts per capita,Baliarrain,54.5
2020,,,,Baliarrain,Watts per capita,Baliarrain,58.1
2018,,,,Balmaseda,Watts per capita,Balmaseda,66.4
2011,,,,Balmaseda,Watts per capita,Balmaseda,50.0
2010,,,,Balmaseda,Watts per capita,Balmaseda,42.6
2015,,,,Balmaseda,Watts per capita,Balmaseda,51.3
2012,,,,Balmaseda,Watts per capita,Balmaseda,49.4
2021,,,,Balmaseda,Watts per capita,Balmaseda,67.8
2019,,,,Balmaseda,Watts per capita,Balmaseda,67.1
2022,,,,Balmaseda,Watts per capita,Balmaseda,58.1
2023,,,,Balmaseda,Watts per capita,Balmaseda,58.2
2013,,,,Balmaseda,Watts per capita,Balmaseda,49.5
2016,,,,Balmaseda,Watts per capita,Balmaseda,66.2
2014,,,,Balmaseda,Watts per capita,Balmaseda,50.4
2020,,,,Balmaseda,Watts per capita,Balmaseda,67.2
2017,,,,Balmaseda,Watts per capita,Balmaseda,66.5
2013,,,,Baños de Ebro/Mañueta,Watts per capita,Baños de Ebro/Mañueta,0.3
2011,,,,Baños de Ebro/Mañueta,Watts per capita,Baños de Ebro/Mañueta,0.0
2023,,,,Baños de Ebro/Mañueta,Watts per capita,Baños de Ebro/Mañueta,98.1
2019,,,,Baños de Ebro/Mañueta,Watts per capita,Baños de Ebro/Mañueta,0.3
2021,,,,Baños de Ebro/Mañueta,Watts per capita,Baños de Ebro/Mañueta,0.3
2012,,,,Baños de Ebro/Mañueta,Watts per capita,Baños de Ebro/Mañueta,0.3
2014,,,,Baños de Ebro/Mañueta,Watts per capita,Baños de Ebro/Mañueta,0.0
2018,,,,Baños de Ebro/Mañueta,Watts per capita,Baños de Ebro/Mañueta,0.3
2017,,,,Baños de Ebro/Mañueta,Watts per capita,Baños de Ebro/Mañueta,0.3
2020,,,,Baños de Ebro/Mañueta,Watts per capita,Baños de Ebro/Mañueta,0.3
2016,,,,Baños de Ebro/Mañueta,Watts per capita,Baños de Ebro/Mañueta,0.3
2010,,,,Baños de Ebro/Mañueta,Watts per capita,Baños de Ebro/Mañueta,0.0
2022,,,,Baños de Ebro/Mañueta,Watts per capita,Baños de Ebro/Mañueta,17.7
2015,,,,Baños de Ebro/Mañueta,Watts per capita,Baños de Ebro/Mañueta,0.3
2014,,,,Barakaldo,Watts per capita,Barakaldo,2.8
2011,,,,Barakaldo,Watts per capita,Barakaldo,2.8
2022,,,,Barakaldo,Watts per capita,Barakaldo,3.9
2017,,,,Barakaldo,Watts per capita,Barakaldo,2.9
2019,,,,Barakaldo,Watts per capita,Barakaldo,3.2
2021,,,,Barakaldo,Watts per capita,Barakaldo,3.6
2015,,,,Barakaldo,Watts per capita,Barakaldo,2.9
2020,,,,Barakaldo,Watts per capita,Barakaldo,3.2
2013,,,,Barakaldo,Watts per capita,Barakaldo,2.8
2023,,,,Barakaldo,Watts per capita,Barakaldo,23.8
2016,,,,Barakaldo,Watts per capita,Barakaldo,2.9
2010,,,,Barakaldo,Watts per capita,Barakaldo,2.8
2018,,,,Barakaldo,Watts per capita,Barakaldo,3.2
2012,,,,Barakaldo,Watts per capita,Barakaldo,2.8
2014,,,,Barrika,Watts per capita,Barrika,66.9
2012,,,,Barrika,Watts per capita,Barrika,66.6
2022,,,,Barrika,Watts per capita,Barrika,205.1
2010,,,,Barrika,Watts per capita,Barrika,65.7
2018,,,,Barrika,Watts per capita,Barrika,73.6
2019,,,,Barrika,Watts per capita,Barrika,153.5
2021,,,,Barrika,Watts per capita,Barrika,191.0
2015,,,,Barrika,Watts per capita,Barrika,67.2
2023,,,,Barrika,Watts per capita,Barrika,237.4
2020,,,,Barrika,Watts per capita,Barrika,157.0
2016,,,,Barrika,Watts per capita,Barrika,68.1
2011,,,,Barrika,Watts per capita,Barrika,65.7
2017,,,,Barrika,Watts per capita,Barrika,73.3
2013,,,,Barrika,Watts per capita,Barrika,66.2
2014,,,,Barrundia,Watts per capita,Barrundia,23430.5
2012,,,,Barrundia,Watts per capita,Barrundia,23045.5
2010,,,,Barrundia,Watts per capita,Barrundia,23561.2
2018,,,,Barrundia,Watts per capita,Barrundia,23294.4
2022,,,,Barrundia,Watts per capita,Barrundia,23882.9
2019,,,,Barrundia,Watts per capita,Barrundia,23393.4
2023,,,,Barrundia,Watts per capita,Barrundia,24324.7
2021,,,,Barrundia,Watts per capita,Barrundia,23398.0
2020,,,,Barrundia,Watts per capita,Barrundia,23723.8
2015,,,,Barrundia,Watts per capita,Barrundia,23505.4
2017,,,,Barrundia,Watts per capita,Barrundia,23220.7
2013,,,,Barrundia,Watts per capita,Barrundia,23166.9
2016,,,,Barrundia,Watts per capita,Barrundia,23037.9
2011,,,,Barrundia,Watts per capita,Barrundia,23411.9
2011,,,,Basauri,Watts per capita,Basauri,5.5
2023,,,,Basauri,Watts per capita,Basauri,27.3
2022,,,,Basauri,Watts per capita,Basauri,20.7
2018,,,,Basauri,Watts per capita,Basauri,6.9
2010,,,,Basauri,Watts per capita,Basauri,5.5
2019,,,,Basauri,Watts per capita,Basauri,9.2
2017,,,,Basauri,Watts per capita,Basauri,6.9
2020,,,,Basauri,Watts per capita,Basauri,9.7
2013,,,,Basauri,Watts per capita,Basauri,6.7
2016,,,,Basauri,Watts per capita,Basauri,6.8
2012,,,,Basauri,Watts per capita,Basauri,5.5
2014,,,,Basauri,Watts per capita,Basauri,6.7
2015,,,,Basauri,Watts per capita,Basauri,6.8
2021,,,,Basauri,Watts per capita,Basauri,12.9
2011,,,,Beasain,Watts per capita,Beasain,153.0
2018,,,,Beasain,Watts per capita,Beasain,153.2
2012,,,,Beasain,Watts per capita,Beasain,153.5
2023,,,,Beasain,Watts per capita,Beasain,266.5
2022,,,,Beasain,Watts per capita,Beasain,165.8
2020,,,,Beasain,Watts per capita,Beasain,155.3
2015,,,,Beasain,Watts per capita,Beasain,154.2
2013,,,,Beasain,Watts per capita,Beasain,154.2
2016,,,,Beasain,Watts per capita,Beasain,153.3
2014,,,,Beasain,Watts per capita,Beasain,153.6
2019,,,,Beasain,Watts per capita,Beasain,152.6
2017,,,,Beasain,Watts per capita,Beasain,153.1
2021,,,,Beasain,Watts per capita,Beasain,161.1
2010,,,,Beasain,Watts per capita,Beasain,154.0
2020,,,,Bedia,Watts per capita,Bedia,892.7
2019,,,,Bedia,Watts per capita,Bedia,897.9
2018,,,,Bedia,Watts per capita,Bedia,893.6
2012,,,,Bedia,Watts per capita,Bedia,918.7
2011,,,,Bedia,Watts per capita,Bedia,841.7
2014,,,,Bedia,Watts per capita,Bedia,910.2
2017,,,,Bedia,Watts per capita,Bedia,916.2
2016,,,,Bedia,Watts per capita,Bedia,911.9
2023,,,,Bedia,Watts per capita,Bedia,983.0
2013,,,,Bedia,Watts per capita,Bedia,902.7
2015,,,,Bedia,Watts per capita,Bedia,908.8
2022,,,,Bedia,Watts per capita,Bedia,874.8
2010,,,,Bedia,Watts per capita,Bedia,853.5
2021,,,,Bedia,Watts per capita,Bedia,877.4
2011,,,,Beizama,Watts per capita,Beizama,122.6
2018,,,,Beizama,Watts per capita,Beizama,208.3
2022,,,,Beizama,Watts per capita,Beizama,333.6
2012,,,,Beizama,Watts per capita,Beizama,130.3
2019,,,,Beizama,Watts per capita,Beizama,201.6
2021,,,,Beizama,Watts per capita,Beizama,318.8
2010,,,,Beizama,Watts per capita,Beizama,112.8
2013,,,,Beizama,Watts per capita,Beizama,156.6
2023,,,,Beizama,Watts per capita,Beizama,346.6
2015,,,,Beizama,Watts per capita,Beizama,199.0
2014,,,,Beizama,Watts per capita,Beizama,158.6
2016,,,,Beizama,Watts per capita,Beizama,198.4
2017,,,,Beizama,Watts per capita,Beizama,195.3
2020,,,,Beizama,Watts per capita,Beizama,282.2
2011,,,,Belauntza,Watts per capita,Belauntza,0.0
2022,,,,Belauntza,Watts per capita,Belauntza,51.3
2012,,,,Belauntza,Watts per capita,Belauntza,0.7
2010,,,,Belauntza,Watts per capita,Belauntza,0.0
2017,,,,Belauntza,Watts per capita,Belauntza,7.8
2018,,,,Belauntza,Watts per capita,Belauntza,7.8
2023,,,,Belauntza,Watts per capita,Belauntza,266.8
2013,,,,Belauntza,Watts per capita,Belauntza,0.7
2016,,,,Belauntza,Watts per capita,Belauntza,7.8
2014,,,,Belauntza,Watts per capita,Belauntza,0.0
2021,,,,Belauntza,Watts per capita,Belauntza,43.1
2019,,,,Belauntza,Watts per capita,Belauntza,7.7
2015,,,,Belauntza,Watts per capita,Belauntza,0.8
2020,,,,Belauntza,Watts per capita,Belauntza,7.4
2011,,,,Berango,Watts per capita,Berango,4.3
2010,,,,Berango,Watts per capita,Berango,4.4
2017,,,,Berango,Watts per capita,Berango,11.5
2015,,,,Berango,Watts per capita,Berango,6.0
2021,,,,Berango,Watts per capita,Berango,20.0
2018,,,,Berango,Watts per capita,Berango,12.7
2022,,,,Berango,Watts per capita,Berango,23.2
2012,,,,Berango,Watts per capita,Berango,4.6
2023,,,,Berango,Watts per capita,Berango,39.4
2014,,,,Berango,Watts per capita,Berango,6.0
2019,,,,Berango,Watts per capita,Berango,12.6
2016,,,,Berango,Watts per capita,Berango,8.7
2020,,,,Berango,Watts per capita,Berango,13.6
2013,,,,Berango,Watts per capita,Berango,4.6
