Year,Sexo,Territorio,Comarca,Municipio,Units,GeoCode,Value
2019,,,,ES20008,PER_100000_POP,ES20008,0.0
2010,,,,ES20008,PER_100000_POP,ES20008,0.0
2021,,,,ES20008,PER_100000_POP,ES20008,0.0
2017,,,,ES20008,PER_100000_POP,ES20008,0.0
2016,,,,ES20008,PER_100000_POP,ES20008,0.0
2020,,,,ES20008,PER_100000_POP,ES20008,0.0
2011,,,,ES20008,PER_100000_POP,ES20008,0.0
2022,,,,ES20008,PER_100000_POP,ES20008,0.0
2012,,,,ES20008,PER_100000_POP,ES20008,0.0
2010,,,,ES48003,PER_100000_POP,ES48003,0.0
2023,,,,ES48003,PER_100000_POP,ES48003,0.0
2011,,,,ES48003,PER_100000_POP,ES48003,0.0
2015,,,,ES48003,PER_100000_POP,ES48003,0.0
2021,,,,ES48003,PER_100000_POP,ES48003,0.0
2018,,,,ES48003,PER_100000_POP,ES48003,0.0
2017,,,,ES48003,PER_100000_POP,ES48003,0.0
2012,,,,ES48003,PER_100000_POP,ES48003,0.0
2022,,,,ES48003,PER_100000_POP,ES48003,0.0
2016,,,,ES48003,PER_100000_POP,ES48003,0.0
2013,,,,ES48003,PER_100000_POP,ES48003,0.0
2020,,,,ES48003,PER_100000_POP,ES48003,0.0
2014,,,,ES48003,PER_100000_POP,ES48003,0.0
2019,,,,ES48003,PER_100000_POP,ES48003,0.0
2011,,,,ES48004,PER_100000_POP,ES48004,0.0
2019,,,,ES48004,PER_100000_POP,ES48004,0.0
2018,,,,ES48004,PER_100000_POP,ES48004,0.0
2015,,,,ES48004,PER_100000_POP,ES48004,0.0
2023,,,,ES48004,PER_100000_POP,ES48004,0.0
2017,,,,ES48004,PER_100000_POP,ES48004,0.0
2020,,,,ES48004,PER_100000_POP,ES48004,0.0
2012,,,,ES48004,PER_100000_POP,ES48004,0.0
2021,,,,ES48004,PER_100000_POP,ES48004,0.0
2014,,,,ES48004,PER_100000_POP,ES48004,0.0
2013,,,,ES48004,PER_100000_POP,ES48004,0.0
2010,,,,ES48004,PER_100000_POP,ES48004,0.0
2022,,,,ES48004,PER_100000_POP,ES48004,0.0
2016,,,,ES48004,PER_100000_POP,ES48004,0.0
2017,,,,ES01002,PER_100000_POP,ES01002,0.0
2020,,,,ES01002,PER_100000_POP,ES01002,0.0
2011,,,,ES01002,PER_100000_POP,ES01002,0.0
2013,,,,ES01002,PER_100000_POP,ES01002,0.0
2015,,,,ES01002,PER_100000_POP,ES01002,0.0
2016,,,,ES01002,PER_100000_POP,ES01002,0.0
