Year,Series,Sexo,EmpCont,Territorio,Comarca,Municipio,Units,GeoCode,Value
2018,EU_EMP_LFS,,,,,ES01008,PT,ES01008,76.3
2015,EU_EMP_LFS,,,,,ES01008,PT,ES01008,74.4
2016,EU_EMP_LFS,,,,,ES01008,PT,ES01008,77.2
2019,EU_EMP_LFS,,,,,ES01008,PT,ES01008,77.3
2022,EU_EMP_LFS,,,,,ES01008,PT,ES01008,77.4
2020,EU_EMP_LFS,,,,,ES01008,PT,ES01008,75.7
2022,EU_EMP_LFS,,,,,ES48010,PT,ES48010,75.6
2023,EU_EMP_LFS,,,,,ES48010,PT,ES48010,77.1
2010,EU_EMP_LFS,,,,,ES48010,PT,ES48010,73.5
2018,EU_EMP_LFS,,,,,ES48010,PT,ES48010,72.0
2020,EU_EMP_LFS,,,,,ES48010,PT,ES48010,69.5
2015,EU_EMP_LFS,,,,,ES48010,PT,ES48010,72.4
2016,EU_EMP_LFS,,,,,ES48010,PT,ES48010,72.0
2021,EU_EMP_LFS,,,,,ES48010,PT,ES48010,74.1
2019,EU_EMP_LFS,,,,,ES48010,PT,ES48010,72.4
2020,EU_EMP_LFS,,,,,ES48011,PT,ES48011,70.9
2016,EU_EMP_LFS,,,,,ES48011,PT,ES48011,66.5
2023,EU_EMP_LFS,,,,,ES48011,PT,ES48011,76.2
2019,EU_EMP_LFS,,,,,ES48011,PT,ES48011,70.4
2015,EU_EMP_LFS,,,,,ES48011,PT,ES48011,66.6
2010,EU_EMP_LFS,,,,,ES48011,PT,ES48011,68.2
2022,EU_EMP_LFS,,,,,ES48011,PT,ES48011,73.0
2018,EU_EMP_LFS,,,,,ES48011,PT,ES48011,68.7
2021,EU_EMP_LFS,,,,,ES48011,PT,ES48011,70.5
2019,EU_EMP_LFS,,,,,ES48023,PT,ES48023,73.2
2016,EU_EMP_LFS,,,,,ES48023,PT,ES48023,67.5
2018,EU_EMP_LFS,,,,,ES48023,PT,ES48023,71.9
2010,EU_EMP_LFS,,,,,ES48023,PT,ES48023,71.9
2020,EU_EMP_LFS,,,,,ES48023,PT,ES48023,71.7
2023,EU_EMP_LFS,,,,,ES48023,PT,ES48023,76.1
2022,EU_EMP_LFS,,,,,ES48023,PT,ES48023,71.2
2021,EU_EMP_LFS,,,,,ES48023,PT,ES48023,68.7
2015,EU_EMP_LFS,,,,,ES48023,PT,ES48023,68.5
2022,EU_EMP_LFS,,,,,ES48008,PT,ES48008,61.8
2021,EU_EMP_LFS,,,,,ES48008,PT,ES48008,62.7
2018,EU_EMP_LFS,,,,,ES48008,PT,ES48008,63.8
2015,EU_EMP_LFS,,,,,ES48008,PT,ES48008,65.6
2020,EU_EMP_LFS,,,,,ES48008,PT,ES48008,65.3
2016,EU_EMP_LFS,,,,,ES48008,PT,ES48008,61.1
2010,EU_EMP_LFS,,,,,ES48008,PT,ES48008,67.6
2023,EU_EMP_LFS,,,,,ES48008,PT,ES48008,67.6
2019,EU_EMP_LFS,,,,,ES48008,PT,ES48008,62.4
2015,EU_EMP_LFS,,,,,ES01004,PT,ES01004,68.0
2023,EU_EMP_LFS,,,,,ES01004,PT,ES01004,74.4
2019,EU_EMP_LFS,,,,,ES01004,PT,ES01004,70.1
2022,EU_EMP_LFS,,,,,ES01004,PT,ES01004,72.8
2018,EU_EMP_LFS,,,,,ES01004,PT,ES01004,70.3
2021,EU_EMP_LFS,,,,,ES01004,PT,ES01004,71.8
2020,EU_EMP_LFS,,,,,ES01004,PT,ES01004,71.2
2010,EU_EMP_LFS,,,,,ES01004,PT,ES01004,67.9
2016,EU_EMP_LFS,,,,,ES01004,PT,ES01004,67.0
2010,EU_EMP_LFS,,,,,ES01009,PT,ES01009,70.1
2015,EU_EMP_LFS,,,,,ES01009,PT,ES01009,66.0
2022,EU_EMP_LFS,,,,,ES01009,PT,ES01009,69.7
2018,EU_EMP_LFS,,,,,ES01009,PT,ES01009,69.1
2019,EU_EMP_LFS,,,,,ES01009,PT,ES01009,68.2
2020,EU_EMP_LFS,,,,,ES01009,PT,ES01009,68.3
2021,EU_EMP_LFS,,,,,ES01009,PT,ES01009,67.5
2016,EU_EMP_LFS,,,,,ES01009,PT,ES01009,68.2
2023,EU_EMP_LFS,,,,,ES01009,PT,ES01009,72.8
2016,EU_EMP_LFS,,,,,ES20014,PT,ES20014,74.7
2010,EU_EMP_LFS,,,,,ES20014,PT,ES20014,75.0
2020,EU_EMP_LFS,,,,,ES20014,PT,ES20014,79.3
2018,EU_EMP_LFS,,,,,ES20014,PT,ES20014,79.0
2023,EU_EMP_LFS,,,,,ES20014,PT,ES20014,80.8
2021,EU_EMP_LFS,,,,,ES20014,PT,ES20014,77.9
2022,EU_EMP_LFS,,,,,ES20014,PT,ES20014,79.4
2019,EU_EMP_LFS,,,,,ES20014,PT,ES20014,78.2
2015,EU_EMP_LFS,,,,,ES20014,PT,ES20014,75.5
2023,EU_EMP_LFS,,,,,ES20903,PT,ES20903,85.2
2015,EU_EMP_LFS,,,,,ES20903,PT,ES20903,76.4
2016,EU_EMP_LFS,,,,,ES20903,PT,ES20903,77.3
2019,EU_EMP_LFS,,,,,ES20903,PT,ES20903,82.0
2021,EU_EMP_LFS,,,,,ES20903,PT,ES20903,82.5
2020,EU_EMP_LFS,,,,,ES20903,PT,ES20903,82.3
