Year,Sexo,Edad,Residencia,Discapacidad,Territorio,Comarca,Municipio,Units,GeoCode,Value
2018,,Y_GE16,,,,,ES20025,PT,ES20025,8.6
2021,,Y_GE16,,,,,ES20025,PT,ES20025,7.0
2019,,Y_GE16,,,,,ES20025,PT,ES20025,7.1
2015,,Y_GE16,,,,,ES20025,PT,ES20025,11.4
2016,,Y_GE16,,,,,ES20026,PT,ES20026,9.1
2018,,Y_GE16,,,,,ES20026,PT,ES20026,7.4
2019,,Y_GE16,,,,,ES20026,PT,ES20026,2.6
2021,,Y_GE16,,,,,ES20026,PT,ES20026,2.5
2020,,Y_GE16,,,,,ES20026,PT,ES20026,5.1
2010,,Y_GE16,,,,,ES20026,PT,ES20026,7.0
2015,,Y_GE16,,,,,ES20026,PT,ES20026,12.7
2010,,Y_GE16,,,,,ES20027,PT,ES20027,9.8
2019,,Y_GE16,,,,,ES20027,PT,ES20027,10.8
2018,,Y_GE16,,,,,ES20027,PT,ES20027,11.7
2016,,Y_GE16,,,,,ES20027,PT,ES20027,15.9
2015,,Y_GE16,,,,,ES20027,PT,ES20027,17.7
2020,,Y_GE16,,,,,ES20027,PT,ES20027,9.9
2021,,Y_GE16,,,,,ES20027,PT,ES20027,11.3
2020,,Y_GE16,,,,,ES48913,PT,ES48913,10.8
2015,,Y_GE16,,,,,ES48913,PT,ES48913,17.5
2018,,Y_GE16,,,,,ES48913,PT,ES48913,11.9
2019,,Y_GE16,,,,,ES48913,PT,ES48913,9.1
2016,,Y_GE16,,,,,ES48913,PT,ES48913,15.6
2010,,Y_GE16,,,,,ES48913,PT,ES48913,8.4
2021,,Y_GE16,,,,,ES48913,PT,ES48913,12.2
2020,,Y_GE16,,,,,ES01018,PT,ES01018,5.8
2021,,Y_GE16,,,,,ES01018,PT,ES01018,5.4
2016,,Y_GE16,,,,,ES01018,PT,ES01018,7.9
2019,,Y_GE16,,,,,ES01018,PT,ES01018,5.0
2015,,Y_GE16,,,,,ES01018,PT,ES01018,8.2
2018,,Y_GE16,,,,,ES01018,PT,ES01018,4.7
2010,,Y_GE16,,,,,ES01018,PT,ES01018,4.8
2019,,Y_GE16,,,,,ES48915,PT,ES48915,7.6
2020,,Y_GE16,,,,,ES48915,PT,ES48915,5.1
2016,,Y_GE16,,,,,ES48915,PT,ES48915,13.4
2015,,Y_GE16,,,,,ES48915,PT,ES48915,9.5
2018,,Y_GE16,,,,,ES48915,PT,ES48915,9.0
2021,,Y_GE16,,,,,ES48915,PT,ES48915,6.3
2010,,Y_GE16,,,,,ES48915,PT,ES48915,11.8
2019,,Y_GE16,,,,,ES20028,PT,ES20028,8.5
2015,,Y_GE16,,,,,ES20028,PT,ES20028,14.8
2021,,Y_GE16,,,,,ES20028,PT,ES20028,10.1
2020,,Y_GE16,,,,,ES20028,PT,ES20028,9.0
2018,,Y_GE16,,,,,ES20028,PT,ES20028,10.5
2016,,Y_GE16,,,,,ES20028,PT,ES20028,13.2
2010,,Y_GE16,,,,,ES20028,PT,ES20028,9.1
2019,,Y_GE16,,,,,ES01063,PT,ES01063,5.5
2015,,Y_GE16,,,,,ES01063,PT,ES01063,11.4
2018,,Y_GE16,,,,,ES01063,PT,ES01063,5.5
2020,,Y_GE16,,,,,ES01063,PT,ES01063,4.5
2010,,Y_GE16,,,,,ES01063,PT,ES01063,7.6
2021,,Y_GE16,,,,,ES01063,PT,ES01063,6.5
2016,,Y_GE16,,,,,ES01063,PT,ES01063,9.4
2016,,Y_GE16,,,,,ES20081,PT,ES20081,13.9
2010,,Y_GE16,,,,,ES20081,PT,ES20081,8.7
2021,,Y_GE16,,,,,ES20081,PT,ES20081,9.0
2020,,Y_GE16,,,,,ES20081,PT,ES20081,7.6
2019,,Y_GE16,,,,,ES20081,PT,ES20081,8.2
2015,,Y_GE16,,,,,ES20081,PT,ES20081,12.9
2018,,Y_GE16,,,,,ES20081,PT,ES20081,9.2
2015,,Y_GE16,,,,,ES20080,PT,ES20080,15.0
2016,,Y_GE16,,,,,ES20080,PT,ES20080,14.4
2018,,Y_GE16,,,,,ES20080,PT,ES20080,11.4
2021,,Y_GE16,,,,,ES20080,PT,ES20080,11.0
2019,,Y_GE16,,,,,ES20080,PT,ES20080,10.2
2010,,Y_GE16,,,,,ES20080,PT,ES20080,10.0
2020,,Y_GE16,,,,,ES20080,PT,ES20080,9.4
2020,,Y_GE16,,,,ES0101,,PT,ES0101,9.5
2019,,Y_GE16,,,,ES0101,,PT,ES0101,9.6
2015,,Y_GE16,,,,ES0101,,PT,ES0101,17.3
2016,,Y_GE16,,,,ES0101,,PT,ES0101,14.5
2010,,Y_GE16,,,,ES0101,,PT,ES0101,10.8
2018,,Y_GE16,,,,ES0101,,PT,ES0101,11.3
2021,,Y_GE16,,,,ES0101,,PT,ES0101,11.2
2018,,Y_GE16,,,,ES0104,,PT,ES0104,13.4
2010,,Y_GE16,,,,ES0104,,PT,ES0104,13.3
2020,,Y_GE16,,,,ES0104,,PT,ES0104,11.9
2021,,Y_GE16,,,,ES0104,,PT,ES0104,13.5
2016,,Y_GE16,,,,ES0104,,PT,ES0104,16.8
2015,,Y_GE16,,,,ES0104,,PT,ES0104,19.1
2019,,Y_GE16,,,,ES0104,,PT,ES0104,12.8
2020,,Y_GE16,,,,ES0106,,PT,ES0106,10.8
2010,,Y_GE16,,,,ES0106,,PT,ES0106,8.9
2016,,Y_GE16,,,,ES0106,,PT,ES0106,15.6
2018,,Y_GE16,,,,ES0106,,PT,ES0106,12.1
2019,,Y_GE16,,,,ES0106,,PT,ES0106,11.2
2015,,Y_GE16,,,,ES0106,,PT,ES0106,16.1
2021,,Y_GE16,,,,ES0106,,PT,ES0106,12.0
2010,,Y_GE16,,,,ES0102,,PT,ES0102,9.9
2016,,Y_GE16,,,,ES0102,,PT,ES0102,14.9
2015,,Y_GE16,,,,ES0102,,PT,ES0102,15.7
2019,,Y_GE16,,,,ES0102,,PT,ES0102,11.2
2020,,Y_GE16,,,,ES0102,,PT,ES0102,10.5
