Year,Series,Territorio,Comarca,Municipio,Units,GeoCode,Value
2023,EU_CPA_PTP,,,ES20906,PT,ES20906,100.0
2010,EU_CPA_PTP,,,ES20906,PT,ES20906,100.0
2015,EU_CPA_PTP,,,ES20906,PT,ES20906,100.0
2011,EU_CPA_PTP,,,ES20906,PT,ES20906,100.0
2020,EU_CPA_PTP,,,ES20906,PT,ES20906,100.0
2024,EU_CPA_PTP,,,ES20906,PT,ES20906,100.0
2012,EU_CPA_PTP,,,ES20906,PT,ES20906,100.0
2018,EU_CPA_PTP,,,ES20007,PT,ES20007,0.0
2012,EU_CPA_PTP,,,ES20007,PT,ES20007,0.0
2022,EU_CPA_PTP,,,ES20007,PT,ES20007,100.0
2010,EU_CPA_PTP,,,ES20007,PT,ES20007,0.0
2013,EU_CPA_PTP,,,ES20007,PT,ES20007,0.0
2015,EU_CPA_PTP,,,ES20007,PT,ES20007,0.0
2019,EU_CPA_PTP,,,ES20007,PT,ES20007,0.0
2020,EU_CPA_PTP,,,ES20007,PT,ES20007,0.0
2014,EU_CPA_PTP,,,ES20007,PT,ES20007,0.0
2024,EU_CPA_PTP,,,ES20007,PT,ES20007,100.0
2021,EU_CPA_PTP,,,ES20007,PT,ES20007,100.0
2023,EU_CPA_PTP,,,ES20007,PT,ES20007,100.0
2016,EU_CPA_PTP,,,ES20007,PT,ES20007,0.0
2011,EU_CPA_PTP,,,ES20007,PT,ES20007,0.0
2017,EU_CPA_PTP,,,ES20007,PT,ES20007,0.0
2019,EU_CPA_PTP,,,ES20008,PT,ES20008,0.0
2016,EU_CPA_PTP,,,ES20008,PT,ES20008,0.0
2020,EU_CPA_PTP,,,ES20008,PT,ES20008,0.0
2012,EU_CPA_PTP,,,ES20008,PT,ES20008,0.0
2022,EU_CPA_PTP,,,ES20008,PT,ES20008,100.0
2017,EU_CPA_PTP,,,ES20008,PT,ES20008,0.0
2010,EU_CPA_PTP,,,ES20008,PT,ES20008,0.0
2015,EU_CPA_PTP,,,ES20008,PT,ES20008,0.0
2011,EU_CPA_PTP,,,ES20008,PT,ES20008,0.0
2013,EU_CPA_PTP,,,ES20008,PT,ES20008,0.0
2018,EU_CPA_PTP,,,ES20008,PT,ES20008,0.0
2023,EU_CPA_PTP,,,ES20008,PT,ES20008,100.0
2024,EU_CPA_PTP,,,ES20008,PT,ES20008,100.0
2014,EU_CPA_PTP,,,ES20008,PT,ES20008,0.0
2021,EU_CPA_PTP,,,ES20008,PT,ES20008,100.0
2012,EU_CPA_PTP,,,ES48003,PT,ES48003,100.0
2010,EU_CPA_PTP,,,ES48003,PT,ES48003,0.0
2014,EU_CPA_PTP,,,ES48003,PT,ES48003,100.0
2020,EU_CPA_PTP,,,ES48003,PT,ES48003,100.0
2021,EU_CPA_PTP,,,ES48003,PT,ES48003,100.0
2017,EU_CPA_PTP,,,ES48003,PT,ES48003,100.0
2022,EU_CPA_PTP,,,ES48003,PT,ES48003,100.0
2016,EU_CPA_PTP,,,ES48003,PT,ES48003,100.0
2024,EU_CPA_PTP,,,ES48003,PT,ES48003,100.0
2011,EU_CPA_PTP,,,ES48003,PT,ES48003,0.0
2019,EU_CPA_PTP,,,ES48003,PT,ES48003,100.0
2023,EU_CPA_PTP,,,ES48003,PT,ES48003,100.0
2015,EU_CPA_PTP,,,ES48003,PT,ES48003,100.0
2013,EU_CPA_PTP,,,ES48003,PT,ES48003,100.0
2018,EU_CPA_PTP,,,ES48003,PT,ES48003,100.0
2022,EU_CPA_PTP,,,ES48004,PT,ES48004,100.0
2012,EU_CPA_PTP,,,ES48004,PT,ES48004,0.0
2014,EU_CPA_PTP,,,ES48004,PT,ES48004,0.0
2024,EU_CPA_PTP,,,ES48004,PT,ES48004,100.0
2020,EU_CPA_PTP,,,ES48004,PT,ES48004,100.0
2016,EU_CPA_PTP,,,ES48004,PT,ES48004,0.0
2010,EU_CPA_PTP,,,ES48004,PT,ES48004,0.0
2018,EU_CPA_PTP,,,ES48004,PT,ES48004,100.0
2019,EU_CPA_PTP,,,ES48004,PT,ES48004,100.0
2011,EU_CPA_PTP,,,ES48004,PT,ES48004,0.0
2013,EU_CPA_PTP,,,ES48004,PT,ES48004,0.0
2023,EU_CPA_PTP,,,ES48004,PT,ES48004,100.0
2021,EU_CPA_PTP,,,ES48004,PT,ES48004,100.0
2017,EU_CPA_PTP,,,ES48004,PT,ES48004,100.0
2015,EU_CPA_PTP,,,ES48004,PT,ES48004,0.0
2017,EU_CPA_PTP,,,ES01002,PT,ES01002,100.0
