Year,Profesion,Sexo,Territorio,Units,Value
2014,ISCO08_2221_3221,F,ES212,PER_10000_POP,130.6
2012,ISCO08_2221_3221,F,ES212,PER_10000_POP,125.1
2010,ISCO08_2221_3221,F,ES212,PER_10000_POP,128.2
2024,ISCO08_2221_3221,F,ES212,PER_10000_POP,178.3
2023,ISCO08_2221_3221,F,ES212,PER_10000_POP,183.7
2017,ISCO08_2221_3221,F,ES212,PER_10000_POP,131.4
2021,ISCO08_2221_3221,F,ES212,PER_10000_POP,136.0
2018,ISCO08_2221_3221,F,ES212,PER_10000_POP,131.0
2022,ISCO08_2221_3221,F,ES212,PER_10000_POP,137.4
2020,ISCO08_2221_3221,F,ES212,PER_10000_POP,135.2
2024,ISCO08_2221_3221,M,,PER_10000_POP,20.3
2011,ISCO08_2221_3221,M,,PER_10000_POP,14.5
2020,ISCO08_2221_3221,M,,PER_10000_POP,17.5
2012,ISCO08_2221_3221,M,,PER_10000_POP,14.5
2013,ISCO08_2221_3221,M,,PER_10000_POP,13.4
2014,ISCO08_2221_3221,M,,PER_10000_POP,13.9
2017,ISCO08_2221_3221,M,,PER_10000_POP,15.1
2018,ISCO08_2221_3221,M,,PER_10000_POP,15.6
2021,ISCO08_2221_3221,M,,PER_10000_POP,17.8
2023,ISCO08_2221_3221,M,,PER_10000_POP,20.9
2016,ISCO08_2221_3221,M,,PER_10000_POP,14.9
2010,ISCO08_2221_3221,M,,PER_10000_POP,12.5
2022,ISCO08_2221_3221,M,,PER_10000_POP,18.3
2015,ISCO08_2221_3221,M,,PER_10000_POP,14.3
2019,ISCO08_2221_3221,M,,PER_10000_POP,16.4
2023,ISCO08_2221_3221,M,ES211,PER_10000_POP,20.2
2022,ISCO08_2221_3221,M,ES211,PER_10000_POP,19.6
2015,ISCO08_2221_3221,M,ES211,PER_10000_POP,13.9
2019,ISCO08_2221_3221,M,ES211,PER_10000_POP,17.1
2011,ISCO08_2221_3221,M,ES211,PER_10000_POP,12.3
2016,ISCO08_2221_3221,M,ES211,PER_10000_POP,14.8
2020,ISCO08_2221_3221,M,ES211,PER_10000_POP,18.0
2014,ISCO08_2221_3221,M,ES211,PER_10000_POP,13.7
2010,ISCO08_2221_3221,M,ES211,PER_10000_POP,12.3
2024,ISCO08_2221_3221,M,ES211,PER_10000_POP,21.0
