Year,Series,NCD,Sexo,Territorio,Comarca,Municipio,Units,GeoCode,Value
2010,EU_SH_DTH_NCOM,,,,,ES01001,PER_100000_POP,ES01001,104.7
2019,EU_SH_DTH_NCOM,,,,,ES01001,PER_100000_POP,ES01001,225.3
2021,EU_SH_DTH_NCOM,,,,,ES01001,PER_100000_POP,ES01001,286.5
2018,EU_SH_DTH_NCOM,,,,,ES01001,PER_100000_POP,ES01001,389.9
2022,EU_SH_DTH_NCOM,,,,,ES01001,PER_100000_POP,ES01001,219.1
2014,EU_SH_DTH_NCOM,,,,,ES01001,PER_100000_POP,ES01001,494.2
2024,EU_SH_DTH_NCOM,,,,,ES01001,PER_100000_POP,ES01001,378.5
2012,EU_SH_DTH_NCOM,,,,,ES01001,PER_100000_POP,ES01001,333.6
2011,EU_SH_DTH_NCOM,,,,,ES01001,PER_100000_POP,ES01001,303.7
2013,EU_SH_DTH_NCOM,,,,,ES01001,PER_100000_POP,ES01001,330.7
2016,EU_SH_DTH_NCOM,,,,,ES01001,PER_100000_POP,ES01001,232.1
2017,EU_SH_DTH_NCOM,,,,,ES01001,PER_100000_POP,ES01001,424.6
2020,EU_SH_DTH_NCOM,,,,,ES01001,PER_100000_POP,ES01001,255.7
2015,EU_SH_DTH_NCOM,,,,,ES01001,PER_100000_POP,ES01001,466.7
2024,EU_SH_DTH_NCOM,,,,,ES20006,PER_100000_POP,ES20006,1436.8
2020,EU_SH_DTH_NCOM,,,,,ES20006,PER_100000_POP,ES20006,859.6
2014,EU_SH_DTH_NCOM,,,,,ES20006,PER_100000_POP,ES20006,845.1
2021,EU_SH_DTH_NCOM,,,,,ES20006,PER_100000_POP,ES20006,868.3
2010,EU_SH_DTH_NCOM,,,,,ES20006,PER_100000_POP,ES20006,586.5
2023,EU_SH_DTH_NCOM,,,,,ES20006,PER_100000_POP,ES20006,849.9
2012,EU_SH_DTH_NCOM,,,,,ES20006,PER_100000_POP,ES20006,1105.0
2022,EU_SH_DTH_NCOM,,,,,ES20006,PER_100000_POP,ES20006,569.8
2018,EU_SH_DTH_NCOM,,,,,ES20006,PER_100000_POP,ES20006,571.4
2015,EU_SH_DTH_NCOM,,,,,ES20006,PER_100000_POP,ES20006,1149.4
2013,EU_SH_DTH_NCOM,,,,,ES20006,PER_100000_POP,ES20006,550.2
