Year,Series,Territorio,Comarca,Municipio,Units,GeoCode,Value
2018,EU_XPD_LOCALGBPC,,,ES48005,PT,ES48005,90.98
2021,EU_XPD_LOCALGBPC,,,ES48005,PT,ES48005,52.52
2011,EU_XPD_LOCALGBPC,,,ES48005,PT,ES48005,142.75
2014,EU_XPD_LOCALGBPC,,,ES48005,PT,ES48005,84.79
2013,EU_XPD_LOCALGBPC,,,ES48005,PT,ES48005,94.05
2016,EU_XPD_LOCALGBPC,,,ES48005,PT,ES48005,99.86
2012,EU_XPD_LOCALGBPC,,,ES48005,PT,ES48005,152.77
2015,EU_XPD_LOCALGBPC,,,ES48005,PT,ES48005,118.44
2017,EU_XPD_LOCALGBPC,,,ES48005,PT,ES48005,111.1
2020,EU_XPD_LOCALGBPC,,,ES48005,PT,ES48005,109.72
2019,EU_XPD_LOCALGBPC,,,ES48005,PT,ES48005,100.54
2010,EU_XPD_LOCALGBPC,,,ES48005,PT,ES48005,113.2
2022,EU_XPD_LOCALGBPC,,,ES48005,PT,ES48005,141.74
2023,EU_XPD_LOCALGBPC,,,ES48005,PT,ES48005,122.31
2014,EU_XPD_LOCALGBPC,,,ES20012,PT,ES20012,113.09
2015,EU_XPD_LOCALGBPC,,,ES20012,PT,ES20012,104.49
2018,EU_XPD_LOCALGBPC,,,ES20012,PT,ES20012,102.26
2019,EU_XPD_LOCALGBPC,,,ES20012,PT,ES20012,80.69
2010,EU_XPD_LOCALGBPC,,,ES20012,PT,ES20012,88.56
2011,EU_XPD_LOCALGBPC,,,ES20012,PT,ES20012,175.23
2020,EU_XPD_LOCALGBPC,,,ES20012,PT,ES20012,56.58
2017,EU_XPD_LOCALGBPC,,,ES20012,PT,ES20012,104.91
2023,EU_XPD_LOCALGBPC,,,ES20012,PT,ES20012,73.02
2016,EU_XPD_LOCALGBPC,,,ES20012,PT,ES20012,100.98
2022,EU_XPD_LOCALGBPC,,,ES20012,PT,ES20012,74.42
2021,EU_XPD_LOCALGBPC,,,ES20012,PT,ES20012,78.79
